"time","heat@expseu_","speed@expseu_"
0.0,100000.0,100.0
1.0,100000.0,94.5084882656
2.0,100000.0,88.8960941522
3.0,100000.0,83.205864873
4.0,100000.0,77.4725380938
5.0,100000.0,71.7328003865
6.0,100000.0,66.0340203107
7.0,100000.0,60.4459700283
8.0,100000.0,55.0698940637
9.0,100000.0,50.0440197155
10.0,100000.0,45.5489347912
11.0,100000.0,41.8131455658
12.0,100000.0,39.1224570699
13.0,100000.0,37.911211726
14.0,100000.0,38.9069224366
15.0,100000.0,42.7242106224
16.0,100000.0,50.0900087585
17.0,100000.0,61.9099014101
18.0,99913.5606045,79.2335531057
19.0,98030.3695891,103.235707481
20.0,94421.4368163,135.070869093
21.0,89005.8470188,175.697567639
22.0,81858.3265691,225.666383423
23.0,73232.3375155,284.931688656
24.0,63543.2632989,352.743294023
25.0,53314.7858184,427.65550051
26.0,43105.2975164,507.648977735
27.0,33432.0043329,590.343748819
28.0,24702.2231952,673.262857714
29.0,17173.5316402,754.083363242
30.0,10946.8354429,830.839857247
31.0,5993.54009808,902.03472173
32.0,2185.482027,966.68346708
33.0,2488.46499274,1019.26884553
34.0,23064.5784516,1023.22253329
35.0,53862.7263336,978.5600622
36.0,85985.8439249,897.502376558
37.0,97066.8273614,828.265423952
38.0,93811.5008502,786.245712177
39.0,85684.3106634,766.664384898
40.0,76713.0529417,764.171602311
41.0,68585.8018846,773.698640638
42.0,61924.5631102,790.884442544
43.0,56831.2771391,812.253943336
44.0,53162.2437749,835.23659177
45.0,50668.7563601,858.053254288
46.0,49077.8145008,879.593844884
47.0,48151.4925837,899.227157148
48.0,47878.6410576,916.312507101
49.0,48238.2760274,930.315571567
50.0,49031.9208823,941.195432279
51.0,50040.6417871,949.248102199
52.0,51094.9219866,954.933465711
53.0,52085.8446386,958.75251727
54.0,52955.9365756,961.177575452
55.0,53684.4200508,962.615616606
56.0,54273.2579114,963.39593333
57.0,54736.8516327,963.772728315
58.0,55094.6227057,963.93247896
59.0,55366.7151709,964.006316268
60.0,55571.7881435,964.082037575
61.0,55725.987173,964.214069932
62.0,55842.4644286,964.432502004
63.0,55931.5828166,964.750444573
64.0,56001.3370883,965.169599505
65.0,56057.7545622,965.684321853
66.0,56105.2444037,966.284600382
67.0,56146.6242252,966.958766953
68.0,56184.8613969,967.69292742
69.0,56220.954826,968.474247579
70.0,56255.6474457,969.291695237
71.0,56289.5542874,970.135318899
72.0,56323.0772025,970.99532701
73.0,56356.3714231,971.863554594
74.0,56389.4562,972.733287459
75.0,56422.2840665,973.599056538
76.0,56454.7720135,974.456313572
77.0,56486.8475986,975.301370004
78.0,56518.3227645,976.131619399
79.0,56549.2221705,976.944840657
80.0,56579.5698134,977.739241606
81.0,56609.0158271,978.513958604
82.0,56637.6721293,979.268015208
83.0,56665.436566,980.001094843
84.0,56692.3016437,980.713011949
85.0,56718.266262,981.403677824
86.0,56743.3249815,982.073135982
87.0,56767.4682264,982.72158958
88.0,56790.6914103,983.349333295
89.0,56812.9977786,983.956790417
90.0,56834.4004164,984.544422349
91.0,56854.9187492,985.11271626
92.0,56874.573318,985.662167474
93.0,56893.3891383,986.193290377
94.0,56911.3917291,986.706597927
95.0,56928.6043425,987.202602241
96.0,56945.0508054,987.681819907
97.0,56960.7552667,988.144757787
98.0,56975.7417891,988.591924998
99.0,56990.0348617,989.023806401
100.0,57003.6590274,989.440888631
