    "time","headlight","light_switch_old_byType","off_counter","off_counter_byType","on_counter","on_counter_byType"
         0,         0,       255,         0,         0,         0,         0
      0.01,         0,       255,         0,         0,         0,         0
      0.02,         0,         0,         0,         0,         0,         0
      0.03,         0,         0,         0,         0,         0,         0
      0.04,         0,         0,         0,         0,         0,         0
      0.05,         0,         0,         0,         0,         0,         0
      0.06,         1,         1,         0,         0,         0,         0
      0.07,         1,         1,         0,         0,         0,         0
      0.08,         1,         1,         0,         0,         0,         0
      0.09,         1,         1,         0,         0,         0,         0
       0.1,         1,         1,         0,         0,         0,         0
      0.11,         1,         1,         0,         0,         0,         0
      0.12,         1,         1,         0,         0,         0,         0
      0.13,         1,         1,         0,         0,         0,         0
      0.14,         1,         2,         0,         0,         0,         0
      0.15,         1,         2,         0,         0,         0,         0
      0.16,         1,         2,         0,         0,         0,         0
      0.17,         1,         2,         0,         0,         0,         0
      0.18,         1,         2,         0,         0,         0,         0
      0.19,         1,         2,         0,         0,         0,         0
       0.2,         1,         2,         0,         0,         0,         0
      0.21,         1,         2,         0,         0,         0,         0
      0.22,         1,         2,         0,         0,         0,         0
      0.23,         1,         2,         0,         0,         0,         0
      0.24,         1,         2,         0,         0,         0,         0
      0.25,         1,         2,         0,         0,         0,         0
      0.26,         1,         2,         0,         0,         0,         0
      0.27,         1,         2,         0,         0,         0,         0
      0.28,         1,         2,         0,         0,         0,         0
      0.29,         1,         2,         0,         0,         0,         0
       0.3,         1,         2,         0,         0,         0,         0
      0.31,         1,         2,         0,         0,         0,         0
      0.32,         1,         2,         0,         0,         0,         0
      0.33,         1,         2,         0,         0,         0,         0
      0.34,         1,         2,         0,         0,         0,         0
      0.35,         1,         2,         0,         0,         0,         0
      0.36,         1,         2,         0,         0,         0,         0
      0.37,         1,         2,         0,         0,         0,         0
      0.38,         1,         2,         0,         0,         0,         0
      0.39,         1,         2,         0,         0,         0,         0
       0.4,         1,         2,         1,         1,         0,         0
      0.41,         1,         2,         2,         2,         0,         0
      0.42,         1,         2,         3,         3,         0,         0
      0.43,         1,         2,         4,         4,         0,         0
      0.44,         1,         2,         5,         5,         0,         0
      0.45,         1,         2,         6,         6,         0,         0
      0.46,         1,         2,         7,         7,         0,         0
      0.47,         1,         2,         8,         8,         0,         0
      0.48,         1,         2,         9,         9,         0,         0
      0.49,         1,         2,        10,        10,         0,         0
       0.5,         1,         2,        11,        11,         0,         0
      0.51,         1,         2,        12,        12,         0,         0
      0.52,         1,         2,        13,        13,         0,         0
      0.53,         1,         2,        14,        14,         0,         0
      0.54,         1,         2,        15,        15,         0,         0
      0.55,         1,         2,        16,        16,         0,         0
      0.56,         1,         2,        17,        17,         0,         0
      0.57,         1,         2,        18,        18,         0,         0
      0.58,         1,         2,        19,        19,         0,         0
      0.59,         1,         2,        20,        20,         0,         0
