"time","Noise","Noise_Filt","Noise_Filt_Sat","Sine","Sine_Filt","Sine_Filt_Quantized"
0,0.50419,0.063024,0.063024,0,0,0
0.001,0.50419,0.063024,0.063024,0.002,3.00E-09,0
0.002,0.50419,0.063024,0.063024,0.004,2.40E-08,0
0.003,0.50419,0.063024,0.063024,0.006,8.07E-08,0
0.004,0.50419,0.063024,0.063024,0.008,1.91E-07,0
0.005,0.50419,0.063024,0.063024,0.01,3.73E-07,0
0.006,0.50419,0.063024,0.063024,0.012,6.44E-07,0
0.007,0.50419,0.063024,0.063024,0.014,1.02E-06,0
0.008,0.50419,0.063024,0.063024,0.016,1.52E-06,0
0.009,0.50419,0.063024,0.063024,0.018,2.17E-06,0
0.01,0.50419,0.063024,0.063024,0.02,2.97E-06,0
0.011,0.50419,0.063024,0.063024,0.022,3.95E-06,0
0.012,0.50419,0.063024,0.063024,0.023999,5.12E-06,0
0.013,0.50419,0.063024,0.063024,0.025999,6.50E-06,0
0.014,0.50419,0.063024,0.063024,0.027999,8.11E-06,0
0.015,0.50419,0.063024,0.063024,0.029999,9.97E-06,0
0.016,0.50419,0.063024,0.063024,0.031999,1.21E-05,0
0.017,0.50419,0.063024,0.063024,0.033998,1.45E-05,0
0.018,0.50419,0.063024,0.063024,0.035998,1.72E-05,0
0.019,0.50419,0.063024,0.063024,0.037998,2.02E-05,0
0.02,0.50419,0.063024,0.063024,0.039997,2.35E-05,0
0.021,0.50419,0.063024,0.063024,0.041997,2.72E-05,0
0.022,0.50419,0.063024,0.063024,0.043996,3.12E-05,0
0.023,0.50419,0.063024,0.063024,0.045996,3.56E-05,0
0.024,0.50419,0.063024,0.063024,0.047995,4.04E-05,0
0.025,0.50419,0.063024,0.063024,0.049995,4.57E-05,0
0.026,0.50419,0.063024,0.063024,0.051994,5.13E-05,0
0.027,0.50419,0.063024,0.063024,0.053993,5.74E-05,0
0.028,0.50419,0.063024,0.063024,0.055993,6.39E-05,0
0.029,0.50419,0.063024,0.063024,0.057992,7.10E-05,0
0.03,0.50419,0.063024,0.063024,0.059991,7.85E-05,0
0.031,0.50419,0.063024,0.063024,0.06199,8.65E-05,0
0.032,0.50419,0.063024,0.063024,0.063989,9.50E-05,0
0.033,0.50419,0.063024,0.063024,0.065988,0.00010412,0
0.034,0.50419,0.063024,0.063024,0.067987,0.00011375,0
0.035,0.50419,0.063024,0.063024,0.069986,0.00012396,0
0.036,0.50419,0.063024,0.063024,0.071984,0.00013475,0
0.037,0.50419,0.063024,0.063024,0.073983,0.00014614,0
0.038,0.50419,0.063024,0.063024,0.075982,0.00015814,0
0.039,0.50419,0.063024,0.063024,0.07798,0.00017077,0
0.04,0.50419,0.063024,0.063024,0.079979,0.00018405,0
0.041,0.50419,0.063024,0.063024,0.081977,0.000198,0
0.042,0.50419,0.063024,0.063024,0.083975,0.00021261,0
0.043,0.50419,0.063024,0.063024,0.085974,0.00022792,0
0.044,0.50419,0.063024,0.063024,0.087972,0.00024394,0
0.045,0.50419,0.063024,0.063024,0.08997,0.00026067,0
0.046,0.50419,0.063024,0.063024,0.091968,0.00027814,0
0.047,0.50419,0.063024,0.063024,0.093965,0.00029636,0
0.048,0.50419,0.063024,0.063024,0.095963,0.00031535,0
0.049,0.50419,0.063024,0.063024,0.097961,0.00033511,0
0.05,3.3752,0.48178,0.48178,0.099958,0.00035567,0
0.051,3.3752,0.48178,0.48178,0.10196,0.00037704,0
0.052,3.3752,0.48178,0.48178,0.10395,0.00039923,0
0.053,3.3752,0.48178,0.48178,0.10595,0.00042226,0
0.054,3.3752,0.48178,0.48178,0.10795,0.00044614,0
0.055,3.3752,0.48178,0.48178,0.10994,0.00047088,0
0.056,3.3752,0.48178,0.48178,0.11194,0.0004965,0
0.057,3.3752,0.48178,0.48178,0.11394,0.00052302,0
0.058,3.3752,0.48178,0.48178,0.11593,0.00055045,0
0.059,3.3752,0.48178,0.48178,0.11793,0.00057879,0
0.06,3.3752,0.48178,0.48178,0.11993,0.00060807,0
0.061,3.3752,0.48178,0.48178,0.12192,0.0006383,0
0.062,3.3752,0.48178,0.48178,0.12392,0.0006695,0
0.063,3.3752,0.48178,0.48178,0.12592,0.00070166,0
0.064,3.3752,0.48178,0.48178,0.12791,0.00073482,0
0.065,3.3752,0.48178,0.48178,0.12991,0.00076898,0
0.066,3.3752,0.48178,0.48178,0.1319,0.00080416,0
0.067,3.3752,0.48178,0.48178,0.1339,0.00084037,0
0.068,3.3752,0.48178,0.48178,0.1359,0.00087762,0
0.069,3.3752,0.48178,0.48178,0.13789,0.00091593,0
0.07,3.3752,0.48178,0.48178,0.13989,0.00095531,0
0.071,3.3752,0.48178,0.48178,0.14188,0.00099577,0
0.072,3.3752,0.48178,0.48178,0.14388,0.0010373,0
0.073,3.3752,0.48178,0.48178,0.14587,0.00108,0
