"time","onOffController.reference"
0.000000E+000,2.500000E+001
0.000000E+000,2.500000E+001
0.000000E+000,2.500000E+001
5.000000E-004,2.500000E+001
3.000000E-003,2.500000E+001
1.550000E-002,2.500000E+001
4.560625E-002,2.500000E+001
1.045673E-001,2.500000E+001
2.045673E-001,2.500000E+001
3.045673E-001,2.500000E+001
4.045673E-001,2.500000E+001
5.045673E-001,2.500000E+001
6.045673E-001,2.500000E+001
6.264250E-001,2.500000E+001
6.264250E-001,2.500000E+001
6.264250E-001,2.500000E+001
6.269250E-001,2.500000E+001
6.294250E-001,2.500000E+001
6.419250E-001,2.500000E+001
7.044250E-001,2.500000E+001
8.044250E-001,2.500000E+001
9.044250E-001,2.500000E+001
1.004425E+000,2.500000E+001
1.104425E+000,2.500000E+001
1.204425E+000,2.500000E+001
1.304425E+000,2.500000E+001
1.404425E+000,2.500000E+001
1.504425E+000,2.500000E+001
1.604425E+000,2.500000E+001
1.704425E+000,2.500000E+001
1.804425E+000,2.500000E+001
1.904425E+000,2.500000E+001
2.000000E+000,2.500000E+001
2.000000E+000,2.500000E+001
2.000000E+000,2.500000E+001
2.000500E+000,2.500208E+001
2.003000E+000,2.501250E+001
2.015500E+000,2.506458E+001
2.078000E+000,2.532500E+001
2.178000E+000,2.574167E+001
2.262658E+000,2.609441E+001
2.262658E+000,2.609441E+001
2.262658E+000,2.609441E+001
2.263158E+000,2.609649E+001
2.265658E+000,2.610691E+001
2.278158E+000,2.615899E+001
2.309298E+000,2.628874E+001
2.370937E+000,2.654557E+001
2.470937E+000,2.696224E+001
2.570937E+000,2.737891E+001
2.670937E+000,2.779557E+001
2.673294E+000,2.780539E+001
2.673294E+000,2.780539E+001
2.673294E+000,2.780539E+001
2.673294E+000,2.780539E+001
2.673294E+000,2.780539E+001
2.673794E+000,2.780748E+001
2.676294E+000,2.781789E+001
2.688794E+000,2.786998E+001
2.751294E+000,2.813039E+001
2.851294E+000,2.854706E+001
2.951294E+000,2.896373E+001
3.051294E+000,2.938039E+001
3.070921E+000,2.946217E+001
3.070921E+000,2.946217E+001
3.070921E+000,2.946217E+001
3.071421E+000,2.946426E+001
3.073921E+000,2.947467E+001
3.086421E+000,2.952676E+001
3.118287E+000,2.965953E+001
3.181826E+000,2.992428E+001
3.281826E+000,3.034094E+001
3.381826E+000,3.075761E+001
3.481826E+000,3.117428E+001
3.525739E+000,3.135725E+001
3.525739E+000,3.135725E+001
3.525739E+000,3.135725E+001
3.525739E+000,3.135725E+001
3.525739E+000,3.135725E+001
3.526239E+000,3.135933E+001
3.528739E+000,3.136975E+001
3.541239E+000,3.142183E+001
3.603739E+000,3.168225E+001
3.703739E+000,3.209891E+001
3.803739E+000,3.251558E+001
3.897517E+000,3.290632E+001
3.897517E+000,3.290632E+001
3.897517E+000,3.290632E+001
3.898017E+000,3.290840E+001
3.900517E+000,3.291882E+001
3.913017E+000,3.297090E+001
3.945665E+000,3.310694E+001
4.011269E+000,3.338029E+001
4.111269E+000,3.379695E+001
