"time","Capacitor1.i","IdealDiode3.v"
0.0000000000000000E+000,-5.0084852813742390E+002,-2.8284271247461902E+002
1.0000000000000011E-005,-5.0084802728914360E+002,-3.4127595990190684E-001
2.0000000000000005E-005,-5.0084752644136432E+002,-6.9149461885001529E-001
3.0099999999999908E-005,-5.0084697244489814E+002,-1.0379600599358696E+000
4.0000000000000132E-005,-5.0084449851568468E+002,-7.3288757759468126E-001
5.0000000000000375E-005,-5.0084199531644947E+002,-4.2395082244183868E-001
6.0000000000000618E-005,-5.0083950057117318E+002,-1.2059794045620720E-001
7.0000000000000861E-005,-5.0083701429457489E+002,1.7717137541961847E-001
8.0000000000001104E-005,-5.0083453650129002E+002,4.6935748734568961E-001
9.0000000000001347E-005,-5.0083206720587037E+002,7.5596081257708647E-001
1.0000000000000159E-004,-5.0082960642278380E+002,1.0369818234633499E+000
1.1000000000000183E-004,-5.0082715416641429E+002,1.3124210474430811E+000
1.2000000000000208E-004,-5.0082471045106161E+002,1.5822790670379163E+000
1.3000000000000232E-004,-5.0082227529094138E+002,1.8465565198461604E+000
1.4000000000000256E-004,-5.0081798887384230E+002,2.0000020154054710E+000
1.5000000000000281E-004,-5.0079606857331078E+002,2.0000218974550421E+000
1.6000000000000305E-004,-5.0075330569104801E+002,2.0000626223669542E+000
1.7000000000000329E-004,-5.0069017076347171E+002,2.0001237196401007E+000
1.8000000000000353E-004,-5.0060713530622149E+002,2.0002047177936788E+000
1.9000000000000378E-004,-5.0050467178340546E+002,2.0003051443979416E+000
2.0000000000000402E-004,-5.0038325357656282E+002,2.0004245261052347E+000
2.1000000000000426E-004,-5.0024335495345548E+002,2.0005623886812032E+000
2.2000000000000451E-004,-5.0008545103731524E+002,2.0007182570355440E+000
2.3000000000000475E-004,-4.9991001777540805E+002,2.0008916552534401E+000
2.4000000000000499E-004,-4.9971753190811057E+002,2.0010821066264839E+000
2.5000000000000521E-004,-4.9950847093753140E+002,2.0012891336840539E+000
2.6000000000000545E-004,-4.9928331309641698E+002,2.0015122582244089E+000
2.7000000000000570E-004,-4.9904253731677329E+002,2.0017510013460651E+000
2.8000000000000594E-004,-4.9878662319877157E+002,2.0020048834788895E+000
2.9000000000000618E-004,-4.9851605097902910E+002,2.0022734244158187E+000
3.0000000000000642E-004,-4.9823130149968534E+002,2.0025561433437815E+000
3.1000000000000667E-004,-4.9793285617679652E+002,2.0028525588753041E+000
3.2000000000000691E-004,-4.9762119696884366E+002,2.0031621890800011E+000
3.3000000000000715E-004,-4.9729680634558179E+002,2.0034845515157258E+000
3.4000000000000740E-004,-4.9696016725614987E+002,2.0038191632604594E+000
3.5000000000000764E-004,-4.9661176309814795E+002,2.0041655409432337E+000
3.6000000000000788E-004,-4.9625207768569010E+002,2.0045232007760774E+000
3.7000000000000813E-004,-4.9588159521796950E+002,2.0048916585854499E+000
3.8000000000000837E-004,-4.9550080024799473E+002,2.0052704298435060E+000
3.9000000000000861E-004,-4.9511017765081289E+002,2.0056590296998706E+000
4.0000000000000886E-004,-4.9471021259184812E+002,2.0060569730133011E+000
4.1000000000000910E-004,-4.9430139049580748E+002,2.0064637743827802E+000
4.2000000000000934E-004,-4.9388419701462107E+002,2.0068789481795761E+000
4.3000000000000958E-004,-4.9345911799606409E+002,2.0073020085786197E+000
4.4000000000000983E-004,-4.9302663945237896E+002,2.0077324695898824E+000
4.5000000000001007E-004,-4.9258724752827226E+002,2.0081698450903787E+000
4.6000000000001031E-004,-4.9214142846976409E+002,2.0086136488553166E+000
4.7000000000001056E-004,-4.9168966859224224E+002,2.0090633945900436E+000
4.8000000000001080E-004,-4.9123245424931162E+002,2.0095185959611968E+000
4.9000000000001007E-004,-4.9077027180079102E+002,2.0099787666287057E+000
5.0000000000000489E-004,-4.9030360758139295E+002,2.0104434202771131E+000
5.1009999999999966E-004,-4.8982822273997527E+002,2.0109167756891679E+000
5.2009999999999448E-004,-4.8935402108660622E+002,2.0113889692599400E+000
5.3009999999998930E-004,-4.8887680106037811E+002,2.0118641824685710E+000
5.4009999999998413E-004,-4.8839704857821414E+002,2.0123419294154132E+000
5.5009999999997895E-004,-4.8791524937419052E+002,2.0128217243831728E+000
5.6009999999997377E-004,-4.8743188896781749E+002,2.0133030818686279E+000
5.7009999999996859E-004,-4.8694745263237792E+002,2.0137855166142913E+000
5.8009999999996341E-004,-4.8646242536394772E+002,2.0142685436393890E+000
5.9009999999995824E-004,-4.8597729184916562E+002,2.0147516782720913E+000
6.0009999999995306E-004,-4.8549253643556153E+002,2.0152344361791847E+000
6.1009999999994788E-004,-4.8500864309796191E+002,2.0157163333996664E+000
6.2009999999994270E-004,-4.8452609540853365E+002,2.0161968863747006E+000
6.3009999999993752E-004,-4.8404537650523650E+002,2.0166756119791671E+000
6.4009999999993235E-004,-4.8356696906050240E+002,2.0171520275529815E+000
6.5009999999992717E-004,-4.8309135524991535E+002,2.0176256509324162E+000
6.6009999999992199E-004,-4.8261901672111827E+002,2.0180960004811936E+000
6.7009999999991681E-004,-4.8215043456254955E+002,2.0185625951217503E+000
6.8009999999991163E-004,-4.8168608927246419E+002,2.0190249543662162E+000
6.9009999999990646E-004,-4.8122646072766986E+002,2.0194825983476790E+000
7.0009999999990128E-004,-4.8077202815271869E+002,2.0199350478509928E+000
7.1009999999989610E-004,-4.8032327008858692E+002,2.0203818243440992E+000
7.2009999999989092E-004,-4.7988066436198011E+002,2.0208224500087226E+000
7.3009999999988574E-004,-4.7944468805441107E+002,2.0212564477712931E+000
7.4009999999988057E-004,-4.7901581747127739E+002,2.0216833413338691E+000
7.5009999999987539E-004,-4.7859452811093934E+002,2.0221026552050603E+000
7.6009999999987021E-004,-4.7818129463419598E+002,2.0225139147305526E+000
7.7009999999986503E-004,-4.7777659083353325E+002,2.0229166461238606E+000
7.8009999999985986E-004,-4.7738088960248632E+002,2.0233103764969655E+000
7.9009999999985468E-004,-4.7699466290483122E+002,2.0236946338911252E+000
8.0009999999984950E-004,-4.7661838174445865E+002,2.0240689473070006E+000
8.1009999999984432E-004,-4.7625251613462251E+002,2.0244328467354080E+000
8.2009999999983914E-004,-4.7589753506770012E+002,2.0247858631875602E+000
8.3009999999983397E-004,-4.7555390648478209E+002,2.0251275287254771E+000
8.4009999999982879E-004,-4.7522209724548901E+002,2.0254573764921702E+000
8.5009999999982361E-004,-4.7490257309767526E+002,2.0257749407419396E+000
8.6009999999981843E-004,-4.7459579864730284E+002,2.0260797568705016E+000
8.7009999999981325E-004,-4.7430223732871349E+002,2.0263713614447170E+000
8.8009999999980808E-004,-4.7402235137410435E+002,2.0266492922331167E+000
8.9009999999980290E-004,-4.7375660178402808E+002,2.0269130882354034E+000
9.0009999999979772E-004,-4.7350544829760736E+002,2.0271622897122370E+000
9.1009999999979254E-004,-4.7326934936240957E+002,2.0273964382153622E+000
9.2009999999978736E-004,-4.7304876210522980E+002,2.0276150766168257E+000
9.3009999999978219E-004,-4.7284414230219335E+002,2.0278177491388760E+000
9.4009999999977701E-004,-4.7265594434942489E+002,2.0280040013832945E+000
9.5009999999977183E-004,-4.7248462123354847E+002,2.0281733803608972E+000
9.6009999999976665E-004,-4.7233062450247144E+002,2.0283254345207524E+000
9.7009999999976147E-004,-4.7219440423605414E+002,2.0284597137795117E+000
9.8009999999976020E-004,-4.7207640901695089E+002,2.0285757695505708E+000
9.9009999999976586E-004,-4.7197708590173488E+002,2.0286731547729460E+000
1.0000999999997715E-003,-4.7189688039168209E+002,2.0287514239404913E+000
1.0100999999997772E-003,-4.7183623640406677E+002,2.0288101331306052E+000
1.0200999999997829E-003,-4.7179559624351396E+002,2.0288488400328788E+000
1.0300999999997885E-003,-4.7177540057306749E+002,2.0288671039780297E+000
1.0400999999997942E-003,-4.7177608838576992E+002,2.0288644859663236E+000
1.0500999999997998E-003,-4.7179809697624256E+002,2.0288405486959959E+000
1.0600999999998055E-003,-4.7184186191220823E+002,2.0287948565917304E+000
1.0700999999998112E-003,-4.7190781700635574E+002,2.0287269758327966E+000
1.0800999999998168E-003,-4.7199639428808979E+002,2.0286364743813010E+000
1.0900999999998225E-003,-4.7210802397562333E+002,2.0285229220100973E+000
1.1000999999998282E-003,-4.7224313444789794E+002,2.0283858903308669E+000
1.1100999999998338E-003,-4.7240215221684633E+002,2.0282249528218586E+000
1.1200999999998395E-003,-4.7258550189976808E+002,2.0280396848555142E+000
1.1300999999998452E-003,-4.7279360619164879E+002,2.0278296637261519E+000
1.1400999999998508E-003,-4.7302688583753581E+002,2.0275944686775915E+000
1.1500999999998565E-003,-4.7328575960559664E+002,2.0273336809300986E+000
1.1600999999998622E-003,-4.7357064425943770E+002,2.0270468837080671E+000
1.1700999999998678E-003,-4.7388195453127628E+002,2.0267336622668495E+000
1.1800999999998735E-003,-4.7422010309494198E+002,2.0263936039197574E+000
1.1900999999998791E-003,-4.7458550053876422E+002,2.0260262980651760E+000
1.2000999999998848E-003,-4.7497855533914208E+002,2.0256313362129958E+000
1.2100999999998905E-003,-4.7539967383371612E+002,2.0252083120114435E+000
1.2200999999998961E-003,-4.7584926019505201E+002,2.0247568212733995E+000
1.2300999999999018E-003,-4.7632771640403996E+002,2.0242764620030016E+000
1.2400999999999075E-003,-4.7683544222397603E+002,2.0237668344215649E+000
1.2500999999999131E-003,-4.7737283517418905E+002,2.0232275409939575E+000
1.2600999999999188E-003,-4.7794029050429248E+002,2.0226581864543505E+000
1.2700999999999245E-003,-4.7853820116826631E+002,2.0220583778321384E+000
1.2800999999999301E-003,-4.7916695779882264E+002,2.0214277244775758E+000
1.2900999999999358E-003,-4.7982694868171467E+002,2.0207658380874705E+000
1.3000999999999415E-003,-4.8051855973061436E+002,2.0200723327303081E+000
1.3100999999999471E-003,-4.8124217446159167E+002,2.0193468248717750E+000
1.3200999999999528E-003,-4.8199817396804929E+002,2.0185889333998261E+000
1.3300999999999584E-003,-4.8278693689588408E+002,2.0177982796495257E+000
1.3400999999999641E-003,-4.8360883941853530E+002,2.0169744874280013E+000
1.3500999999999698E-003,-4.8446425521220323E+002,2.0161171830392277E+000
1.3600999999999754E-003,-4.8535355543169322E+002,2.0152259953081852E+000
1.3700999999999811E-003,-4.8627710868557733E+002,2.0143005556057005E+000
1.3800999999999868E-003,-4.8723528101220887E+002,2.0133404978724343E+000
1.3900999999999924E-003,-4.8822843585568040E+002,2.0123454586429261E+000
1.4000999999999981E-003,-4.8925693404172426E+002,2.0113150770696961E+000
1.4100000000000037E-003,-4.9031031386487842E+002,2.0102598336554252E+000
1.4200000000000094E-003,-4.9141020830029231E+002,2.0091580577543482E+000
1.4300000000000150E-003,-4.9254650909430330E+002,2.0080198764262605E+000
1.4400000000000207E-003,-4.9371956639073090E+002,2.0068449395041057E+000
1.4500000000000264E-003,-4.9492972759817724E+002,2.0056328995556783E+000
1.4600000000000320E-003,-4.9617733736700819E+002,2.0043834119066446E+000
1.4700000000000377E-003,-4.9746273756639124E+002,2.0030961346635081E+000
1.4800000000000433E-003,-4.9878626726184501E+002,2.0017707287360622E+000
1.4900000000000490E-003,-5.0014826269278882E+002,2.0004068578598435E+000
1.5000000000000547E-003,-5.0057882759726391E+002,-1.5056490829202545E+001
1.5100000000000603E-003,-5.0057766982940080E+002,-1.5531894370702616E+001
1.5200000000000660E-003,-5.0057652172220907E+002,-1.6012265317825637E+001
1.5300000000000717E-003,-5.0057538327712228E+002,-1.6497595630701142E+001
1.5400000000000773E-003,-5.0057425449547623E+002,-1.6987877219227499E+001
1.5500000000000830E-003,-5.0057313537851132E+002,-1.7483101944442751E+001
1.5600000000000887E-003,-5.0057202592737247E+002,-1.7983261618604274E+001
1.5700000000000943E-003,-5.0057092614310938E+002,-1.8488348005271860E+001
1.5800000000001000E-003,-5.0056983602667628E+002,-1.8998352819385218E+001
1.5900000000001057E-003,-5.0056875557893204E+002,-1.9513267727348222E+001
1.6000000000001113E-003,-5.0056768480064011E+002,-2.0033084347112407E+001
1.6100000000001170E-003,-5.0056662369246840E+002,-2.0557794248255078E+001
1.6200000000001226E-003,-5.0056557225498966E+002,-2.1087388952067698E+001
1.6300000000001283E-003,-5.0056453048868099E+002,-2.1621859931637459E+001
1.6400000000001340E-003,-5.0056349839392408E+002,-2.2161198611928853E+001
1.6500000000001396E-003,-5.0056247597100543E+002,-2.2705396369873597E+001
1.6600000000001453E-003,-5.0056146322011580E+002,-2.3254444534450698E+001
1.6700000000001510E-003,-5.0056046014135057E+002,-2.3808334386775215E+001
