"time","EGO","press","speed","throttle"
0.00000000,1.00000000,0.58899999,300.00000000,10.00000000
0.01000000,1.00000000,0.56756169,300.00000000,10.02499962
0.02000000,1.00000000,0.54862261,300.00000000,10.05000019
0.03000000,1.00000000,0.53187567,300.00000000,10.07499981
0.04000000,1.00000000,0.51705956,300.00000000,10.10000038
0.05000000,1.00000000,0.50395006,300.00000000,10.12500000
0.06000000,1.00000000,0.49235511,300.00000000,10.14999962
0.07000000,1.00000000,0.48212129,300.00000000,10.17500019
0.08000000,1.00000000,0.47311804,300.00000000,10.19999981
0.09000000,1.00000000,0.46522558,300.00000000,10.22500038
0.10000000,1.00000000,0.45833430,300.00000000,10.25000000
0.11000000,1.00000000,0.45234415,300.00000000,10.27499962
0.12000000,1.00000000,0.44716412,300.00000000,10.30000019
0.13000000,1.00000000,0.44271171,300.00000000,10.32499981
0.14000000,1.00000000,0.43891227,300.00000000,10.35000038
0.15000000,1.00000000,0.43569830,300.00000000,10.37500000
0.16000000,1.00000000,0.43300909,300.00000000,10.39999962
0.17000000,1.00000000,0.43078986,300.00000000,10.42500019
0.18000000,1.00000000,0.42899144,300.00000000,10.44999981
0.19000000,1.00000000,0.42756969,300.00000000,10.47500038
0.20000000,1.00000000,0.42648503,300.00000000,10.50000000
0.21000000,1.00000000,0.42570201,300.00000000,10.52499962
0.22000000,1.00000000,0.42518884,300.00000000,10.55000019
0.23000000,1.00000000,0.42491716,300.00000000,10.57499981
0.24000000,1.00000000,0.42486155,300.00000000,10.60000038
0.25000000,1.00000000,0.42499936,300.00000000,10.62500000
0.26000000,1.00000000,0.42531028,300.00000000,10.64999962
0.27000000,1.00000000,0.42577624,300.00000000,10.67500019
0.28000000,1.00000000,0.42638114,300.00000000,10.69999981
0.29000000,1.00000000,0.42711055,300.00000000,10.72500038
0.30000000,1.00000000,0.42795163,300.00000000,10.75000000
0.31000000,1.00000000,0.42889294,300.00000000,10.77499962
0.32000000,1.00000000,0.42992425,300.00000000,10.80000019
0.33000000,1.00000000,0.43103647,300.00000000,10.82499981
0.34000000,1.00000000,0.43222150,300.00000000,10.85000038
0.35000000,1.00000000,0.43347210,300.00000000,10.87500000
0.36000000,1.00000000,0.43478182,300.00000000,10.89999962
0.37000000,1.00000000,0.43614492,300.00000000,10.92500019
0.38000000,1.00000000,0.43755630,300.00000000,10.94999981
0.39000000,1.00000000,0.43901139,300.00000000,10.97500038
