"time","v_0_out","v_1_out"
0,0,0
0.001,-1985229329,19088743
0.002,-1985229329,19088743
0.003,310909986,19088743
0.004,310909986,19088743
0.005,310909986,-1927703240
0.006,310909986,-1927703240
0.007,-454491787,-1927703240
0.008,-454491787,-1927703240
0.009,-454491787,-2086319893
0.01,-454491787,-2086319893
0.011,-22134794,-2086319893
0.012,-22134794,-2086319893
0.013,-22134794,-1983687908
0.014,-22134794,-1983687908
0.015,-829228346,-1983687908
0.016,-829228346,-1983687908
0.017,-829228346,859325381
0.018,-829228346,859325381
0.019,1080000396,859325381
0.02,1080000396,859325381
0.021,1080000396,767493643
0.022,1080000396,767493643
0.023,1651811881,767493643
0.024,1651811881,767493643
0.025,1651811881,2081317392
0.026,1651811881,2081317392
0.027,-795757424,2081317392
0.028,-795757424,2081317392
0.029,-795757424,-1954631868
0.03,-795757424,-1954631868
0.031,707317894,-1954631868
0.032,707317894,-1954631868
0.033,707317894,1450436975
0.034,707317894,1450436975
0.035,1537290009,1450436975
0.036,1537290009,1450436975
0.037,1537290009,-1774913310
0.038,1537290009,-1774913310
0.039,-1196037300,-1774913310
0.04,-1196037300,-1774913310
0.041,-1196037300,619421871
0.042,-1196037300,619421871
0.043,1982153947,619421871
0.044,1982153947,619421871
0.045,1982153947,747101900
0.046,1982153947,747101900
0.047,-1604556727,747101900
0.048,-1604556727,747101900
0.049,-1604556727,-738319534
0.05,-1604556727,-738319534
0.051,-1417028774,-738319534
0.052,-1417028774,-738319534
0.053,-1417028774,1229747804
0.054,-1417028774,1229747804
0.055,1869010026,1229747804
0.056,1869010026,1229747804
0.057,1869010026,663630422
0.058,1869010026,663630422
0.059,1393484721,663630422
0.06,1393484721,663630422
0.061,1393484721,-1928961844
0.062,1393484721,-1928961844
0.063,-1938834061,-1928961844
0.064,-1938834061,-1928961844
0.065,-1938834061,1185545235
0.066,-1938834061,1185545235
0.067,1557180117,1185545235
0.068,1557180117,1185545235
0.069,1557180117,2021711828
0.07,1557180117,2021711828
0.071,-310745563,2021711828
0.072,-310745563,2021711828
0.073,-310745563,97767889
0.074,-310745563,97767889
0.075,-960585279,97767889
0.076,-960585279,97767889
0.077,-960585279,-341787460
0.078,-960585279,-341787460
0.079,1080331414,-341787460
0.08,1080331414,-341787460
0.081,1080331414,-1472014149
0.082,1080331414,-1472014149
0.083,302293227,-1472014149
0.084,302293227,-1472014149
0.085,302293227,-412977217
0.086,302293227,-412977217
0.087,1740919957,-412977217
0.088,1740919957,-412977217
0.089,1740919957,-1155461859
0.09,1740919957,-1155461859
0.091,-1372584041,-1155461859
0.092,-1372584041,-1155461859
0.093,-1372584041,-1716300520
0.094,-1372584041,-1716300520
0.095,567045871,-1716300520
0.096,567045871,-1716300520
0.097,567045871,1906741695
0.098,567045871,1906741695
0.099,491190116,1906741695
0.1,491190116,1906741695
0.101,491190116,1888652316
0.102,491190116,1888652316
0.103,451465882,1888652316
0.104,451465882,1888652316
0.105,451465882,1579712937
0.106,451465882,1579712937
0.107,-1360547945,1579712937
0.108,-1360547945,1579712937
0.109,-1360547945,814499712
0.11,-1360547945,814499712
0.111,-1448477737,814499712
0.112,-1448477737,814499712
0.113,-1448477737,-784390616
0.114,-1448477737,-784390616
0.115,-1189155381,-784390616
0.116,-1189155381,-784390616
0.117,-1189155381,-2089328913
0.118,-1189155381,-2089328913
0.119,45580643,-2089328913
0.12,45580643,-2089328913
0.121,45580643,-1953536272
0.122,45580643,-1953536272
0.123,1891359259,-1953536272
0.124,1891359259,-1953536272
0.125,1891359259,-827870069
0.126,1891359259,-827870069
0.127,-233433190,-827870069
0.128,-233433190,-827870069
0.129,-233433190,1246997554
0.13,-233433190,1246997554
0.131,-2061093636,1246997554
0.132,-2061093636,1246997554
0.133,-2061093636,635883483
0.134,-2061093636,635883483
0.135,-2103981833,635883483
0.136,-2103981833,635883483
0.137,-2103981833,-548124672
0.138,-2103981833,-548124672
0.139,-828298822,-548124672
0.14,-828298822,-548124672
0.141,-828298822,1705935003
0.142,-828298822,1705935003
0.143,-631558331,1705935003
0.144,-631558331,1705935003
0.145,-631558331,-1805080147
0.146,-631558331,-1805080147
0.147,-411655164,-1805080147
0.148,-411655164,-1805080147
0.149,-411655164,-1032677257
0.15,-411655164,-1032677257
0.151,-99948768,-1032677257
0.152,-99948768,-1032677257
0.153,-99948768,2028246453
0.154,-99948768,2028246453
0.155,194431989,2028246453
0.156,194431989,2028246453
0.157,194431989,1648741729
0.158,194431989,1648741729
0.159,-1345719447,1648741729
0.16,-1345719447,1648741729
0.161,-1345719447,1611814414
0.162,-1345719447,1611814414
0.163,-433479696,1611814414
0.164,-433479696,1611814414
0.165,-433479696,-2116625405
0.166,-433479696,-2116625405
0.167,-682220359,-2116625405
0.168,-682220359,-2116625405
0.169,-682220359,-986174272
0.17,-682220359,-986174272
0.171,1636566822,-986174272
0.172,1636566822,-986174272
0.173,1636566822,395212859
0.174,1636566822,395212859
0.175,-1963218874,395212859
0.176,-1963218874,395212859
0.177,-1963218874,-1981629848
0.178,-1963218874,-1981629848
0.179,1946046028,-1981629848
0.18,1946046028,-1981629848
0.181,1946046028,1692851184
0.182,1946046028,1692851184
0.183,-993777795,1692851184
0.184,-993777795,1692851184
0.185,-993777795,-219470641
0.186,-993777795,-219470641
0.187,-630674169,-219470641
0.188,-630674169,-219470641
0.189,-630674169,1485641534
0.19,-630674169,1485641534
0.191,-668323858,1485641534
0.192,-668323858,1485641534
0.193,-668323858,1933280362
0.194,-668323858,1933280362
0.195,-1113007046,1933280362
0.196,-1113007046,1933280362
0.197,-1113007046,974604035
0.198,-1113007046,974604035
0.199,1058508579,974604035
0.2,1058508579,974604035
0.201,1058508579,-417545598
0.202,1058508579,-417545598
0.203,463128008,-417545598
0.204,463128008,-417545598
0.205,463128008,879200676
0.206,463128008,879200676
0.207,-6455635,879200676
0.208,-6455635,879200676
0.209,-6455635,1636483
0.21,-6455635,1636483
0.211,-1102622561,1636483
0.212,-1102622561,1636483
0.213,-1102622561,-1022324816
0.214,-1102622561,-1022324816
0.215,-321333622,-1022324816
0.216,-321333622,-1022324816
0.217,-321333622,-2009263983
0.218,-321333622,-2009263983
0.219,-510241444,-2009263983
0.22,-510241444,-2009263983
0.221,-510241444,568675079
0.222,-510241444,568675079
0.223,838201459,568675079
0.224,838201459,568675079
0.225,838201459,-1996594090
0.226,838201459,-1996594090
0.227,1433766756,-1996594090
0.228,1433766756,-1996594090
0.229,1433766756,1877293355
0.23,1433766756,1877293355
0.231,1981091954,1877293355
0.232,1981091954,1877293355
0.233,1981091954,480111865
0.234,1981091954,480111865
0.235,128683677,480111865
0.236,128683677,480111865
0.237,128683677,678039126
0.238,128683677,678039126
0.239,1096561937,678039126
0.24,1096561937,678039126
0.241,1096561937,302158042
0.242,1096561937,302158042
0.243,-1016921506,302158042
0.244,-1016921506,302158042
0.245,-1016921506,-813878736
0.246,-1016921506,-813878736
0.247,-894654803,-813878736
0.248,-894654803,-813878736
0.249,-894654803,-479881467
0.25,-894654803,-479881467
0.251,-1002942465,-479881467
0.252,-1002942465,-479881467
0.253,-1002942465,1713631483
0.254,-1002942465,1713631483
0.255,-1977508559,1713631483
0.256,-1977508559,1713631483
0.257,-1977508559,-140727922
0.258,-1977508559,-140727922
0.259,-140727922,-1977508559
0.26,-140727922,-1977508559
0.261,1713631483,-1977508559
0.262,1713631483,-1977508559
0.263,1713631483,-1002942465
0.264,1713631483,-1002942465
0.265,-479881467,-1002942465
0.266,-479881467,-1002942465
0.267,-479881467,-894654803
0.268,-479881467,-894654803
0.269,-813878736,-894654803
0.27,-813878736,-894654803
0.271,-813878736,-1016921506
0.272,-813878736,-1016921506
0.273,302158042,-1016921506
0.274,302158042,-1016921506
0.275,302158042,1096561937
0.276,302158042,1096561937
0.277,678039126,1096561937
0.278,678039126,1096561937
0.279,678039126,128683677
0.28,678039126,128683677
0.281,480111865,128683677
0.282,480111865,128683677
