"time","J1_w","J2_w","J3_w","J4_w"
0.0000000000000000E+000,1.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.0000000000000001E-003,9.9716779550359309E+000,2.9999939900366666E-002,0.0000000000000000E+000,0.0000000000000000E+000
6.0000000000000001E-003,9.9459127907189497E+000,5.9999549623549447E-002,0.0000000000000000E+000,0.0000000000000000E+000
9.0000000000000011E-003,9.9229012640260592E+000,8.9998412020736301E-002,0.0000000000000000E+000,0.0000000000000000E+000
1.2000000000000004E-002,9.9026091994217591E+000,1.1999605331026289E-001,0.0000000000000000E+000,0.0000000000000000E+000
1.5000000000000006E-002,9.8849517979401451E+000,1.4999210764144111E-001,0.0000000000000000E+000,0.0000000000000000E+000
1.8000000000000009E-002,9.8698151396685887E+000,1.7998612890880761E-001,0.0000000000000000E+000,0.0000000000000000E+000
2.1000000000000012E-002,9.8570669568992741E+000,2.0997768070793588E-001,0.0000000000000000E+000,0.0000000000000000E+000
2.4000000000000014E-002,9.8465544830151526E+000,2.3996633744612389E-001,0.0000000000000000E+000,0.0000000000000000E+000
2.7000000000000017E-002,9.8381050565817816E+000,2.6995167422867838E-001,0.0000000000000000E+000,0.0000000000000000E+000
3.0000000000000020E-002,9.8315277283087177E+000,2.9993326475104620E-001,0.0000000000000000E+000,0.0000000000000000E+000
3.3000000000000022E-002,9.8266152342909479E+000,3.2991068249136296E-001,0.0000000000000000E+000,0.0000000000000000E+000
3.6000000000000025E-002,9.8231455830367107E+000,3.5988350147335607E-001,0.0000000000000000E+000,0.0000000000000000E+000
3.9000000000000028E-002,9.8208839329171731E+000,3.8985129584040240E-001,0.0000000000000000E+000,0.0000000000000000E+000
4.2000000000000030E-002,9.8195847701162169E+000,4.1981363963847740E-001,0.0000000000000000E+000,0.0000000000000000E+000
4.5000000000000033E-002,9.8189941150420328E+000,4.4977010699192671E-001,0.0000000000000000E+000,0.0000000000000000E+000
4.8000000000000036E-002,9.8188517471973320E+000,4.7972027217276292E-001,0.0000000000000000E+000,0.0000000000000000E+000
5.1000000000000038E-002,9.8188935108733251E+000,5.0966370953714513E-001,0.0000000000000000E+000,0.0000000000000000E+000
5.4000000000000041E-002,9.8188536791821956E+000,5.3959999351400934E-001,0.0000000000000000E+000,0.0000000000000000E+000
5.7000000000000044E-002,9.8184673165383547E+000,5.6952869863812283E-001,0.0000000000000000E+000,0.0000000000000000E+000
6.0000000000000046E-002,9.8174726288013172E+000,5.9944939955990828E-001,0.0000000000000000E+000,0.0000000000000000E+000
6.3000000000000042E-002,9.8156132912498020E+000,6.2936167104121510E-001,0.0000000000000000E+000,0.0000000000000000E+000
6.6000000000000045E-002,9.8126407287466915E+000,6.5926508796102123E-001,0.0000000000000000E+000,0.0000000000000000E+000
6.9000000000000047E-002,9.8083163268803712E+000,6.8915922532527729E-001,0.0000000000000000E+000,0.0000000000000000E+000
7.2000000000000050E-002,9.8024135511670814E+000,7.1904365827267824E-001,0.0000000000000000E+000,0.0000000000000000E+000
7.5000000000000053E-002,9.7947199640121543E+000,7.4891796207933414E-001,0.0000000000000000E+000,0.0000000000000000E+000
7.8000000000000055E-002,9.7850391115963120E+000,7.7878171216505032E-001,0.0000000000000000E+000,0.0000000000000000E+000
8.1000000000000058E-002,9.7731922744636233E+000,8.0863448409983862E-001,0.0000000000000000E+000,0.0000000000000000E+000
8.4000000000000061E-002,9.7590200539340319E+000,8.3847585360980759E-001,0.0000000000000000E+000,0.0000000000000000E+000
