"time","dateOut1","dateOut2"
0,1,1
0.05,1,1
0.1,1,1
0.1501,1,1
0.2001,1,1
0.2501,1,1
0.3001,1,1
0.3501,1,1
0.4001,1,1
0.4501,1,1
0.5001,1,1
0.5501,1,1
0.6001,1,1
0.6501,1,1
0.7001,1,1
0.7501,1,1
0.8001,1,1
0.8501,1,1
0.9001,1,1
0.9501,1,1
1.0001,1,1
1.0501,1,1
1.1001,1,1
1.1501,1,1
1.2001,1,1
1.2501,1,1
1.3001,1,1
1.3501,1,1
1.4001,1,1
1.4501,1,1
1.5001,1,1
1.5501,1,1
1.6001,1,1
1.6501,1,1
1.7001,1,1
1.7501,1,1
1.8001,1,1
1.8501,1,1
1.9001,1,1
1.9501,1,1
2.0001,1,1
2.0501,1,1
2.1,1,1
2.15,1,1
2.2,1,1
2.25,1,1
2.3,1,1
2.35,1,1
2.4,1,1
2.45,1,1
2.5,1,1
2.55,1,1
2.6,1,1
2.65,1,1
2.7,1,1
2.75,1,1
2.8,1,1
2.85,1,1
2.9,1,1
2.95,1,1
3,1,1
3.05,1,1
3.1,1,1
3.15,1,1
3.2,1,1
3.25,1,1
3.3,1,1
3.35,1,1
3.4,1,1
3.45,1,1
3.5,1,1
3.55,1,1
3.6,1,1
3.65,1,1
3.7,1,1
3.75,1,1
3.8,1,1
3.85,1,1
3.9,1,1
3.95,1,1
4,1,1
4.05,1,1
4.1,1,1
4.15,1,1
4.2,1,1
4.25,1,1
4.3,1,1
4.35,1,1
4.4,1,1
4.45,1,1
4.5,1,1
4.55,1,1
4.6,1,1
4.65,1,1
4.7,1,1
4.75,1,1
4.8,1,1
4.85,1,1
4.9,1,1
4.95,1,1
5,1,1
5.05,1,1
5.1,1,1
5.15,1,1
5.2,1,1
5.25,1,1
5.3,1,1
5.35,1,1
5.4,1,1
5.45,1,1
5.5,1,1
5.55,1,1
5.6,1,1
5.65,1,1
5.7,1,1
5.7501,1,1
5.8001,1,1
5.8501,1,1
5.9001,1,1
5.9501,1,1
6.0001,1,1
6.0501,3,3
6.1001,3,3
6.1501,3,3
6.2001,3,3
6.2501,3,3
6.3001,3,3
6.3501,3,3
6.4001,3,3
6.4501,3,3
6.5001,3,3
6.5501,3,3
6.6001,3,3
6.6501,3,3
6.7001,3,3
6.7501,3,3
6.8001,3,3
6.8501,3,3
6.9001,3,3
6.9501,3,3
7.0001,3,3
7.0501,3,3
7.1001,3,3
7.1501,3,3
7.2001,3,3
7.2501,3,3
7.3001,3,3
7.3501,3,3
7.4001,3,3
7.4501,3,3
7.5001,3,3
7.5501,3,3
7.6001,3,3
7.6501,3,3
7.7001,3,3
7.7501,3,3
7.8001,3,3
7.8501,3,3
7.9001,3,3
7.9501,3,3
8.0001,3,3
8.0501,3,3
8.1001,3,3
8.1501,3,3
8.2001,3,3
8.2501,3,3
8.3001,3,3
8.3501,3,3
8.4001,3,3
8.4501,3,3
8.5001,3,3
8.5501,3,3
8.6001,3,3
8.6501,3,3
8.7001,3,3
8.7501,3,3
8.8001,3,3
8.8501,3,3
8.9001,3,3
8.9501,3,3
9.0001,3,3
9.0501,3,3
9.1001,3,3
9.1501,3,3
9.2001,3,3
9.2501,3,3
9.3001,3,3
9.3501,3,3
9.4001,3,3
9.4501,3,3
9.5001,3,3
9.5501,3,3
9.6001,3,3
9.6501,3,3
9.7001,3,3
9.7501,3,3
9.8001,3,3
9.8501,3,3
9.9001,3,3
9.9501,3,3
10.0001,3,3
10.0501,3,3
10.1001,3,3
10.1501,3,3
10.2001,3,3
10.2501,3,3
10.3001,3,3
10.3501,3,3
10.4001,3,3
10.4501,3,3
10.5001,3,3
10.5501,3,3
10.6001,3,3
10.6501,3,3
10.7001,3,3
10.7501,3,3
10.8001,3,3
10.8501,3,3
10.9001,3,3
10.9501,3,3
11.0001,3,3
11.0501,3,3
11.1001,3,3
11.1501,3,3
11.2001,3,3
11.2501,3,3
11.3001,3,3
11.3501,3,3
11.4001,3,3
11.4501,3,3
11.5001,3,3
11.5501,3,3
11.6001,3,3
11.6501,3,3
11.7001,3,3
11.7501,3,3
11.8001,3,3
11.8501,3,3
11.9001,3,3
11.9501,3,3
12.0001,3,3
12.0501,3,3
12.1001,3,3
12.1501,3,3
12.2001,3,3
12.2501,3,3
12.3001,3,3
12.3501,3,3
12.4001,3,3
12.4501,3,3
12.5001,3,3
12.5501,3,3
12.6001,3,3
12.6501,3,3
12.7001,3,3
12.7501,3,3
12.8001,3,3
12.8501,3,3
12.9001,3,3
12.9501,3,3
13.0001,3,3
13.0501,4,3
13.1001,4,3
13.1501,4,3
13.2001,4,3
13.2501,4,3
13.3001,4,3
13.3501,4,3
13.4001,4,3
13.4501,4,3
13.5001,4,3
13.5501,4,3
13.6001,4,3
13.6501,4,3
13.7001,4,3
13.7501,4,3
13.8001,4,3
13.8501,4,3
13.9001,4,3
13.9501,4,3
14.0001,4,3
14.0501,4,3
14.1001,4,3
14.1501,4,3
14.2001,4,3
14.2501,4,3
14.3001,4,3
14.3501,4,3
14.4001,4,3
14.4501,4,3
14.5001,4,3
14.5501,4,3
14.6001,4,3
14.6501,4,3
14.7001,4,3
14.7501,4,3
14.8001,4,3
14.8501,4,3
14.9001,4,3
14.9501,4,3
15.0001,4,3
