"time","lca@PUMP01","x1@INJ01","q@INJ01","volume@INJ01","p1@PUMP01","pa@DVALV01","sacp@INJ01"
0,0,1E-09,0,0,2.5,10,50
1.6E-05,2.51873E-08,1E-09,-9.83136E-09,-2.85052E-15,2.5,9.93591,50
3.2E-05,7.48078E-08,1E-09,-9.83161E-09,-6.22604E-15,2.50001,9.96419,50
4.8E-05,1.17361E-07,1E-09,-9.83161E-09,-8.19236E-15,2.50001,9.93989,50
6.4E-05,1.86016E-07,1E-09,-9.83161E-09,-1.04864E-14,2.50008,9.96161,50
8E-05,2.88348E-07,1E-09,-9.83161E-09,-1.31082E-14,2.50003,9.95276,50
9.6E-05,4.46606E-07,1E-09,-9.83159E-09,-1.60576E-14,2.50015,9.96125,50
0.000112,6.80337E-07,1E-09,-9.8316E-09,-1.93349E-14,2.50019,9.95704,50
0.000128,8.52994E-07,1E-09,-9.8316E-09,-2.13012E-14,2.50032,9.96132,50
0.000144,1.09426E-06,1E-09,-9.8316E-09,-2.35952E-14,2.50037,9.96315,50
0.00016,1.41296E-06,1E-09,-9.83161E-09,-2.6217E-14,2.50056,9.96245,50
0.000176,1.83274E-06,1E-09,-9.83158E-09,-2.91665E-14,2.50069,9.96579,50
0.000192,2.36197E-06,1E-09,-9.83162E-09,-3.24437E-14,2.50091,9.96725,50
0.000208,2.70793E-06,1E-09,-9.8316E-09,-3.441E-14,2.501,9.96899,50
0.000224,3.13987E-06,1E-09,-9.8316E-09,-3.6704E-14,2.50114,9.96929,50
0.00024,3.66056E-06,1E-09,-9.83161E-09,-3.93258E-14,2.50129,9.97163,50
0.000256,4.28279E-06,1E-09,-9.8316E-09,-4.22753E-14,2.50143,9.9725,50
0.000272,5.00887E-06,1E-09,-9.83161E-09,-4.55525E-14,2.50157,9.97437,50
0.000288,5.45938E-06,1E-09,-9.83161E-09,-4.75188E-14,2.50166,9.97515,50
0.000304,6.0011E-06,1E-09,-9.83161E-09,-4.98128E-14,2.50175,9.97639,50
0.00032,6.63793E-06,1E-09,-9.8316E-09,-5.24346E-14,2.50188,9.97739,50
0.000336,7.38277E-06,1E-09,-9.83161E-09,-5.53841E-14,2.50203,9.97855,50
0.000352,8.24429E-06,1E-09,-9.83161E-09,-5.86613E-14,2.50221,9.97971,50
0.000368,8.77875E-06,1E-09,-9.83162E-09,-6.06276E-14,2.50233,9.98034,50
0.000384,9.4225E-06,1E-09,-9.83162E-09,-6.29217E-14,2.50248,9.98103,50
0.0004,1.01803E-05,1E-09,-9.83162E-09,-6.55434E-14,2.50266,9.98178,50
0.000416,1.10678E-05,1E-09,-9.83162E-09,-6.84929E-14,2.50288,9.98255,50
0.000432,1.20948E-05,1E-09,-9.83164E-09,-7.17701E-14,2.50314,9.98336,50
0.000448,1.27312E-05,1E-09,-9.83164E-09,-7.37364E-14,2.5033,9.98383,50
0.000464,1.34958E-05,1E-09,-9.83166E-09,-7.60305E-14,2.50349,9.98435,50
0.00048,1.43927E-05,1E-09,-9.83169E-09,-7.86523E-14,2.50371,9.98493,50
0.000496,1.54368E-05,1E-09,-9.83174E-09,-8.16018E-14,2.50396,9.98557,50
0.000512,1.66361E-05,1E-09,-9.83181E-09,-8.48791E-14,2.50425,9.98627,50
0.000528,1.7375E-05,1E-09,-9.83187E-09,-8.68454E-14,2.50442,9.98668,50
0.000544,1.82581E-05,1E-09,-9.83195E-09,-8.91395E-14,2.50463,9.98715,50
0.00056,1.92894E-05,1E-09,-9.83206E-09,-9.17614E-14,2.50487,9.98768,50
0.000576,2.04832E-05,1E-09,-9.83221E-09,-9.47111E-14,2.50515,9.98827,50
0.000592,2.18474E-05,1E-09,-9.83246E-09,-9.79885E-14,2.50547,9.98891,50
0.000608,2.26848E-05,1E-09,-9.83263E-09,-9.9955E-14,2.50566,9.98928,50
0.000624,2.36826E-05,1E-09,-9.83285E-09,-1.02249E-13,2.5059,9.98971,50
0.00064,2.48448E-05,1E-09,-9.83317E-09,-1.04871E-13,2.50617,9.99018,50
0.000656,2.61858E-05,1E-09,-9.83359E-09,-1.07821E-13,2.50648,9.99068,50
0.000672,2.77138E-05,1E-09,-9.83414E-09,-1.11099E-13,2.50684,9.99121,50
0.000688,2.86494E-05,1E-09,-9.83451E-09,-1.13066E-13,2.50706,9.99151,50
0.000704,2.97619E-05,1E-09,-9.835E-09,-1.15361E-13,2.50732,9.99184,50
0.00072,3.10553E-05,1E-09,-9.83561E-09,-1.17984E-13,2.50762,9.9922,50
0.000736,3.25445E-05,1E-09,-9.8364E-09,-1.20935E-13,2.50798,9.99257,50
0.000752,3.4238E-05,1E-09,-9.83734E-09,-1.24214E-13,2.50838,9.99296,50
0.000768,3.52736E-05,1E-09,-9.83793E-09,-1.26181E-13,2.50863,9.99317,50
0.000784,3.65035E-05,1E-09,-9.83868E-09,-1.28477E-13,2.50893,9.9934,50
0.0008,3.7932E-05,1E-09,-9.83959E-09,-1.31101E-13,2.50928,9.99366,50
0.000816,3.95745E-05,1E-09,-9.84062E-09,-1.34053E-13,2.50969,9.99392,50
0.000832,4.14401E-05,1E-09,-9.84178E-09,-1.37333E-13,2.51016,9.9942,50
0.000848,4.25795E-05,1E-09,-9.84247E-09,-1.39302E-13,2.51044,9.99436,50
0.000864,4.39303E-05,1E-09,-9.84326E-09,-1.41598E-13,2.51076,9.99454,50
0.00088,4.54963E-05,1E-09,-9.84415E-09,-1.44223E-13,2.51112,9.99474,50
0.000896,4.72906E-05,1E-09,-9.84506E-09,-1.47177E-13,2.51152,9.99496,50
0.000912,4.93198E-05,1E-09,-9.84596E-09,-1.50459E-13,2.51196,9.9952,50
