"time","freqHz","T2","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","J1.phi","J1.w"
0,0.2,0.4,0,-10,0,0,0,0,0,10
0.01,0.2,0.4,-0.099052112543827,-9.8155835208046,-0.00049999493004623,-0.099997836744957,0,0,0.099552107473873,9.9155813575495
0.02,0.2,0.4,-0.1964108734064,-9.6608300116138,-0.0019999074348085,-0.19998088336835,0,0,0.19841078084121,9.8608108949821
0.03,0.2,0.4,-0.29235321960052,-9.531345326248,-0.0044995106681457,-0.29993335137248,0,0,0.29685273026867,9.8312786776205
0.04,0.2,0.4,-0.38709933870476,-9.4202678072344,-0.007998419920536,-0.39983945710399,0,0,0.39509775862529,9.8201072643384
0.05,0.2,0.4,-0.48079119087238,-9.3189430372895,-0.012496092680453,-0.49968342423063,0,0,0.49328728355283,9.8186264615201
0.06,0.2,0.4,-0.57347871882078,-9.217774077594,-0.017991828720033,-0.59944948623255,0,0,0.59147054754081,9.8172235638265
0.07,0.2,0.4,-0.66511509595555,-9.1071639647244,-0.024484770205652,-0.69912188889204,0,0,0.6895998661612,9.8062858536164
0.08,0.2,0.4,-0.75556147775429,-8.9784582075884,-0.031973901833387,-0.79868489278129,0,0,0.78753537958768,9.7771431003697
0.09,0.2,0.4,-0.84460079128531,-8.8247950257114,-0.040458050989341,-0.8981227757478,0,0,0.88505884227465,9.7229178014592
0.1,0.2,0.4,-0.93195921301543,-8.6417801011403,-0.049935887934815,-0.99741983539714,0,0,0.98189510095025,9.6391999365374
0.11,0.2,0.4,-1.0173330685687,-8.427917732378,-0.060405994011175,-1.0965603799522,0,0,1.0777390625798,9.5244781123302
0.12,0.2,0.4,-1.1004194595124,-8.1847685029019,-0.071866589716309,-1.1955287766895,0,0,1.1722860492287,9.3802972795914
0.13,0.2,0.4,-1.1809453714149,-7.9167872642572,-0.084315943459314,-1.2943093862536,0,0,1.2652613148742,9.2110966505108
0.14,0.2,0.4,-1.2586952993448,-7.6308984158061,-0.097752099349711,-1.392886610041,0,0,1.3564473986945,9.0237850258471
0.15,0.2,0.4,-1.3335325925391,-7.3358190319279,-0.11217294566952,-1.4912448815653,0,0,1.4457055382086,8.8270639134932
0.16,0.2,0.4,-1.4054132434842,-7.0412086166399,-0.12757621520674,-1.5893686689154,0,0,1.5329894586909,8.6305772855553
0.17,0.2,0.4,-1.4743906388232,-6.75672659988,-0.14395948561334,-1.6872424772076,0,0,1.6183501244365,8.4439690770876
0.18,0.2,0.4,-1.5406108069667,-6.4910898338041,-0.1613201797878,-1.7848508510331,0,0,1.7019309867545,8.2759406848372
0.19,0.2,0.4,-1.6042986275301,-6.2512223474482,-0.17965556628205,-1.8821783768982,0,0,1.7839541938122,8.1334007243464
0.2,0.2,0.4,-1.6657361318836,-6.041584217821,-0.19896287035711,-1.9792096506952,0,0,1.8646990022407,8.0207938685161
0.21,0.2,0.4,-1.7252363568412,-5.8637238234849,-0.21923883159188,-2.0759294199816,0,0,1.944475188433,7.9396532434665
0.22,0.2,0.4,-1.7831119109128,-5.716150346206,-0.24048036915772,-2.1723223766218,0,0,2.0235922800705,7.8884727228277
0.23,0.2,0.4,-1.8396459638443,-5.5944685208654,-0.26268413877633,-2.2683732990503,0,0,2.1023301026207,7.8628418199157
0.24,0.2,0.4,-1.8950649247998,-5.4918154804161,-0.28584664422184,-2.3640670197132,0,0,2.1809115690217,7.8558825001293
0.25,0.2,0.4,-1.9495169632212,-5.3995355057468,-0.30996423787288,-2.4593884274625,0,0,2.259481201094,7.8589239332093
0.26,0.2,0.4,-2.0030582179276,-5.3080302613737,-0.33503312128856,-2.554322469943,0,0,2.3380913392161,7.8623527313167
0.27,0.2,0.4,-2.0556480442931,-5.2077012894973,-0.36104934580833,-2.648854155969,0,0,2.4166973901014,7.8565554454663
0.28,0.2,0.4,-2.1071537646236,-5.0898925040777,-0.38800881317549,-2.7429685578912,0,0,2.4951625777991,7.8328610619689
0.29,0.2,0.4,-2.1573644566113,-4.9477404265765,-0.41590727618436,-2.8366508139547,0,0,2.5732717327956,7.7843912405312
0.3,0.2,0.4,-2.2060124300304,-4.7768489359074,-0.44474033935095,-2.9298861306452,0,0,2.6507527693813,7.7067350665527
0.31,0.2,0.4,-2.2528001345192,-4.5757203167777,-0.47450352608522,-3.0226597514032,0,0,2.7273036606045,7.5983800681808
0.32,0.2,0.4,-2.2974307559972,-4.3459131967075,-0.50519201315972,-3.1149570934376,0,0,2.8026227691569,7.4608702901451
0.33,0.2,0.4,-2.339637352323,-4.0918802674543,-0.53680103132762,-3.2067635483059,0,0,2.8764383836506,7.2986438157602
0.34,0.2,0.4,-2.3792104696315,-3.8205437257803,-0.56932559916522,-3.2980646187047,0,0,2.9485360687967,7.118608344485
0.35,0.2,0.4,-2.4160194857231,-3.5406183480872,-0.6027605906729,-3.3888458871366,0,0,3.018780076396,6.9294642352238
0.36,0.2,0.4,-2.4500263981922,-3.2617612453987,-0.63710073608461,-3.4790930181868,0,0,3.0871271342768,6.7408542635856
0.37,0.2,0.4,-2.4812905743866,-2.9936293600223,-0.67234062269999,-3.5687917607873,0,0,3.1536311970866,6.5624211208096
0.38,0.2,0.4,-2.5099639980738,-2.7449369622385,-0.70847469573912,-3.6579279504668,0,0,3.218438693813,6.4028649127052
0.39,0.2,0.4,-2.5362774779377,-2.5226054053712,-0.74549725921966,-3.7464875115875,0,0,3.2817747371573,6.2690929169587
0.4,0.2,0.4,-2.5605190459518,-2.3310906036856,-0.78340253754327,-3.8344564181244,0,0,3.3439215834951,6.16554702181
0.41,0.2,0.4,-2.5835074009488,-2.2719408609633,-0.82118443325549,-3.7218208616561,-0.00050000000321193,-0.099999999999682,3.4051918342075,6.0937617226191
0.42,0.2,0.4,-2.6060611091661,-2.2436610105466,-0.85783689335268,-3.6085670048651,-0.0020000000032085,-0.19999999999967,3.4658980025219,6.0522280154114
0.43,0.2,0.4,-2.6284691556946,-2.2418530214719,-0.89335365367801,-3.4946811425406,-0.0045000110262766,-0.29999999999966,3.5263228203989,6.0365341640122
0.44,0.2,0.4,-2.6509637342504,-2.2596503269203,-0.9277283512613,-3.3801496902546,-0.0080000110262728,-0.39999999999965,3.586692096538,6.0398000171746
0.45,0.2,0.4,-2.6736987642641,-2.2883942591875,-0.9609544500541,-3.2649591445357,-0.012500011026269,-0.49999999999964,3.6471532253444,6.0533534037229
0.46,0.2,0.4,-2.6967361036409,-2.3184831628708,-0.99302529207252,-3.1490961129881,-0.018000011026264,-0.59999999999963,3.7077614067396,6.0675792758585
