"Time","Out1","Out2","Out3[1]","Out3[2]","Out4","Out5","Out6"
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.1,0,0,0,0,0.0998334,0,0
0.2,0.00998334,0.0199667,0,0.00998334,0.208653,0.00998334,0.00998334
0.3,0.0298503,0.0597005,0.000998334,0.0298503,0.326369,0.0288519,0.0278536
0.4,0.0594023,0.118805,0.00398336,0.0594023,0.452904,0.0555188,0.0516352
0.5,0.0983441,0.196688,0.00992359,0.0983441,0.588201,0.0889087,0.0794733
0.6,0.146287,0.292573,0.019758,0.146287,0.732238,0.12796,0.109634
0.7,0.202751,0.405502,0.0343867,0.202751,0.885038,0.171629,0.140506
0.8,0.267173,0.534345,0.0546618,0.267173,1.04668,0.218888,0.170602
0.9,0.338908,0.677817,0.081379,0.338908,1.21732,0.268734,0.19856
1,0.417241,0.834482,0.11527,0.417241,1.39719,0.320194,0.223146
1.1,0.501388,1,0.156994,0.501388,1.58665,0.372321,0.243255
1.2,0.590509,1,0.207133,0.590509,1.78615,0.42421,0.257911
1.3,0.683713,1,0.266184,0.683713,1.99628,0.474993,0.266273
1.4,0.780069,1,0.334555,0.780069,2.2178,0.523849,0.26763
1.5,0.878614,1,0.412562,0.878614,2.45163,0.570009,0.261405
1.6,0.978363,1,0.500423,0.978363,2.69887,0.612758,0.247153
1.7,1.07832,1,0.598259,1.07832,2.96084,0.65144,0.224559
1.8,1.17749,1,0.706091,1.17749,3.23911,0.685462,0.193437
1.9,1.27487,1,0.82384,1.27487,3.53548,0.714301,0.15373
2,1.3695,1,0.951327,1.3695,3.85202,0.737501,0.1055
2.1,1.46043,1,1.08828,1.46043,4.19113,0.75468,0.0489291
2.2,1.54675,1,1.23432,1.54675,4.55554,0.765533,-0.015686
2.3,1.6276,1,1.389,1.6276,4.9483,0.769829,-0.087943
2.4,1.70217,1,1.55176,1.70217,5.37289,0.767417,-0.167338
2.5,1.76972,1,1.72197,1.76972,5.83318,0.758222,-0.253275
2.6,1.82957,1,1.89895,1.82957,6.33353,0.742247,-0.345073
2.7,1.88112,1,2.0819,1.88112,6.87876,0.719572,-0.441972
2.8,1.92385,1,2.27001,1.92385,7.47425,0.690353,-0.543148
2.9,1.95735,1,2.4624,1.95735,8.12593,0.654816,-0.64772
3,1.98128,1,2.65813,1.98128,8.8404,0.61326,-0.754758
3.1,1.99539,1,2.85626,1.99539,9.6249,0.566046,-0.863298
3.2,1.99955,1,3.0558,1.99955,10.4874,0.513599,-0.972349
3.3,1.99371,0.988325,3.25576,1.99371,11.4368,0.456402,-1.08091
3.4,1.97794,0.956776,3.45513,1.97794,12.4827,0.394987,-1.18796
3.5,1.95238,0.905668,3.65292,1.95238,13.6357,0.329934,-1.29251
3.6,1.9173,0.835511,3.84816,1.9173,14.9075,0.261863,-1.39358
3.7,1.87305,0.747007,4.03989,1.87305,16.311,0.191424,-1.4902
3.8,1.82007,0.64104,4.22719,1.82007,17.8601,0.119298,-1.58147
3.9,1.75888,0.518668,4.4092,1.75888,19.5702,0.0461826,-1.66652
4,1.69011,0.381115,4.58509,1.69011,21.4581,-0.0272123,-1.74453
4.1,1.61443,0.229755,4.7541,1.61443,23.5425,-0.100171,-1.81477
4.2,1.5326,0.0660991,4.91554,1.5326,25.8434,-0.171982,-1.87656
4.3,1.44544,0,5.0688,1.44544,28.3832,-0.241941,-1.92932
4.4,1.35382,0,5.21335,1.35382,31.1861,-0.309364,-1.97255
4.5,1.25866,0,5.34873,1.25866,34.2787,-0.373588,-2.00584
4.6,1.16091,0,5.47459,1.16091,37.6905,-0.433982,-2.02887
4.7,1.06154,0,5.59069,1.06154,41.4533,-0.489953,-2.04145
4.8,0.961549,0,5.69684,0.961549,45.6024,-0.54095,-2.04345
4.9,0.861932,0,5.79299,0.861932,50.1763,-0.586471,-2.03487
5,0.763687,0,5.87919,0.763687,55.2175,-0.626069,-2.01583
5.1,0.667795,0,5.95556,0.667795,60.7723,-0.659355,-1.9865
5.2,0.575213,0,6.02234,0.575213,66.8919,-0.686001,-1.94721
5.3,0.486868,0,6.07986,0.486868,73.6323,-0.705746,-1.89836
5.4,0.403641,0,6.12854,0.403641,81.055,-0.718398,-1.84044
5.5,0.326364,0,6.16891,0.326364,89.2278,-0.723835,-1.77403
5.6,0.25581,0,6.20154,0.25581,98.2248,-0.722006,-1.69982
5.7,0.192684,0,6.22713,0.192684,108.128,-0.712932,-1.61855
5.8,0.137615,0,6.24639,0.137615,119.027,-0.696707,-1.53103
5.9,0.091155,0,6.26016,0.091155,131.02,-0.673497,-1.43815
6,0.0537673,0,6.26927,0.0537673,144.217,-0.643535,-1.34084
6.1,0.0258257,0,6.27465,0.0258257,158.736,-0.607123,-1.24007
6.2,0.00760949,0,6.27723,0.00760949,174.708,-0.564627,-1.13686
6.3,-0.000699449,0,6.27799,-0.000699449,192.279,-0.516473,-1.03225
6.4,0.000981941,0.00336278,6.27792,0.000981941,211.606,-0.463144,-0.92727
6.5,0.0126369,0.0266726,6.27802,0.0126369,232.866,-0.405175,-0.822987
6.6,0.0341489,0.0696966,6.27928,0.0341489,256.249,-0.343145,-0.72044
6.7,0.065303,0.132005,6.2827,0.065303,281.967,-0.277677,-0.620656
6.8,0.105788,0.212975,6.28923,0.105788,310.253,-0.209424,-0.524636
6.9,0.155199,0.311798,6.29981,0.155199,341.362,-0.13907,-0.43334
7,0.213043,0.427485,6.31533,0.213043,375.577,-0.0673193,-0.347682
7.1,0.278742,0.558883,6.33663,0.278742,413.207,0.00511128,-0.268519
7.2,0.351639,0.704677,6.36451,0.351639,454.592,0.0774971,-0.196645
7.3,0.431006,0.86341,6.39967,0.431006,500.108,0.149114,-0.132777
7.4,0.516049,1,6.44277,0.516049,550.167,0.219246,-0.0775565
7.5,0.60592,1,6.49437,0.60592,605.223,0.287193,-0.031535
7.6,0.69972,1,6.55497,0.69972,665.776,0.352273,0.00482648
7.7,0.796512,1,6.62494,0.796512,732.374,0.413838,0.0311638
7.8,0.895329,1,6.70459,0.895329,805.621,0.471271,0.047213
7.9,0.995183,1,6.79412,0.995183,886.184,0.523998,0.0528132
8,1.09508,1,6.89364,1.09508,974.793,0.571493,0.0479077
8.1,1.19401,1,7.00315,1.19401,1072.25,0.613279,0.032545
8.2,1.291,1,7.12255,1.291,1179.45,0.64894,0.00687814
8.3,1.38508,1,7.25165,1.38508,1297.35,0.678119,-0.0288368
8.4,1.47529,1,7.39016,1.47529,1427.04,0.700524,-0.0742435
8.5,1.56075,1,7.53769,1.56075,1569.69,0.715932,-0.128888
8.6,1.6406,1,7.69376,1.6406,1726.6,0.724187,-0.192226
8.7,1.71404,1,7.85782,1.71404,1899.18,0.725208,-0.263624
8.8,1.78034,1,8.02923,1.78034,2089.02,0.718984,-0.342369
8.9,1.83883,1,8.20726,1.83883,2297.84,0.705578,-0.427674
9,1.88893,1,8.39114,1.88893,2527.54,0.685122,-0.518687
9.1,1.93014,1,8.58004,1.93014,2780.2,0.657822,-0.6145
9.2,1.96205,1,8.77305,1.96205,3058.12,0.623949,-0.714154
9.3,1.98434,1,8.96926,1.98434,3363.84,0.583843,-0.816655
9.4,1.99679,1,9.16769,1.99679,3700.12,0.537905,-0.920979
9.5,1.99927,1,9.36737,1.99927,4070.03,0.486592,-1.02608
9.6,1.99175,0.98497,9.5673,1.99175,4476.94,0.430417,-1.13092
9.7,1.97432,0.950104,9.76647,1.97432,4924.53,0.369943,-1.23443
9.8,1.94714,0.895752,9.9639,1.94714,5416.89,0.305773,-1.3356
9.9,1.91049,0.822456,10.1586,1.91049,5958.49,0.238547,-1.4334
10,1.86474,0.730949,10.3497,1.86474,6554.25,0.168939,-1.52686
