"Time","step2","J1_w","J2_w","J3_w","J4_w"
0.000000000000000E+00,0.000000000000000E+00,1.000000000000000E+01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
1.000000000000000E-02,0.000000000000000E+00,9.915573589276899E+00,9.999749121072000E-02,4.440892098500600E-16,4.444520767315000E-16
2.000000000000000E-02,0.000000000000000E+00,9.860838107884000E+00,1.999799832846600E-01,4.080069615497500E-15,4.080526341790600E-15
3.000000000000000E-02,0.000000000000000E+00,9.831324714614899E+00,2.999319217764300E-01,-1.443289932012700E-15,-1.442655566522800E-15
4.000000000000000E-02,0.000000000000000E+00,9.820136173683300E+00,3.998373605450400E-01,-3.330669073875500E-16,-3.323481591074300E-16
5.000000000000000E-02,0.000000000000000E+00,9.818666727404000E+00,4.996794514822700E-01,-3.885780586188000E-16,-3.878047231615600E-16
6.000000000000000E-02,0.000000000000000E+00,9.817044879879401E+00,5.994432078965600E-01,-2.997602166487900E-15,-2.996945884429000E-15
7.000000000000001E-02,0.000000000000000E+00,9.805668098937501E+00,6.991129679326800E-01,1.554312234475200E-15,1.554885052403500E-15
8.000000000000000E-02,0.000000000000000E+00,9.776323851678400E+00,7.986750323087300E-01,-6.661338147750900E-16,-6.657197994913700E-16
9.000000000000000E-02,0.000000000000000E+00,9.721899251763899E+00,8.981119847432300E-01,-4.440892098500600E-16,-4.438907356195200E-16
1.000000000000000E-01,0.000000000000000E+00,9.637992204253299E+00,9.974079690024700E-01,2.109423746787800E-15,2.109295765369600E-15
1.100000000000000E-01,0.000000000000000E+00,9.523124564399099E+00,1.096547307374600E+00,2.220446049250300E-15,2.219831534134100E-15
1.200000000000000E-01,0.000000000000000E+00,9.378862802010900E+00,1.195514332880600E+00,2.220446049250300E-15,2.219749578735700E-15
1.300000000000000E-01,0.000000000000000E+00,9.209634646165799E+00,1.294293495540800E+00,2.220446049250300E-16,2.213111758491500E-16
1.400000000000000E-01,0.000000000000000E+00,9.022320817658100E+00,1.392869077266000E+00,-6.661338147750900E-16,-6.669520733622700E-16
1.500000000000000E-01,0.000000000000000E+00,8.825605797033100E+00,1.491222185601500E+00,-2.664535259100400E-15,-2.665393900482100E-15
1.600000000000000E-01,0.000000000000000E+00,8.629331828915200E+00,1.589340550254300E+00,-3.552713678800500E-15,-3.553550651163400E-15
1.700000000000000E-01,0.000000000000000E+00,8.442884086555100E+00,1.687212325738100E+00,0.000000000000000E+00,-8.107570196138300E-19
1.800000000000000E-01,0.000000000000000E+00,8.275026671953199E+00,1.784819031172900E+00,-8.881784197001300E-16,-8.889766341908199E-16
1.900000000000000E-01,0.000000000000000E+00,8.132653390749800E+00,1.882145024663200E+00,-2.220446049250300E-15,-2.220968842415100E-15
2.000000000000000E-01,0.000000000000000E+00,8.020207489365600E+00,1.979174627670900E+00,1.110223024625200E-15,1.109827784075900E-15
2.100000000000000E-01,0.000000000000000E+00,7.939232661582300E+00,2.075892002162900E+00,8.881784197001300E-16,8.881951939926901E-16
2.200000000000000E-01,0.000000000000000E+00,7.888115486665400E+00,2.172282532450100E+00,0.000000000000000E+00,1.726449468945900E-19
2.300000000000000E-01,0.000000000000000E+00,7.862485311595400E+00,2.268331360950600E+00,-2.220446049250300E-15,-2.220094447925400E-15
2.400000000000000E-01,0.000000000000000E+00,7.855484109079000E+00,2.364022519877700E+00,-3.108624468950400E-15,-3.108273100629300E-15
2.500000000000000E-01,0.000000000000000E+00,7.858531172448300E+00,2.459336329347300E+00,-4.884981308350700E-15,-4.884593305947900E-15
2.600000000000000E-01,0.000000000000000E+00,7.861782638633400E+00,2.554261345502600E+00,-4.884981308350700E-15,-4.884650829760900E-15
2.700000000000000E-01,0.000000000000000E+00,7.855629230663500E+00,2.648784815753700E+00,-4.884981308350700E-15,-4.884719922988700E-15
2.800000000000000E-01,0.000000000000000E+00,7.831778437549300E+00,2.742896804398700E+00,-3.552713678800500E-15,-3.552527281514200E-15
2.900000000000000E-01,0.000000000000000E+00,7.783155795716900E+00,2.836576938491600E+00,-2.220446049250300E-15,-2.220614403941200E-15
3.000000000000000E-01,0.000000000000000E+00,7.705321709846700E+00,2.929809588198700E+00,-4.440892098500600E-16,-4.445383034852000E-16
