time,Out1[1],Out1[2],Out2,Out3,Out4,Out5,Out6[1],Out6[2],Out6[3],Out6[4],Out6[5],Out6[6],Out7,Out8.signal1,Out8.signal2,Out9,Out10,Out11
0.0,0.0,0.0,0.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
0.01,0.0,0.00999983333417,0.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00999983333417,0.0,0.0,0.0,6.0
0.02,0.0,0.0199986666933,0.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0199986666933,0.0,0.0,0.0,6.0
0.03,0.0,0.0299955002025,0.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0299955002025,0.0,0.0,0.0,6.0
0.04,0.0,0.0399893341866,0.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0399893341866,0.0,0.0,0.0,6.0
0.05,0.0,0.0499791692707,0.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0499791692707,0.0,0.0,0.0,6.0
0.06,0.0,0.0599640064794,0.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0599640064794,0.0,0.0,0.0,6.0
0.07,0.0,0.0699428473375,0.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0699428473375,0.0,0.0,0.0,6.0
0.08,0.0,0.0799146939692,0.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0799146939692,0.0,0.0,0.0,6.0
0.09,0.0,0.089878549198,1.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.089878549198,0.0,0.0,0.0,6.0
0.1,0.0,0.0998334166468,1.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0998334166468,0.0,0.0,0.0,6.0
0.11,0.0,0.109778300837,1.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.109778300837,0.0,0.0,0.0199666833294,6.0
0.12,0.0,0.119712207289,1.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.119712207289,0.0,0.0,0.0199666833294,6.0
0.13,0.0,0.12963414262,1.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12963414262,0.0,0.0,0.0199666833294,6.0
0.14,0.0,0.139543114644,1.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.139543114644,0.0,0.0,0.0199666833294,6.0
0.15,0.0,0.149438132474,1.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.149438132474,0.0,0.0,0.0199666833294,6.0
0.16,0.0,0.159318206614,1.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.159318206614,0.0,0.0,0.0199666833294,6.0
0.17,0.0,0.169182349067,2.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.169182349067,0.0,0.0,0.0199666833294,6.0
0.18,0.0,0.179029573426,2.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.179029573426,0.0,0.0,0.0199666833294,6.0
0.19,0.0,0.188858894976,2.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.188858894976,0.0,0.0,0.0199666833294,6.0
0.2,0.0,0.198669330795,2.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.198669330795,0.0,0.0,0.0199666833294,6.0
0.21,0.0,0.208459899846,2.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.208459899846,0.0,0.0,0.039733866159,6.0
0.22,0.0,0.218229623081,2.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.218229623081,0.0,0.0,0.039733866159,6.0
0.23,0.0,0.227977523535,2.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.227977523535,0.0,0.218229623081,0.039733866159,6.0
0.24,0.0,0.237702626427,2.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.237702626427,0.0,0.218229623081,0.039733866159,6.0
0.25,0.0,0.247403959255,2.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.247403959255,0.0,0.218229623081,0.039733866159,6.0
0.26,0.0,0.257080551892,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.257080551892,0.0,0.218229623081,0.039733866159,6.0
0.27,0.0,0.266731436689,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.266731436689,0.0,0.218229623081,0.039733866159,6.0
0.28,0.0,0.276355648564,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.276355648564,0.0,0.218229623081,0.039733866159,6.0
0.29,0.0,0.285952225105,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.285952225105,0.0,0.218229623081,0.039733866159,6.0
0.3,0.0,0.295520206661,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.295520206661,0.0,0.218229623081,0.039733866159,6.0
0.31,0.0,0.305058636443,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.295520206661,0.305058636443,0.0,0.218229623081,0.0591040413322,6.0
0.32,0.0,0.314566560616,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.295520206661,0.314566560616,0.0,0.218229623081,0.0591040413322,6.0
0.33,0.0,0.324043028395,3.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.295520206661,0.324043028395,0.0,0.218229623081,0.0591040413322,6.0
0.34,0.0,0.333487092141,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.295520206661,0.333487092141,0.0,0.218229623081,0.0591040413322,6.0
0.35,0.0,0.342897807455,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.295520206661,0.342897807455,0.0,0.218229623081,0.0591040413322,6.0
0.36,0.0,0.352274233275,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.295520206661,0.352274233275,0.0,0.218229623081,0.0591040413322,6.0
0.37,0.0,0.361615431965,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.295520206661,0.361615431965,0.0,0.218229623081,0.0591040413322,6.0
0.38,0.0,0.370920469413,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.295520206661,0.370920469413,0.0,0.218229623081,0.0591040413322,6.0
0.39,0.0,0.380188415123,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.295520206661,0.380188415123,0.0,0.218229623081,0.0591040413322,6.0
0.4,0.0,0.389418342309,4.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.295520206661,0.389418342309,0.0,0.218229623081,0.0591040413322,6.0
