time,Capacitor1.v,IdealDiode3.off
0.0,282.842712475,1.0
1e-06,282.826017525,1.0
2e-06,282.809322576,1.0
3e-06,282.792627629,1.0
4e-06,282.775932684,1.0
6e-06,282.742542799,1.0
7e-06,282.725847859,1.0
8e-06,282.709152921,1.0
9e-06,282.692457984,1.0
1.1e-05,282.659068115,1.0
1.2e-05,282.642373184,1.0
1.3e-05,282.625678253,1.0
1.4e-05,282.608983325,1.0
1.6e-05,282.575593473,1.0
1.7e-05,282.55889855,1.0
1.8e-05,282.542203628,1.0
2.1e-05,282.492118873,1.0
2.2e-05,282.475423958,1.0
2.3e-05,282.458729045,1.0
2.4e-05,282.442034133,1.0
2.6e-05,282.408644315,1.0
2.7e-05,282.391949408,1.0
2.8e-05,282.375254503,1.0
2.9e-05,282.358559599,1.0
3.1e-05,282.325169802,1.0
3.2e-05,282.308474914,1.0
3.4e-05,282.275085164,1.0
3.5e-05,282.258390301,1.0
3.6e-05,282.241695447,1.0
3.7e-05,282.225000601,1.0
3.9e-05,282.191610934,1.0
4.1e-05,282.158221301,1.0
4.2e-05,282.141526497,1.0
4.4e-05,282.108136914,1.0
4.6e-05,282.074747364,1.0
4.7e-05,282.058052602,1.0
4.8e-05,282.041357848,1.0
4.9e-05,282.024663102,1.0
5.1e-05,281.991273636,1.0
5.2e-05,281.974578915,1.0
5.3e-05,281.957884203,1.0
5.4e-05,281.941189499,1.0
5.6e-05,281.907800116,1.0
5.8e-05,281.874410766,1.0
5.9e-05,281.857716103,1.0
6.1e-05,281.824326803,1.0
6.2e-05,281.807632166,1.0
6.3e-05,281.790937536,1.0
6.4e-05,281.774242915,1.0
6.5e-05,281.757548303,1.0
6.7e-05,281.724159102,1.0
6.8e-05,281.707464514,1.0
6.9e-05,281.690769935,1.0
7e-05,281.674075364,1.0
7.2e-05,281.640686246,1.0
7.3e-05,281.623991699,1.0
7.4e-05,281.607297161,1.0
7.5e-05,281.590602631,1.0
7.7e-05,281.557213596,1.0
7.8e-05,281.540519091,1.0
7.9e-05,281.523824594,1.0
8.2e-05,281.473741153,1.0
8.3e-05,281.457046689,1.0
8.4e-05,281.440352233,1.0
8.7e-05,281.390268915,1.0
8.8e-05,281.373574493,1.0
8.9e-05,281.356880078,1.0
9.2e-05,281.306796884,1.0
9.3e-05,281.290102502,1.0
9.4e-05,281.273408128,1.0
9.6e-05,281.240019406,1.0
9.7e-05,281.223325057,1.0
9.8e-05,281.206630716,1.0
9.9e-05,281.189936384,1.0
0.000101,281.156547743,1.0
0.000102,281.139853436,1.0
0.000103,281.123159136,1.0
0.000104,281.106464844,1.0
0.000106,281.073076286,1.0
0.000107,281.056382019,1.0
0.000108,281.03968776,1.0
0.000111,280.989605032,1.0
0.000112,280.972910806,1.0
0.000113,280.956216588,1.0
0.000116,280.906133982,1.0
0.000117,280.889439797,1.0
0.000118,280.87274562,1.0
0.000121,280.822663136,1.0
0.000122,280.805968991,1.0
0.000124,280.772580726,1.0
0.000125,280.755886606,1.0
0.000126,280.739192493,1.0
0.000127,280.722498389,1.0
0.000128,280.705804293,1.0
0.000129,280.689110205,1.0
0.00013,280.672416125,1.0
0.000133,280.622333934,1.0
0.000134,280.605639887,1.0
0.000135,280.588945847,1.0
0.000136,280.572251816,0.0
0.000137,280.555557795,0.0
0.000138,280.538863791,0.0
0.000139,280.52216981,0.0
0.00014,280.505475861,0.0
0.000143,280.455394271,0.0
0.000144,280.438700516,0.0
0.000145,280.422006829,0.0
0.000146,280.405313215,0.0
0.000147,280.388619681,0.0
0.000148,280.371926235,0.0
0.000149,280.355232883,0.0
0.00015,280.338539633,0.0
0.000153,280.28846056,0.0
0.000154,280.271767785,0.0
0.000155,280.255075146,0.0
0.000156,280.23838265,0.0
0.000157,280.221690304,0.0
0.000158,280.204998115,0.0
0.000159,280.188306089,0.0
0.000163,280.121539755,0.0
0.000164,280.104848649,0.0
0.000165,280.088157746,0.0
0.000166,280.071467054,0.0
0.000167,280.05477658,0.0
0.000168,280.03808633,0.0
0.000169,280.021396311,0.0
0.000173,279.954638677,0.0
0.000174,279.937949912,0.0
0.000175,279.921261417,0.0
0.000176,279.9045732,0.0
0.000177,279.887885267,0.0
0.000178,279.871197624,0.0
0.000179,279.854510277,0.0
0.000183,279.787763989,0.0
0.000184,279.771078223,0.0
0.000185,279.754392794,0.0
0.000186,279.737707706,0.0
0.000187,279.721022966,0.0
0.000188,279.704338581,0.0
0.000192,279.637604715,0.0
0.000193,279.620922198,0.0
0.000194,279.604240075,0.0
0.000195,279.58755835,0.0
0.000196,279.57087703,0.0
0.000197,279.554196121,0.0
0.000198,279.53751563,0.0
0.000202,279.470797965,0.0
0.000203,279.454119654,0.0
0.000204,279.437441798,0.0
0.000205,279.420764403,0.0
0.000206,279.404087474,0.0
0.000207,279.387411018,0.0
0.000208,279.370735041,0.0
0.000212,279.30403604,0.0
0.000213,279.287362548,0.0
0.000214,279.27068957,0.0
0.000215,279.254017112,0.0
0.000216,279.237345182,0.0
0.000217,279.220673784,0.0
0.000222,279.13732499,0.0
0.000223,279.120656911,0.0
0.000224,279.103989406,0.0
0.000225,279.08732248,0.0
0.000226,279.070656139,0.0
0.000227,279.053990389,0.0
0.000232,278.970670703,0.0
0.000233,278.954008618,0.0
0.000234,278.937347164,0.0
0.000235,278.920686347,0.0
0.000236,278.904026171,0.0
0.000237,278.887366643,0.0
0.000242,278.804078911,0.0
0.000243,278.787423384,0.0
0.000244,278.770768545,0.0
0.000245,278.754114397,0.0
0.000247,278.720808197,0.0
0.000248,278.704156157,0.0
0.000249,278.687504831,0.0
0.00025,278.670854223,0.0
0.000251,278.654204339,0.0
0.000252,278.637555185,0.0
0.000254,278.604259087,0.0
0.000256,278.570965971,0.0
0.000257,278.554320545,0.0
0.000258,278.53767588,0.0
