"time","Ball1_pos","Ball2_pos","Ball1_vel","Ball2_vel"
0,10,10,15,15
0.015,10.2239,10.2239,14.8528,14.8528
0.030,10.4456,10.4456,14.7057,14.7057
0.045,10.6651,10.6651,14.5585,14.5585
0.060,10.8823,10.8823,14.4114,14.4114
0.075,11.0974,11.0974,14.2642,14.2642
0.090,11.3103,11.3103,14.1171,14.1171
0.105,11.5209,11.5209,13.9699,13.9699
0.120,11.7294,11.7294,13.8228,13.8228
0.135,11.9356,11.9356,13.6756,13.6756
0.150,12.1396,12.1396,13.5285,13.5285
0.165,12.3415,12.3415,13.3813,13.3813
0.180,12.5411,12.5411,13.2342,13.2342
0.195,12.7385,12.7385,13.0871,13.0871
0.210,12.9337,12.9337,12.9399,12.9399
0.225,13.1267,13.1267,12.7928,12.7928
0.240,13.3175,13.3175,12.6456,12.6456
0.255,13.5061,13.5061,12.4985,12.4985
0.270,13.6924,13.6924,12.3513,12.3513
0.285,13.8766,13.8766,12.2042,12.2042
0.300,14.0585,14.0585,12.057,12.057
0.315,14.2383,14.2383,11.9099,11.9099
0.330,14.4158,14.4158,11.7627,11.7627
0.345,14.5912,14.5912,11.6156,11.6156
0.360,14.7643,14.7643,11.4684,11.4684
0.375,14.9352,14.9352,11.3212,11.3212
0.390,15.1039,15.1039,11.1741,11.1741
0.405,15.2705,15.2705,11.0269,11.0269
0.420,15.4348,15.4348,10.8798,10.8798
0.435,15.5969,15.5969,10.7326,10.7326
0.450,15.7567,15.7567,10.5855,10.5855
0.465,15.9144,15.9144,10.4383,10.4383
0.480,16.0699,16.0699,10.2912,10.2912
0.495,16.2232,16.2232,10.144,10.144
0.510,16.3742,16.3742,9.9969,9.9969
0.525,16.5231,16.5231,9.84975,9.84975
0.540,16.6697,16.6697,9.7026,9.7026
0.555,16.8141,16.8141,9.55545,9.55545
0.570,16.9564,16.9564,9.4083,9.4083
0.585,17.0964,17.0964,9.26115,9.26115
0.600,17.2342,17.2342,9.114,9.114
0.615,17.3698,17.3698,8.96685,8.96685
0.630,17.5032,17.5032,8.8197,8.8197
0.645,17.6344,17.6344,8.67255,8.67255
0.660,17.7634,17.7634,8.5254,8.5254
0.675,17.8902,17.8902,8.37825,8.37825
0.690,18.0147,18.0147,8.2311,8.2311
0.705,18.1371,18.1371,8.08395,8.08395
0.720,18.2572,18.2572,7.9368,7.9368
0.735,18.3752,18.3752,7.78965,7.78965
0.750,18.4909,18.4909,7.6425,7.6425
0.765,18.6045,18.6045,7.49535,7.49535
