Time,Piston_frame_a_r_0_1,Piston_frame_a_r_0_2,Piston_frame_a_r_0_3
0,0,0,0
0.001,0.15,0.4,0
0.002,0.15,0.4,0
0.003,0.15,0.4,0
0.004,0.15,0.4,0
0.005,0.15,0.4,0
0.006,0.15,0.4,0
0.007,0.15,0.4,0
0.008,0.15,0.4,0
0.009,0.15,0.4,0
0.01,0.15,0.4,0
0.011,0.15,0.4,0
0.012,0.15,0.4,0
0.013,0.15,0.4,0
0.014,0.15,0.4,0
0.015,0.15,0.4,0
0.016,0.15,0.4,0
0.017,0.15,0.399999,0
0.018,0.15,0.399999,0
0.019,0.15,0.399999,0
0.02,0.15,0.399999,0
0.021,0.15,0.399999,0
0.022,0.15,0.399999,0
0.023,0.15,0.399998,0
0.024,0.15,0.399998,0
0.025,0.15,0.399998,0
0.026,0.15,0.399997,0
0.027,0.15,0.399996,0
0.028,0.15,0.399996,0
0.029,0.15,0.399995,0
0.03,0.15,0.399994,0
0.031,0.15,0.399992,0
0.032,0.15,0.399991,0
0.033,0.15,0.399989,0
0.034,0.15,0.399986,0
0.035,0.15,0.399983,0
0.036,0.15,0.39998,0
0.037,0.15,0.399975,0
0.038,0.15,0.39997,0
0.039,0.15,0.399964,0
0.04,0.15,0.399956,0
0.041,0.15,0.399947,0
0.042,0.15,0.399935,0
0.043,0.15,0.399921,0
0.044,0.15,0.399905,0
0.045,0.15,0.399884,0
0.046,0.15,0.399859,0
0.047,0.15,0.399829,0
0.048,0.15,0.399793,0
0.049,0.15,0.399749,0
0.05,0.15,0.399695,0
0.051,0.15,0.39963,0
0.052,0.15,0.399551,0
0.053,0.15,0.399456,0
0.054,0.15,0.399341,0
0.055,0.15,0.399201,0
0.056,0.15,0.399032,0
0.057,0.15,0.398828,0
0.058,0.15,0.398582,0
0.059,0.15,0.398285,0
0.06,0.15,0.397928,0
0.061,0.15,0.397499,0
0.062,0.15,0.396984,0
0.063,0.15,0.396368,0
0.064,0.15,0.395633,0
0.065,0.15,0.394759,0
0.066,0.15,0.393723,0
0.067,0.15,0.392499,0
0.068,0.15,0.391062,0
0.069,0.15,0.389381,0
0.07,0.15,0.387428,0
0.071,0.15,0.38517,0
0.072,0.15,0.382578,0
0.073,0.15,0.379622,0
0.074,0.15,0.376276,0
0.075,0.15,0.372513,0
0.076,0.15,0.368315,0
0.077,0.15,0.363664,0
0.078,0.15,0.35855,0
0.079,0.15,0.352965,0
0.08,0.15,0.346911,0
0.081,0.15,0.340393,0
0.082,0.15,0.333424,0
0.083,0.15,0.326027,0
0.084,0.15,0.318229,0
0.085,0.15,0.310071,0
0.086,0.15,0.301603,0
0.087,0.15,0.292886,0
0.088,0.15,0.283997,0
0.089,0.15,0.275025,0
0.09,0.15,0.266074,0
0.091,0.15,0.257262,0
0.092,0.15,0.248715,0
0.093,0.15,0.240565,0
0.094,0.15,0.232939,0
0.095,0.15,0.225954,0
0.096,0.15,0.21971,0
0.097,0.15,0.214276,0
0.098,0.15,0.209701,0
0.099,0.15,0.206006,0
0.1,0.15,0.203198,0
0.101,0.15,0.201272,0
0.102,0.15,0.20022,0
0.103,0.15,0.200036,0
0.104,0.15,0.200719,0
0.105,0.15,0.202273,0
0.106,0.15,0.204707,0
0.107,0.15,0.208029,0
0.108,0.15,0.212244,0
0.109,0.15,0.217347,0
0.11,0.15,0.223319,0
0.111,0.15,0.230121,0
0.112,0.15,0.237694,0
0.113,0.15,0.24596,0
0.114,0.15,0.254827,0
0.115,0.15,0.264191,0
0.116,0.15,0.273946,0
0.117,0.15,0.283984,0
0.118,0.15,0.294199,0
0.119,0.15,0.30449,0
0.12,0.15,0.31476,0
0.121,0.15,0.324919,0
0.122,0.15,0.334877,0
0.123,0.15,0.344547,0
0.124,0.15,0.353842,0
0.125,0.15,0.362665,0
0.126,0.15,0.370912,0
0.127,0.15,0.378458,0
0.128,0.15,0.385159,0
0.129,0.15,0.390842,0
0.13,0.15,0.395314,0
0.131,0.15,0.398379,0
0.132,0.15,0.399869,0
0.133,0.15,0.399692,0
0.134,0.15,0.397849,0
0.135,0.15,0.394411,0
0.136,0.15,0.389497,0
0.137,0.15,0.383246,0
0.138,0.15,0.375804,0
0.139,0.15,0.367307,0
0.14,0.15,0.357881,0
0.141,0.15,0.347647,0
0.142,0.15,0.336719,0
0.143,0.15,0.325214,0
0.144,0.15,0.313255,0
0.145,0.15,0.300983,0
0.146,0.15,0.288555,0
0.147,0.15,0.276159,0
0.148,0.15,0.264006,0
0.149,0.15,0.252336,0
0.15,0.15,0.241401,0
0.151,0.15,0.231447,0
0.152,0.15,0.222686,0
0.153,0.15,0.215278,0
0.154,0.15,0.209315,0
0.155,0.15,0.204829,0
0.156,0.15,0.201815,0
0.157,0.15,0.20025,0
0.158,0.15,0.200119,0
0.159,0.15,0.201418,0
0.16,0.15,0.204163,0
0.161,0.15,0.208379,0
0.162,0.15,0.214083,0
0.163,0.15,0.221265,0
0.164,0.15,0.229871,0
0.165,0.15,0.23979,0
0.166,0.15,0.250859,0
0.167,0.15,0.262876,0
0.168,0.15,0.275621,0
0.169,0.15,0.28887,0
0.17,0.15,0.302406,0
0.171,0.15,0.31602,0
0.172,0.15,0.329511,0
0.173,0.15,0.342675,0
0.174,0.15,0.355292,0
0.175,0.15,0.367111,0
0.176,0.15,0.377816,0
0.177,0.15,0.386999,0
0.178,0.15,0.394137,0
0.179,0.15,0.398635,0
0.18,0.15,0.399985,0
0.181,0.15,0.398001,0
0.182,0.15,0.392899,0
0.183,0.15,0.385142,0
0.184,0.15,0.375249,0
0.185,0.15,0.363681,0
0.186,0.15,0.350812,0
0.187,0.15,0.336951,0
0.188,0.15,0.322371,0
0.189,0.15,0.30733,0
0.19,0.15,0.292101,0
0.191,0.15,0.276987,0
0.192,0.15,0.262334,0
0.193,0.15,0.248524,0
0.194,0.15,0.235956,0
0.195,0.15,0.224993,0
0.196,0.15,0.215905,0
0.197,0.15,0.208848,0
0.198,0.15,0.203863,0
0.199,0.15,0.200928,0
0.2,0.15,0.200001,0
0.201,0.15,0.201068,0
0.202,0.15,0.204146,0
0.203,0.15,0.209277,0
0.204,0.15,0.216493,0
0.205,0.15,0.225765,0
0.206,0.15,0.236966,0
0.207,0.15,0.249863,0
0.208,0.15,0.264137,0
0.209,0.15,0.27943,0
0.21,0.15,0.295379,0
0.211,0.15,0.311633,0
0.212,0.15,0.327854,0
0.213,0.15,0.343696,0
0.214,0.15,0.358777,0
0.215,0.15,0.372619,0
0.216,0.15,0.384575,0
0.217,0.15,0.393756,0
0.218,0.15,0.399072,0
0.219,0.15,0.399613,0
0.22,0.15,0.395253,0
0.221,0.15,0.386696,0
0.222,0.15,0.374955,0
0.223,0.15,0.360921,0
0.224,0.15,0.345277,0
0.225,0.15,0.328544,0
0.226,0.15,0.311161,0
0.227,0.15,0.293549,0
0.228,0.15,0.276151,0
0.229,0.15,0.259469,0
0.23,0.15,0.244057,0
0.231,0.15,0.230467,0
0.232,0.15,0.219157,0
0.233,0.15,0.210416,0
0.234,0.15,0.204338,0
0.235,0.15,0.200897,0
0.236,0.15,0.200033,0
0.237,0.15,0.201726,0
0.238,0.15,0.206014,0
0.239,0.15,0.212961,0
0.24,0.15,0.22258,0
0.241,0.15,0.234752,0
0.242,0.15,0.249179,0
0.243,0.15,0.265416,0
0.244,0.15,0.282945,0
0.245,0.15,0.301242,0
0.246,0.15,0.319808,0
0.247,0.15,0.338147,0
0.248,0.15,0.355715,0
0.249,0.15,0.37183,0
0.25,0.15,0.385536,0
0.251,0.15,0.395449,0
0.252,0.15,0.399888,0
0.253,0.15,0.397782,0
0.254,0.15,0.389613,0
0.255,0.15,0.376882,0
0.256,0.15,0.361063,0
0.257,0.15,0.343236,0
0.258,0.15,0.324182,0
0.259,0.15,0.304531,0
0.26,0.15,0.284881,0
0.261,0.15,0.26587,0
0.262,0.15,0.248212,0
0.263,0.15,0.232647,0
0.264,0.15,0.219815,0
0.265,0.15,0.210116,0
0.266,0.15,0.203674,0
0.267,0.15,0.200441,0
0.268,0.15,0.200341,0
0.269,0.15,0.203371,0
0.27,0.15,0.209605,0
0.271,0.15,0.219108,0
0.272,0.15,0.231806,0
0.273,0.15,0.247366,0
0.274,0.15,0.265219,0
0.275,0.15,0.284677,0
0.276,0.15,0.30504,0
0.277,0.15,0.325633,0
0.278,0.15,0.345769,0
0.279,0.15,0.364649,0
0.28,0.15,0.38116,0
0.281,0.15,0.393612,0
0.282,0.15,0.399713,0
0.283,0.15,0.397739,0
0.284,0.15,0.388245,0
0.285,0.15,0.373363,0
0.286,0.15,0.355079,0
0.287,0.15,0.334767,0
0.288,0.15,0.313394,0
0.289,0.15,0.291765,0
0.29,0.15,0.270685,0
0.291,0.15,0.251037,0
0.292,0.15,0.233766,0
0.293,0.15,0.219698,0
0.294,0.15,0.209343,0
0.295,0.15,0.202839,0
0.296,0.15,0.200106,0
0.297,0.15,0.201062,0
0.298,0.15,0.20574,0
0.299,0.15,0.214248,0
0.3,0.15,0.226603,0
0.301,0.15,0.242527,0
0.302,0.15,0.261388,0
0.303,0.15,0.282331,0
0.304,0.15,0.304458,0
0.305,0.15,0.3269,0
0.306,0.15,0.348771,0
0.307,0.15,0.368987,0
0.308,0.15,0.385957,0
0.309,0.15,0.39719,0
0.31,0.15,0.399695,0
0.311,0.15,0.392558,0
0.312,0.15,0.377983,0
0.313,0.15,0.358799,0
0.314,0.15,0.336998,0
0.315,0.15,0.313898,0
0.316,0.15,0.290534,0
0.317,0.15,0.267918,0
0.318,0.15,0.247149,0
0.319,0.15,0.229372,0
0.32,0.15,0.215516,0
0.321,0.15,0.206044,0
0.322,0.15,0.200986,0
0.323,0.15,0.200214,0
0.324,0.15,0.203698,0
0.325,0.15,0.211552,0
0.326,0.15,0.223859,0
0.327,0.15,0.240377,0
0.328,0.15,0.260395,0
0.329,0.15,0.282875,0
0.33,0.15,0.306709,0
0.331,0.15,0.330825,0
0.332,0.15,0.354099,0
0.333,0.15,0.375069,0
0.334,0.15,0.391431,0
0.335,0.15,0.399646,0
0.336,0.15,0.396726,0
0.337,0.15,0.383782,0
0.338,0.15,0.364427,0
0.339,0.15,0.341539,0
0.34,0.15,0.316935,0
0.341,0.15,0.291931,0
0.342,0.15,0.267751,0
0.343,0.15,0.245717,0
0.344,0.15,0.22719,0
0.345,0.15,0.21322,0
0.346,0.15,0.204258,0
0.347,0.15,0.200258,0
0.348,0.15,0.201083,0
0.349,0.15,0.206768,0
0.35,0.15,0.21747,0
0.351,0.15,0.233134,0
0.352,0.15,0.253156,0
0.353,0.15,0.276402,0
0.354,0.15,0.301545,0
0.355,0.15,0.327283,0
0.356,0.15,0.352279,0
0.357,0.15,0.374816,0
0.358,0.15,0.392135,0
0.359,0.15,0.399914,0
0.36,0.15,0.394901,0
0.361,0.15,0.37921,0
0.362,0.15,0.357227,0
0.363,0.15,0.33204,0
0.364,0.15,0.305576,0
0.365,0.15,0.279322,0
0.366,0.15,0.25477,0
