"time","outputs[1]","outputs[2]"
0,0,0
0.1,25,20.9931
0.2,25,21.9726
0.3,25,22.9385
0.4,25,23.8912
0.5,25,24.8309
0.6,25,25.7576
0.7,25,25.962
0.8,25,25.9027
0.9,25,25.8439
1,25,25.7858
1.1,25,25.7282
1.2,25,25.6712
1.3,25,25.6148
1.4,25,25.5589
1.5,25,25.5036
1.6,25,25.4488
1.7,25,25.3946
1.8,25,25.3409
1.9,25,25.2878
2,25,25.2352
2.1,25.4167,25.1831
2.2,25.8333,25.1315
2.3,26.25,25.4325
2.4,26.6667,26.3511
2.5,27.0833,27.2571
2.6,27.5,28.1508
2.7,27.9167,28.7911
2.8,28.3333,28.7036
2.9,28.75,28.617
3,29.1667,28.5312
3.1,29.5833,28.7072
3.2,30,29.5812
3.3,30.4167,30.4433
3.4,30.8333,31.2938
3.5,31.25,32.1328
3.6,31.6667,32.2864
3.7,32.0833,32.1642
3.8,32.5,32.0431
3.9,32.9167,31.9233
4,33.3333,32.7349
4.1,33.75,33.5545
4.2,34.1667,34.3631
4.3,34.5833,35.1608
4.4,35,35.9478
4.5,35.4167,35.9289
4.6,35.8333,35.7704
4.7,36.25,35.6135
4.8,36.6667,35.7967
4.9,37.0833,36.5752
5,37.5,37.3433
5.1,37.9167,38.1011
5.2,38.3333,38.8489
5.3,38.75,39.5867
5.4,39.1667,39.88
5.5,39.5833,39.6822
5.6,40,39.4864
5.7,40.4167,39.4781
5.8,40.8333,40.2076
5.9,41.25,40.9273
6,41.6667,41.6375
6.1,42.0833,42.3382
6.2,42.5,43.0297
6.3,42.9167,43.7121
6.4,43.3333,44.2031
6.5,43.75,43.9622
6.6,44.1667,43.7238
6.7,44.5833,43.6158
6.8,45,44.2904
6.9,45.4167,44.9562
7,45.8333,45.6131
7.1,46.25,46.2615
7.2,46.6667,46.9013
7.3,47.0833,47.5327
7.4,47.5,48.1559
7.5,47.9167,48.7708
7.6,48.3333,49.1717
7.7,48.75,48.8814
7.8,49.1667,48.594
7.9,49.5833,48.6596
8,50,49.268
8.1,50,49.8684
8.2,50,50.461
8.3,50,50.9835
8.4,50,50.6752
8.5,50,50.37
8.6,50,50.0678
8.7,50,49.7686
8.8,50,49.4724
8.9,50,49.1791
9,50,49.2292
9.1,50,49.8301
9.2,50,50.4232
9.3,50,50.9997
9.4,50,50.6912
9.5,50,50.3858
9.6,50,50.0834
9.7,50,49.7841
9.8,50,49.4877
9.9,50,49.1943
10,50,49.1995
