"time","TRes"
0,293.14999999999998
0.01,293.24991689670759
0.02,293.34970229693812
0.03,293.4493528916442
0.04,293.54886626354994
0.05,293.64824175493584
0.06,293.74747929455913
0.07,293.84657900644686
0.08,293.94554107943441
0.09,294.04436572365887
0.1,294.14305315605134
0.11,294.24160359549973
0.12,294.34001723931323
0.13,294.43829429784341
0.14,294.53643500604602
0.15,294.63443959003354
0.16,294.73230827325057
0.17,294.83004127446026
0.18,294.92763881089678
0.19,295.02510109871088
0.2,295.1224283536647
0.21,295.21962079113973
0.22,295.31667862623601
0.23,295.41360207358093
0.24,295.51039134732974
0.25,295.60704666120233
0.26,295.70356822849408
0.27,295.79995626206767
0.28,295.89621097434491
0.29,295.99233257730526
0.3,296.08832128248861
0.31,296.18417730099799
0.32,296.27990084350125
0.33,296.3754921202322
0.34,296.47095134099135
0.35,296.5662787151474
0.36,296.66147445163841
0.37,296.75653875897325
0.38,296.85147184523277
0.39,296.94627391807114
0.4,297.04094518471697
0.41,297.13548585197469
0.42,297.22985733345041
0.43,297.32413434657229
0.44,297.41828375431186
0.45,297.51230393575065
0.46,297.60619472873248
0.47,297.69995621520098
0.48,297.79358855822721
0.49,297.8870919476613
0.5,297.98046658200866
0.51,298.07371266238704
0.52,298.16683039051202
0.53,298.25981996802585
0.54,298.35268159627464
0.55,298.44541547623453
0.56,298.53802180848811
0.57,298.63050079321738
0.58,298.72285263020194
0.59,298.81507751881929
0.6,298.90717563814809
0.61,298.99914717890078
0.62,299.09099235405034
0.63,299.14785993193937
0.64,299.14186606893935
0.65,299.13587753026803
0.66,299.12989475488985
0.67,299.12391788518909
0.68,299.1179469646612
0.69,299.11198200383143
0.7,299.10602300223542
0.71,299.10006995574838
0.72,299.09412285902874
0.73,299.08818170633333
0.74,299.08224649178902
0.75,299.07631720948325
0.76,299.07039385349435
0.77,299.0644764179014
0.78,299.05856489678786
0.79,299.05265928424245
0.8,299.04675957435973
0.81,299.0408657612399
0.82,299.03497783898922
0.83,299.02909580171979
0.84,299.02321964354945
0.85,299.01734935918978
0.86,299.01148494300372
0.87,299.00562638869087
0.88,298.99977369018262
0.89,298.99392684147534
0.9,298.98808583668449
0.91,298.98225066995985
0.92,298.97642133547396
0.93,298.97059782740331
0.94,298.96478013992856
0.95,298.95896826723339
0.96,298.95316220350634
0.97,298.9473619429412
0.98,298.94156747973761
0.99,298.93577880810102
1,298.92999592224265
1.01,298.92421881637961
1.02,298.91844748473483
1.03,298.912681921537
1.04,298.90692212101993
1.05,298.90116807742413
1.06,298.89541978499574
1.07,298.88967723798652
1.08,298.88394043065398
1.09,298.87820935726126
1.1,298.87248401207739
1.11,298.86676438937695
1.12,298.86105048344035
1.13,298.85534228855369
1.14,298.84963979900868
1.15,298.84394300910287
1.16,298.83825191313952
1.17,298.83256650542717
1.18,298.82688678028012
1.19,298.82121273201892
1.2,298.81554435496975
1.21,298.80988164346439
1.22,298.80422459184012
1.23,298.79857319443988
1.24,298.79292744561229
1.25,298.78728733971155
1.26,298.78165287109761
1.27,298.77602403413596
1.28,298.77040082319775
1.29,298.76478323265979
1.3,298.75917125690449
1.31,298.75356489031986
1.32,298.74796412729955
1.33,298.74236896224278
1.34,298.73677938955439
1.35,298.73119540364479
1.36,298.72561699893004
1.37,298.72004416983168
1.38,298.71447691077697
1.39,298.70891521619853
1.4,298.70335908053477
1.41,298.69780849822951
1.42,298.69226346373216
1.43,298.68672397149771
1.44,298.68119001598666
1.45,298.675661591665
1.46,298.67013869300439
1.47,298.66462131448185
1.48,298.65910945058005
1.49,298.6536030957871
1.5,298.64810224459666
1.51,298.64260689150791
1.52,298.63711703102547
1.53,298.63163265765945
1.54,298.62615376592549
1.55,298.62068035034474
1.56,298.61521240544374
1.57,298.60974992575456
1.58,298.6042929058147
1.59,298.59884134016716
1.6,298.5933952233604
1.61,298.58795454994828
1.62,298.58251931449013
1.63,298.5770895115507
1.64,298.57166513570019
1.65,298.5662461815142
1.66,298.5608326435738
1.67,298.55542451646545
1.68,298.55002179478106
1.69,298.54462447311784
1.7,298.53923254607849
1.71,298.5338460082711
1.72,298.52846485430911
1.73,298.52308907881138
1.74,298.51771867640218
1.75,298.51235364171106
1.76,298.50699396937296
1.77,298.50163965402822
1.78,298.49629069032255
1.79,298.49094707290698
1.8,298.48560879643787
1.81,298.48027585557696
1.82,298.47494824499131
1.83,298.46962595935332
1.84,298.46430899334069
1.85,298.45899734163646
1.86,298.45369099892895
1.87,298.44838995991188
1.88,298.44309421928415
1.89,298.43780377175005
1.9,298.43251861201912
1.91,298.42723873480622
1.92,298.42196413483146
1.93,298.4166948068202
1.94,298.41143074550314
1.95,298.40617194561622
1.96,298.40091840190064
1.97,298.39567010910287
1.98,298.39042706197461
1.99,298.38518925527279
2,298.37995668375964
2.01,298.37472934220256
2.02,298.36950722537421
2.03,298.3642903280525
2.04,298.35907864502053
2.05,298.3538721710666
2.06,298.34867090098419
2.07,298.34347482957207
2.08,298.3382839516342
2.09,298.33309826197967
2.1,298.32791775542279
2.11,298.32274242678307
2.12,298.31757227088514
2.13,298.31240728255887
2.14,298.30724745663929
2.15,298.30209278796656
2.16,298.296943271386
2.17,298.29179890174811
