"time","temperatureSensor.T"
0.000000,20.000000
0.004883,20.048795
0.010000,20.099896
0.014883,20.148635
0.020000,20.199681
0.024883,20.248356
0.030000,20.299332
0.034883,20.347941
0.040000,20.398846
0.044883,20.447387
0.050000,20.498222
0.054883,20.546695
0.060000,20.597460
0.064883,20.645865
0.070000,20.696559
0.074883,20.744898
0.080000,20.795521
0.084883,20.843793
0.090000,20.894346
0.094883,20.942550
0.100000,20.993033
0.104883,21.041171
0.110000,21.091584
0.114883,21.139654
0.120000,21.189998
0.124883,21.238001
0.130000,21.288275
0.134883,21.336212
0.140000,21.386415
0.144883,21.434286
0.150000,21.484420
0.154883,21.532224
0.160000,21.582289
0.164883,21.630027
0.170000,21.680022
0.174883,21.727694
0.180000,21.777619
0.184883,21.825225
0.190000,21.875082
0.194883,21.922622
0.200000,21.972409
0.204883,22.019883
0.210000,22.069601
0.214883,22.117010
0.220000,22.166659
0.224883,22.214002
0.230000,22.263583
0.234883,22.310860
0.240000,22.360372
0.244883,22.407584
0.250000,22.457027
0.254883,22.504174
0.260000,22.553549
0.264883,22.600630
0.270000,22.649937
0.274883,22.696953
0.280000,22.746192
0.284883,22.793143
0.290000,22.842314
0.294883,22.889200
0.300000,22.938302
0.304883,22.985124
0.310000,23.034158
0.314883,23.080915
0.320000,23.129882
0.324883,23.176574
0.330000,23.225473
0.334883,23.272101
0.340000,23.320933
0.344883,23.367496
0.350000,23.416260
0.354883,23.462759
0.360000,23.511456
0.364883,23.557890
0.370000,23.606520
0.374883,23.652891
0.380000,23.701453
0.384883,23.747760
0.390000,23.796255
0.394883,23.842498
0.400000,23.890927
0.404883,23.937105
0.410000,23.985467
0.414883,24.031582
0.420000,24.079878
0.424883,24.125929
0.430000,24.174158
0.434883,24.220146
0.440000,24.268308
0.444883,24.314233
0.450000,24.362328
0.454883,24.408190
0.460000,24.456219
0.464883,24.502017
0.470000,24.549981
0.474883,24.595716
0.480000,24.643613
0.484883,24.689285
0.490000,24.737116
0.494883,24.782725
0.500000,24.830491
0.504883,24.876037
0.510000,24.923737
0.514883,24.969220
0.520000,25.016854
0.524883,25.062275
0.530000,25.109844
