"time","tempc@tpf_st_chamber","press@tpf_st_chamber","out2@division","tau@tpf_st_chamber","dm2@tpf_pump","torque@expseu_"
0.000000,19.903957,0.023370,0.240000,25.000000,0.130321,0.554211
1.000000,28.158291,0.038352,0.247961,25.796118,0.086638,0.730013
2.000000,34.986943,0.056467,0.252402,26.240229,0.040317,0.888135
3.000000,41.088945,0.078499,0.254708,26.470770,0.016199,1.030182
4.000000,46.874221,0.105865,0.255919,26.591889,0.003485,1.157135
5.000000,52.545781,0.140272,0.256637,26.663747,0.000000,1.264983
6.000000,58.228725,0.183927,0.257370,26.736950,0.000000,1.345496
7.000000,63.925695,0.238815,0.258158,26.815808,0.000000,1.383893
8.000000,69.631701,0.307148,0.259000,26.899964,0.000000,1.362036
9.000000,75.340931,0.391392,0.259891,26.989062,0.000000,1.258455
10.000000,81.047660,0.494272,0.260828,27.082756,0.000000,1.048267
11.000000,86.746873,0.618775,0.261807,27.180714,0.000000,0.703092
12.000000,92.433623,0.768133,0.262826,27.282612,0.000000,0.182804
13.000000,98.096638,0.945578,0.263877,27.387669,0.000000,-0.659551
14.000000,103.733645,1.154739,0.264957,27.495703,0.000000,-1.863293
15.000000,109.341731,1.399410,0.266065,27.606483,0.000000,-3.425410
16.000000,114.914510,1.683341,0.267195,27.719517,0.000000,-5.446788
17.000000,120.444347,2.010199,0.268342,27.834188,0.000000,-8.015786
18.000000,125.920594,2.383304,0.269497,27.949669,0.000000,-11.221752
19.000000,131.304091,2.803265,0.270643,28.064281,0.000000,-15.137984
20.000000,136.486971,3.262490,0.271745,28.174456,0.000000,-19.757032
21.000000,141.358540,3.747882,0.272761,28.276090,0.000000,-24.980011
22.000000,145.805402,4.240300,0.273646,28.364580,0.000000,-30.595783
23.000000,149.720391,4.715715,0.274352,28.435152,0.000000,-36.295710
24.000000,153.013019,5.147851,0.274833,28.483336,0.000000,-41.718514
25.000000,155.619165,5.511896,0.275055,28.505511,0.000000,-46.506793
26.000000,157.507868,5.788363,0.274994,28.499398,0.000000,-50.360693
27.000000,158.683946,5.966035,0.274644,28.464396,0.000000,-53.083050
28.000000,159.186090,6.043208,0.274017,28.401651,0.000000,-54.604662
29.000000,159.080505,6.026915,0.273139,28.313850,0.000000,-54.981026
30.000000,158.451592,5.930592,0.272048,28.204789,0.000000,-54.361724
31.000000,157.392351,5.771142,0.270789,28.078861,0.000000,-52.951307
32.000000,155.995101,5.566066,0.269405,27.940526,0.000000,-50.977073
33.000000,154.387221,5.337328,0.267950,27.795019,0.000000,-48.716313
34.000000,153.034656,5.150792,0.266558,27.655830,0.000000,-46.990804
35.000000,152.927423,5.136230,0.265483,27.548311,0.000000,-47.345740
36.000000,154.550574,5.360218,0.264837,27.483724,0.000000,-50.606163
37.000000,157.680972,5.814245,0.264555,27.455545,0.000000,-56.739080
38.000000,161.249083,6.368660,0.264361,27.436107,0.000000,-64.247211
39.000000,164.541310,6.916814,0.264062,27.406181,0.000000,-71.814234
40.000000,167.304647,7.405295,0.263581,27.358088,0.000000,-78.716065
41.000000,169.496293,7.811859,0.262897,27.289721,0.000000,-84.604960
42.000000,171.162109,8.132553,0.262017,27.201662,0.000000,-89.378012
43.000000,172.382009,8.373945,0.260958,27.095812,0.000000,-93.087739
44.000000,173.243443,8.547794,0.259746,26.974647,0.000000,-95.872122
45.000000,173.828327,8.667449,0.258408,26.840764,0.000000,-97.902658
46.000000,174.206799,8.745579,0.256966,26.696590,0.000000,-99.348830
47.000000,174.414390,8.788670,0.255495,26.549535,0.002979,-100.304452
48.000000,174.395253,8.784690,0.254274,26.427398,0.007802,-100.609765
49.000000,174.210390,8.746323,0.253302,26.330184,0.011642,-100.433610
50.000000,173.931254,8.688642,0.252540,26.254028,0.014653,-99.986126
51.000000,173.612043,8.623048,0.251954,26.195445,0.016970,-99.426209
52.000000,173.288969,8.557060,0.251513,26.151252,0.018719,-98.857982
53.000000,172.983491,8.495034,0.251186,26.118598,0.020013,-98.341101
54.000000,172.706362,8.439072,0.250950,26.095032,0.020948,-97.903673
55.000000,172.461387,8.389847,0.250784,26.078438,0.021608,-97.554029
56.000000,172.248110,8.347176,0.250671,26.067107,0.022060,-97.288764
57.000000,172.063840,8.310447,0.250597,26.059671,0.022357,-97.098697
58.000000,171.904933,8.278876,0.250551,26.055065,0.022543,-96.972444
59.000000,171.767546,8.251657,0.250525,26.052469,0.022649,-96.898484
60.000000,171.648048,8.228041,0.250513,26.051264,0.022700,-96.866231
61.000000,171.543223,8.207367,0.250510,26.050993,0.022714,-96.866492
62.000000,171.450327,8.189081,0.250513,26.051323,0.022704,-96.891565
63.000000,171.367079,8.172722,0.250520,26.052016,0.022680,-96.935159
64.000000,171.291627,8.157917,0.250529,26.052907,0.022647,-96.992252
65.000000,171.222491,8.144370,0.250539,26.053881,0.022612,-97.058910
66.000000,171.158505,8.131848,0.250549,26.054867,0.022575,-97.132096
67.000000,171.098749,8.120168,0.250558,26.055816,0.022541,-97.209487
68.000000,171.042507,8.109186,0.250567,26.056703,0.022508,-97.289326
69.000000,170.989220,8.098792,0.250575,26.057514,0.022478,-97.370303
70.000000,170.938457,8.088901,0.250582,26.058244,0.022452,-97.451451
71.000000,170.889883,8.079445,0.250589,26.058895,0.022428,-97.532072
72.000000,170.843236,8.070372,0.250595,26.059471,0.022408,-97.611664
73.000000,170.798312,8.061642,0.250600,26.059979,0.022390,-97.689874
74.000000,170.754950,8.053223,0.250604,26.060426,0.022374,-97.766461
75.000000,170.713021,8.045089,0.250608,26.060819,0.022361,-97.841268
76.000000,170.672422,8.037218,0.250612,26.061167,0.022349,-97.914195
77.000000,170.633067,8.029595,0.250615,26.061475,0.022339,-97.985191
78.000000,170.594887,8.022205,0.250618,26.061750,0.022330,-98.054231
79.000000,170.557820,8.015036,0.250620,26.061997,0.022322,-98.121313
80.000000,170.521813,8.008076,0.250622,26.062220,0.022315,-98.186450
81.000000,170.486819,8.001317,0.250624,26.062424,0.022308,-98.249664
82.000000,170.452797,7.994750,0.250626,26.062611,0.022302,-98.310989
83.000000,170.419709,7.988367,0.250628,26.062785,0.022297,-98.370462
84.000000,170.387521,7.982162,0.250629,26.062949,0.022292,-98.428122
85.000000,170.356201,7.976127,0.250631,26.063103,0.022287,-98.484018
86.000000,170.325721,7.970258,0.250632,26.063249,0.022283,-98.538195
87.000000,170.296053,7.964549,0.250634,26.063390,0.022279,-98.590695
88.000000,170.267169,7.958994,0.250635,26.063526,0.022275,-98.641561
89.000000,170.239042,7.953587,0.250637,26.063657,0.022271,-98.690832
90.000000,170.211646,7.948323,0.250638,26.063785,0.022267,-98.738545
91.000000,170.184957,7.943198,0.250639,26.063910,0.022263,-98.784738
92.000000,170.158952,7.938207,0.250640,26.064033,0.022260,-98.829451
93.000000,170.133610,7.933346,0.250642,26.064153,0.022256,-98.872726
94.000000,170.108911,7.928610,0.250643,26.064272,0.022252,-98.914604
95.000000,170.084841,7.923997,0.250644,26.064390,0.022249,-98.955123
96.000000,170.061375,7.919501,0.250645,26.064507,0.022245,-98.994317
97.000000,170.038495,7.915120,0.250646,26.064622,0.022242,-99.032230
98.000000,170.016183,7.910850,0.250647,26.064736,0.022238,-99.068893
99.000000,169.994425,7.906687,0.250648,26.064849,0.022235,-99.104339
100.000000,169.973201,7.902628,0.250650,26.064962,0.022231,-99.138602
