"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0.000000,565.685425,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,480.000000
0.000030,565.685425,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,480.000000
0.000140,565.685425,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,480.000000
0.000200,565.685425,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,480.000000
0.000400,559.008316,0.061467,-1.049562,0.988096,312.237912,-563.009228,250.771316,789.427601
0.000600,545.831448,0.183541,-15.965434,15.781893,366.701559,-549.862096,183.160537,827.854761
0.000800,545.831448,0.183541,-15.965434,15.781893,366.701559,-549.862096,183.160537,827.854761
0.001000,533.102215,0.302721,-29.595374,29.292653,419.940459,-537.160029,117.219570,877.956403
0.001200,526.800150,0.360635,-26.532799,26.172164,445.743602,-530.851794,85.108192,867.730144
0.001400,526.800150,0.360635,-26.532799,26.172164,445.743602,-530.851794,85.108192,867.730144
0.001490,520.386145,0.417126,-12.273362,11.856236,470.767947,-524.409225,53.641278,814.632808
0.001600,520.386145,0.417126,-12.273362,11.856236,470.767947,-524.409225,53.641278,814.632808
0.001800,513.748661,0.449949,-0.923634,0.473686,483.849081,-495.717490,11.868408,744.166613
0.001890,507.074553,0.491519,-0.935708,0.444189,501.297068,-477.632103,-23.664965,736.582560
0.002000,500.415779,6.450193,-6.848762,0.398569,504.428069,-451.498789,-52.929280,734.156072
0.002200,500.415779,6.450193,-6.848762,0.398569,504.428069,-451.498789,-52.929280,734.156072
0.002400,488.359529,111.866068,-112.149313,0.283245,492.582559,-387.913884,-104.668675,1111.425700
0.002600,483.767589,205.309610,-205.533401,0.223791,488.177456,-355.984321,-132.193134,1518.133807
0.002800,483.767589,205.309610,-205.533401,0.223791,488.177456,-355.984321,-132.193134,1518.133807
0.003000,478.956717,445.134337,-445.236809,0.102472,483.846121,-293.158891,-190.687230,2757.783144
0.003200,478.956717,445.134337,-445.236809,0.102472,483.846121,-293.158891,-190.687230,2757.783144
0.003400,481.027933,712.743328,-712.722865,-0.020464,486.452428,-232.994262,-253.458165,4447.505313
0.003600,481.027933,712.743328,-712.722865,-0.020464,486.452428,-232.994262,-253.458165,4447.505313
0.003800,490.016420,955.035620,-954.892543,-0.143077,495.925358,-176.424309,-319.501049,6256.244935
0.004000,496.730467,1050.688303,-1050.484646,-0.203657,502.830636,-149.586905,-353.243731,7049.376515
0.004200,496.730467,1050.688303,-1050.484646,-0.203657,502.830636,-149.586905,-353.243731,7049.376515
0.004400,504.559930,1121.584208,-1121.320775,-0.263433,510.801816,-123.684323,-387.117493,7674.277878
0.004600,522.041989,1169.500519,-1169.120884,-0.379635,528.379556,-74.372227,-454.007329,8167.274295
0.004800,530.787020,1138.677975,-1138.242374,-0.435602,537.062868,-50.730387,-486.332481,7947.346366
0.005000,530.787020,1138.677975,-1138.242374,-0.435602,537.062868,-50.730387,-486.332481,7947.346366
0.005200,545.696253,954.724736,-954.182572,-0.542164,551.604059,-4.719721,-546.884338,6533.382986
0.005230,545.696253,954.724736,-954.182572,-0.542164,551.604059,-4.719721,-546.884338,6533.382986
0.005400,550.781691,808.223524,-790.243676,-17.979848,556.379047,-0.772263,-555.606784,5424.305143
0.005600,550.781691,808.223524,-790.243676,-17.979848,556.379047,-0.772263,-555.606784,5424.305143
0.005800,553.795353,644.294503,-559.765114,-84.529390,558.998295,-0.475235,-558.523060,4236.159454
0.005950,554.512571,463.934397,-263.490043,-200.444354,559.238878,-0.063046,-559.175832,3106.352337
0.006000,552.803634,316.922109,-0.203765,-316.718344,380.600690,176.835470,-557.436160,2254.978640
0.006200,550.331935,317.643360,-0.143186,-317.500174,349.076166,205.889803,-554.965969,2241.602949
0.006400,550.331935,317.643360,-0.143186,-317.500174,349.076166,205.889803,-554.965969,2241.602949
0.006600,547.958103,331.057333,-0.082042,-330.975291,317.330726,235.288306,-552.619031,2299.407889
0.006800,544.022684,379.662982,0.040974,-379.703956,253.903359,294.877595,-548.780954,2549.966263
0.007000,542.579117,406.327989,0.102361,-406.430350,222.514660,324.876121,-547.390781,2699.190053
0.007200,542.579117,406.327989,0.102361,-406.430350,222.514660,324.876121,-547.390781,2699.190053
0.007400,540.603979,443.066962,0.223683,-443.290645,160.902963,384.586284,-545.489247,2923.336752
0.007600,539.854456,445.061221,0.283139,-445.344360,130.802321,413.941452,-544.743773,2948.068011
0.007800,539.854456,445.061221,0.283139,-445.344360,130.802321,413.941452,-544.743773,2948.068011
0.008000,537.902078,398.439152,0.398468,-398.837620,72.114987,470.583283,-542.698271,2717.261212
0.008200,536.194578,344.024169,0.453886,-344.478055,43.497773,497.384225,-540.881999,2437.931226
0.008400,536.194578,344.024169,0.453886,-344.478055,43.497773,497.384225,-540.881999,2437.931226
0.008510,533.606890,265.915239,0.507513,-266.422752,15.312404,522.825748,-538.138152,2049.124986
0.008600,529.818627,159.476234,7.013207,-166.489441,0.152463,533.991062,-534.143525,1564.458363
0.008800,529.818627,159.476234,7.013207,-166.489441,0.152463,533.991062,-534.143525,1564.458363
0.009000,524.680145,1.083057,65.489805,-66.572862,-0.064407,528.811150,-528.746743,1104.027952
0.009200,513.472901,0.243719,114.290995,-114.534714,-136.990848,517.700692,-380.709844,1174.719935
0.009400,513.472901,0.243719,114.290995,-114.534714,-136.990848,517.700692,-380.709844,1174.719935
0.009600,504.865733,0.122856,254.640189,-254.763045,-193.259081,509.374118,-316.115038,1795.339385
0.009800,502.179242,0.061577,346.444301,-346.505878,-222.646995,506.871179,-284.224184,2260.351380
0.010000,502.179242,0.061577,346.444301,-346.505878,-222.646995,506.871179,-284.224184,2260.351380
0.010200,500.685075,-0.061467,544.630124,-544.568658,-283.619936,505.773264,-222.153327,3402.174774
0.010400,501.901921,-0.122746,639.187678,-639.064932,-314.962589,507.179160,-192.216571,4012.768387
0.010600,501.901921,-0.122746,639.187678,-639.064932,-314.962589,507.179160,-192.216571,4012.768387
0.010800,507.739454,-0.243611,790.503551,-790.259939,-378.465428,513.319192,-134.853764,5087.128125
0.011000,507.739454,-0.243611,790.503551,-790.259939,-378.465428,513.319192,-134.853764,5087.128125
0.011200,511.928526,-0.302721,836.737957,-836.435236,-410.160777,517.600666,-107.439889,5449.136706
0.011400,521.282062,-0.417126,847.909701,-847.492574,-472.051540,526.976412,-54.924872,5596.410061
0.011600,521.282062,-0.417126,847.909701,-847.492574,-472.051540,526.976412,-54.924872,5596.410061
0.011800,529.242922,-0.524954,728.831066,-728.306112,-529.826551,534.698991,-4.872440,4816.041697
0.011830,529.242922,-0.524954,728.831066,-728.306112,-529.826551,534.698991,-4.872440,4816.041697
0.012000,531.590450,-19.193465,624.664364,-605.470899,-536.233236,536.819512,-0.586277,4106.774572
0.012200,531.590450,-19.193465,624.664364,-605.470899,-536.233236,536.819512,-0.586277,4106.774572
0.012400,531.755476,-213.917103,383.554124,-169.637021,-536.351875,536.307595,0.044280,2607.345552
0.012510,531.755476,-213.917103,383.554124,-169.637021,-536.351875,536.307595,0.044280,2607.345552
