"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
0,10,0,0,0
0.01,9.9,0.1,0,0
0.02,9.83091,0.199993,0,0
0.03,9.78972,0.299963,0,0
0.04,9.77069,0.399895,0,0
0.05,9.76591,0.499773,0,0
0.06,9.76611,0.599581,0,0
0.07,9.76149,0.699303,0,0
0.08,9.74277,0.798923,0,0
0.09,9.70205,0.898426,0,0
0.1,9.63358,0.997796,0,0
0.11,9.53436,1.09702,0,0
0.12,9.4044,1.19607,0,0
0.13,9.24674,1.29495,0,0
0.14,9.06716,1.39363,0,0
0.15,8.87358,1.4921,0,0
0.16,8.67534,1.59035,0,0
0.17,8.48223,1.68835,0,0
0.18,8.30359,1.78609,0,0
0.19,8.14734,1.88356,0,0
0.2,8.01926,1.98074,0,0
0.21,7.92238,2.07762,0,0
0.22,7.85672,2.17418,0,0
0.23,7.81927,2.27041,0,0
0.24,7.8043,2.36628,0,0
0.25,7.8039,2.46179,0,0
0.26,7.80877,2.55692,0,0
0.27,7.80914,2.65166,0,0
0.28,7.79571,2.74598,0,0
0.29,7.76059,2.83988,0,0
0.3,7.69803,2.93334,0,0
0.31,7.60502,3.02635,0,0
0.32,7.48158,3.11889,0,0
0.33,7.33075,3.21094,0,0
0.34,7.15829,3.3025,0,0
0.35,6.97214,3.39354,0,0
0.36,6.78163,3.48406,0,0
0.37,6.59655,3.57403,0,0
0.38,6.42623,3.66345,0,0
0.39,6.2786,3.7523,0,0
0.4,6.15943,3.84057,0,0
0.41,6.07176,3.92824,0,0
0.42,6.0156,3.9153,0.1,0
0.43,5.98795,3.90173,0.2,0
0.44,5.98306,3.88752,0.3,0
0.45,5.99302,3.87267,0.4,0
0.46,6.00855,3.85714,0.5,0
0.47,6.01986,3.84094,0.6,0
0.48,6.01765,3.82404,0.7,0
0.49,5.99403,3.80644,0.8,0
0.5,5.94326,3.78812,0.9,0
0.51,5.86231,3.76907,1,0
0.52,5.7512,3.74927,1.1,0
0.53,5.61298,3.72872,1.2,0
0.54,5.4534,3.7074,1.3,0
0.55,5.28039,3.68529,1.4,0
0.56,5.10329,3.6624,1.5,0
0.57,4.93189,3.63869,1.6,0
0.58,4.77551,3.61417,1.7,0
0.59,4.64209,3.58882,1.8,0
0.6,4.53738,3.56262,1.9,0
0.61,4.46443,3.53557,2,0
0.62,4.42324,3.50766,2.1,0
0.63,4.41081,3.47887,2.2,0
0.64,4.42139,3.44919,2.3,0
0.65,4.44708,3.41861,2.4,0
0.66,4.47856,3.38713,2.5,0
0.67,4.50608,3.35472,2.6,0
0.68,4.52032,3.32138,2.7,0
0.69,4.51338,3.2871,2.8,0
0.7,4.47951,3.25186,2.9,0
0.71,4.41571,3.21567,3,0
0.72,4.32198,3.1785,3.1,0
0.73,4.20135,3.14035,3.2,0
0.74,4.05959,3.17077,3.23043,0
0.75,3.90463,3.2007,3.26036,0
0.76,3.74579,3.23012,3.28978,0
0.77,3.59286,3.25903,3.31869,0
0.78,3.45517,3.28743,3.34708,0
0.79,3.34063,3.31531,3.37496,0
0.8,3.25503,3.34266,3.40231,0
0.81,3.25503,3.34266,3.40231,0
0.82,3.26533,3.35296,3.41261,0
0.83,3.28492,3.37255,3.43221,0
0.84,3.31189,3.39952,3.45917,0
0.85,3.35765,3.42419,3.48385,0
0.86,3.40941,3.44831,3.50797,0
0.87,3.45737,3.47188,3.53154,0
0.88,3.49224,3.4949,3.55455,0
0.89,3.50611,3.51735,3.57701,0
0.9,3.49323,3.53925,3.5989,0
0.91,3.45058,3.51057,3.57022,0.1
0.92,3.37817,3.48133,3.54098,0.2
0.93,3.27903,3.45151,3.51116,0.3
0.94,3.15891,3.42111,3.48077,0.4
0.95,3.02576,3.39014,3.44979,0.5
0.96,2.88887,3.35858,3.41824,0.6
0.97,2.75805,3.32644,3.38609,0.7
0.98,2.64261,3.29371,3.35336,0.8
