"time","valves_mv1","valves_mv2","valves_mv3","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","egsCarSpeed","egsState","egsGear","egsTargetGear","tShiftStart"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07,0,0,0,0,0,0.12,0.12,0,0,-6.73579e-66,2,-2,0,0
0.14,0,0,0,0,0,0.26,0.26,0,0,8.70127e-65,2,-2,0,0
0.21,0,0,0,0,0,0.4,0.4,0,0,-1.94064e-14,2,-2,0,0
0.28,0,0,0,0,0,0.54,0.54,0,0,1.01663e-15,2,-2,0,0
0.35,0,0,0,0,0,0.68,0.68,0,0,-0.401164,2,-2,0,0
0.42,0,0,0,0,0,0.82,0.82,0,0,0.168072,2,-2,0,0
0.49,0,0,0,0,0,0.96,0.96,0,0,0.256057,2,-2,0,0
0.56,0,0,0,0,0,1,1,0,0,0.244219,2,-2,0,0
0.63,0,0,0,0,0,1,1,0,0,0.246456,2,-2,0,0
0.7,0,0,0,0,0,1,1,0,0,0.244335,2,-2,0,0
0.77,0,0,0,0,0,1,1,0,0,0.24223,2,-2,0,0
0.84,0,0,0,0,0,1,1,0,0,0.240143,2,-2,0,0
0.91,0,0,0,0,0,1,1,0,0,0.238073,2,-2,0,0
0.98,0,0,0,0,0,1,1,0,0,0.236022,2,-2,0,0
1.05,0,0,0,0,0,0.94,1,0,0.06,0.233988,2,0,1,1.01
1.12,0,0,0,0,0,0.8,1,0,0.2,1.60573,2,0,1,1.01
1.19,0,0,0,0,0,0.66,1,0,0.34,3.17312,2,0,1,1.01
1.26,0,0,0,0,0,0.52,1,0,0.48,5.81359,2,0,1,1.01
1.33,0,0,0,0,0,0.38,1,0,0.62,8.62792,2,0,1,1.01
1.4,0,0,0,0,0,0.24,1,0,0.76,11.7309,2,0,1,1.01
1.47,0,0,0,0,0,0.1,1,0,0.9,14.9413,2,0,1,1.01
1.54,0,0,0,0,0,0,1,0,1,17.0153,2,0,1,1.01
1.61,0,0,0,0,0,0,1,0,1,19.2624,2,0,1,1.01
1.68,0,0,0,0,0,0,1,0,1,21.3671,2,0,1,1.01
1.75,0,0,0,0,0,0,1,0,1,23.3709,2,0,1,1.01
1.82,0,0,0,0,0,0,1,0,1,25.2825,2,0,1,1.01
1.89,0,0,0,0,0,0,1,0,1,27.104,2,0,1,1.01
1.96,0,0,0,0,0,0,1,0,1,28.891,2,0,1,1.01
2.03,0,0,0,0,0,0,1,0,1,30.6183,1,1,1,1.01
2.1,0,0,0,0,0,0,1,0,1,32.2984,1,1,1,1.01
2.17,0,0,0,0,0,0,1,0,1,33.936,1,1,1,1.01
2.24,0,0,0,0,0,0,1,0,1,35.5275,1,1,1,1.01
2.31,0,0,0,0,0,0,1,0,1,37.0755,1,1,1,1.01
2.38,0,0,0,0,0,0,1,0,1,38.5817,1,1,1,1.01
2.45,1,0,0,0,0,0,1,0,1,40.0455,2,1,2,2.44
2.52,1,0,0,0,0,0,0.86,0,0.86,40.0651,2,1,2,2.44
2.59,1,0,0,0,0,0,0.72,0,0.72,40.0501,2,1,2,2.44
2.66,1,0,0,0,0,0,0.58,0,0.58,41.2676,2,1,2,2.44
2.73,1,0,0,0,0,0,0.44,0,0.44,40.5759,2,1,2,2.44
2.8,1,0,0,0,0,0,0.3,0,0.3,40.7496,2,1,2,2.44
