"time","J1.w","J2.w","J3.w","J4.w"
0,10,0,0,0
0.0031,9.97051,0.031,0,0
0.0061,9.94483,0.0609996,-5.17876e-35,0
0.0092,9.92121,0.0919983,-9.8609e-35,0
0.0123,9.90048,0.122996,-9.86094e-35,0
0.0154,9.88254,0.153992,-5.12388e-35,0
0.0185,9.86728,0.184985,-4.93056e-35,0
0.0216,9.85455,0.215976,-4.93056e-35,0
0.0247,9.84416,0.246963,-2.46509e-35,0
0.0278,9.83593,0.277947,-2.46537e-35,0
0.0309,9.82964,0.308927,-2.46537e-35,0
0.0339,9.82519,0.338903,-2.46537e-35,0
0.0369,9.82211,0.368874,-2.46537e-35,0
0.0399,9.82016,0.398841,-2.46537e-35,0
0.0429,9.8191,0.428801,-2.46537e-35,0
0.0459,9.81867,0.458756,-2.46537e-35,0
0.0489,9.81861,0.488704,-2.46537e-35,0
0.0519,9.81866,0.518645,-2.46537e-35,0
0.0549,9.81854,0.54858,-2.46537e-35,0
0.0579,9.818,0.578506,-2.46537e-35,0
0.0609,9.81677,0.608424,-2.46537e-35,0
0.0639,9.8146,0.638334,-2.46537e-35,0
0.0669,9.81125,0.668234,-2.46537e-35,0
0.0699,9.80648,0.698126,-2.46537e-35,0
0.0729,9.80006,0.728007,-1.34762e-37,0
0.0759,9.79179,0.757878,-2.46189e-35,0
0.0789,9.78148,0.787739,-1.36503e-37,0
0.0819,9.76895,0.817588,-7.88216e-38,0
0.0849,9.75405,0.847426,4.79073e-35,0
0.0879,9.73665,0.877252,9.78961e-35,0
0.0909,9.71664,0.907066,9.79125e-35,0
0.0939,9.69393,0.936866,1.25451e-34,0
0.0969,9.66846,0.966654,5.50306e-35,0
0.0999,9.64019,0.996428,4.88758e-35,0
0.1029,9.60912,1.02619,1.48292e-34,0
0.1059,9.57524,1.05593,9.78657e-35,0
0.1089,9.5386,1.08566,9.78672e-35,0
0.1119,9.49926,1.11538,9.78672e-35,0
0.1149,9.45731,1.14508,9.78672e-35,0
0.1179,9.41285,1.17476,9.78672e-35,0
0.1209,9.36601,1.20443,9.78672e-35,0
0.1239,9.31696,1.23408,9.78672e-35,0
0.127,9.26412,1.2647,9.78672e-35,0
0.1301,9.20931,1.2953,9.78672e-35,0
0.1332,9.15275,1.32588,9.78672e-35,0
0.1363,9.09469,1.35644,9.78672e-35,0
0.1394,9.03539,1.38698,9.78672e-35,0
0.1425,8.97512,1.4175,9.78672e-35,0
0.1456,8.91418,1.448,9.78672e-35,0
0.1487,8.85284,1.47847,9.78672e-35,0
0.1518,8.7914,1.50892,9.78672e-35,0
0.1549,8.73015,1.53936,9.78672e-35,0
0.158,8.66939,1.56976,9.78672e-35,0
0.1611,8.6094,1.60015,9.78672e-35,0
0.1642,8.55047,1.63051,9.78672e-35,0
0.1673,8.49286,1.66084,9.78672e-35,0
0.1704,8.43684,1.69115,9.78672e-35,0
0.1735,8.38265,1.72144,9.78672e-35,0
0.1766,8.33052,1.75169,9.78672e-35,0
0.1797,8.28064,1.78193,9.78672e-35,0
0.1828,8.23322,1.81213,9.78672e-35,0
0.1859,8.18842,1.84231,9.78672e-35,0
0.189,8.14636,1.87246,9.78672e-35,0
0.1921,8.10718,1.90258,9.78672e-35,0
0.1952,8.07094,1.93267,9.78672e-35,0
0.1983,8.03772,1.96274,9.78672e-35,0
0.2014,8.00754,1.99277,1.9257e-34,0
0.2045,7.98041,2.02277,2.42516e-34,0
0.2076,7.95629,2.05275,1.935e-34,0
0.2107,7.93513,2.08269,1.93496e-34,0
0.2138,7.91685,2.1126,2.17301e-34,0
0.2169,7.90135,2.14248,2.41027e-34,0
0.22,7.88847,2.17232,2.17306e-34,0
0.2231,7.87807,2.20214,2.17301e-34,0
0.2262,7.86996,2.23192,2.41028e-34,0
0.2293,7.86394,2.26166,2.41028e-34,0
0.2324,7.85977,2.29137,2.41028e-34,0
0.2355,7.85723,2.32105,2.41028e-34,0
0.2386,7.85604,2.35069,2.41028e-34,0
0.2417,7.85595,2.3803,2.41028e-34,0
0.2448,7.85668,2.40987,2.41028e-34,0
0.2479,7.85793,2.4394,2.41028e-34,0
0.251,7.85941,2.4689,2.41028e-34,0
0.2541,7.86084,2.49836,2.41028e-34,0
0.2572,7.86192,2.52778,2.41028e-34,0
0.2603,7.86236,2.55716,2.41028e-34,0
0.2634,7.86188,2.58651,2.41028e-34,0
0.2665,7.86021,2.61581,2.41028e-34,0
0.2696,7.85708,2.64508,2.41028e-34,0
0.2727,7.85225,2.67431,2.41028e-34,0
0.2758,7.84549,2.70349,2.17842e-34,0
0.2789,7.83658,2.73264,1.95752e-34,0
0.282,7.82533,2.76174,1.94652e-34,0
0.2851,7.81158,2.7908,1.71829e-34,0
0.2882,7.79518,2.81982,1.71541e-34,0
0.2913,7.77601,2.8488,1.70455e-34,0
0.2944,7.75398,2.87773,1.71464e-34,0
0.2975,7.72902,2.90662,1.91572e-34,0
0.3006,7.7011,2.93547,2.22429e-34,0
0.3037,7.67021,2.96427,3.09262e-34,0
0.3068,7.63636,2.99302,3.08976e-34,0
0.3099,7.59962,3.02173,3.08976e-34,0
0.313,7.56004,3.0504,3.08976e-34,0
0.3161,7.51775,3.07902,3.08976e-34,0
0.3192,7.47286,3.10759,3.08976e-34,0
0.3223,7.42554,3.13612,3.08976e-34,0
0.3254,7.37595,3.16459,3.08976e-34,0
0.3285,7.32431,3.19302,3.08976e-34,0
0.3316,7.27083,3.22141,3.08976e-34,0
0.3347,7.21575,3.24974,3.08976e-34,0
0.3378,7.15933,3.27802,3.08976e-34,0
0.3409,7.10182,3.30626,3.08976e-34,0
0.344,7.04352,3.33444,3.08976e-34,0
0.3471,6.9847,3.36257,3.08976e-34,0
0.3502,6.92566,3.39066,3.08976e-34,0
0.3533,6.86669,3.41869,3.08976e-34,0
0.3564,6.80808,3.44667,3.08976e-34,0
0.3595,6.75012,3.47459,3.08976e-34,0
0.3626,6.69311,3.50247,3.08976e-34,0
0.3657,6.63731,3.53029,3.08976e-34,0
0.3688,6.583,3.55806,3.08976e-34,0
0.3719,6.53042,3.58577,3.08976e-34,0
0.375,6.4798,3.61343,3.08976e-34,0
0.3781,6.43138,3.64104,3.08976e-34,0
0.3812,6.38534,3.66859,3.08976e-34,0
0.3843,6.34186,3.69608,3.08976e-34,0
0.3874,6.3011,3.72352,3.08976e-34,0
0.3905,6.26318,3.7509,3.08976e-34,0
0.3936,6.22819,3.77823,3.08976e-34,0
0.3967,6.19622,3.80549,3.08976e-34,0
0.3998,6.16731,3.8327,3.46862e-34,0
