"time","egsCarSpeed","egsGear","egsState","egsTargetGear","tShiftStart","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","valves_mv1","valves_mv2","valves_mv3"
0.001,0,-2,2,0,0,0,0,0,0,0,0,0,0,0
0.02,0,-2,2,0,0,0,0,0.02,0.02,0,0,0,0,0
0.05,0,-2,2,0,0,0,0,0.08,0.08,0,0,0,0,0
0.07,0,-2,2,0,0,0,0,0.12,0.12,0,0,0,0,0
0.09,0,-2,2,0,0,0,0,0.16,0.16,0,0,0,0,0
0.12,0,-2,2,0,0,0,0,0.22,0.22,0,0,0,0,0
0.14,0,-2,2,0,0,0,0,0.26,0.26,0,0,0,0,0
0.16,0,-2,2,0,0,0,0,0.3,0.3,0,0,0,0,0
0.18,2.63E-12,-2,2,0,0,0,0,0.34,0.34,0,0,0,0,0
0.21,-1.94E-14,-2,2,0,0,0,0,0.4,0.4,0,0,0,0,0
0.23,-3.22E-14,-2,2,0,0,0,0,0.44,0.44,0,0,0,0,0
0.25,3.66E-15,-2,2,0,0,0,0,0.48,0.48,0,0,0,0,0
0.27,-1.14E-15,-2,2,0,0,0,0,0.52,0.52,0,0,0,0,0
0.3,1.14E-15,-2,2,0,0,0,0,0.58,0.58,0,0,0,0,0
0.32,1.05E-14,-2,2,0,0,0,0,0.62,0.62,0,0,0,0,0
0.34,-0.8171929,-2,2,0,0,0,0,0.66,0.66,0,0,0,0,0
0.36,0.012413567,-2,2,0,0,0,0,0.7,0.7,0,0,0,0,0
0.39,0.14553563,-2,2,0,0,0,0,0.76,0.76,0,0,0,0,0
0.41,0.16034706,-2,2,0,0,0,0,0.8,0.8,0,0,0,0,0
0.43,0.17581405,-2,2,0,0,0,0,0.84,0.84,0,0,0,0,0
0.45,0.19129531,-2,2,0,0,0,0,0.88,0.88,0,0,0,0,0
0.48,0.22164369,-2,2,0,0,0,0,0.94,0.94,0,0,0,0,0
0.5,0.3171106,-2,2,0,0,0,0,0.98,0.98,0,0,0,0,0
0.52,0.22949141,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.54,0.2144103,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.56,0.24421899,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.59,0.24748261,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.61,0.24704395,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.63,0.24645571,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.65,0.24584983,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.68,0.24494012,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.7,0.24433523,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.72,0.24373184,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.74,0.24312992,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.77,0.24222983,-2,2,0,0,0,0,1,1,0,0,0,0,0
