"t","J1_w","J2_w","J3_w","J4_w"
0.001,9.915624,0.099997506,0,0
0.016,9.86072,0.19997993,0,0
0.03,9.831168,0.29993245,0,0
0.04,9.819949,0.39983857,0,0
0.05,9.818423,0.49968252,0,0
0.06,9.817011,0.59944856,0,0
0.07,9.806089,0.699121,0,0
0.08,9.776928,0.798684,0,0
0.09,9.722693,0.8981219,0,0
0.1,9.638983,0.99741894,0,0
0.11,9.524319,1.0965595,0,0
0.12,9.38012,1.1955279,0,0
0.13,9.210918,1.2943085,0,0
0.14,9.02366,1.3928857,0,0
0.15,8.826981,1.491244,0,0
0.16,8.630512,1.5893677,0,0
0.17,8.443858,1.6872416,0,0
0.18,8.275786,1.78485,0,0
0.19,8.133169,1.8821775,0,0
0.2,8.021018,1.9792088,0,0
0.21,7.9398084,2.075928,0,0
0.22,7.8885117,2.1723204,0,0
0.23,7.862805,2.268371,0,0
0.24,7.8558245,2.364065,0,0
0.25,7.8587055,2.4593866,0,0
0.26,7.8619833,2.5543208,0,0
0.27,7.8562145,2.6488526,0,0
0.28,7.8326902,2.742967,0,0
0.29,7.784412,2.8366492,0,0
0.3,7.706893,2.9298844,0,0
0.31,7.5986066,3.022658,0,0
0.32,7.4610996,3.1149554,0,0
0.33,7.29882,3.206762,0,0
0.34,7.1186805,3.298063,0,0
0.35,6.9293885,3.3888443,0,0
0.36,6.7406006,3.4790914,0,0
0.37,6.561976,3.5687902,0,0
0.38,6.4022346,3.6579263,0,0
0.39,6.2683015,3.746486,0,0
0.4,6.164633,3.8344548,0,0
0.41,6.0928955,3.8218179,0.1,0
0.42,6.0511465,3.808563,0.2,0
0.43,6.035353,3.794677,0.3,0
0.44,6.038594,3.7801456,0.4,0
0.45,6.0520744,3.764955,0.5,0
0.46,6.0663104,3.749092,0.6,0
0.47,6.0717154,3.7325432,0.7,0
0.48,6.0594153,3.7152956,0.8,0
0.49,6.0226555,3.6973357,0.9,0
0.5,5.957049,3.678651,1,0
0.51,5.8609223,3.6592286,1.1,0
0.52,5.735866,3.6390555,1.2,0
0.53,5.5863833,3.6181192,1.3,0
0.54,5.419364,3.5964072,1.4,0
0.55,5.2434893,3.5739074,1.5,0
0.56,5.0684357,3.5506074,1.6,0
0.57,4.9037895,3.526495,1.7,0
0.58,4.7582607,3.501558,1.8,0
0.59,4.638832,3.4757853,1.9,0
0.6,4.549868,3.4491644,2,0
0.61,4.492909,3.421684,2.1,0
0.62,4.466489,3.393333,2.2,0
0.63,4.4661727,3.3640993,2.3,0
0.64,4.485033,3.3339725,2.4,0
0.65,4.5144897,3.302941,2.5,0
0.66,4.5449815,3.2709942,2.6,0
0.67,4.566826,3.2381215,2.7,0
0.68,4.57127,3.2043118,2.8,0
0.69,4.551404,3.1695552,2.9,0
0.7,4.5028114,3.133841,3,0
0.71,4.423975,3.0985796,3.0985796,0
0.72,4.3165436,3.1297495,3.1297495,0
0.73,4.1849737,3.1604261,3.1604261,0
0.74,4.0361323,3.190604,3.190604,0
0.75,3.878474,3.2202787,3.2202787,0
0.76,3.7217817,3.2494454,3.2494454,0
0.77,3.5756297,3.2780993,3.2780993,0
0.78,3.4487514,3.3062363,3.3062363,0
0.79,3.3482583,3.3338516,3.3338516,0
0.8,3.333483,3.333483,3.333483,0
0.81,3.3386405,3.3386405,3.3386405,0
0.82,3.3535924,3.3535924,3.3535924,0
0.83,3.3769996,3.3769996,3.3769996,0
0.84,3.4152985,3.4021924,3.4021924,0
0.85,3.46477,3.4265895,3.4265895,0
0.86,3.5155294,3.450436,3.450436,0
0.87,3.5577798,3.473729,3.473729,0
0.88,3.5827463,3.4964638,3.4964638,0
0.89,3.5836334,3.5186372,3.5186372,0
0.9,3.5559893,3.5402458,3.5402458,0
0.91,3.5402663,3.5402663,3.5402663,5.55E-15
0.92,3.4918776,3.4918776,3.4918776,0.09988903
0.93,3.4351563,3.4351563,3.4351563,0.19988903
0.94,3.3723173,3.3723173,3.3723173,0.29988903
0.95,3.3061905,3.3061905,3.3061905,0.39988902
0.96,3.2400699,3.2400699,3.2400699,0.49988905
0.97,3.1771262,3.1771262,3.1771262,0.59988904
0.98,3.1202214,3.1202214,3.1202214,0.69988906
0.99,3.0717697,3.0717697,3.0717697,0.799889
1,3.0332325,3.0332325,3.0332325,0.89988905
1.01,3.0183833,2.9984665,2.9984665,0.999889
1.02,3.034339,2.963056,2.963056,1.099889
1.03,3.0766835,2.927044,2.927044,1.1998891
1.04,3.1384819,2.890427,2.890427,1.2998891
1.05,3.2113166,2.853204,2.853204,1.399889
1.06,3.285348,2.8153727,2.8153727,1.499889
1.07,3.3510687,2.7769308,2.7769308,1.599889
1.08,3.399776,2.7378767,2.7378767,1.6998891
1.09,3.4243772,2.6982088,2.6982088,1.7998891
1.1,3.4206135,2.6579251,2.6579251,1.899889
1.11,3.3868763,2.6170247,2.6170247,1.999889
1.12,3.324839,2.5755055,2.5755055,2.099889
1.13,3.238824,2.5333664,2.5333664,2.199889
1.14,3.1355972,2.4906063,2.4906063,2.299889
1.15,3.0240202,2.447224,2.447224,2.399889
1.16,2.9137065,2.435441,2.435441,2.435441
1.17,2.8141959,2.4390213,2.4390213,2.4390213
1.18,2.7342498,2.4421847,2.4421847,2.4421847
1.19,2.6807659,2.4449308,2.4449308,2.4449308
1.2,2.6582315,2.4472592,2.4472592,2.4472592
1.21,2.6679757,2.4491696,2.4491696,2.4491696
1.22,2.7085183,2.450662,2.450662,2.450662
1.23,2.7757022,2.4517355,2.4517355,2.4517355
1.24,2.8623655,2.4523902,2.4523902,2.4523902
1.25,2.9600472,2.4526262,2.4526262,2.4526262
1.26,3.058314,2.452627,2.452627,2.452627
1.27,3.1471303,2.452627,2.452627,2.452627
1.28,3.21757,2.452627,2.452627,2.452627
1.29,3.2628407,2.452627,2.452627,2.452627
1.3,3.2784407,2.452627,2.452627,2.452627
1.31,3.2628825,2.452627,2.452627,2.452627
1.32,3.2176697,2.452627,2.452627,2.452627
1.33,3.1472535,2.452627,2.452627,2.452627
1.34,3.058512,2.452627,2.452627,2.452627
1.35,2.9600687,2.452627,2.452627,2.452627
1.36,2.861545,2.452627,2.452627,2.452627
1.37,2.7726119,2.452627,2.452627,2.452627
1.38,2.7019987,2.452627,2.452627,2.452627
1.39,2.6566243,2.452627,2.452627,2.452627
1.4,2.6409266,2.452627,2.452627,2.452627
1.41,2.6564388,2.452627,2.452627,2.452627
1.42,2.7016413,2.452627,2.452627,2.452627
1.43,2.7721107,2.452627,2.452627,2.452627
1.44,2.860949,2.452627,2.452627,2.452627
1.45,2.959461,2.452627,2.452627,2.452627
1.46,3.0580027,2.452627,2.452627,2.452627
1.47,3.1469285,2.452627,2.452627,2.452627
1.48,3.2175336,2.452627,2.452627,2.452627
1.49,3.2629066,2.452627,2.452627,2.452627
1.5,3.2786064,2.452627,2.452627,2.452627
