"time","lca@PUMP01","x1@INJ01","q@INJ01","volume@INJ01","p1@PUMP01","pa@DVALV01","sacp@INJ01"
0,0,1e-009,0,0,2.5,10,50
1e-005,1.274403613e-008,1e-009,-9.831609266e-009,-1.637955303e-015,2.499867015,9.935456431,49.99999999
2e-005,2.955929453e-008,1e-009,-9.83161625e-009,-3.276556424e-015,2.500050961,9.936080158,49.99999999
3e-005,5.173866357e-008,1e-009,-9.831609266e-009,-4.915157676e-015,2.500094615,9.974433757,49.99999999
4e-005,8.05750316e-008,1e-009,-9.831504505e-009,-6.553759051e-015,2.499986587,9.961565921,49.99999999
5e-005,1.17361287e-007,1e-009,-9.831609266e-009,-8.192360524e-015,2.500008844,9.939918314,49.99999999
6e-005,1.63390318e-007,1e-009,-9.831518473e-009,-9.830962093e-015,2.500121275,9.957153935,49.99999999
7e-005,2.199550132e-007,1e-009,-9.83161625e-009,-1.146956372e-014,2.500039,9.967462738,49.99999999
8e-005,2.883482607e-007,1e-009,-9.83161625e-009,-1.31081654e-014,2.500031833,9.952805345,49.99999999
9e-005,3.69862949e-007,1e-009,-9.83161625e-009,-1.474676711e-014,2.500121347,9.952309017,49.99999999
0.0001,4.657919664e-007,1e-009,-9.831602282e-009,-1.638536882e-014,2.500158146,9.963427923,49.99999999
0.00011,5.774282013e-007,1e-009,-9.831609266e-009,-1.802397052e-014,2.500126566,9.961072737,49.99999999
0.00012,7.060645421e-007,1e-009,-9.83161625e-009,-1.966257218e-014,2.500205508,9.956042141,49.99999999
0.00013,8.52993877e-007,1e-009,-9.831455617e-009,-2.13011738e-014,2.50032181,9.961255413,49.99999999
0.00014,1.019508583e-006,1e-009,-9.83165117e-009,-2.293977535e-014,2.500346045,9.964359115,49.99999999
0.00015,1.20639117e-006,1e-009,-9.831623234e-009,-2.457837684e-014,2.500410954,9.961467094,49.99999999
0.00016,1.412957521e-006,1e-009,-9.831609266e-009,-2.621697827e-014,2.500554974,9.962355785,49.99999999
0.00017,1.638261417e-006,1e-009,-9.83161625e-009,-2.785557962e-014,2.500641245,9.96596221,49.99999999
0.00018,1.88135664e-006,1e-009,-9.831602282e-009,-2.94941809e-014,2.500696434,9.965813233,49.99999999
0.00019,2.141296972e-006,1e-009,-9.831567361e-009,-3.113278213e-014,2.500818103,9.965327698,49.99999999
0.0002,2.417136196e-006,1e-009,-9.831609266e-009,-3.27713833e-014,2.500937152,9.967692316,49.99999999
0.00021,2.707928093e-006,1e-009,-9.831609266e-009,-3.440998444e-014,2.501001844,9.969096939,49.99999999
0.00022,3.012726444e-006,1e-009,-9.831602282e-009,-3.604858556e-014,2.501093262,9.968768525,49.99999999
0.00023,3.330585033e-006,1e-009,-9.831609266e-009,-3.768718666e-014,2.501211985,9.969998197,49.99999999
0.00024,3.660557641e-006,1e-009,-9.83158133e-009,-3.932578777e-014,2.501286974,9.971685672,49.99999999
0.00025,4.00169805e-006,1e-009,-9.83161625e-009,-4.096438889e-014,2.501355914,9.971933489,49.99999999
0.00026,4.353060041e-006,1e-009,-9.831588314e-009,-4.260299005e-014,2.501452364,9.972521418,49.99999999
0.00027,4.713697398e-006,1e-009,-9.831609266e-009,-4.424159124e-014,2.501524159,9.973975557,49.99999999
0.00028,5.082666094e-006,1e-009,-9.831602282e-009,-4.588019248e-014,2.501578274,9.974546852,49.99999999
0.00029,5.459378101e-006,1e-009,-9.83161625e-009,-4.751879378e-014,2.501655213,9.975087108,49.99999999
0.0003,5.843991912e-006,1e-009,-9.831609266e-009,-4.915739514e-014,2.501725892,9.976193636,49.99999999
0.00031,6.236760025e-006,1e-009,-9.831609266e-009,-5.079599655e-014,2.501792474,9.976742443,49.99999999
0.00032,6.637934936e-006,1e-009,-9.83161625e-009,-5.243459804e-014,2.50187763,9.977315566,49.99999999
0.00033,7.047769138e-006,1e-009,-9.831609266e-009,-5.40731996e-014,2.501958549,9.978157142,49.99999999
0.00034,7.46651513e-006,1e-009,-9.83161625e-009,-5.571180123e-014,2.50204181,9.97867993,49.99999999
0.00035,7.894425406e-006,1e-009,-9.831609266e-009,-5.735040295e-014,2.502135704,9.979258507,49.99999999
0.00036,8.331752461e-006,1e-009,-9.831609266e-009,-5.898900478e-014,2.502228997,9.979858836,49.99999999
0.00037,8.778748793e-006,1e-009,-9.831609266e-009,-6.062760676e-014,2.50232938,9.980354932,49.99999999
0.00038,9.235666896e-006,1e-009,-9.83161625e-009,-6.226620894e-014,2.502433947,9.980868416,49.99999999
0.00039,9.702759267e-006,1e-009,-9.83161625e-009,-6.390481143e-014,2.502543849,9.981341329,49.99999999
0.0004,1.01802784e-005,1e-009,-9.83161625e-009,-6.55434143e-014,2.5026587,9.981795734,49.99999999
0.00041,1.066847679e-005,1e-009,-9.831623234e-009,-6.718201768e-014,2.502778944,9.982232534,49.99999999
0.00042,1.116760499e-005,1e-009,-9.831623234e-009,-6.882062175e-014,2.502904402,9.982653211,49.99999999
0.00043,1.16777964e-005,1e-009,-9.831630218e-009,-7.045922678e-014,2.503032929,9.98305933,49.99999999
