"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8.signal1","Out8.signal2","Out9","Out10","Out11"
0,0,0,0,0,12,12,1,0,0,0,1,0,0,0,0,0,0,6
0.01,0,0.009999833334,0,0,12,12,1,0,0,0,1,0,0,0.009999833334,0,0,0,6
0.02,0,0.01999866669,0,0,12,12,1,0,0,0,1,0,0,0.01999866669,0,0,0,6
0.03,0,0.0299955002,0,0,12,12,1,0,0,0,1,0,0,0.0299955002,0,0,0,6
0.04,0,0.03998933419,0,0,12,12,1,0,0,0,1,0,0,0.03998933419,0,0,0,6
0.05,0,0.04997916927,0,0,12,12,1,0,0,0,1,0,0,0.04997916927,0,0,0,6
0.06,0,0.05996400648,0,0,12,12,1,0,0,0,1,0,0,0.05996400648,0,0,0,6
0.07,0,0.06994284734,0,0,12,12,1,0,0,0,1,0,0,0.06994284734,0,0,0,6
0.08,0,0.07991469397,0,0,12,12,1,0,0,0,1,0,0,0.07991469397,0,0,0,6
0.09,0,0.0898785492,1,0,12,12,1,0,0,0,1,0,0,0.0898785492,0,0,0,6
0.1,0,0.09983341665,1,0,12,12,1,0,0,0,1,0,0,0.09983341665,0,0,0,6
0.11,0,0.1097783008,1,0,12,12,1,0,0,0,1,0,0,0.1097783008,0,0,0.01996668333,6
0.12,0,0.1197122073,1,0,12,12,1,0,0,0,1,0,0,0.1197122073,0,0,0.01996668333,6
0.13,0,0.1296341426,1,0,12,12,1,0,0,0,1,0,0,0.1296341426,0,0,0.01996668333,6
0.14,0,0.1395431146,1,0,12,12,1,0,0,0,1,0,0,0.1395431146,0,0,0.01996668333,6
0.15,0,0.1494381325,1,0,12,12,1,0,0,0,1,0,0,0.1494381325,0,0,0.01996668333,6
0.16,0,0.1593182066,1,0,12,12,1,0,0,0,1,0,0,0.1593182066,0,0,0.01996668333,6
0.17,0,0.1691823491,2,0,12,12,1,0,0,0,1,0,0,0.1691823491,0,0,0.01996668333,6
0.18,0,0.1790295734,2,0,12,12,1,0,0,0,1,0,0,0.1790295734,0,0,0.01996668333,6
0.19,0,0.188858895,2,0,12,12,1,0,0,0,1,0,0,0.188858895,0,0,0.01996668333,6
0.2,0,0.1986693308,2,0,12,12,1,0,0,0,1,0,0,0.1986693308,0,0,0.01996668333,6
0.21,0,0.2084598998,2,0,12,12,1,0,0,0,1,0,0,0.2084598998,0,0,0.03973386616,6
0.22,0,0.2182296231,2,0,12,12,1,0,0,0,1,0,0,0.2182296231,0,0,0.03973386616,6
0.23,0,0.2279775235,2,0,12,12,1,0,0,0,1,0,0,0.2279775235,0,0.2182296231,0.03973386616,6
0.24,0,0.2377026264,2,0,12,12,1,0,0,0,1,0,0,0.2377026264,0,0.2182296231,0.03973386616,6
0.25,0,0.2474039593,2,0,12,12,1,0,0,0,1,0,0,0.2474039593,0,0.2182296231,0.03973386616,6
0.26,0,0.2570805519,3,0,12,12,1,0,0,0,1,0,0,0.2570805519,0,0.2182296231,0.03973386616,6
0.27,0,0.2667314367,3,0,12,12,1,0,0,0,1,0,0,0.2667314367,0,0.2182296231,0.03973386616,6
0.28,0,0.2763556486,3,0,12,12,1,0,0,0,1,0,0,0.2763556486,0,0.2182296231,0.03973386616,6
0.29,0,0.2859522251,3,0,12,12,1,0,0,0,1,0,0,0.2859522251,0,0.2182296231,0.03973386616,6
0.3,0,0.2955202067,3,0,12,12,1,0,0,0,1,0,0,0.2955202067,0,0.2182296231,0.03973386616,6
0.31,0,0.3050586364,3,0,12,12,1,0,0,0,1,0,0.2955202067,0.3050586364,0,0.2182296231,0.05910404133,6
0.32,0,0.3145665606,3,0,12,12,1,0,0,0,1,0,0.2955202067,0.3145665606,0,0.2182296231,0.05910404133,6
0.33,0,0.3240430284,3,0,12,12,1,0,0,0,1,0,0.2955202067,0.3240430284,0,0.2182296231,0.05910404133,6
0.34,0,0.3334870921,4,0,12,12,1,0,0,0,1,0,0.2955202067,0.3334870921,0,0.2182296231,0.05910404133,6
0.35,0,0.3428978075,4,0,12,12,1,0,0,0,1,0,0.2955202067,0.3428978075,0,0.2182296231,0.05910404133,6
