"time","tempc@tpf_st_chamber","press@tpf_st_chamber","out2@division","tau@tpf_st_chamber","dm2@tpf_pump","torque@expseu_"
0,19.904,0.02337,0.24,25,0.130321,0.554211
0.1,20.7769,0.0246641,0.240873,25.0873,0.130355,0.571176
0.2,21.6454,0.0260134,0.241749,25.1749,0.130389,0.588829
0.3,22.5095,0.0274193,0.242627,25.2627,0.130422,0.606707
0.4,23.3692,0.0288832,0.243508,25.3508,0.130456,0.624799
0.5,24.2193,0.0303973,0.244375,25.4375,0.123965,0.642972
0.6,25.0467,0.0319371,0.245189,25.5189,0.115494,0.660889
0.7,25.8527,0.0335017,0.245952,25.5952,0.107559,0.67854
0.8,26.6388,0.0350917,0.246666,25.6666,0.100125,0.695934
0.9,27.4067,0.0367077,0.247335,25.7335,0.0931612,0.713084
1,28.1578,0.0383505,0.247961,25.7961,0.0866387,0.729997
1.1,28.8933,0.0400209,0.248548,25.8548,0.0805294,0.746685
1.2,29.6145,0.0417199,0.249097,25.9097,0.0748072,0.763156
1.3,30.3225,0.0434482,0.249611,25.9611,0.0694477,0.779419
1.4,31.0184,0.0452071,0.250092,26.0092,0.0644279,0.795484
1.5,31.703,0.0469976,0.250543,26.0543,0.0597262,0.811357
1.6,32.3773,0.0488207,0.250965,26.0965,0.0553226,0.827047
1.7,33.042,0.0506778,0.25136,26.136,0.0511978,0.84256
1.8,33.6979,0.0525699,0.25173,26.173,0.0473343,0.857902
1.9,34.3457,0.0544983,0.252077,26.2077,0.0437152,0.873079
2,34.986,0.0564643,0.252402,26.2402,0.040325,0.888096
2.1,35.6195,0.0584692,0.252706,26.2706,0.037149,0.902956
2.2,36.2465,0.0605143,0.25299,26.299,0.0341734,0.917665
2.3,36.8677,0.062601,0.253257,26.3257,0.0313855,0.932224
2.4,37.4835,0.0647307,0.253507,26.3507,0.028773,0.946637
2.5,38.0943,0.0669047,0.253741,26.3741,0.0263248,0.960905
2.6,38.7006,0.0691245,0.25396,26.396,0.0240303,0.975029
2.7,39.3027,0.0713915,0.254165,26.4165,0.0218795,0.98901
2.8,39.9008,0.0737072,0.254358,26.4358,0.0198632,1.00285
2.9,40.4955,0.0760731,0.254538,26.4538,0.0179727,1.01654
3,41.0868,0.0784906,0.254708,26.4708,0.0161998,1.03009
3.1,41.6752,0.0809613,0.254866,26.4866,0.014537,1.0435
3.2,42.2608,0.0834868,0.255015,26.5015,0.0129771,1.05675
3.3,42.8439,0.0860685,0.255155,26.5155,0.0115135,1.06985
3.4,43.4247,0.088708,0.255285,26.5285,0.0101399,1.0828
3.5,44.0034,0.0914069,0.255408,26.5408,0.00885053,1.09559
3.6,44.5802,0.0941669,0.255524,26.5524,0.00763987,1.10822
3.7,45.1552,0.0969895,0.255632,26.5632,0.00650283,1.12068
3.8,45.7287,0.0998764,0.255734,26.5734,0.00543462,1.13297
3.9,46.3006,0.102829,0.255829,26.5829,0.00443075,1.14508
4,46.8713,0.10585,0.255919,26.5919,0.00348672,1.15701
4.1,47.4408,0.10894,0.256003,26.6003,0.00259673,1.16875
4.2,48.0092,0.1121,0.256082,26.6082,0.00174901,1.18029
4.3,48.5766,0.115334,0.256157,26.6157,0.000925627,1.19162
4.4,49.143,0.118641,0.256227,26.6227,0.000190454,1.20273
4.5,49.709,0.122027,0.256294,26.6294,0,1.21364
4.6,50.2752,0.125497,0.256361,26.6361,0,1.22434
4.7,50.8416,0.129052,0.256429,26.6429,0,1.23482
4.8,51.4083,0.132694,0.256498,26.6498,0,1.24507
4.9,51.9752,0.136426,0.256567,26.6567,0,1.25509
5,52.5423,0.140249,0.256637,26.6637,0,1.26484
5.1,53.1096,0.144164,0.256708,26.6708,0,1.27433
5.2,53.6772,0.148174,0.256779,26.6779,0,1.28354
5.3,54.2449,0.152281,0.25685,26.685,0,1.29246
5.4,54.8128,0.156485,0.256923,26.6923,0,1.30106
5.5,55.3809,0.16079,0.256996,26.6996,0,1.30934
5.6,55.9492,0.165197,0.257069,26.7069,0,1.31728
5.7,56.5177,0.169708,0.257143,26.7143,0,1.32486
5.8,57.0863,0.174326,0.257218,26.7218,0,1.33208
5.9,57.6551,0.179051,0.257293,26.7293,0,1.33891
6,58.224,0.183886,0.257369,26.7369,0,1.34534
6.1,58.7931,0.188834,0.257445,26.7445,0,1.35135
6.2,59.3624,0.193896,0.257522,26.7522,0,1.35692
6.3,59.9317,0.199074,0.2576,26.76,0,1.36204
6.4,60.5013,0.20437,0.257678,26.7678,0,1.3667
6.5,61.0709,0.209788,0.257756,26.7756,0,1.37087
6.6,61.6406,0.215328,0.257835,26.7835,0,1.37453
6.7,62.2105,0.220993,0.257915,26.7915,0,1.37767
6.8,62.7805,0.226786,0.257995,26.7995,0,1.38026
