"time","driveAngle","spring.w_rel","PI.I.y","inertia1.phi","spring.phi_rel","integrator.y","inertia1.w"
0,1.57,0,-0.1,0,0.001,0,0
0.004,1.57,0,-0.1,0,0.001,0,0
0.008,1.57,0,-0.1,0,0.001,0,0
0.012,1.57,0,-0.1,0,0.001,0,0
0.016,1.57,0,-0.1,0,0.001,0,0
0.02,1.57,0,-0.1,0,0.001,0,0
0.024,1.57,0,-0.1,0,0.001,0,0
0.028,1.57,0,-0.1,0,0.001,0,0
0.032,1.57,0,-0.1,0,0.001,0,0
0.036,1.57,0,-0.1,0,0.001,0,0
0.04,1.57,0,-0.1,0,0.001,0,0
0.044,1.57,0,-0.1,0,0.001,0,0
0.048,1.57,0,-0.1,0,0.001,0,0
0.052,1.57,0,-0.1,0,0.001,0,0
0.056,1.57,0,-0.1,0,0.001,0,0
0.06,1.57,0,-0.1,0,0.001,0,0
0.064,1.57,0,-0.1,0,0.001,0,0
0.068,1.57,0,-0.1,0,0.001,0,0
0.072,1.57,0,-0.1,0,0.001,0,0
0.076,1.57,0,-0.1,0,0.001,0,0
0.08,1.57,0,-0.1,0,0.001,0,0
0.084,1.57,0,-0.1,0,0.001,0,0
0.088,1.57,0,-0.1,0,0.001,0,0
0.092,1.57,0,-0.1,0,0.001,0,0
0.096,1.57,0,-0.1,0,0.001,0,0
0.1,1.57,0,-0.1,0,0.001,0,0
0.104,1.57,0,-0.1,0,0.001,0,0
0.108,1.57,0,-0.1,0,0.001,0,0
0.112,1.57,0,-0.1,0,0.001,0,0
0.116,1.57,0,-0.1,0,0.001,0,0
0.12,1.57,0,-0.1,0,0.001,0,0
0.124,1.57,0,-0.1,0,0.001,0,0
0.128,1.57,0,-0.1,0,0.001,0,0
0.132,1.57,0,-0.1,0,0.001,0,0
0.136,1.57,0,-0.1,0,0.001,0,0
0.14,1.57,0,-0.1,0,0.001,0,0
0.144,1.57,0,-0.1,0,0.001,0,0
0.148,1.57,0,-0.1,0,0.001,0,0
0.152,1.57,0,-0.1,0,0.001,0,0
0.156,1.57,0,-0.1,0,0.001,0,0
0.16,1.57,0,-0.1,0,0.001,0,0
0.164,1.57,0,-0.1,0,0.001,0,0
0.168,1.57,0,-0.1,0,0.001,0,0
0.172,1.57,0,-0.1,0,0.001,0,0
0.176,1.57,0,-0.1,0,0.001,0,0
0.18,1.57,0,-0.1,0,0.001,0,0
0.184,1.57,0,-0.1,0,0.001,0,0
0.188,1.57,0,-0.1,0,0.001,0,0
0.192,1.57,0,-0.1,0,0.001,0,0
0.196,1.57,0,-0.1,0,0.001,0,0
0.2,1.57,0,-0.1,0,0.001,0,0
0.204,1.57,0,-0.1,0,0.001,0,0
0.208,1.57,0,-0.1,0,0.001,0,0
0.212,1.57,0,-0.1,0,0.001,0,0
0.216,1.57,0,-0.1,0,0.001,0,0
0.22,1.57,0,-0.1,0,0.001,0,0
0.224,1.57,0,-0.1,0,0.001,0,0
0.228,1.57,0,-0.1,0,0.001,0,0
0.232,1.57,0,-0.1,0,0.001,0,0
0.236,1.57,0,-0.1,0,0.001,0,0
0.24,1.57,0,-0.1,0,0.001,0,0
0.244,1.57,0,-0.1,0,0.001,0,0
0.248,1.57,0,-0.1,0,0.001,0,0
0.252,1.57,0,-0.1,0,0.001,0,0
0.256,1.57,0,-0.1,0,0.001,0,0
0.26,1.57,0,-0.1,0,0.001,0,0
0.264,1.57,0,-0.1,0,0.001,0,0
0.268,1.57,0,-0.1,0,0.001,0,0
0.272,1.57,0,-0.1,0,0.001,0,0
0.276,1.57,0,-0.1,0,0.001,0,0
0.28,1.57,0,-0.1,0,0.001,0,0
0.284,1.57,0,-0.1,0,0.001,0,0
0.288,1.57,0,-0.1,0,0.001,0,0
0.292,1.57,0,-0.1,0,0.001,0,0
0.296,1.57,0,-0.1,0,0.001,0,0
0.3,1.57,0,-0.1,0,0.001,0,0
0.304,1.57,0,-0.1,0,0.001,0,0
0.308,1.57,0,-0.1,0,0.001,0,0
0.312,1.57,0,-0.1,0,0.001,0,0
0.316,1.57,0,-0.1,0,0.001,0,0
0.32,1.57,0,-0.1,0,0.001,0,0
0.324,1.57,0,-0.1,0,0.001,0,0
0.328,1.57,0,-0.1,0,0.001,0,0
0.332,1.57,0,-0.1,0,0.001,0,0
0.336,1.57,0,-0.1,0,0.001,0,0
0.34,1.57,0,-0.1,0,0.001,0,0
0.344,1.57,0,-0.1,0,0.001,0,0
0.348,1.57,0,-0.1,0,0.001,0,0
0.352,1.57,0,-0.1,0,0.001,0,0
0.356,1.57,0,-0.1,0,0.001,0,0
0.36,1.57,0,-0.1,0,0.001,0,0
0.364,1.57,0,-0.1,0,0.001,0,0
0.368,1.57,0,-0.1,0,0.001,0,0
0.372,1.57,0,-0.1,0,0.001,0,0
0.376,1.57,0,-0.1,0,0.001,0,0
0.38,1.57,0,-0.1,0,0.001,0,0
0.384,1.57,0,-0.1,0,0.001,0,0
0.388,1.57,0,-0.1,0,0.001,0,0
0.392,1.57,0,-0.1,0,0.001,0,0
0.396,1.57,0,-0.1,0,0.001,0,0
0.4,1.57,0,-0.1,0,0.001,0,0
0.404,1.57,0,-0.1,0,0.001,0,0
0.408,1.57,0,-0.1,0,0.001,0,0
0.412,1.57,0,-0.1,0,0.001,0,0
0.416,1.57,0,-0.1,0,0.001,0,0
0.42,1.57,0,-0.1,0,0.001,0,0
0.424,1.57,0,-0.1,0,0.001,0,0
0.428,1.57,0,-0.1,0,0.001,0,0
0.432,1.57,0,-0.1,0,0.001,0,0
0.436,1.57,0,-0.1,0,0.001,0,0
0.44,1.57,0,-0.1,0,0.001,0,0
0.444,1.57,0,-0.1,0,0.001,0,0
0.448,1.57,0,-0.1,0,0.001,0,0
0.452,1.57,0,-0.1,0,0.001,0,0
0.456,1.57,0,-0.1,0,0.001,0,0
0.46,1.57,0,-0.1,0,0.001,0,0
0.464,1.57,0,-0.1,0,0.001,0,0
0.468,1.57,0,-0.1,0,0.001,0,0
0.472,1.57,0,-0.1,0,0.001,0,0
0.476,1.57,0,-0.1,0,0.001,0,0
0.48,1.57,0,-0.1,0,0.001,0,0
0.484,1.57,0,-0.1,0,0.001,0,0
0.488,1.57,0,-0.1,0,0.001,0,0
0.492,1.57,0,-0.1,0,0.001,0,0
0.496,1.57,0,-0.1,0,0.001,0,0
0.5,1.57,0,-0.1,0,0.001,0,0
0.504,1.57,-0.000904626,-0.0998435,4.35483E-06,0.000996282,0.004,0.00114288
0.508,1.57,-0.00180925,-0.0996871,8.70966E-06,0.000992564,0.008,0.00228577
0.512,1.57,-0.00264342,-0.0994128,2.12813E-05,0.00098397,0.012,0.00382118
0.516,1.57,-0.00340713,-0.0990207,4.20696E-05,0.000970499,0.016,0.00574914
0.52,1.57,-0.00417084,-0.0986286,6.28579E-05,0.000957029,0.02,0.00767709
0.524,1.57,-0.00427905,-0.0980465,0.000104652,0.000939375,0.024,0.00996454
0.528,1.57,-0.00438726,-0.0974644,0.000146446,0.000921721,0.028,0.012252
0.532,1.57,-0.00432273,-0.0968084,0.000200841,0.000904524,0.032,0.0147809
0.536,1.57,-0.00408546,-0.0960784,0.000267838,0.000887785,0.036,0.0175513
0.54,1.57,-0.00384819,-0.0953483,0.000334834,0.000871045,0.04,0.0203217
0.544,1.57,-0.00351404,-0.0945215,0.000432152,0.000857307,0.044,0.0236111
0.548,1.57,-0.0031799,-0.0936947,0.00052947,0.000843568,0.048,0.0269004
0.552,1.57,-0.00285403,-0.0928441,0.00064441,0.000831484,0.052,0.030417
0.556,1.57,-0.00253644,-0.0919697,0.000776971,0.000821057,0.056,0.0341607
0.56,1.57,-0.00221885,-0.0910953,0.000909533,0.000810629,0.06,0.0379044
0.564,1.57,-0.0019539,-0.0902138,0.00108138,0.000803126,0.064,0.0420007
0.568,1.57,-0.00168895,-0.0893323,0.00125323,0.000795623,0.068,0.0460969
0.572,1.57,-0.00145207,-0.0884623,0.00144623,0.000789303,0.072,0.0503188
0.576,1.57,-0.00124325,-0.0876038,0.00166038,0.000784166,0.076,0.0546666
0.58,1.57,-0.00103444,-0.0867452,0.00187452,0.000779028,0.08,0.0590143
0.584,1.57,-0.00087482,-0.0859304,0.00213304,0.000775726,0.084,0.0635284
0.588,1.57,-0.0007152,-0.0851156,0.00239156,0.000772424,0.088,0.0680426
0.592,1.57,-0.000575716,-0.0843293,0.00267293,0.000769815,0.092,0.0726065
0.596,1.57,-0.000456367,-0.0835713,0.00297714,0.0007679,0.096,0.0772203
0.6,1.57,-0.000337018,-0.0828134,0.00328134,0.000765986,0.1,0.0818341
0.604,1.57,-0.000249692,-0.0821197,0.00363197,0.000765098,0.104,0.0864972
0.608,1.57,-0.000162366,-0.081426,0.0039826,0.00076421,0.108,0.0911604
0.612,1.57,-8.75932E-05,-0.0807659,0.00435659,0.000763693,0.112,0.0958299
0.616,1.57,-2.5373E-05,-0.0801394,0.00475394,0.000763547,0.116,0.100506
0.62,1.57,3.68472E-05,-0.0795129,0.00515129,0.000763402,0.12,0.105182
0.624,1.57,7.96092E-05,-0.0789535,0.00559535,0.000763777,0.124,0.109845
0.628,1.57,0.000122371,-0.0783941,0.00603941,0.000764153,0.128,0.114507
0.632,1.57,0.000157679,-0.0778672,0.00650672,0.000764703,0.132,0.119155
0.636,1.57,0.000185534,-0.0773726,0.00699726,0.000765428,0.136,0.123787
0.64,1.57,0.000213388,-0.0768781,0.00748781,0.000766153,0.14,0.128419
0.644,1.57,0.000229977,-0.0764448,0.00802448,0.000767097,0.144,0.133009
0.648,1.57,0.000246565,-0.0760114,0.00856114,0.000768042,0.148,0.137599
0.652,1.57,0.000258968,-0.0756064,0.00912064,0.000769047,0.152,0.142165
0.656,1.57,0.000267184,-0.0752297,0.00970297,0.000770114,0.156,0.146707
0.66,1.57,0.0002754,-0.074853,0.0102853,0.00077118,0.16,0.151249
0.664,1.57,0.000277528,-0.0745279,0.0109128,0.000772297,0.164,0.15574
0.668,1.57,0.000279657,-0.0742029,0.0115403,0.000773413,0.168,0.16023
0.672,1.57,0.000279635,-0.073901,0.0121901,0.000774529,0.172,0.164695
0.676,1.57,0.000277462,-0.0736225,0.0128622,0.000775644,0.176,0.169134
0.68,1.57,0.000275289,-0.0733439,0.0135344,0.000776759,0.18,0.173573
0.684,1.57,0.000270198,-0.0731066,0.0142507,0.000777836,0.184,0.177962
0.688,1.57,0.000265107,-0.0728694,0.0149669,0.000778914,0.188,0.182351
0.692,1.57,0.000259082,-0.0726505,0.015705,0.000779961,0.192,0.186716
0.696,1.57,0.000252125,-0.0724497,0.016465,0.000780978,0.196,0.191058
0.7,1.57,0.000245168,-0.072249,0.0172249,0.000781994,0.2,0.195399
0.704,1.57,0.000237144,-0.0720802,0.018028,0.000782935,0.204,0.199696
0.708,1.57,0.000229121,-0.0719113,0.0188311,0.000783876,0.208,0.203993
0.712,1.57,0.000220859,-0.0717563,0.0196556,0.000784776,0.212,0.20827
0.716,1.57,0.000212358,-0.0716152,0.0205015,0.000785633,0.216,0.212527
0.72,1.57,0.000203857,-0.071474,0.0213474,0.000786491,0.22,0.216784
0.724,1.57,0.000195296,-0.0713567,0.0222357,0.000787263,0.224,0.221004
0.728,1.57,0.000186736,-0.0712394,0.0231239,0.000788035,0.228,0.225225
0.732,1.57,0.000178292,-0.0711322,0.0240332,0.000788765,0.232,0.229429
0.736,1.57,0.000169964,-0.0710353,0.0249635,0.000789453,0.236,0.233617
0.74,1.57,0.000161636,-0.0709383,0.0258938,0.00079014,0.24,0.237805
0.744,1.57,0.000153741,-0.0708587,0.0268659,0.000790747,0.244,0.241964
0.748,1.57,0.000145845,-0.0707791,0.0278379,0.000791353,0.248,0.246123
0.752,1.57,0.000138228,-0.0707068,0.0288307,0.000791921,0.252,0.25027
0.756,1.57,0.000130891,-0.0706418,0.0298442,0.000792452,0.256,0.254404
0.76,1.57,0.000123553,-0.0705768,0.0308577,0.000792982,0.26,0.258538
0.764,1.57,0.000116844,-0.0705241,0.0319124,0.000793442,0.264,0.262651
0.768,1.57,0.000110135,-0.0704714,0.0329671,0.000793902,0.268,0.266763
