"time","outBool3"
0,0
0.001,0
0.002,0
0.003,0
0.004,0
0.005,0
0.006,0
0.007,0
0.008,0
0.009,0
0.01,0
0.011,0
0.012,0
0.013,0
0.014,0
0.015,0
0.016,0
0.017,0
0.018,0
0.019,0
0.02,0
0.021,0
0.022,0
0.023,0
0.024,0
0.025,0
0.026,0
0.027,0
0.028,0
0.029,0
0.03,0
0.031,0
0.032,0
0.033,0
0.034,0
0.035,0
0.036,0
0.037,0
0.038,0
0.039,0
0.04,0
0.041,0
0.042,0
0.043,0
0.044,0
0.045,0
0.046,0
0.047,0
0.048,0
0.049,0
0.05,0
0.051,1
0.052,1
0.053,1
0.054,1
0.055,1
0.056,1
0.057,1
0.058,1
0.059,1
0.06,1
0.061,1
0.062,1
0.063,1
0.064,1
0.065,1
0.066,1
0.067,1
0.068,1
0.069,1
0.07,1
0.071,1
0.072,1
0.073,1
0.074,1
0.075,1
0.076,1
0.077,1
0.078,1
0.079,1
0.08,1
0.081,1
0.082,1
0.083,1
0.084,1
0.085,1
0.086,1
0.087,1
0.088,1
0.089,1
0.09,1
0.091,1
0.092,1
0.093,1
0.094,1
0.095,1
0.096,1
0.097,1
0.098,1
0.099,1
0.1,1
0.101,0
0.102,0
0.103,0
0.104,0
0.105,0
0.106,0
0.107,0
0.108,0
0.109,0
0.11,0
0.111,0
0.112,0
0.113,0
0.114,0
0.115,0
0.116,0
0.117,0
0.118,0
0.119,0
0.12,0
0.121,0
0.122,0
0.123,0
0.124,0
0.125,0
0.126,0
0.127,0
0.128,0
0.129,0
0.13,0
0.131,0
0.132,0
0.133,0
0.134,0
0.135,0
0.136,0
0.137,0
0.138,0
0.139,0
0.14,0
0.141,0
0.142,0
0.143,0
0.144,0
0.145,0
0.146,0
0.147,0
0.148,0
0.149,0
0.15,0
0.151,1
0.152,1
0.153,1
0.154,1
0.155,1
0.156,1
0.157,1
0.158,1
0.159,1
0.16,1
0.161,1
0.162,1
0.163,1
0.164,1
0.165,1
0.166,1
0.167,1
0.168,1
0.169,1
0.17,1
0.171,1
0.172,1
0.173,1
0.174,1
0.175,1
0.176,1
0.177,1
0.178,1
0.179,1
0.18,1
0.181,1
0.182,1
0.183,1
0.184,1
0.185,1
0.186,1
0.187,1
0.188,1
0.189,1
0.19,1
0.191,1
0.192,1
0.193,1
0.194,1
0.195,1
0.196,1
0.197,1
0.198,1
0.199,1
0.2,1
0.201,0
0.202,0
0.203,0
0.204,0
0.205,0
0.206,0
0.207,0
0.208,0
0.209,0
0.21,0
0.211,0
0.212,0
0.213,0
0.214,0
0.215,0
0.216,0
0.217,0
0.218,0
0.219,0
0.22,0
0.221,0
0.222,0
0.223,0
0.224,0
0.225,0
0.226,0
0.227,0
0.228,0
0.229,0
0.23,0
0.231,0
0.232,0
0.233,0
0.234,0
0.235,0
0.236,0
0.237,0
0.238,0
0.239,0
0.24,0
0.241,0
0.242,0
0.243,0
0.244,0
0.245,0
0.246,0
0.247,0
0.248,0
0.249,0
0.25,0
0.251,1
0.252,1
0.253,1
0.254,1
0.255,1
0.256,1
0.257,1
0.258,1
0.259,1
0.26,1
0.261,1
0.262,1
0.263,1
0.264,1
0.265,1
0.266,1
0.267,1
0.268,1
0.269,1
0.27,1
0.271,1
0.272,1
0.273,1
0.274,1
0.275,1
0.276,1
0.277,1
0.278,1
0.279,1
0.28,1
0.281,1
0.282,1
0.283,1
0.284,1
0.285,1
0.286,1
0.287,1
0.288,1
0.289,1
0.29,1
0.291,1
0.292,1
0.293,1
0.294,1
0.295,1
0.296,1
0.297,1
0.298,1
0.299,1
0.3,1
0.301,0
0.302,0
0.303,0
0.304,0
0.305,0
0.306,0
0.307,0
0.308,0
0.309,0
0.31,0
0.311,0
0.312,0
0.313,0
0.314,0
0.315,0
0.316,0
0.317,0
0.318,0
0.319,0
0.32,0
0.321,0
0.322,0
0.323,0
0.324,0
0.325,0
0.326,0
0.327,0
0.328,0
0.329,0
0.33,0
0.331,0
0.332,0
0.333,0
0.334,0
0.335,0
0.336,0
0.337,0
0.338,0
0.339,0
0.34,0
0.341,0
0.342,0
0.343,0
0.344,0
0.345,0
0.346,0
0.347,0
0.348,0
0.349,0
0.35,0
0.351,1
0.352,1
0.353,1
0.354,1
0.355,1
0.356,1
0.357,1
0.358,1
0.359,1
0.36,1
0.361,1
0.362,1
0.363,1
0.364,1
0.365,1
0.366,1
0.367,1
0.368,1
0.369,1
0.37,1
0.371,1
0.372,1
0.373,1
0.374,1
0.375,1
0.376,1
0.377,1
0.378,1
0.379,1
0.38,1
0.381,1
0.382,1
0.383,1
0.384,1
0.385,1
0.386,1
0.387,1
0.388,1
0.389,1
0.39,1
0.391,1
0.392,1
0.393,1
0.394,1
0.395,1
0.396,1
0.397,1
0.398,1
0.399,1
0.4,1
0.401,0
0.402,0
0.403,0
0.404,0
0.405,0
0.406,0
0.407,0
0.408,0
0.409,0
0.41,0
0.411,0
0.412,0
0.413,0
0.414,0
0.415,0
0.416,0
0.417,0
0.418,0
0.419,0
0.42,0
0.421,0
0.422,0
0.423,0
0.424,0
0.425,0
0.426,0
0.427,0
0.428,0
0.429,0
0.43,0
0.431,0
0.432,0
0.433,0
0.434,0
0.435,0
0.436,0
0.437,0
0.438,0
0.439,0
0.44,0
0.441,0
0.442,0
0.443,0
0.444,0
0.445,0
0.446,0
0.447,0
0.448,0
0.449,0
0.45,0
0.451,1
0.452,1
0.453,1
0.454,1
0.455,1
0.456,1
0.457,1
0.458,1
0.459,1
0.46,1
0.461,1
0.462,1
0.463,1
0.464,1
0.465,1
0.466,1
0.467,1
0.468,1
0.469,1
0.47,1
0.471,1
0.472,1
0.473,1
0.474,1
0.475,1
0.476,1
0.477,1
0.478,1
0.479,1
0.48,1
0.481,1
0.482,1
0.483,1
0.484,1
0.485,1
0.486,1
0.487,1
0.488,1
0.489,1
0.49,1
0.491,1
0.492,1
0.493,1
0.494,1
0.495,1
0.496,1
0.497,1
0.498,1
0.499,1
0.5,1
0.501,0
0.502,0
0.503,0
0.504,0
0.505,0
0.506,0
0.507,0
0.508,0
0.509,0
0.51,0
0.511,0
0.512,0
0.513,0
0.514,0
0.515,0
0.516,0
0.517,0
0.518,0
0.519,0
0.52,0
0.521,0
0.522,0
0.523,0
0.524,0
0.525,0
0.526,0
0.527,0
0.528,0
0.529,0
0.53,0
0.531,0
0.532,0
0.533,0
0.534,0
0.535,0
0.536,0
0.537,0
0.538,0
0.539,0
0.54,0
0.541,0
0.542,0
0.543,0
0.544,0
0.545,0
0.546,0
0.547,0
0.548,0
0.549,0
0.55,0
0.551,1
0.552,1
0.553,1
0.554,1
0.555,1
0.556,1
0.557,1
0.558,1
0.559,1
0.56,1
0.561,1
0.562,1
0.563,1
0.564,1
0.565,1
0.566,1
0.567,1
0.568,1
0.569,1
0.57,1
0.571,1
0.572,1
0.573,1
0.574,1
0.575,1
0.576,1
0.577,1
0.578,1
0.579,1
0.58,1
0.581,1
0.582,1
0.583,1
0.584,1
0.585,1
0.586,1
0.587,1
0.588,1
0.589,1
0.59,1
0.591,1
0.592,1
0.593,1
0.594,1
0.595,1
0.596,1
0.597,1
0.598,1
0.599,1
0.6,1
0.601,0
0.602,0
0.603,0
0.604,0
0.605,0
0.606,0
0.607,0
0.608,0
0.609,0
0.61,0
0.611,0
0.612,0
0.613,0
0.614,0
0.615,0
0.616,0
0.617,0
0.618,0
0.619,0
0.62,0
0.621,0
0.622,0
0.623,0
0.624,0
0.625,0
0.626,0
0.627,0
0.628,0
0.629,0
0.63,0
0.631,0
0.632,0
0.633,0
0.634,0
0.635,0
0.636,0
0.637,0
0.638,0
0.639,0
0.64,0
0.641,0
0.642,0
0.643,0
0.644,0
0.645,0
0.646,0
0.647,0
0.648,0
0.649,0
0.65,0
0.651,1
0.652,1
0.653,1
0.654,1
0.655,1
0.656,1
0.657,1
0.658,1
0.659,1
0.66,1
0.661,1
0.662,1
0.663,1
0.664,1
0.665,1
0.666,1
0.667,1
0.668,1
0.669,1
0.67,1
0.671,1
0.672,1
0.673,1
0.674,1
0.675,1
0.676,1
0.677,1
0.678,1
0.679,1
0.68,1
0.681,1
0.682,1
0.683,1
0.684,1
0.685,1
0.686,1
0.687,1
0.688,1
0.689,1
0.69,1
0.691,1
0.692,1
0.693,1
0.694,1
0.695,1
0.696,1
0.697,1
0.698,1
0.699,1
0.7,1
0.701,0
0.702,0
