    "time",     "uDC",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "uAC[1]",  "uAC[2]",  "uAC[3]",  "Losses"
         0, 565.68542,        -0,         0,         0,         0,         0,         0,       480
    0.0002, 559.00832,0.061466535,-1.0495633,0.98809678, 312.23791,-563.00923, 250.77132,  789.4276
    0.0004, 552.36824, 0.1227459,-6.7379299,  6.615184, 339.56325,-556.38048, 216.81723, 799.31415
    0.0006, 545.83145,0.18354084,-15.965437, 15.781896, 366.70156, -549.8621, 183.16054, 827.85477
    0.0008, 539.41922,0.24361142, -24.85594, 24.612329, 393.53964, -543.4676, 149.92797, 859.42302
     0.001, 533.10221,0.30272059,-29.595383, 29.292663, 419.94046,-537.16003, 117.21957, 877.95644
    0.0012, 526.80015,0.36063505,-26.532812, 26.172177,  445.7436,-530.85179, 85.108191, 867.73019
    0.0014, 520.38614,0.41712625,-12.273379, 11.856252, 470.76795,-524.40922, 53.641277, 814.63287
    0.0016, 513.74866,0.44994869,-0.9236342,0.47368551, 483.84908,-495.71749, 11.868408, 744.16661
    0.0018, 507.07455,0.49151873,-0.93570754,0.44418881, 501.29707, -477.6321,-23.664965, 736.58256
     0.002, 500.41578, 6.4501942,-6.8487633,0.39856911, 504.42807,-451.49879,-52.929279, 734.15607
    0.0022, 494.03371, 43.873219,  -44.2148,0.34158105,  498.1208, -419.8511,-78.269705, 850.54321
    0.0024, 488.35953, 111.86607,-112.14932,0.28324493, 492.58256,-387.91388,-104.66867, 1111.4257
    0.0026, 483.76759, 205.30962,-205.53341,0.22379096, 488.17745,-355.98432,-132.19313, 1518.1338
    0.0028, 480.55934,  318.4675,-318.63095, 0.1634538, 485.19546,-324.32471,-160.87075, 2069.7649
     0.003, 478.95672, 445.13435,-445.23682,0.10247156, 483.84612,-293.15889,-190.68723, 2757.7832
    0.0032, 479.09662, 578.78646,-578.82754,0.04108491, 484.25327,-262.66911,-221.58416, 3561.8516
    0.0034, 481.02793, 712.74334,-712.72288,-0.020463883, 486.45243,-232.99426,-253.45817, 4447.5054
    0.0036, 484.71091, 840.32782,-840.24589,-0.081931914, 490.39051,-204.22926,-286.16125, 5365.9598
    0.0038, 490.01642, 955.03564,-954.89256,-0.1430766, 495.92536,-176.42431,-319.50105, 6256.2451
     0.004, 496.73047, 1050.6883,-1050.4847,-0.20365662, 502.83064,-149.58691,-353.24373, 7049.3767
    0.0042, 504.55993, 1121.5842,-1121.3208,-0.26343291, 510.80182,-123.68432,-387.11749,  7674.278
    0.0044, 513.13977, 1162.6363,-1162.3142,-0.32216954, 519.46369,-98.646912,-420.81678, 8064.8162
    0.0046, 522.04199, 1169.5005,-1169.1209,-0.37963472, 528.37956,-74.372227,-454.00733, 8167.2744
    0.0048, 530.78702,  1138.678,-1138.2424,-0.43560166, 537.06287,-50.730388,-486.33248, 7947.3465
     0.005, 538.85444, 1067.6065,-1067.1166,-0.48984947, 544.98808,-27.569056,-517.41902, 7395.9984
    0.0052, 545.69625, 954.72475,-954.18258,-0.54216407, 551.60406, -4.719722,-546.88434, 6533.3831
    0.0054, 550.78169, 808.22353,-790.24369,-17.979847, 556.37905,-0.77226307,-555.60678, 5424.3052
    0.0056, 553.79535, 644.29451,-559.76512,-84.529387,  558.9983,-0.47523526,-558.52306, 4236.1595
    0.0058, 554.51257,  463.9344,-263.49005,-200.44435, 559.23888,-0.063045637,-559.17583, 3106.3524
     0.006, 552.80364, 316.92211,-0.20376502,-316.71834, 380.60069, 176.83547,-557.43616, 2254.9786
    0.0062, 550.33194, 317.64335,-0.14318622,-317.50017, 349.07617,  205.8898,-554.96597, 2241.6029
    0.0064,  547.9581, 331.05733,-0.082042338,-330.97528, 317.33073, 235.28831,-552.61903, 2299.4079
    0.0066, 545.82571, 353.13625,-0.020574671,-353.11567, 285.55277, 264.97808,-550.53086, 2409.1053
    0.0068, 544.02269, 379.66297,0.040974195,-379.70394, 253.90336,  294.8776,-548.78096, 2549.9662
     0.007, 542.57912, 406.32798,0.10236136,-406.43034, 222.51466, 324.87612,-547.39078,   2699.19
    0.0072,  541.4669, 428.84739,0.16334455,-429.01073, 191.48948, 354.83419,-546.32367, 2832.1448
    0.0074, 540.60398, 443.06695, 0.2236831,-443.29063, 160.90296, 384.58628,-545.48925, 2923.3367
    0.0076, 539.85446, 445.06121,0.28313885,-445.34434, 130.80232, 413.94145,-544.74377, 2948.0679
    0.0078, 539.03113, 431.24071,0.34147719,-431.58218, 101.20767,  442.6852,-543.89287,  2884.719
