    "time",     "y_0",     "y_1",     "y_2"
         0,         0,         0,         0
      0.02,         0,         0,         0
      0.04,0.79973336,   1.79972,         0
      0.06, 3.1957354, 3.5977606, 4.1977206
      0.08, 7.1784234, 5.3924444, 4.1977206
       0.1, 12.731866, 7.1820988, 8.3817788
      0.12, 19.833838, 8.9650574, 8.3817788
      0.14, 28.455906, 10.739663, 12.538583
      0.16, 38.563528, 12.504269, 12.538583
      0.18,  50.11618, 14.257241, 16.654682
       0.2, 63.067506, 15.996963, 16.654682
      0.22, 77.365481, 17.721833, 20.716836
      0.24, 92.952608,  19.43027, 20.716836
      0.26, 109.76612, 21.120714, 24.712081
      0.28, 127.73822, 22.791631, 24.712081
       0.3,  146.7963, 24.441506, 28.627799
      0.32, 166.86325, 26.068859, 28.627799
      0.34, 187.85772, 27.672237, 32.451783
      0.36, 209.69435, 29.250215, 32.451783
      0.38, 232.28423, 30.801405, 36.172292
       0.4, 255.53506, 32.324452, 36.172292
      0.42, 279.35162, 33.818039, 39.778119
      0.44, 303.63601, 35.280885, 39.778119
      0.46, 328.28811, 36.711751,  43.25864
      0.48, 353.20582, 38.109437,  43.25864
       0.5,  378.2856,  39.47279, 46.603869
      0.52, 403.42269, 40.800697, 46.603869
      0.54, 428.51154, 42.092092, 49.804509
      0.56, 453.44626, 43.345956, 49.804509
      0.58, 478.12094, 44.561319, 52.851988
       0.6, 502.43005, 45.737259, 52.851988
      0.62, 526.26887, 46.872906, 55.738512
      0.64, 549.53376, 47.967438, 55.738512
      0.66,  572.1227, 49.020089, 58.457086
      0.68, 593.93556, 50.030145, 58.457086
       0.7, 614.87443, 50.996943, 61.001556
      0.72, 634.84415, 51.919879, 61.001556
      0.74, 653.75245, 52.798401, 63.366628
      0.76, 671.51043, 53.632013, 63.366628
      0.78, 688.03283, 54.420275, 65.547889
       0.8, 703.23842, 55.162805, 65.547889
      0.82, 717.05022, 55.859277, 67.541827
      0.84, 729.39575, 56.509419, 67.541827
      0.86, 740.20743,  57.11302, 69.345834
      0.88, 749.42274, 57.669923, 69.345834
       0.9, 756.98451,  58.18003, 70.958214
      0.92, 762.84106, 58.643298, 70.958214
      0.94, 766.94644, 59.059741, 72.378184
      0.96, 769.26063, 59.429429, 72.378184
      0.98, 769.74962, 59.752487, 73.605862
         1, 768.38573, 60.029099, 73.605862
      1.02, 765.14742, 60.259498, 74.642264
      1.04, 760.01956, 60.443974, 74.642264
      1.06, 752.99358, 60.582871, 75.489275
      1.08, 744.06732, 60.676584, 75.489275
       1.1, 733.24512, 60.725559, 76.149639
      1.12, 720.53794, 60.730296, 76.149639
      1.14, 705.96313, 60.691341, 76.626927
      1.16, 689.54443, 60.609289, 76.626927
      1.18, 671.31206, 60.484784, 76.925502
       1.2, 651.30242, 60.318516, 76.925502
      1.22,  629.5581, 60.111218, 77.050492
      1.24,  606.1276, 59.863668, 77.050492
      1.26, 581.06534, 59.576685,  77.00774
      1.28, 554.43139,  59.25113,  77.00774
       1.3, 526.29123, 58.887902, 76.803765
      1.32, 496.71554, 58.487936, 76.803765
      1.34, 465.78013, 58.052207, 76.445713
      1.36, 433.56533,  57.58172, 76.445713
      1.38, 400.15605, 57.077513, 75.941304
       1.4, 365.64132, 56.540658, 75.941304
      1.42, 330.11398, 55.972249,  75.29878
      1.44, 293.67045, 55.373415,  75.29878
      1.46, 256.41031, 54.745304, 74.526844
      1.48, 218.43598,  54.08909, 74.526844
       1.5, 179.85237, 53.405967, 73.634604
      1.52,  140.7665, 52.697149, 73.634604
      1.54, 101.28717, 51.963867,  72.63151
      1.56, 61.524529, 51.207366,  72.63151
      1.58, 21.589717, 50.428906, 71.527289
       1.6,-18.405527, 49.629756, 71.527289
      1.62,-58.349254, 48.811197,  70.33188
      1.64,-98.129689, 47.974515,  70.33188
      1.66,-137.63563, 47.121002, 69.055377
      1.68,-176.75683, 46.251951, 69.055377
       1.7,-215.38439, 45.368658, 67.707952
      1.72,-253.41112, 44.472419, 67.707952
