    "time","tankLevel","tankLevel2","tankLevel3"
         0,         0,         0,         0
         1,         0,         0,         0
         2, 2.0138886,         0,         0
         3, 4.7916656,         0,         0
         4, 7.5694423,         0,         0
         5, 10.347227,         0,         0
         6, 13.125013,         0,         0
         7,   15.9028,         0,         0
         8, 18.680586,         0,         0
         9, 21.458372,         0,         0
        10, 24.236158,         0,         0
        11, 27.013945,         0,         0
        12, 29.791731,         0,         0
        13, 32.569515,         0,         0
        14, 35.347301,         0,         0
        15, 38.125088,         0,         0
        16, 40.902874,         0,         0
        17,  43.68066,         0,         0
        18, 46.458447,         0,         0
        19, 49.236233,         0,         0
        20, 52.014019,         0,         0
        21, 54.791805,         0,         0
        22, 57.569592,         0,         0
        23, 60.347378,         0,         0
        24, 63.125164,         0,         0
        25, 65.902901,         0,         0
        26, 68.680611,         0,         0
        27, 71.458321,         0,         0
        28, 74.236031,         0,         0
        29, 77.013741,         0,         0
        30, 79.791451,         0,         0
        31,  82.56916,         0,         0
        32,  85.34687,         0,         0
        33,  88.12458,         0,         0
        34,  90.90229,         0,         0
        35,     93.68,         0,         0
        36,  96.45771,         0,         0
        37,  99.23542,         0,         0
        38, 99.541664,         0,0.52777779
        39, 96.805611,         0, 3.2638881
        40, 94.027901,         0, 6.0416651
        41, 91.250191,         0, 8.8194447
        42, 88.472481,         0, 11.597231
        43, 85.694771,         0, 14.375017
        44, 82.917061,         0, 17.152803
        45, 80.139351,         0,  19.93059
        46, 77.361641,         0, 22.708376
        47, 74.583931,         0, 25.486162
        48, 71.806221,         0, 28.263948
        49, 69.028511,         0, 31.041735
        50, 66.250801,         0, 33.819519
        51, 63.473076,         0, 36.597305
        52,  60.69529,         0, 39.375092
        53, 57.917503,         0, 42.152878
        54, 55.139717,         0, 44.930664
        55, 52.361931,         0,  47.70845
        56, 49.584145,         0, 50.486237
        57, 46.806358,         0, 53.264023
        58, 44.028572,         0, 56.041809
        59, 41.250786,         0, 58.819595
        60,    38.473,         0, 61.597382
        61, 35.695213,         0,  64.37516
        62, 32.917427,         0,  67.15287
        63, 30.139641,         0,  69.93058
        64, 27.361855,         0,  72.70829
        65, 24.584068,         0,    75.486
        66, 21.806282,         0,  78.26371
        67, 19.028496,         0,  81.04142
        68,  16.25071,         0,  83.81913
        69, 13.472923,         0,  86.59684
        70, 10.695137,         0,  89.37455
        71, 7.9173512,         0,  92.15226
        72, 5.1395745,         0,  94.92997
        73, 2.3617978,         0,  97.70768
        74, 2.4312425,         0, 99.096565
        75, 5.2090192,         0, 99.096565
        76, 7.9867959,         0, 99.096565
        77, 10.764582,         0, 99.096565
        78, 13.542368,         0, 99.096565
        79, 16.320154,         0, 99.096565
        80,  19.09794,         0, 99.096565
        81, 21.875727,         0, 99.096565
        82, 24.653513,         0, 99.096565
        83, 27.431299,         0, 99.096565
        84, 30.209085,         0, 99.096565
        85,  32.98687,         0, 99.096565
        86, 35.764656,         0, 99.096565
        87, 38.542442,         0, 99.096565
        88, 41.320229,         0, 99.096565
        89, 44.098015,         0, 99.096565
        90, 46.875801,         0, 99.096565
        91, 49.653587,         0, 99.096565
        92, 52.431374,         0, 99.096565
        93,  55.20916,         0, 99.096565
        94, 57.986946,         0, 99.096565
        95, 60.764732,         0, 99.096565
        96, 63.542519,         0, 99.096565
        97, 66.320244,         0, 99.096565
        98, 69.097954,         0, 99.096565
        99, 71.875664,         0, 99.096565
       100, 74.653374,         0, 99.096565
       101, 77.431084,         0, 99.096565
       102, 80.208794,         0, 99.096565
       103, 82.986504,         0, 99.096565
       104, 85.764214,         0, 99.096565
       105, 88.541924,         0, 99.096565
       106, 91.319633,         0, 99.096565
       107, 94.097343,         0, 99.096565
       108, 96.875053,         0, 99.096565
