"time","J1.w","J2.w","J3.w","J4.w"
0,10,0,0,0
0.0031,9.97051,0.0309999,0,0
0.0061,9.94483,0.0609994,0,0
0.0092,9.92121,0.091998,0,0
0.0123,9.90048,0.122995,0,0
0.0154,9.88255,0.15399,0,0
0.0185,9.86728,0.184983,0,0
0.0216,9.85455,0.215973,0,0
0.0247,9.84416,0.24696,0,0
0.0278,9.83593,0.277943,0,0
0.0309,9.82965,0.308922,0,0
0.0339,9.82519,0.338897,0,0
0.0369,9.82211,0.368868,0,0
0.0399,9.82017,0.398833,0,0
0.0429,9.81911,0.428792,0,0
0.0459,9.81868,0.458746,0,0
0.0489,9.81862,0.488692,0,0
0.0519,9.81867,0.518632,0,0
0.0549,9.81856,0.548565,0,0
0.0579,9.81802,0.578489,0,0
0.0609,9.81679,0.608406,0,0
0.0639,9.81462,0.638314,0,0
0.0669,9.81127,0.668212,0,0
0.0699,9.8065,0.698101,0,0
0.0729,9.80008,0.727981,0,0
0.0759,9.79182,0.75785,0,0
0.0789,9.78151,0.787708,0,0
0.0819,9.76898,0.817555,0,0
0.0849,9.75408,0.84739,0,0
0.0879,9.73669,0.877214,0,0
0.0909,9.71668,0.907025,0,0
0.0939,9.69397,0.936822,0,0
0.0969,9.66851,0.966607,0,0
0.0999,9.64024,0.996378,0,0
0.1029,9.60917,1.02613,0,0
0.1059,9.57529,1.05588,0,0
0.1089,9.53866,1.0856,0,0
0.1119,9.49932,1.11532,0,0
0.1149,9.45737,1.14501,0,0
0.1179,9.41291,1.17469,0,0
0.1209,9.36609,1.20435,0,0
0.1239,9.31703,1.234,0,0
0.127,9.2642,1.26462,0,0
0.1301,9.20939,1.29521,0,0
0.1332,9.15283,1.32579,0,0
0.1363,9.09478,1.35635,0,0
0.1394,9.03548,1.38688,0,0
0.1425,8.97523,1.4174,0,0
0.1456,8.91428,1.44789,0,0
0.1487,8.85295,1.47836,0,0
0.1518,8.79151,1.50881,0,0
0.1549,8.73027,1.53924,0,0
0.158,8.66951,1.56964,0,0
0.1611,8.60953,1.60002,0,0
0.1642,8.5506,1.63037,0,0
0.1673,8.493,1.6607,0,0
0.1704,8.43699,1.69101,0,0
0.1735,8.3828,1.72129,0,0
0.1766,8.33067,1.75154,0,0
0.1797,8.2808,1.78177,0,0
0.1828,8.23339,1.81197,0,0
0.1859,8.18859,1.84214,0,0
0.189,8.14654,1.87228,0,0
0.1921,8.10736,1.9024,0,0
0.1952,8.07113,1.93248,0,0
0.1983,8.03792,1.96254,0,0
0.2014,8.00774,1.99257,0,0
0.2045,7.98061,2.02257,0,0
0.2076,7.9565,2.05253,0,0
0.2107,7.93535,2.08247,0,0
0.2138,7.91708,2.11237,0,0
0.2169,7.90158,2.14224,0,0
0.22,7.88871,2.17208,0,0
0.2231,7.87832,2.20189,0,0
0.2262,7.87022,2.23166,0,0
0.2293,7.8642,2.2614,0,0
0.2324,7.86004,2.29111,0,0
0.2355,7.8575,2.32078,0,0
0.2386,7.85633,2.35041,0,0
0.2417,7.85624,2.38001,0,0
0.2448,7.85697,2.40957,0,0
0.2479,7.85823,2.4391,0,0
0.251,7.85972,2.46859,0,0
0.2541,7.86116,2.49804,0,0
0.2572,7.86225,2.52745,0,0
0.2603,7.8627,2.55683,0,0
0.2634,7.86222,2.58617,0,0
0.2665,7.86056,2.61546,0,0
0.2696,7.85744,2.64472,0,0
0.2727,7.85262,2.67394,0,0
0.2758,7.84586,2.70312,0,0
0.2789,7.83696,2.73225,0,0
0.282,7.82572,2.76135,0,0
0.2851,7.81198,2.7904,0,0
0.2882,7.79559,2.81941,0,0
0.2913,7.77643,2.84838,0,0
0.2944,7.75441,2.8773,0,0
0.2975,7.72946,2.90618,0,0
0.3006,7.70155,2.93502,0,0
0.3037,7.67066,2.96381,0,0
0.3068,7.63683,2.99256,0,0
0.3099,7.60009,3.02126,0,0
0.313,7.56053,3.04992,0,0
0.3161,7.51824,3.07853,0,0
0.3192,7.47336,3.10709,0,0
0.3223,7.42605,3.1356,0,0
0.3254,7.37647,3.16407,0,0
0.3285,7.32484,3.19249,0,0
0.3316,7.27137,3.22086,0,0
0.3347,7.2163,3.24919,0,0
0.3378,7.15989,3.27746,0,0
0.3409,7.10239,3.30568,0,0
0.344,7.0441,3.33386,0,0
0.3471,6.98529,3.36198,0,0
0.3502,6.92626,3.39005,0,0
0.3533,6.8673,3.41807,0,0
0.3564,6.8087,3.44604,0,0
0.3595,6.75076,3.47396,0,0
0.3626,6.69376,3.50182,0,0
0.3657,6.63797,3.52963,0,0
0.3688,6.58366,3.55739,0,0
0.3719,6.53109,3.58509,0,0
0.375,6.48049,3.61274,0,0
0.3781,6.43208,3.64034,0,0
0.3812,6.38605,3.66787,0,0
0.3843,6.34259,3.69536,0,0
0.3874,6.30183,3.72278,0,0
0.3905,6.26392,3.75015,0,0
0.3936,6.22895,3.77747,0,0
0.3967,6.19699,3.80472,0,0
0.3998,6.16809,3.83192,0,0
0.4029,6.14231,3.83006,0.029,0
0.406,6.11959,3.82614,0.06,0
0.4091,6.0999,3.82216,0.091,0
0.4122,6.08316,3.81812,0.122,0
0.4153,6.06928,3.81403,0.153,0
0.4184,6.05812,3.80987,0.184,0
0.4215,6.04956,3.80565,0.215,0
0.4246,6.0434,3.80137,0.246,0
0.4277,6.03946,3.79703,0.277,0
0.4308,6.03753,3.79263,0.308,0
0.4339,6.03737,3.78816,0.339,0
0.437,6.03872,3.78364,0.37,0
0.4401,6.04133,3.77905,0.401,0
0.4432,6.04493,3.77439,0.432,0
0.4463,6.04922,3.76967,0.463,0
0.4494,6.05392,3.76489,0.494,0
0.4525,6.05874,3.76004,0.525,0
0.4556,6.06338,3.75513,0.556,0
0.4587,6.06756,3.75016,0.587,0
0.4618,6.07098,3.74511,0.618,0
0.4649,6.07337,3.74,0.649,0
0.468,6.07447,3.73483,0.68,0
0.4711,6.07401,3.72958,0.711,0
0.4742,6.07175,3.72427,0.742,0
0.4773,6.06749,3.7189,0.773,0
0.4804,6.061,3.71345,0.804,0
0.4835,6.05212,3.70794,0.835,0
0.4866,6.04069,3.70235,0.866,0
0.4897,6.02656,3.6967,0.897,0
0.4928,6.00965,3.69098,0.928,0
0.4959,5.98987,3.68518,0.959,0
0.499,5.96716,3.67932,0.99,0
0.5021,5.94151,3.67339,1.021,0
0.5052,5.91292,3.66738,1.052,0
0.5083,5.88143,3.6613,1.083,0
0.5114,5.8471,3.65515,1.114,0
0.5145,5.81001,3.64893,1.145,0
0.5176,5.77029,3.64264,1.176,0
0.5207,5.72808,3.63627,1.207,0
0.5238,5.68355,3.62983,1.238,0
0.5269,5.63688,3.62331,1.269,0
0.53,5.58828,3.61673,1.3,0
0.5331,5.53799,3.61006,1.331,0
0.5362,5.48625,3.60332,1.362,0
0.5393,5.43333,3.59651,1.393,0
0.5424,5.37949,3.58962,1.424,0
0.5455,5.32501,3.58265,1.455,0
0.5486,5.2702,3.57561,1.486,0
0.5517,5.21533,3.56849,1.517,0
0.5548,5.1607,3.5613,1.548,0
0.5579,5.10662,3.55402,1.579,0
0.561,5.05335,3.54667,1.61,0
0.5641,5.00119,3.53924,1.641,0
0.5672,4.9504,3.53173,1.672,0
0.5703,4.90125,3.52414,1.703,0
0.5734,4.85398,3.51648,1.734,0
0.5765,4.80881,3.50873,1.765,0
0.5796,4.76596,3.5009,1.796,0
0.5827,4.72561,3.493,1.827,0
0.5858,4.68793,3.48501,1.858,0
0.5889,4.65305,3.47694,1.889,0
0.592,4.62109,3.46879,1.92,0
0.5951,4.59213,3.46056,1.951,0
0.5982,4.56624,3.45224,1.982,0
0.6013,4.54344,3.44385,2.013,0
0.6044,4.52374,3.43537,2.044,0
0.6075,4.50711,3.42681,2.075,0
0.6106,4.49349,3.41816,2.106,0
0.6137,4.48281,3.40943,2.137,0
0.6168,4.47495,3.40062,2.168,0
0.6199,4.46978,3.39172,2.199,0
0.623,4.46714,3.38273,2.23,0
0.6261,4.46685,3.37366,2.261,0
