"time","J1_w","J2_w","J3_w","J4_w"
0,10,0,0,0
0.015,9.8846280875803,0.14999153870633,2.6090241078691e-15,2.6009499315981e-15
0.03,9.8308869960793,0.29993184557638,-1.4432899320127e-15,-1.454538680696e-15
0.045,9.8183384731084,0.44976871235621,1.6653345369377e-15,1.6544774167265e-15
0.06,9.8168414392584,0.59944800283152,1.7763568394003e-15,1.7660882077664e-15
0.075,9.7941771719008,0.74891655904968,3.5527136788005e-15,3.542427738674e-15
0.09,9.7227356118315,0.89812129287839,3.1086244689504e-15,3.0940782540186e-15
0.105,9.5855652268278,1.0470091727064,3.9968028886506e-15,3.9753418651105e-15
0.12,9.380174898753,1.1955273057539,6.4392935428259e-15,6.4111560647174e-15
0.135,9.1190139630875,1.3436229254479,2.8865798640254e-15,2.8385054147026e-15
0.15,8.8267838435111,1.4912434130558,5.5511151231258e-15,5.4750137261146e-15
0.165,8.5350617397106,1.6383363199106,3.9968028886506e-15,3.8931662882552e-15
0.18,8.2754124190312,1.784849384711,6.4392935428259e-15,6.3156695355946e-15
0.195,8.0723498780586,1.9307305526906,4.6629367034257e-15,4.5317336209984e-15
0.21,7.9385006680572,2.0759279926804,5.3290705182008e-15,5.1934371684439e-15
0.225,7.8717461585462,2.2203901155589,4.4408920985006e-15,4.3011191015143e-15
0.24,7.8551169797677,2.3640655945518,5.7731597280508e-15,5.6315659179462e-15
0.255,7.8607084294679,2.5069033831842,5.7731597280508e-15,5.6316197096005e-15
0.27,7.8561560821765,2.6488527321738,5.3290705182008e-15,5.1878555386586e-15
0.285,7.8116279274405,2.7898632074225,5.7731597280508e-15,5.6284104099419e-15
0.3,7.7061709410562,2.92988470841,6.6613381477509e-15,6.5098515299011e-15
0.315,7.5322707841879,3.0688674862383,5.3290705182008e-15,5.1729245030239e-15
0.33,7.2975692305097,3.2067621610757,6.2172489379009e-15,6.0494095554205e-15
0.345,7.0232335330614,3.3435197395793,5.7731597280508e-15,5.582065773122e-15
0.36,6.7393136407041,3.4790916323924,5.3290705182008e-15,5.1104595495252e-15
0.375,6.4781809054024,3.6134296714702,5.7731597280508e-15,5.5333089280198e-15
0.39,6.2675194659697,3.7464861271625,6.6613381477509e-15,6.4037390472397e-15
0.405,6.1242549966355,3.8282131795111,0.050000000000008,6.133982211054e-15
0.42,6.0505276615257,3.8085638857117,0.20000000000001,5.162537064507e-15
0.435,6.0344594248726,3.7874935680335,0.35000000000001,5.2735593669695e-15
0.45,6.0514813176603,3.7649557613176,0.50000000000001,6.4392935428259e-15
0.465,6.0700800599817,3.7409048918127,0.65000000000001,5.6621374255883e-15
0.48,6.0588209408919,3.7152962010189,0.80000000000001,4.9960036108132e-15
0.495,5.9930890081506,3.6880854936088,0.95000000000001,5.8841820305133e-15
0.51,5.8604865706781,3.6592291465021,1.1,5.1070259132757e-15
0.525,5.6634193523593,3.6286841124608,1.25,4.2188474935756e-15
0.54,5.4189496300992,3.5964079533527,1.4,4.8849813083507e-15
0.555,5.1547973239458,3.5623588448996,1.55,5.1070259132757e-15
0.57,4.9032405118659,3.5264955899741,1.7,4.2188474935756e-15
0.585,4.694367073502,3.4887776363065,1.85,5.1070259132757e-15
0.6,4.5493325931774,3.4491650903894,2,3.9968028886506e-15
0.615,4.4756273643453,3.4076187323128,2.15,4.4408920985006e-15
0.63,4.4657086163858,3.364100029057,2.3,4.8849813083507e-15
0.645,4.4985868173248,3.3185711482644,2.45,4.4408920985006e-15
0.66,4.5443512056421,3.2709949718652,2.5999999999999,4.4408920985006e-15
0.675,4.5707280575126,3.2213351091733,2.7499999999999,3.9968028886506e-15
0.69,4.5501369966948,3.1695559098023,2.8999999999999,4.4408920985006e-15
0.705,4.4656894037132,3.1156224763734,3.0499999999999,3.9968028886506e-15
0.72,4.3149174663054,3.1297491457847,3.1297491457848,2.2204460492503e-15
0.735,4.1104770602169,3.1755772280214,3.1755772280215,1.7763568394003e-15
0.75,3.8765660736696,3.2202783276598,3.2202783276599,1.7763568394003e-15
0.765,3.644864529551,3.2638364352438,3.2638364352439,1.3322676295502e-15
0.78,3.4469660933347,3.3062360117448,3.3062360117449,1.3322676295502e-15
0.795,3.334235356675,3.3342353566751,3.3342353566752,1.3322676295502e-15
0.81,3.3381034307182,3.3381034307183,3.3381034307184,1.3322676295502e-15
0.825,3.3637873127492,3.3637873127493,3.3637873127494,1.3322676295502e-15
0.84,3.4146080567503,3.4015083229051,3.4015083229052,8.8817841970013e-16
0.855,3.4899007029583,3.4378978019591,3.4378978019592,8.8817841970013e-16
0.87,3.557013270483,3.4730448163202,3.4730448163203,4.4408920985006e-16
0.885,3.5858146203085,3.5069367868867,3.5069367868869,4.4408920985006e-16
0.9,3.5552826273809,3.5395616949046,3.5395616949047,4.4408920985006e-16
0.915,3.4881649073438,3.4881649073438,3.488164907344,0.13500035761094
0.93,3.406242829504,3.4062428295041,3.4062428295042,0.28500035761094
0.945,3.3106691785125,3.3106691785125,3.3106691785126,0.43500035761093
0.96,3.2113759643471,3.2113759643472,3.2113759643473,0.58500035761093
0.975,3.1190704711562,3.1190704711562,3.1190704711563,0.73500035761092
0.99,3.042989433211,3.0429894332111,3.0429894332112,0.88500035761092
1.005,2.9929148613741,2.9871153874899,2.98711538749,1.0350003576109
1.02,3.0054785380313,2.9342250597348,2.9342250597349,1.1850003576109
1.035,3.0769823041357,2.8799801217765,2.8799801217766,1.3350003576109
1.05,3.1826567094264,2.8243730910134,2.8243730910135,1.4850003576109
1.065,3.2911535979765,2.7673970778589,2.767397077859,1.6350003576109
1.08,3.370914476805,2.7090456777113,2.7090456777114,1.785000357611
1.095,3.3972844165885,2.6493129777078,2.6493129777079,1.935000357611
1.11,3.3578757370714,2.5881935529676,2.5881935529677,2.085000357611
1.125,3.2552347140582,2.5256824718762,2.5256824718763,2.235000357611
1.14,3.1063012720307,2.4617752971829,2.461775297183,2.385000357611
1.155,2.9387944779094,2.4426414392063,2.4426414392064,2.4426414392065
1.17,2.7849851143769,2.4481676546328,2.4481676546329,2.4481676546331
1.185,2.6745930491025,2.4527562544262,2.4527562544263,2.4527562544265
1.2,2.6288612243732,2.4564056021587,2.4564056021588,2.456405602159
1.215,2.6554038753329,2.4591144058386,2.4591144058387,2.4591144058389
1.23,2.7466395184818,2.4608817036685,2.4608817036686,2.4608817036688
1.245,2.8815447564566,2.4617068685825,2.4617068685826,2.4617068685828
1.26,3.0294630047226,2.46177334136,2.4617733413601,2.4617733413603
1.275,3.156178667946,2.46177334136,2.4617733413601,2.4617733413603
1.29,3.2339769783056,2.46177334136,2.4617733413601,2.4617733413603
1.305,3.2458149658622,2.46177334136,2.4617733413601,2.4617733413603
1.32,3.1891040494892,2.46177334136,2.4617733413601,2.4617733413603
1.335,3.0760944565573,2.46177334136,2.4617733413601,2.4617733413603
1.35,2.9315647073655,2.46177334136,2.4617733413601,2.4617733413603
1.365,2.7870114765975,2.46177334136,2.4617733413601,2.4617733413603
1.38,2.6739382938435,2.46177334136,2.4617733413601,2.4617733413603
1.395,2.6170801802898,2.46177334136,2.4617733413601,2.4617733413603
1.41,2.6287683300044,2.46177334136,2.4617733413601,2.4617733413603
1.425,2.7064510426087,2.46177334136,2.4617733413601,2.4617733413603
1.44,2.8332516471667,2.46177334136,2.4617733413601,2.4617733413603
