"time","lca@PUMP01","x1@INJ01","q@INJ01","volume@INJ01","p1@PUMP01","pa@DVALV01","sacp@INJ01"
0,0,1e-009,0,0,2.5,10,50
1e-005,1.274403613e-008,1e-009,-9.831609266e-009,-1.637955306e-015,2.499866883,9.935499617,49.99999999
2e-005,2.955929453e-008,1e-009,-9.83161625e-009,-3.276556426e-015,2.500050728,9.935999735,49.99999999
3e-005,5.173866357e-008,1e-009,-9.831609266e-009,-4.915157678e-015,2.500094868,9.974688032,49.99999999
4e-005,8.05750316e-008,1e-009,-9.83161625e-009,-6.55375905e-015,2.499988596,9.961543518,49.99999999
5e-005,1.17361287e-007,1e-009,-9.831609266e-009,-8.192360527e-015,2.500008991,9.939884698,49.99999999
6e-005,1.63390318e-007,1e-009,-9.831609266e-009,-9.830962091e-015,2.500109593,9.957266132,49.99999999
7e-005,2.199550132e-007,1e-009,-9.831609266e-009,-1.146956372e-014,2.500044453,9.967391705,49.99999999
8e-005,2.883482607e-007,1e-009,-9.831755931e-009,-1.31081654e-014,2.500029203,9.953073465,49.99999999
9e-005,3.69862949e-007,1e-009,-9.83161625e-009,-1.474676711e-014,2.500121159,9.952377055,49.99999999
0.0001,4.657919664e-007,1e-009,-9.83161625e-009,-1.638536882e-014,2.500157953,9.963580233,49.99999999
0.00011,5.774282013e-007,1e-009,-9.831609266e-009,-1.802397052e-014,2.50012704,9.961140561,49.99999999
0.00012,7.060645421e-007,1e-009,-9.83161625e-009,-1.966257218e-014,2.500204802,9.956103097,49.99999999
0.00013,8.52993877e-007,1e-009,-9.831672122e-009,-2.13011738e-014,2.500321314,9.961183225,49.99999999
0.00014,1.019508583e-006,1e-009,-9.831637202e-009,-2.293977536e-014,2.500346994,9.964354726,49.99999999
0.00015,1.20639117e-006,1e-009,-9.831609266e-009,-2.457837685e-014,2.500411803,9.961517449,49.99999999
0.00016,1.412957521e-006,1e-009,-9.831609266e-009,-2.621697827e-014,2.50055429,9.962394637,49.99999999
0.00017,1.638261417e-006,1e-009,-9.83161625e-009,-2.785557962e-014,2.500640783,9.965915411,49.99999999
0.00018,1.88135664e-006,1e-009,-9.83158133e-009,-2.949418091e-014,2.500696941,9.965818911,49.99999999
0.00019,2.141296972e-006,1e-009,-9.831693074e-009,-3.113278213e-014,2.500817869,9.965354723,49.99999999
0.0002,2.417136196e-006,1e-009,-9.831602282e-009,-3.277138331e-014,2.500935813,9.967697371,49.99999999
0.00021,2.707928093e-006,1e-009,-9.831602282e-009,-3.440998445e-014,2.501002006,9.96905314,49.99999999
0.00022,3.012726444e-006,1e-009,-9.831630218e-009,-3.604858556e-014,2.501094086,9.968804327,49.99999999
0.00023,3.330585033e-006,1e-009,-9.83161625e-009,-3.768718667e-014,2.501211211,9.970016177,49.99999999
0.00024,3.660557641e-006,1e-009,-9.831602282e-009,-3.932578777e-014,2.501287402,9.971654137,49.99999999
0.00025,4.00169805e-006,1e-009,-9.831609266e-009,-4.09643889e-014,2.50135581,9.97196428,49.99999999
0.00026,4.353060041e-006,1e-009,-9.831560377e-009,-4.260299006e-014,2.501451692,9.972514976,49.99999999
0.00027,4.713697398e-006,1e-009,-9.831609266e-009,-4.424159125e-014,2.50152486,9.973971715,49.99999999
0.00028,5.082666094e-006,1e-009,-9.831609266e-009,-4.588019249e-014,2.501578603,9.974582673,49.99999999
0.00029,5.459378101e-006,1e-009,-9.831609266e-009,-4.751879379e-014,2.501653545,9.975078184,49.99999999
0.0003,5.843991912e-006,1e-009,-9.831609266e-009,-4.915739514e-014,2.501727075,9.976159129,49.99999999
0.00031,6.236760025e-006,1e-009,-9.831609266e-009,-5.079599656e-014,2.501793156,9.976808079,49.99999999
0.00032,6.637934936e-006,1e-009,-9.831609266e-009,-5.243459804e-014,2.501875623,9.977311122,49.99999999
0.00033,7.047769138e-006,1e-009,-9.83161625e-009,-5.40731996e-014,2.501959201,9.978149864,49.99999999
0.00034,7.46651513e-006,1e-009,-9.831609266e-009,-5.571180123e-014,2.502041516,9.978695618,49.99999999
0.00035,7.894425406e-006,1e-009,-9.83161625e-009,-5.735040295e-014,2.502135534,9.979242352,49.99999999
0.00036,8.331752461e-006,1e-009,-9.83161625e-009,-5.898900479e-014,2.502229216,9.979864699,49.99999999
0.00037,8.778748793e-006,1e-009,-9.83161625e-009,-6.062760677e-014,2.502329347,9.980362269,49.99999999
0.00038,9.235666896e-006,1e-009,-9.83161625e-009,-6.226620892e-014,2.502433832,9.980873206,49.99999999
0.00039,9.702759267e-006,1e-009,-9.83161625e-009,-6.39048114e-014,2.502543812,9.981344895,49.99999999
0.0004,1.01802784e-005,1e-009,-9.83161625e-009,-6.554341423e-014,2.50265861,9.981800175,49.99999999
0.00041,1.066847679e-005,1e-009,-9.831623234e-009,-6.71820176e-014,2.502778944,9.982236573,49.99999999
0.00042,1.116760499e-005,1e-009,-9.83161625e-009,-6.882062164e-014,2.502904403,9.982656871,49.99999999
0.00043,1.16777964e-005,1e-009,-9.831630218e-009,-7.045922656e-014,2.503032956,9.983063168,49.99999999
0.00044,1.219900287e-005,1e-009,-9.831637202e-009,-7.209783264e-014,2.503163544,9.983457331,49.99999999
0.00045,1.273116064e-005,1e-009,-9.83165117e-009,-7.373644022e-014,2.503296108,9.983840938,49.99999999
0.00046,1.327420595e-005,1e-009,-9.831658154e-009,-7.537504966e-014,2.503430593,9.984215729,49.99999999
0.00047,1.382807503e-005,1e-009,-9.831672122e-009,-7.701366146e-014,2.503566956,9.984583026,49.99999999
