"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0,565.6854249,-0,0,0,0,0,0,480
0.001,533.1022155,0.3027205864,-29.59537038,29.2926498,419.9404592,-537.1600293,117.2195701,877.9563917
0.002,500.4157794,6.45019217,-6.84876128,0.3985691107,504.4280696,-451.4987894,-52.92928016,734.1560712
0.003,478.9567171,445.1343321,-445.2368037,0.1024715592,483.8461215,-293.1588916,-190.6872299,2757.783115
0.004,496.7304671,1050.688296,-1050.484639,-0.2036566218,502.8306365,-149.5869055,-353.243731,7049.376457
0.005,538.8544389,1067.606475,-1067.116626,-0.4898494738,544.9880741,-27.56905524,-517.4190189,7395.998217
0.006,552.8036337,316.9221112,-0.203765016,-316.7183462,380.6006898,176.83547,-557.4361599,2254.978648
0.007,542.5791168,406.3279933,0.1023613589,-406.4303547,222.5146599,324.8761212,-547.3907812,2699.190078
0.008,537.9020784,398.4391566,0.3984678977,-398.8376245,72.1149872,470.5832834,-542.6982706,2717.261241
0.009,518.913111,0.3028259738,76.26533657,-76.56816255,-110.119311,523.0648986,-412.9455876,1038.449397
0.01,500.7684574,5.54059439e-005,445.0746062,-445.0746616,-252.8010951,505.6575963,-252.8565011,2805.402628
0.011,511.928526,-0.3027205851,836.7379528,-836.4352322,-410.1607767,517.6006656,-107.4398889,5449.136678
0.012,531.5904495,-19.19346491,624.6643601,-605.4708952,-536.2332355,536.8195123,-0.586276844,4106.774549
0.013,525.5783035,-401.5032353,401.6057069,-0.1024715613,-530.3803525,316.4260081,213.9543444,2626.639691
0.014,528.4172729,-668.7274783,668.5238217,0.2036566242,-533.7534581,165.0483151,368.7051429,4289.53005
0.015,539.2038097,-553.932151,553.4423015,0.489849474,-544.3100967,27.23006642,517.0800302,3676.867426
0.016,525.6076255,-189.3503521,0.2037650943,189.146587,-366.8751805,-163.1098824,529.9850629,1542.1427
0.017,514.8823181,-518.8240121,-0.1023613557,518.9263735,-208.7787858,-311.1402439,519.9190297,3284.016441
0.018,524.2866585,-687.7729628,-0.3984678788,688.1714307,-65.59663384,-464.0649111,529.6615449,4467.170071
0.019,525.6081696,-100.1245586,-177.8880747,278.0126333,0.07776343827,-530.0630107,529.9852472,2062.952967
0.02,514.9005162,-5.540665256e-005,-503.0851459,503.0852013,259.9251205,-519.9056478,259.9805272,3183.390971
0.021,525.8116816,0.302720591,-772.3853457,772.0826251,417.0379911,-531.3550884,114.3170973,5020.736652
0.022,537.9220293,13.28854804,-471.0430108,457.7544627,542.4052766,-542.849742,0.4444654702,3187.072081
0.023,523.4607685,310.4505032,-310.5529748,0.1024715641,528.0807164,-315.2761915,-212.8045249,2127.198386
0.024,521.384355,618.9667928,-618.7631361,-0.2036566557,526.6210329,-161.4820868,-365.1389461,3943.86897
0.025,531.0315518,570.9114929,-570.4216435,-0.489849474,536.1718137,-23.16092494,-513.0108888,3761.067924
0.026,520.4696769,248.1947603,-0.2037650139,-247.9909952,364.3650155,160.5997978,-524.9648132,1815.532711
0.027,514.6339117,599.9135048,0.1023613564,-600.0158662,208.7356719,311.0971306,-519.8328026,3789.185558
0.028,528.9771918,748.1923134,0.398467895,-748.5907813,68.00230697,466.4706005,-534.4729074,4894.784828
0.029,532.5480214,117.8799274,159.5461442,-277.4260716,-0.04166617517,536.9839201,-536.942254,2080.034442
0.03,519.4788543,5.540497e-005,443.7486025,-443.7486579,-262.1549493,524.3653037,-262.2103544,2845.539344
0.031,525.6224251,-0.3027205852,695.0930835,-694.7903629,-416.8660679,531.0112479,-114.14518,4484.267554
0.032,533.1426149,-16.8716227,418.3824713,-401.5108486,-537.5767943,537.9614331,-0.3846388413,2865.986847
0.033,517.9276926,-332.838454,332.9409255,-0.1024715596,-522.5924275,312.5320447,210.0603827,2231.131088
0.034,518.657921,-676.7138894,676.5102328,0.2036566222,-524.0100984,160.1766363,363.8334621,4317.376896
0.035,532.4967958,-633.0537542,632.5639048,0.489849474,-537.7613392,23.95568766,513.8056515,4163.111367
0.036,524.676347,-253.684902,0.2037650166,253.481137,-366.4738378,-162.7086174,529.1824551,1854.010051
0.037,518.0621153,-572.2400488,-0.1023613553,572.3424101,-210.4220974,-312.783555,523.2056525,3622.475712
0.038,529.8365703,-702.445906,-0.3984678793,702.8443738,-68.38625685,-466.8545346,535.2407915,4581.3185
0.039,530.4543477,-76.4691269,-163.3760978,239.8452247,0.08690688402,-534.8564997,534.7695928,1896.771219
0.04,516.8480992,-5.540581003e-005,-448.0460187,448.0460741,260.8438714,-521.7431487,260.8992773,2863.567469
0.041,523.9441824,0.302720588,-717.977677,717.6749564,416.0498342,-529.3787777,113.3289435,4636.056648
0.042,533.2840005,16.87723849,-447.5101022,430.6328637,537.7473128,-538.161068,0.4137552115,3032.405559
0.043,519.2095151,339.9670664,-340.069538,0.1024715589,523.8885046,-313.180083,-210.7084216,2272.567961
0.044,520.0309717,672.2192777,-672.0156211,-0.2036566255,525.3741572,-160.858664,-364.5154932,4290.845388
0.045,533.2405242,619.5050796,-619.0152301,-0.4898494739,538.4779688,-24.3140025,-514.1639663,4076.973581
0.046,524.5246826,245.3770567,-0.2037650126,-245.1732917,366.3896959,162.6244795,-529.0141754,1812.091448
0.047,517.4582105,567.3869524,0.1023613548,-567.4893138,210.1152928,312.4767499,-522.5920427,3590.43514
0.048,529.1104899,703.4200264,0.398467878,-703.8184943,68.02419217,466.4924686,-534.5166608,4586.029608
