"time","headlight","light_intensity","light_switch"
0,0,0,0
0.01,0,0,0.1176470588
0.02,0,0,0.2352941176
0.03,0,0,0.3529411765
0.04,0,0,0.4705882353
0.05,0,0,0.5882352941
0.06,1,0,0.7058823529
0.07,1,0,0.8235294118
0.08,1,0,0.9411764706
0.09,1,0,1.058823529
0.1,1,0,1.176470588
0.11,1,0,1.294117647
0.12,1,0,1.411764706
0.13,1,0,1.529411765
0.14,1,0,1.647058824
0.15,1,0,1.764705882
0.16,1,0,1.882352941
0.17,1,0,2
0.18,1,0.1111111111,2
0.19,1,0.2222222222,2
0.2,1,0.3333333333,2
0.21,1,0.4444444444,2
0.22,1,0.5555555556,2
0.23,1,0.6666666667,2
0.24,1,0.7777777778,2
0.25,1,0.8888888889,2
0.26,1,1,2
0.27,1,1.111111111,2
0.28,1,1.222222222,2
0.29,1,1.333333333,2
0.3,1,1.444444444,2
0.31,1,1.555555556,2
0.32,1,1.666666667,2
0.33,1,1.777777778,2
0.34,1,1.888888889,2
0.35,1,2,2
0.36,1,11,2
0.37,1,23,2
0.38,1,41,2
0.39,1,59,2
0.4,1,72,2
0.41,1,83,2
0.42,1,95,2
0.43,1,100,2
0.44,1,99.99685535,2
0.45,1,99.99371069,2
0.46,1,99.99056604,2
0.47,1,99.98742138,2
0.48,1,99.98427673,2
0.49,1,99.98113208,2
0.5,1,99.97798742,2
0.51,1,99.97484277,2
0.52,1,99.97169811,2
0.53,1,99.96855346,2
0.54,1,99.96540881,2
0.55,1,99.96226415,2
0.56,1,99.9591195,2
0.57,1,99.95597484,2
0.58,1,99.95283019,2
0.59,1,99.94968553,2
0.6,1,99.94654088,2
0.61,1,99.94339623,2
0.62,1,99.94025157,2
0.63,1,99.93710692,2
0.64,1,99.93396226,2
0.65,1,99.93081761,2
0.66,1,99.92767296,2
0.67,1,99.9245283,2
0.68,1,99.92138365,2
0.69,1,99.91823899,2
0.7,1,99.91509434,2
0.71,1,99.91194969,2
0.72,1,99.90880503,2
0.73,1,99.90566038,2
0.74,1,99.90251572,2
0.75,1,99.89937107,2
0.76,1,99.89622642,2
0.77,1,99.89308176,2
0.78,1,99.88993711,2
0.79,1,99.88679245,2
0.8,1,99.8836478,2
0.81,1,99.88050314,2
0.82,1,99.87735849,2
0.83,1,99.87421384,2
0.84,1,99.87106918,2
0.85,1,99.86792453,2
0.86,1,99.86477987,2
0.87,1,99.86163522,2
