"time","Piston.frame_a.r_0[1]","Piston.frame_a.r_0[2]","Piston.frame_a.r_0[3]"
0,0.15,0.399999925,0
0.001,0.15,0.3999999242,0
0.002,0.15,0.3999999221,0
0.003,0.15,0.3999999184,0
0.004,0.15,0.399999913,0
0.005,0.15,0.3999999058,0
0.006,0.15,0.3999998965,0
0.007,0.15,0.3999998846,0
0.008,0.15,0.3999998699,0
0.00900001,0.15,0.3999998516,0
0.01000001,0.15,0.3999998292,0
0.012,0.15,0.3999997681,0
0.01300001,0.15,0.3999997273,0
0.01400001,0.15,0.3999996776,0
0.016,0.15,0.3999995434,0
0.017,0.15,0.3999994541,0
0.01800001,0.15,0.3999993456,0
0.01900001,0.15,0.3999992137,0
0.021,0.15,0.3999988593,0
0.02200001,0.15,0.3999986232,0
0.024,0.15,0.3999979887,0
0.02500001,0.15,0.3999975664,0
0.02600001,0.15,0.3999970536,0
0.028,0.15,0.399995675,0
0.02900001,0.15,0.3999947573,0
0.03000001,0.15,0.3999936433,0
0.032,0.15,0.3999906492,0
0.033,0.15,0.3999886562,0
0.034,0.15,0.399986236,0
0.03500001,0.15,0.3999832974,0
0.03600001,0.15,0.3999797306,0
0.03700001,0.15,0.3999754014,0
0.03800001,0.15,0.3999701466,0
0.03900001,0.15,0.3999637678,0
0.04000001,0.15,0.3999560257,0
0.042,0.15,0.3999352172,0
0.04300001,0.15,0.3999213742,0
0.04400001,0.15,0.3999045764,0
0.04500001,0.15,0.3998841906,0
0.04600001,0.15,0.3998594582,0
0.04700001,0.15,0.3998294531,0
0.049,0.15,0.3997489075,0
0.05000001,0.15,0.3996953805,0
0.05100001,0.15,0.3996305053,0
0.05200001,0.15,0.3995518976,0
0.05300001,0.15,0.3994566844,0
0.05400001,0.15,0.3993414118,0
0.05500001,0.15,0.3992019354,0
0.057,0.15,0.3988295517,0
0.05800001,0.15,0.398583656,0
0.05900001,0.15,0.3982872385,0
0.06000001,0.15,0.3979304257,0
0.06100001,0.15,0.3975016261,0
0.06200001,0.15,0.3969873528,0
0.06300001,0.15,0.3963719734,0
0.06400001,0.15,0.3956376373,0
0.06500001,0.15,0.3947640583,0
0.06600001,0.15,0.3937286081,0
0.06700001,0.15,0.3925063641,0
0.06800001,0.15,0.3910702165,0
0.06900001,0.15,0.3893911465,0
0.07000001,0.15,0.3874389732,0
0.07100001,0.15,0.3851832263,0
0.07200001,0.15,0.3825934421,0
0.07300001,0.15,0.3796402056,0
0.07400001,0.15,0.3762961168,0
0.076,0.15,0.3683411279,0
0.077,0.15,0.3636929692,0
0.078,0.15,0.3585811839,0
0.079,0.15,0.3530003248,0
0.08,0.15,0.3469496273,0
0.081,0.15,0.3404341414,0
0.082,0.15,0.3334681739,0
0.083,0.15,0.3260727549,0
0.084,0.15,0.3182773265,0
0.08500001,0.15,0.3101209362,0
0.08600001,0.15,0.3016537034,0
0.08700001,0.15,0.2929380677,0
0.08800001,0.15,0.2840493457,0
0.08900001,0.15,0.2750774685,0
0.091,0.15,0.257312179,0
0.092,0.15,0.2487632254,0
0.093,0.15,0.2406102533,0
0.094,0.15,0.2329813385,0
0.095,0.15,0.2259934765,0
0.096,0.15,0.2197440678,0
0.097,0.15,0.2143056562,0
0.098,0.15,0.2097251096,0
0.099,0.15,0.2060253327,0
0.10000001,0.15,0.2032119271,0
0.10100001,0.15,0.2012806266,0
0.10200001,0.15,0.2002233996,0
0.10300001,0.15,0.2000344474,0
0.10400001,0.15,0.2007124175,0
0.10500001,0.15,0.202261328,0
0.107,0.15,0.2080067643,0
0.108,0.15,0.212216903,0
0.109,0.15,0.2173156049,0
0.11,0.15,0.2232830604,0
0.111,0.15,0.2300808137,0
0.112,0.15,0.2376497289,0
0.113,0.15,0.2459124728,0
0.114,0.15,0.2547764289,0
0.11500001,0.15,0.2641389073,0
0.11600001,0.15,0.2738927827,0
0.11700001,0.15,0.2839299916,0
0.11800001,0.15,0.2941445754,0
0.11900001,0.15,0.3044357274,0
0.12000001,0.15,0.3147068151,0
0.122,0.15,0.3348260887,0
0.123,0.15,0.3444992359,0
0.124,0.15,0.3537967633,0
0.125,0.15,0.3626232916,0
0.126,0.15,0.3708734899,0
0.127,0.15,0.3784241109,0
0.128,0.15,0.3851292969,0
0.129,0.15,0.3908177507,0
