"time","J1_w","J2_w","J3_w","J4_w"
0,10,0,0,0
0.0015,9.98536,0.015,7.28584E-16,7.27379E-16
0.003,9.97143,0.0299999,6.245E-17,6.07918E-17
0.0045,9.95819,0.0449998,2.48412E-15,2.48152E-15
0.006,9.94565,0.0599994,1.51962E-15,1.51569E-15
0.0075,9.9338,0.0749989,1.95677E-15,1.95179E-15
0.009,9.92263,0.0899981,4.05231E-15,4.04678E-15
0.0105,9.91215,0.104997,2.66454E-15,2.65854E-15
0.012,9.90232,0.119996,2.16493E-15,2.15822E-15
0.0135,9.89316,0.134994,1.16573E-15,1.15826E-15
0.015,9.88463,0.149992,2.60902E-15,2.60095E-15
0.0165,9.87674,0.164989,1.44329E-15,1.43469E-15
0.018,9.86944,0.179985,1.88738E-15,1.8784E-15
0.0195,9.86276,0.194981,2.10942E-15,2.10019E-15
0.021,9.85664,0.209977,3.10862E-15,3.09908E-15
0.0225,9.85109,0.224971,2.22045E-15,2.21055E-15
0.024,9.84607,0.239965,9.99201E-16,9.88959E-16
0.0255,9.84156,0.254958,2.27596E-15,2.26538E-15
0.027,9.83755,0.26995,-1.72085E-15,-1.73174E-15
0.0285,9.83399,0.284942,-4.996E-16,-5.10711E-16
0.03,9.83089,0.299932,-1.38778E-15,-1.39903E-15
0.0315,9.82822,0.314921,-3.33067E-16,-3.44364E-16
0.033,9.82593,0.329909,-9.4369E-16,-9.55031E-16
0.0345,9.82402,0.344896,5.55112E-17,4.41656E-17
0.036,9.82245,0.359882,-9.99201E-16,-1.01052E-15
0.0375,9.82119,0.374867,-1.16573E-15,-1.17699E-15
0.039,9.8202,0.38985,-2.77556E-16,-2.88733E-16
0.0405,9.81945,0.404832,-1.44329E-15,-1.45437E-15
0.042,9.81892,0.419812,1.22125E-15,1.21026E-15
0.0435,9.81855,0.434791,1.33227E-15,1.32136E-15
0.045,9.81834,0.449769,5.55112E-17,4.4654E-17
0.0465,9.81823,0.464745,9.4369E-16,9.32851E-16
0.048,9.81821,0.479719,1.16573E-15,1.15495E-15
0.0495,9.81822,0.494691,1.16573E-15,1.15501E-15
0.051,9.81825,0.509662,3.33067E-16,3.2242E-16
0.0525,9.81826,0.524631,3.33067E-15,3.32009E-15
0.054,9.81821,0.539599,2.44249E-15,2.43198E-15
0.0555,9.81808,0.554564,1.9984E-15,1.98796E-15
0.057,9.81783,0.569527,5.55112E-16,5.44739E-16
0.0585,9.81743,0.584489,1.9984E-15,1.98809E-15
0.06,9.81684,0.599448,2.10942E-15,2.09916E-15
0.0615,9.81604,0.614405,-1.57772E-30,-1.02317E-17
0.063,9.81499,0.62936,1.77636E-15,1.76615E-15
0.0645,9.81366,0.644313,1.9984E-15,1.9882E-15
0.066,9.81203,0.659264,1.22125E-15,1.21106E-15
0.0675,9.81006,0.674212,1.33227E-15,1.32209E-15
0.069,9.80773,0.689158,2.55351E-15,2.54333E-15
0.0705,9.805,0.704101,2.9976E-15,2.98741E-15
0.072,9.80184,0.719042,1.88738E-15,1.87718E-15
0.0735,9.79824,0.733981,3.33067E-15,3.32044E-15
0.075,9.79418,0.748917,2.22045E-15,2.21016E-15
0.0765,9.78961,0.76385,3.77476E-15,3.76439E-15
0.078,9.78453,0.77878,4.88498E-15,4.8745E-15
0.0795,9.77889,0.793708,2.44249E-15,2.43186E-15
0.081,9.77269,0.808633,1.9984E-15,1.98756E-15
0.0825,9.76592,0.823555,3.55271E-15,3.54155E-15
0.084,9.75855,0.838474,3.77476E-15,3.76317E-15
0.0855,9.75056,0.853391,4.32987E-15,4.31773E-15
0.087,9.74194,0.868304,4.10783E-15,4.09499E-15
0.0885,9.73266,0.883214,4.10783E-15,4.09412E-15
0.09,9.72274,0.898121,3.66374E-15,3.64919E-15
0.0915,9.71214,0.913025,2.9976E-15,2.98218E-15
0.093,9.70086,0.927926,2.10942E-15,2.09308E-15
0.0945,9.6889,0.942823,3.44169E-15,3.42441E-15
0.096,9.67624,0.957717,2.33147E-15,2.31325E-15
0.0975,9.66288,0.972608,3.9968E-15,3.97769E-15
0.099,9.64883,0.987495,4.77396E-15,4.75406E-15
0.1005,9.63407,1.00238,2.88658E-15,2.866E-15
0.102,9.6186,1.01726,2.88658E-15,2.8655E-15
0.1035,9.60243,1.03214,3.55271E-15,3.53133E-15
0.105,9.58557,1.04701,4.66294E-15,4.64148E-15
0.1065,9.568,1.06188,4.21885E-15,4.19706E-15
0.108,9.54975,1.07674,3.55271E-15,3.5306E-15
0.1095,9.53082,1.09161,5.32907E-15,5.30658E-15
0.111,9.51122,1.10646,5.32907E-15,5.30611E-15
0.1125,9.49095,1.12132,4.21885E-15,4.19526E-15
0.114,9.47004,1.13617,6.21725E-15,6.19301E-15
0.1155,9.44849,1.15101,4.44089E-15,4.41592E-15
0.117,9.42631,1.16586,5.9952E-15,5.96937E-15
0.1185,9.40354,1.18069,4.66294E-15,4.63605E-15
0.12,9.38017,1.19553,5.32907E-15,5.30093E-15
0.1215,9.35624,1.21036,3.9968E-15,3.96723E-15
0.123,9.33176,1.22518,4.66294E-15,4.63186E-15
0.1245,9.30676,1.24,2.44249E-15,2.40976E-15
0.126,9.28125,1.25482,5.32907E-15,5.29454E-15
0.1275,9.25526,1.26963,3.77476E-15,3.73827E-15
0.129,9.22882,1.28444,3.33067E-15,3.29209E-15
0.1305,9.20194,1.29924,3.33067E-15,3.28987E-15
0.132,9.17466,1.31404,3.55271E-15,3.50958E-15
0.1335,9.14701,1.32883,2.88658E-15,2.84102E-15
0.135,9.11901,1.34362,2.66454E-15,2.61646E-15
0.1365,9.0907,1.35841,3.10862E-15,3.05797E-15
0.138,9.06211,1.37319,4.44089E-15,4.38759E-15
0.1395,9.03325,1.38796,3.77476E-15,3.71871E-15
0.141,9.00417,1.40273,3.10862E-15,3.04979E-15
0.1425,8.97489,1.4175,2.88658E-15,2.82491E-15
0.144,8.94546,1.43226,3.9968E-15,3.93229E-15
0.1455,8.91591,1.44701,5.10703E-15,5.03965E-15
0.147,8.88625,1.46176,5.77316E-15,5.70288E-15
0.1485,8.85653,1.4765,4.66294E-15,4.58975E-15
0.15,8.82678,1.49124,4.88498E-15,4.80888E-15
0.1515,8.79704,1.50598,5.55112E-15,5.47211E-15
0.153,8.76735,1.52071,5.9952E-15,5.91332E-15
0.1545,8.73772,1.53543,4.44089E-15,4.35614E-15
0.156,8.70819,1.55015,4.44089E-15,4.3533E-15
0.1575,8.6788,1.56486,5.10703E-15,5.01664E-15
0.159,8.64958,1.57957,6.21725E-15,6.1241E-15
0.1605,8.62057,1.59427,4.88498E-15,4.78912E-15
0.162,8.5918,1.60896,4.88498E-15,4.78646E-15
