    "time", "clock.y","data_0.y", "reset.y","data_1.y","dFFREG.delay.inertialDelaySensitive[1].y","dFFREG.delay.inertialDelaySensitive[2].y","dFFREG.dFFR.dataOut[1]","dFFREG.dFFR.dataOut[2]"
         0,         3,         4,         3,         8,         1,         1,         1,         1
       0.1,         3,         4,         3,         8,         1,         1,         1,         1
       0.2,         3,         4,         3,         8,         1,         1,         1,         1
       0.3,         3,         4,         3,         8,         1,         1,         1,         1
       0.4,         3,         4,         3,         8,         1,         1,         1,         1
       0.5,         3,         4,         3,         8,         1,         1,         1,         1
       0.6,         3,         4,         3,         8,         1,         1,         1,         1
       0.7,         3,         4,         3,         8,         1,         1,         1,         1
       0.8,         3,         4,         3,         8,         1,         1,         1,         1
       0.9,         3,         4,         3,         8,         1,         1,         1,         1
         1,         3,         4,         3,         8,         1,         1,         1,         1
       1.1,         3,         4,         4,         8,         1,         1,         3,         3
       1.2,         3,         4,         4,         8,         1,         1,         3,         3
       1.3,         3,         4,         4,         8,         1,         1,         3,         3
       1.4,         3,         4,         4,         8,         1,         1,         3,         3
       1.5,         3,         4,         4,         8,         1,         1,         3,         3
       1.6,         3,         4,         4,         8,         1,         1,         3,         3
       1.7,         3,         4,         4,         8,         1,         1,         3,         3
       1.8,         3,         4,         4,         8,         1,         1,         3,         3
       1.9,         3,         4,         4,         8,         1,         1,         3,         3
         2,         3,         4,         4,         8,         1,         1,         3,         3
       2.1,         3,         4,         3,         8,         1,         1,         3,         3
       2.2,         3,         4,         3,         8,         1,         1,         3,         3
       2.3,         3,         4,         3,         8,         1,         1,         3,         3
       2.4,         3,         4,         3,         8,         1,         1,         3,         3
       2.5,         3,         4,         3,         8,         1,         1,         3,         3
       2.6,         3,         4,         3,         8,         1,         1,         3,         3
       2.7,         3,         4,         3,         8,         1,         1,         3,         3
       2.8,         3,         4,         3,         8,         1,         1,         3,         3
       2.9,         3,         4,         3,         8,         1,         1,         3,         3
         3,         3,         4,         3,         8,         1,         1,         3,         3
       3.1,         3,         4,         3,         8,         1,         1,         3,         3
       3.2,         3,         4,         3,         8,         1,         1,         3,         3
       3.3,         3,         4,         3,         8,         1,         1,         3,         3
       3.4,         3,         4,         3,         8,         1,         1,         3,         3
       3.5,         3,         4,         3,         8,         1,         1,         3,         3
       3.6,         3,         4,         3,         8,         1,         1,         3,         3
       3.7,         3,         4,         3,         8,         1,         1,         3,         3
       3.8,         3,         4,         3,         8,         1,         1,         3,         3
       3.9,         3,         4,         3,         8,         1,         1,         3,         3
         4,         3,         4,         3,         8,         1,         1,         3,         3
       4.1,         3,         4,         3,         8,         1,         1,         3,         3
       4.2,         3,         4,         3,         8,         1,         1,         3,         3
       4.3,         3,         4,         3,         8,         1,         1,         3,         3
       4.4,         3,         4,         3,         8,         1,         1,         3,         3
       4.5,         3,         4,         3,         8,         1,         1,         3,         3
       4.6,         3,         4,         3,         8,         1,         1,         3,         3
       4.7,         3,         4,         3,         8,         1,         1,         3,         3
       4.8,         3,         4,         3,         8,         1,         1,         3,         3
       4.9,         3,         4,         3,         8,         1,         1,         3,         3
         5,         3,         4,         3,         8,         1,         1,         3,         3
       5.1,         3,         4,         3,         8,         1,         1,         3,         3
       5.2,         3,         4,         3,         8,         1,         1,         3,         3
       5.3,         3,         4,         3,         8,         1,         1,         3,         3
       5.4,         3,         4,         3,         8,         1,         1,         3,         3
       5.5,         3,         4,         3,         8,         1,         1,         3,         3
       5.6,         3,         4,         3,         8,         1,         1,         3,         3
       5.7,         3,         4,         3,         8,         1,         1,         3,         3
       5.8,         3,         4,         3,         8,         1,         1,         3,         3
       5.9,         3,         4,         3,         8,         1,         1,         3,         3
         6,         3,         4,         3,         8,         1,         1,         3,         3
       6.1,         3,         4,         3,         8,         3,         3,         3,         3
       6.2,         3,         4,         3,         8,         3,         3,         3,         3
