    "time", "axis1_w", "axis2_w", "axis3_w", "axis4_w", "axis5_w", "axis6_w"
         0,         0,        -0,        -0,         0,         0,         0
     0.004,0.0002059805,-0.0013413732,-0.001536591,         0,0.016142454,         0
     0.008,0.0036603596,-0.0072757102,-0.01118468,0.013443467,0.093998596,0.029415432
     0.012,0.015026893,-0.017043621,-0.030221835,0.038748349,0.20293635,0.050381699
     0.016,0.036533674,-0.031514554,-0.057964527,0.070902314,0.32789466,0.062130474
      0.02,0.068877441,-0.052793339,-0.091142116,0.10645327,0.46075757,0.069217946
     0.024, 0.1116981,-0.082739924,-0.12661562,0.14267136,0.59674454,0.074916266
     0.028,0.16401285,-0.12197391,-0.16326199,0.17762343,0.73297864,0.081496878
     0.032,0.22453355,-0.16968957,-0.20222351,0.21012282,0.86763194,0.090402473
     0.036,0.29186428,-0.22406575,-0.24598988,0.23961125,0.99943593,0.10240714
      0.04,  0.364612,-0.28290556,-0.29711069,0.26600651, 1.1274534,0.11777725
     0.044,0.44144595,-0.34419255,-0.35718958,0.28954373, 1.2510182,0.13643305
     0.048, 0.5211326,-0.40639913,-0.42646355,0.31063281, 1.3697518, 0.1580853
     0.052, 0.6025608,-0.46853551,-0.50393796,0.32974841, 1.4835846,0.18233766
     0.056,0.68476132,-0.53002576,-0.58785038,0.34735812, 1.5927455,0.20875312
      0.06,0.76691953,-0.59052567,-0.67619811,0.36388595, 1.6977103,0.23690086
     0.064,0.84837961,-0.6497731,-0.76713745, 0.3796977, 1.7991207,0.26635553
     0.068,0.92863863,-0.70751217,-0.85917971,0.39510292, 1.8977003, 0.2967166
     0.072, 1.0073329,-0.76348858,-0.95120715,0.41036023, 1.9941813,0.32761138
     0.076, 1.0842192,-0.81748694,-1.0423855,0.42568302, 2.0892543,0.35870243
      0.08, 1.1591549,-0.86937541, -1.132054,0.44124227, 2.1835391,0.38968629
     0.084, 1.2320794,-0.91913269,-1.2196486,0.45717006, 2.2775759,0.42031106
     0.088, 1.3029972,-0.96684843,-1.3046761,0.47356122, 2.3718247,0.45037662
     0.092,  1.371966, -1.012701,-1.3867291,0.49047607, 2.4666673,0.47972827
     0.096, 1.4390845,-1.0569237,-1.4655188,0.50794491, 2.5624109,0.50825729
       0.1, 1.5044842,-1.0997716,-1.5409004, 0.5259734, 2.6592894, 0.5358967
     0.104, 1.5683202,-1.1414969,-1.6128791,0.54454798, 2.7574649,0.56261477
     0.108, 1.6307634,-1.1823345,-1.6815946,0.56364141, 2.8570309,0.58841593
     0.112, 1.6919936,-1.2224978, -1.747289,0.58321508, 2.9580152,0.61331379
     0.116, 1.7521926,-1.2621787,-1.8102716,0.60322536, 3.0603913,0.63736193
      0.12, 1.8114245,-1.3009564, -1.868528, 0.6194816, 3.1470265,0.64555792
     0.124, 1.8672115,-1.3367639,-1.9142243,0.62341227, 3.1763659, 0.6381549
     0.128, 1.9152604,-1.3697973,-1.9481071, 0.6189858, 3.1757237,0.64317497
     0.132, 1.9525783,-1.3985946,-1.9736576,0.60836102, 3.1602108,0.65700032
     0.136, 1.9778621,-1.4206984,-1.9957586,0.59439205, 3.1377549,0.67516719
      0.14, 1.9911116,-1.4343016,-2.0178806,0.57986434, 3.1125953,0.69431496
