    "time","outputs[1]","outputs[2]"
         0,        25,        20
     0.001,        25,     20.01
     0.002,        25, 20.019999
     0.003,        25, 20.029996
     0.004,        25, 20.039992
     0.005,        25, 20.049986
     0.006,        25, 20.059979
     0.007,        25, 20.069971
     0.008,        25, 20.079961
     0.009,        25,  20.08995
      0.01,        25, 20.099937
     0.011,        25, 20.109923
     0.012,        25, 20.119908
     0.013,        25, 20.129891
     0.014,        25, 20.139873
     0.015,        25, 20.149854
     0.016,        25, 20.159833
     0.017,        25,  20.16981
     0.018,        25, 20.179787
     0.019,        25, 20.189762
      0.02,        25, 20.199735
     0.021,        25, 20.209708
     0.022,        25, 20.219678
     0.023,        25, 20.229648
     0.024,        25, 20.239616
     0.025,        25, 20.249582
     0.026,        25, 20.259548
     0.027,        25, 20.269511
     0.028,        25, 20.279474
     0.029,        25, 20.289435
      0.03,        25, 20.299395
     0.031,        25, 20.309353
     0.032,        25,  20.31931
     0.033,        25, 20.329266
     0.034,        25,  20.33922
     0.035,        25, 20.349172
     0.036,        25, 20.359124
     0.037,        25, 20.369074
     0.038,        25, 20.379022
     0.039,        25,  20.38897
      0.04,        25, 20.398916
     0.041,        25,  20.40886
     0.042,        25, 20.418803
     0.043,        25, 20.428745
     0.044,        25, 20.438685
     0.045,        25, 20.448624
     0.046,        25, 20.458562
     0.047,        25, 20.468498
     0.048,        25, 20.478433
     0.049,        25, 20.488366
      0.05,        25, 20.498298
     0.051,        25, 20.508229
     0.052,        25, 20.518158
     0.053,        25, 20.528086
     0.054,        25, 20.538012
     0.055,        25, 20.547937
     0.056,        25, 20.557861
     0.057,        25, 20.567784
     0.058,        25, 20.577705
     0.059,        25, 20.587624
      0.06,        25, 20.597542
     0.061,        25, 20.607459
     0.062,        25, 20.617375
     0.063,        25, 20.627289
     0.064,        25, 20.637201
     0.065,        25, 20.647113
     0.066,        25, 20.657023
     0.067,        25, 20.666931
     0.068,        25, 20.676839
     0.069,        25, 20.686744
      0.07,        25, 20.696649
     0.071,        25, 20.706552
     0.072,        25, 20.716454
     0.073,        25, 20.726354
     0.074,        25, 20.736253
     0.075,        25,  20.74615
     0.076,        25, 20.756047
     0.077,        25, 20.765941
     0.078,        25, 20.775835
     0.079,        25, 20.785727
      0.08,        25, 20.795618
     0.081,        25, 20.805507
     0.082,        25, 20.815395
     0.083,        25, 20.825281
     0.084,        25, 20.835167
     0.085,        25,  20.84505
     0.086,        25, 20.854933
     0.087,        25, 20.864814
     0.088,        25, 20.874694
     0.089,        25, 20.884572
      0.09,        25, 20.894449
     0.091,        25, 20.904325
     0.092,        25, 20.914199
     0.093,        25, 20.924072
     0.094,        25, 20.933943
     0.095,        25, 20.943813
     0.096,        25, 20.953682
     0.097,        25, 20.963549
     0.098,        25, 20.973415
     0.099,        25,  20.98328
       0.1,        25, 20.993143
     0.101,        25, 21.003005
     0.102,        25, 21.012865
     0.103,        25, 21.022725
     0.104,        25, 21.032582
     0.105,        25, 21.042439
     0.106,        25, 21.052294
     0.107,        25, 21.062147
     0.108,        25,    21.072
     0.109,        25, 21.081851
      0.11,        25,   21.0917
     0.111,        25, 21.101548
     0.112,        25, 21.111395
     0.113,        25, 21.121241
     0.114,        25, 21.131085
     0.115,        25, 21.140927
     0.116,        25, 21.150769
     0.117,        25, 21.160609
     0.118,        25, 21.170447
     0.119,        25, 21.180285
      0.12,        25,  21.19012
     0.121,        25, 21.199955
     0.122,        25, 21.209788
     0.123,        25,  21.21962
     0.124,        25,  21.22945
     0.125,        25, 21.239279
     0.126,        25, 21.249107
     0.127,        25, 21.258933
     0.128,        25, 21.268758
     0.129,        25, 21.278582
      0.13,        25, 21.288404
     0.131,        25, 21.298225
     0.132,        25, 21.308045
     0.133,        25, 21.317863
     0.134,        25, 21.327679
     0.135,        25, 21.337495
     0.136,        25, 21.347309
     0.137,        25, 21.357122
     0.138,        25, 21.366933
     0.139,        25, 21.376743
      0.14,        25, 21.386551
     0.141,        25, 21.396359
     0.142,        25, 21.406165
     0.143,        25, 21.415969
     0.144,        25, 21.425772
     0.145,        25, 21.435574
     0.146,        25, 21.445375
     0.147,        25, 21.455174
     0.148,        25, 21.464971
     0.149,        25, 21.474768
      0.15,        25, 21.484563
     0.151,        25, 21.494356
     0.152,        25, 21.504149
     0.153,        25,  21.51394
     0.154,        25, 21.523729
     0.155,        25, 21.533517
     0.156,        25, 21.543304
     0.157,        25,  21.55309
     0.158,        25, 21.562874
     0.159,        25, 21.572657
      0.16,        25, 21.582438
     0.161,        25, 21.592218
     0.162,        25, 21.601997
     0.163,        25, 21.611774
     0.164,        25,  21.62155
     0.165,        25, 21.631325
     0.166,        25, 21.641098
     0.167,        25,  21.65087
     0.168,        25, 21.660641
     0.169,        25,  21.67041
      0.17,        25, 21.680178
     0.171,        25, 21.689944
     0.172,        25, 21.699709
     0.173,        25, 21.709473
     0.174,        25, 21.719235
     0.175,        25, 21.728997
     0.176,        25, 21.738756
     0.177,        25, 21.748515
     0.178,        25, 21.758272
     0.179,        25, 21.768027
      0.18,        25, 21.777782
     0.181,        25, 21.787535
     0.182,        25, 21.797286
     0.183,        25, 21.807037
     0.184,        25, 21.816785
     0.185,        25, 21.826533
     0.186,        25, 21.836279
     0.187,        25, 21.846024
     0.188,        25, 21.855768
     0.189,        25,  21.86551
      0.19,        25, 21.875251
     0.191,        25,  21.88499
     0.192,        25, 21.894728
     0.193,        25, 21.904465
     0.194,        25,   21.9142
     0.195,        25, 21.923934
     0.196,        25, 21.933667
     0.197,        25, 21.943398
     0.198,        25, 21.953128
     0.199,        25, 21.962857
       0.2,        25, 21.972584
     0.201,        25,  21.98231
     0.202,        25, 21.992035
     0.203,        25, 22.001758
     0.204,        25,  22.01148
     0.205,        25, 22.021201
     0.206,        25,  22.03092
     0.207,        25, 22.040638
     0.208,        25, 22.050354
     0.209,        25, 22.060069
      0.21,        25, 22.069783
     0.211,        25, 22.079496
     0.212,        25, 22.089207
     0.213,        25, 22.098917
     0.214,        25, 22.108625
     0.215,        25, 22.118332
     0.216,        25, 22.128038
     0.217,        25, 22.137742
     0.218,        25, 22.147446
     0.219,        25, 22.157147
      0.22,        25, 22.166848
     0.221,        25, 22.176547
     0.222,        25, 22.186244
     0.223,        25, 22.195941
     0.224,        25, 22.205636
     0.225,        25, 22.215329
     0.226,        25, 22.225022
     0.227,        25, 22.234713
     0.228,        25, 22.244402
     0.229,        25, 22.254091
      0.23,        25, 22.263778
     0.231,        25, 22.273463
     0.232,        25, 22.283147
     0.233,        25,  22.29283
     0.234,        25, 22.302512
     0.235,        25, 22.312192
     0.236,        25, 22.321871
     0.237,        25, 22.331549
     0.238,        25, 22.341225
     0.239,        25,   22.3509
      0.24,        25, 22.360573
     0.241,        25, 22.370245
     0.242,        25, 22.379916
     0.243,        25, 22.389586
     0.244,        25, 22.399254
     0.245,        25, 22.408921
     0.246,        25, 22.418586
     0.247,        25, 22.428251
     0.248,        25, 22.437913
     0.249,        25, 22.447575
      0.25,        25, 22.457235
     0.251,        25, 22.466894
     0.252,        25, 22.476551
     0.253,        25, 22.486207
     0.254,        25, 22.495862
     0.255,        25, 22.505516
     0.256,        25, 22.515168
     0.257,        25, 22.524819
     0.258,        25, 22.534468
     0.259,        25, 22.544116
      0.26,        25, 22.553763
     0.261,        25, 22.563408
     0.262,        25, 22.573053
     0.263,        25, 22.582695
     0.264,        25, 22.592337
     0.265,        25, 22.601977
     0.266,        25, 22.611616
     0.267,        25, 22.621253
     0.268,        25, 22.630889
     0.269,        25, 22.640524
      0.27,        25, 22.650157
     0.271,        25,  22.65979
     0.272,        25,  22.66942
     0.273,        25,  22.67905
     0.274,        25, 22.688678
     0.275,        25, 22.698305
     0.276,        25,  22.70793
     0.277,        25, 22.717554
     0.278,        25, 22.727177
     0.279,        25, 22.736798
      0.28,        25, 22.746419
     0.281,        25, 22.756037
     0.282,        25, 22.765655
     0.283,        25, 22.775271
     0.284,        25, 22.784886
     0.285,        25, 22.794499
     0.286,        25, 22.804111
     0.287,        25, 22.813722
     0.288,        25, 22.823332
     0.289,        25,  22.83294
      0.29,        25, 22.842547
     0.291,        25, 22.852152
     0.292,        25, 22.861756
     0.293,        25, 22.871359
     0.294,        25,  22.88096
     0.295,        25, 22.890561
     0.296,        25, 22.900159
     0.297,        25, 22.909757
     0.298,        25, 22.919353
     0.299,        25, 22.928948
       0.3,        25, 22.938542
     0.301,        25, 22.948134
     0.302,        25, 22.957725
     0.303,        25, 22.967314
     0.304,        25, 22.976902
     0.305,        25, 22.986489
     0.306,        25, 22.996075
     0.307,        25, 23.005659
     0.308,        25, 23.015242
     0.309,        25, 23.024824
      0.31,        25, 23.034404
     0.311,        25, 23.043983
     0.312,        25,  23.05356
     0.313,        25, 23.063137
     0.314,        25, 23.072712
     0.315,        25, 23.082285
     0.316,        25, 23.091858
     0.317,        25, 23.101429
     0.318,        25, 23.110998
     0.319,        25, 23.120567
      0.32,        25, 23.130134
     0.321,        25, 23.139699
