    "time","PistonPosition","PressureExtend","PressureRetract","TemperatureExtend","TemperatureRetract","FlowExtend","FlowRetract"
         0,         0,      14.7,      14.7,        86,        86,         0,         0
      0.01,-1.2573343e-013, 14.695486, 14.695496,        86,        86,-2.0793117e-015,2.4120118e-013
      0.02,-3.9217449e-013, 14.695486, 14.695496,        86,        86,-4.1586363e-015,2.4120118e-013
      0.03,-7.432634e-013, 14.695486, 14.695496,        86,        86,-4.1586363e-015,2.349632e-013
      0.04,-1.2014911e-012, 14.695486, 14.695496,        86,        86,-4.1586491e-015,2.328839e-013
      0.05,-1.7424186e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,2.3288389e-013
      0.06,-2.3320304e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,2.2664594e-013
      0.07,-2.9486814e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,2.2248728e-013
      0.08,-3.5801948e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,2.1832864e-013
      0.09,-4.2103813e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,2.1384439e-013
       0.1,-4.8284859e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,2.0793204e-013
      0.11,-5.4191712e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,2.037734e-013
      0.12,-5.9764382e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,2.0169409e-013
      0.13,-6.5001454e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.9753544e-013
      0.14,-6.9785495e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.933768e-013
      0.15,-7.411614e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.9129748e-013
      0.16,-7.7996909e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.8713883e-013
      0.17,-8.1323546e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.8298019e-013
      0.18,-8.4158346e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.8090088e-013
      0.19,-8.6576648e-012, 14.695486, 14.695496,        86,        86,-4.1586491e-015,1.7882155e-013
       0.2,-8.8508368e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7466293e-013
      0.21,-9.0010833e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7466292e-013
      0.22,-9.1125389e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.725836e-013
      0.23,-9.1807738e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7199692e-013
      0.24,-9.2138798e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7050428e-013
      0.25,-9.2191536e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7199692e-013
      0.26,-9.1941503e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7007731e-013
      0.27,-9.1444393e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7007731e-013
      0.28,-9.0738435e-012, 14.695486, 14.695496,        86,        86,-3.4552953e-015,1.7007731e-013
      0.29,-8.9819745e-012, 14.695486, 14.695496,        86,        86,-3.4552953e-015,1.6842495e-013
       0.3,-8.8744072e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.6842495e-013
      0.31,-8.7553623e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.6842496e-013
      0.32,-8.6251785e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7046123e-013
      0.33,-8.4871428e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7050428e-013
      0.34,-8.3434433e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7050428e-013
      0.35,-8.1954945e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7007731e-013
      0.36,-8.0457806e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7046123e-013
      0.37,-7.8957099e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7050428e-013
      0.38,-7.7465914e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.71613e-013
      0.39,-7.5992635e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.725836e-013
       0.4,-7.4550457e-012, 14.695486, 14.695496,        86,        86,-4.1586491e-015,1.725836e-013
      0.41,-7.3148591e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.725836e-013
      0.42,-7.1788214e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.725836e-013
      0.43,-7.0481429e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7466292e-013
      0.44,-6.9230034e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.725836e-013
      0.45,-6.8028711e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7466293e-013
      0.46,-6.6885404e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7466292e-013
      0.47,-6.5800792e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7466292e-013
      0.48,-6.4774787e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7466293e-013
      0.49,-6.3806263e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7466292e-013
       0.5,-6.2895192e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7674224e-013
      0.51,-6.2041967e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7466293e-013
      0.52,-6.1241559e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7674224e-013
      0.53,-6.0484242e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7674224e-013
      0.54,-5.9774208e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7674224e-013
      0.55,-5.9109354e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7674224e-013
      0.56,-5.8486973e-012, 14.695486, 14.695496,        86,        86,-4.1586491e-015,1.7674224e-013
      0.57,-5.7899325e-012, 14.695486, 14.695496,        86,        86,-4.1586491e-015,1.7882155e-013
      0.58,-5.7348295e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7882157e-013
      0.59,-5.6829789e-012, 14.695486, 14.695496,        86,        86,-4.1586491e-015,1.7674224e-013
       0.6,-5.6337792e-012, 14.695486, 14.695496,        86,        86,-4.1586491e-015,1.7882155e-013
      0.61,-5.5872762e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7882155e-013
      0.62,-5.5432115e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7882155e-013
      0.63,-5.5014101e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7674224e-013
      0.64,-5.4616509e-012, 14.695486, 14.695496,        86,        86,-4.1586491e-015,1.7674224e-013
      0.65,-5.4235873e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7882155e-013
      0.66,-5.3870941e-012, 14.695486, 14.695496,        86,        86,-4.9909821e-015,1.7674224e-013
      0.67,-5.3519523e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7882155e-013
      0.68,-5.3180618e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7674224e-013
      0.69,-5.2853657e-012, 14.695486, 14.695496,        86,        86,-3.839217e-015,1.7674224e-013
       0.7,-5.2536845e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7882155e-013
      0.71,-5.2227527e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7674224e-013
      0.72,-5.1926651e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7674224e-013
      0.73,-5.1634303e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7882155e-013
      0.74,-5.1348162e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7882157e-013
      0.75,-5.1067416e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7674223e-013
      0.76,-5.0792614e-012, 14.695486, 14.695496,        86,        86,-4.1586491e-015,1.7882157e-013
      0.77,-5.0522806e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7674223e-013
      0.78,-5.0258027e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7882155e-013
      0.79,-4.9998239e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7882155e-013
       0.8,-4.9742464e-012, 14.695486, 14.695496,        86,        86,-4.1586363e-015,1.7674224e-013
