    "time",    "J1.w",    "J2.w",    "J3.w",    "J4.w"
         0,        10,         0,         0,         0
    0.0008, 9.9921045,0.0079999986,         0,         0
    0.0016,  9.984406,0.015999989,         0,         0
    0.0024, 9.9769083,0.023999963,         0,         0
    0.0032, 9.9696112,0.031999914,         0,         0
     0.004, 9.9625141,0.039999831,         0,         0
    0.0048, 9.9556165,0.047999709,         0,         0
    0.0056, 9.9489177,0.055999538,         0,         0
    0.0064,  9.942417,0.06399931,         0,         0
    0.0072, 9.9361133,0.071999018,         0,         0
     0.008, 9.9300056,0.079998652,         0,         0
    0.0088, 9.9240927,0.087998206,         0,         0
    0.0096, 9.9183733,0.095997671,         0,         0
    0.0104,  9.912846,0.10399704,         0,         0
    0.0112, 9.9075092, 0.1119963,         0,         0
     0.012, 9.9023613,0.11999545,         0,         0
    0.0128, 9.8974004,0.12799448,         0,         0
    0.0136, 9.8926247,0.13599338,         0,         0
    0.0144, 9.8880321,0.14399214,         0,         0
    0.0152, 9.8836204,0.15199076,         0,         0
     0.016, 9.8793875,0.15998922,         0,         0
    0.0168, 9.8753309,0.16798752,         0,         0
    0.0176, 9.8714482,0.17598565,         0,         0
    0.0184, 9.8677368, 0.1839836,         0,         0
    0.0192, 9.8641939,0.19198137,         0,         0
      0.02, 9.8608168,0.19997895,         0,         0
    0.0208, 9.8576025,0.20797632,         0,         0
    0.0216, 9.8545481,0.21597348,         0,         0
    0.0224, 9.8516504,0.22397042,         0,         0
    0.0232, 9.8489062,0.23196714,         0,         0
     0.024, 9.8463123,0.23996362,         0,         0
    0.0248, 9.8438651,0.24795986,         0,         0
    0.0256, 9.8415613,0.25595585,         0,         0
    0.0264, 9.8393971,0.26395158,         0,         0
    0.0272,  9.837369,0.27194704,         0,         0
     0.028, 9.8354732,0.27994223,         0,         0
    0.0288, 9.8337059,0.28793713,         0,         0
    0.0296,  9.832063,0.29593175,         0,         0
    0.0304, 9.8305406,0.30392606,         0,         0
    0.0312, 9.8291347,0.31192007,         0,         0
     0.032, 9.8278411,0.31991376,         0,         0
    0.0328, 9.8266555,0.32790713,         0,         0
    0.0336, 9.8255737,0.33590017,         0,         0
    0.0344, 9.8245912,0.34389287,         0,         0
    0.0352, 9.8237038,0.35188522,         0,         0
     0.036, 9.8229068,0.35987722,         0,         0
    0.0368, 9.8221959,0.36786885,         0,         0
    0.0376, 9.8215663,0.37586011,         0,         0
    0.0384, 9.8210134,0.38385099,         0,         0
    0.0392, 9.8205326,0.39184148,         0,         0
      0.04, 9.8201191,0.39983158,         0,         0
    0.0408, 9.8197681,0.40782127,         0,         0
    0.0416, 9.8194748,0.41581055,         0,         0
    0.0424, 9.8192344,0.42379941,         0,         0
    0.0432,  9.819042,0.43178784,         0,         0
     0.044, 9.8188926,0.43977584,         0,         0
    0.0448, 9.8187814,0.44776339,         0,         0
    0.0456, 9.8187033,0.45575049,         0,         0
    0.0464, 9.8186534,0.46373713,         0,         0
    0.0472, 9.8186266,0.47172329,         0,         0
     0.048,  9.818618,0.47970899,         0,         0
    0.0488, 9.8186225,0.48769419,         0,         0
    0.0496,  9.818635,0.49567891,         0,         0
    0.0504, 9.8186506,0.50366312,         0,         0
    0.0512, 9.8186641,0.51164683,         0,         0
     0.052, 9.8186706,0.51963001,         0,         0
    0.0528,  9.818665,0.52761268,         0,         0
    0.0536, 9.8186423, 0.5355948,         0,         0
    0.0544, 9.8185974,0.54357639,         0,         0
    0.0552, 9.8185254,0.55155743,         0,         0
     0.056, 9.8184212,0.55953791,         0,         0
    0.0568, 9.8182799,0.56751783,         0,         0
    0.0576, 9.8180966,0.57549717,         0,         0
    0.0584, 9.8178663,0.58347593,         0,         0
    0.0592, 9.8175842, 0.5914541,         0,         0
      0.06, 9.8172453,0.59943167,         0,         0
    0.0608, 9.8168449,0.60740864,         0,         0
    0.0616, 9.8163782,0.61538499,         0,         0
    0.0624, 9.8158405,0.62336072,         0,         0
    0.0632, 9.8152271,0.63133582,         0,         0
     0.064, 9.8145333,0.63931029,         0,         0
    0.0648, 9.8137545, 0.6472841,         0,         0
    0.0656, 9.8128863,0.65525727,         0,         0
    0.0664,  9.811924,0.66322977,         0,         0
    0.0672, 9.8108634, 0.6712016,         0,         0
     0.068,    9.8097,0.67917275,         0,         0
    0.0688, 9.8084296,0.68714322,         0,         0
    0.0696, 9.8070479,0.69511299,         0,         0
    0.0704, 9.8055508,0.70308206,         0,         0
    0.0712, 9.8039342,0.71105041,         0,         0
     0.072, 9.8021941,0.71901805,         0,         0
    0.0728, 9.8003266,0.72698497,         0,         0
    0.0736, 9.7983278,0.73495114,         0,         0
    0.0744, 9.7961939,0.74291658,         0,         0
    0.0752, 9.7939214,0.75088126,         0,         0
     0.076, 9.7915065,0.75884519,         0,         0
    0.0768, 9.7889459,0.76680835,         0,         0
    0.0776, 9.7862361,0.77477073,         0,         0
    0.0784, 9.7833737,0.78273233,         0,         0
    0.0792, 9.7803557,0.79069314,         0,         0
      0.08, 9.7771788,0.79865315,         0,         0
    0.0808,   9.77384,0.80661235,         0,         0
    0.0816, 9.7703365,0.81457074,         0,         0
    0.0824, 9.7666655,0.82252831,         0,         0
    0.0832, 9.7628241,0.83048504,         0,         0
     0.084,   9.75881,0.83844093,         0,         0
    0.0848, 9.7546204,0.84639598,         0,         0
    0.0856, 9.7502532,0.85435017,         0,         0
    0.0864,  9.745706, 0.8623035,         0,         0
    0.0872, 9.7409767,0.87025596,         0,         0
     0.088, 9.7360633,0.87820753,         0,         0
    0.0888, 9.7309639,0.88615822,         0,         0
    0.0896, 9.7256765,0.89410802,         0,         0
    0.0904, 9.7201997,0.90205691,         0,         0
    0.0912, 9.7145318,0.91000489,         0,         0
     0.092, 9.7086715,0.91795194,         0,         0
    0.0928, 9.7026173,0.92589808,         0,         0
    0.0936, 9.6963681,0.93384327,         0,         0
    0.0944, 9.6899229,0.94178752,         0,         0
    0.0952, 9.6832806,0.94973082,         0,         0
     0.096, 9.6764406,0.95767316,         0,         0
    0.0968,  9.669402,0.96561453,         0,         0
    0.0976, 9.6621644,0.97355493,         0,         0
    0.0984, 9.6547273,0.98149434,         0,         0
    0.0992, 9.6470904,0.98943276,         0,         0
       0.1, 9.6392535,0.99737018,         0,         0
    0.1008, 9.6312166, 1.0053066,         0,         0
    0.1016, 9.6229797,  1.013242,         0,         0
    0.1024,  9.614543, 1.0211764,         0,         0
    0.1032, 9.6059069, 1.0291097,         0,         0
     0.104, 9.5970717,  1.037042,         0,         0
    0.1048, 9.5880382, 1.0449733,         0,         0
    0.1056, 9.5788069, 1.0529035,         0,         0
    0.1064, 9.5693788, 1.0608326,         0,         0
    0.1072, 9.5597547, 1.0687606,         0,         0
     0.108, 9.5499358, 1.0766876,         0,         0
    0.1088, 9.5399232, 1.0846135,         0,         0
    0.1096, 9.5297183, 1.0925383,         0,         0
    0.1104, 9.5193226,  1.100462,         0,         0
    0.1112, 9.5087375, 1.1083846,         0,         0
     0.112, 9.4979648,  1.116306,         0,         0
    0.1128, 9.4870063, 1.1242264,         0,         0
    0.1136,  9.475864, 1.1321456,         0,         0
    0.1144, 9.4645398, 1.1400636,         0,         0
    0.1152, 9.4530359, 1.1479805,         0,         0
     0.116, 9.4413546, 1.1558962,         0,         0
    0.1168, 9.4294984, 1.1638108,         0,         0
    0.1176, 9.4174696, 1.1717242,         0,         0
    0.1184, 9.4052708, 1.1796364,         0,         0
    0.1192, 9.3929049, 1.1875474,         0,         0
      0.12, 9.3803747, 1.1954573,         0,         0
    0.1208, 9.3676829, 1.2033659,         0,         0
    0.1216, 9.3548328, 1.2112733,         0,         0
    0.1224, 9.3418274, 1.2191794,         0,         0
    0.1232, 9.3286699, 1.2270844,         0,         0
     0.124, 9.3153637, 1.2349881,         0,         0
    0.1248, 9.3019121, 1.2428905,         0,         0
    0.1256, 9.2883188, 1.2507917,         0,         0
    0.1264, 9.2745873, 1.2586916,         0,         0
    0.1272, 9.2607213, 1.2665903,         0,         0
     0.128, 9.2467245, 1.2744877,         0,         0
    0.1288, 9.2326009, 1.2823837,         0,         0
    0.1296, 9.2183543, 1.2902785,         0,         0
    0.1304, 9.2039889,  1.298172,         0,         0
    0.1312, 9.1895086, 1.3060642,         0,         0
     0.132, 9.1749177,  1.313955,         0,         0
    0.1328, 9.1602204, 1.3218446,         0,         0
    0.1336,  9.145421, 1.3297328,         0,         0
    0.1344, 9.1305239, 1.3376196,         0,         0
    0.1352, 9.1155335, 1.3455051,         0,         0
     0.136, 9.1004543, 1.3533892,         0,         0
    0.1368, 9.0852909,  1.361272,         0,         0
    0.1376, 9.0700478, 1.3691534,         0,         0
    0.1384, 9.0547298, 1.3770334,         0,         0
    0.1392, 9.0393415,  1.384912,         0,         0
      0.14, 9.0238877, 1.3927892,         0,         0
    0.1408, 9.0083732, 1.4006651,         0,         0
    0.1416, 8.9928028, 1.4085395,         0,         0
    0.1424, 8.9771814, 1.4164124,         0,         0
    0.1432, 8.9615138,  1.424284,         0,         0
     0.144, 8.9458051, 1.4321541,         0,         0
    0.1448, 8.9300601, 1.4400227,         0,         0
    0.1456, 8.9142839, 1.4478899,         0,         0
    0.1464, 8.8984815, 1.4557556,         0,         0
    0.1472, 8.8826578, 1.4636199,         0,         0
     0.148,  8.866818, 1.4714827,         0,         0
    0.1488,  8.850967,  1.479344,         0,         0
    0.1496, 8.8351099, 1.4872038,         0,         0
    0.1504, 8.8192518, 1.4950621,         0,         0
    0.1512, 8.8033978, 1.5029189,         0,         0
     0.152, 8.7875528, 1.5107741,         0,         0
    0.1528,  8.771722, 1.5186279,         0,         0
    0.1536, 8.7559104, 1.5264801,         0,         0
    0.1544, 8.7401231, 1.5343307,         0,         0
    0.1552, 8.7243649, 1.5421799,         0,         0
     0.156, 8.7086411, 1.5500274,         0,         0
    0.1568, 8.6929564, 1.5578734,         0,         0
    0.1576,  8.677316, 1.5657178,         0,         0
    0.1584, 8.6617247, 1.5735606,         0,         0
    0.1592, 8.6461875, 1.5814019,         0,         0
      0.16, 8.6307091, 1.5892415,         0,         0
    0.1608, 8.6152945, 1.5970796,         0,         0
    0.1616, 8.5999484,  1.604916,         0,         0
    0.1624, 8.5846756, 1.6127508,         0,         0
    0.1632, 8.5694808,  1.620584,         0,         0
     0.164, 8.5543686, 1.6284155,         0,         0
    0.1648, 8.5393436, 1.6362454,         0,         0
    0.1656, 8.5244105, 1.6440736,         0,         0
    0.1664, 8.5095736, 1.6519002,         0,         0
    0.1672, 8.4948375, 1.6597251,         0,         0
     0.168, 8.4802065, 1.6675483,         0,         0
    0.1688,  8.465685, 1.6753698,         0,         0
    0.1696,  8.451277, 1.6831897,         0,         0
    0.1704, 8.4369869, 1.6910078,         0,         0
    0.1712, 8.4228187, 1.6988243,         0,         0
     0.172, 8.4087765,  1.706639,         0,         0
    0.1728, 8.3948641,  1.714452,         0,         0
    0.1736, 8.3810855, 1.7222632,         0,         0
    0.1744, 8.3674443, 1.7300728,         0,         0
    0.1752, 8.3539444, 1.7378805,         0,         0
     0.176, 8.3405893, 1.7456866,         0,         0
    0.1768, 8.3273826, 1.7534908,         0,         0
    0.1776, 8.3143275, 1.7612933,         0,         0
    0.1784, 8.3014276,  1.769094,         0,         0
    0.1792, 8.2886859, 1.7768929,         0,         0
      0.18, 8.2761057,   1.78469,         0,         0
    0.1808, 8.2636899, 1.7924853,         0,         0
    0.1816, 8.2514415, 1.8002788,         0,         0
    0.1824, 8.2393634, 1.8080705,         0,         0
    0.1832, 8.2274581, 1.8158604,         0,         0
     0.184, 8.2157284, 1.8236484,         0,         0
    0.1848, 8.2041766, 1.8314345,         0,         0
    0.1856, 8.1928054, 1.8392189,         0,         0
    0.1864, 8.1816167, 1.8470013,         0,         0
    0.1872,  8.170613, 1.8547819,         0,         0
     0.188, 8.1597961, 1.8625607,         0,         0
    0.1888,  8.149168, 1.8703375,         0,         0
    0.1896, 8.1387306, 1.8781125,         0,         0
    0.1904, 8.1284855, 1.8858855,         0,         0
    0.1912, 8.1184342, 1.8936567,         0,         0
     0.192, 8.1085783, 1.9014259,         0,         0
    0.1928, 8.0989191, 1.9091932,         0,         0
    0.1936, 8.0894577, 1.9169586,         0,         0
    0.1944, 8.0801952,  1.924722,         0,         0
    0.1952, 8.0711327, 1.9324835,         0,         0
     0.196, 8.0622708, 1.9402431,         0,         0
    0.1968, 8.0536104, 1.9480007,         0,         0
    0.1976,  8.045152, 1.9557563,         0,         0
    0.1984,  8.036896, 1.9635099,         0,         0
    0.1992, 8.0288429, 1.9712616,         0,         0
       0.2, 8.0209927, 1.9790112,         0,         0
    0.2008, 8.0133455, 1.9867589,         0,         0
    0.2016, 8.0059014, 1.9945046,         0,         0
    0.2024, 7.9986601, 2.0022482,         0,         0
    0.2032, 7.9916212, 2.0099898,         0,         0
     0.204, 7.9847845, 2.0177294,         0,         0
    0.2048, 7.9781492,  2.025467,         0,         0
    0.2056, 7.9717148, 2.0332024,         0,         0
    0.2064, 7.9654804, 2.0409359,         0,         0
    0.2072,  7.959445, 2.0486673,         0,         0
     0.208, 7.9536076, 2.0563966,         0,         0
    0.2088, 7.9479671, 2.0641238,         0,         0
    0.2096,  7.942522,  2.071849,         0,         0
    0.2104,  7.937271,  2.079572,         0,         0
    0.2112, 7.9322126,  2.087293,         0,         0
     0.212,  7.927345, 2.0950118,         0,         0
    0.2128, 7.9226664, 2.1027285,         0,         0
    0.2136, 7.9181749, 2.1104431,         0,         0
    0.2144, 7.9138686, 2.1181556,         0,         0
    0.2152, 7.9097453, 2.1258659,         0,         0
     0.216, 7.9058026, 2.1335741,         0,         0
    0.2168, 7.9020383, 2.1412801,         0,         0
    0.2176, 7.8984499,  2.148984,         0,         0
    0.2184, 7.8950347, 2.1566857,         0,         0
    0.2192, 7.8917901, 2.1643852,         0,         0
      0.22, 7.8887132, 2.1720825,         0,         0
    0.2208, 7.8858012, 2.1797776,         0,         0
    0.2216,  7.883051, 2.1874705,         0,         0
    0.2224, 7.8804596, 2.1951612,         0,         0
    0.2232, 7.8780236, 2.2028497,         0,         0
     0.224, 7.8757399,  2.210536,         0,         0
    0.2248, 7.8736049,   2.21822,         0,         0
    0.2256, 7.8716153, 2.2259018,         0,         0
    0.2264, 7.8697674, 2.2335813,         0,         0
    0.2272, 7.8680574, 2.2412586,         0,         0
     0.228, 7.8664818, 2.2489336,         0,         0
    0.2288, 7.8650366, 2.2566064,         0,         0
    0.2296, 7.8637179, 2.2642769,         0,         0
    0.2304, 7.8625217,  2.271945,         0,         0
    0.2312, 7.8614439, 2.2796109,         0,         0
     0.232, 7.8604804, 2.2872745,         0,         0
    0.2328, 7.8596269, 2.2949357,         0,         0
    0.2336, 7.8588791, 2.3025947,         0,         0
    0.2344, 7.8582328, 2.3102513,         0,         0
    0.2352, 7.8576834, 2.3179056,         0,         0
     0.236, 7.8572265, 2.3255575,         0,         0
    0.2368, 7.8568576, 2.3332071,         0,         0
    0.2376,  7.856572, 2.3408543,         0,         0
    0.2384, 7.8563652, 2.3484992,         0,         0
    0.2392, 7.8562324, 2.3561417,         0,         0
      0.24, 7.8561688, 2.3637818,         0,         0
    0.2408, 7.8561698, 2.3714195,         0,         0
    0.2416, 7.8562305, 2.3790548,         0,         0
    0.2424, 7.8563461, 2.3866878,         0,         0
    0.2432, 7.8565116, 2.3943183,         0,         0
     0.244, 7.8567221, 2.4019464,         0,         0
    0.2448, 7.8569728,  2.409572,         0,         0
    0.2456, 7.8572586, 2.4171952,         0,         0
    0.2464, 7.8575745,  2.424816,         0,         0
    0.2472, 7.8579155, 2.4324344,         0,         0
     0.248, 7.8582767, 2.4400502,         0,         0
    0.2488,  7.858653, 2.4476636,         0,         0
    0.2496, 7.8590393, 2.4552746,         0,         0
    0.2504, 7.8594307,  2.462883,         0,         0
    0.2512,  7.859822,  2.470489,         0,         0
     0.252, 7.8602082, 2.4780925,         0,         0
    0.2528, 7.8605843, 2.4856934,         0,         0
    0.2536, 7.8609453, 2.4932919,         0,         0
    0.2544,  7.861286, 2.5008878,         0,         0
    0.2552, 7.8616016, 2.5084812,         0,         0
     0.256, 7.8618871, 2.5160721,         0,         0
    0.2568, 7.8621374, 2.5236604,         0,         0
    0.2576, 7.8623476, 2.5312462,         0,         0
    0.2584, 7.8625129, 2.5388294,         0,         0
    0.2592, 7.8626282,   2.54641,         0,         0
      0.26, 7.8626889, 2.5539881,         0,         0
    0.2608,   7.86269, 2.5615636,         0,         0
    0.2616, 7.8626267, 2.5691365,         0,         0
    0.2624, 7.8624944, 2.5767068,         0,         0
    0.2632, 7.8622884, 2.5842745,         0,         0
     0.264,  7.862004, 2.5918396,         0,         0
    0.2648, 7.8616365, 2.5994021,         0,         0
    0.2656, 7.8611816, 2.6069619,         0,         0
    0.2664, 7.8606347, 2.6145191,         0,         0
    0.2672, 7.8599913, 2.6220737,         0,         0
     0.268, 7.8592471, 2.6296256,         0,         0
    0.2688, 7.8583979, 2.6371749,         0,         0
    0.2696, 7.8574394, 2.6447215,         0,         0
    0.2704, 7.8563675, 2.6522654,         0,         0
    0.2712,  7.855178, 2.6598067,         0,         0
     0.272,  7.853867, 2.6673452,         0,         0
    0.2728, 7.8524305, 2.6748811,         0,         0
    0.2736, 7.8508647, 2.6824142,         0,         0
    0.2744, 7.8491658, 2.6899447,         0,         0
    0.2752, 7.8473303, 2.6974724,         0,         0
     0.276, 7.8453543, 2.7049974,         0,         0
    0.2768, 7.8432346, 2.7125197,         0,         0
    0.2776, 7.8409676, 2.7200392,         0,         0
    0.2784, 7.8385501,  2.727556,         0,         0
    0.2792, 7.8359788,   2.73507,         0,         0
      0.28, 7.8332507, 2.7425812,         0,         0
    0.2808, 7.8303627, 2.7500897,         0,         0
    0.2816, 7.8273118, 2.7575954,         0,         0
    0.2824, 7.8240954, 2.7650983,         0,         0
    0.2832, 7.8207107, 2.7725985,         0,         0
     0.284, 7.8171551, 2.7800958,         0,         0
    0.2848, 7.8134261, 2.7875903,         0,         0
    0.2856, 7.8095214,  2.795082,         0,         0
    0.2864, 7.8054387, 2.8025709,         0,         0
    0.2872, 7.8011758, 2.8100569,         0,         0
     0.288, 7.7967308, 2.8175401,         0,         0
    0.2888, 7.7921016, 2.8250204,         0,         0
    0.2896, 7.7872866, 2.8324979,         0,         0
