"time","TRes","heatCapacitor_T","switch_Controll"
0,293.15,20,0
0,293.15,20,0
0,293.15,20,0
0,293.15,20,0
0.001,293.16,20.01,0
0.002,293.17,20.02,0
0.003,293.18,20.03,0
0.004,293.19,20.04,0
0.005,293.2,20.05,0
0.006,293.21,20.06,0
0.007,293.22,20.07,0
0.008,293.23,20.0799,0
0.009,293.24,20.0899,0
0.01,293.25,20.0999,0
0.011,293.26,20.1099,0
0.012,293.27,20.1199,0
0.013,293.28,20.1299,0
0.014,293.29,20.1398,0
0.015,293.3,20.1498,0
0.016,293.31,20.1598,0
0.017,293.32,20.1698,0
0.018,293.33,20.1797,0
0.019,293.34,20.1897,0
0.02,293.35,20.1997,0
0.02,293.35,20.1997,0
0.02,293.35,20.1997,0
0.021,293.36,20.2097,0
0.022,293.37,20.2196,0
0.023,293.38,20.2296,0
0.024,293.39,20.2396,0
0.025,293.4,20.2495,0
0.026,293.409,20.2595,0
0.027,293.419,20.2694,0
0.028,293.429,20.2794,0
0.029,293.439,20.2894,0
0.03,293.449,20.2993,0
0.031,293.459,20.3093,0
0.032,293.469,20.3192,0
0.033,293.479,20.3292,0
0.034,293.489,20.3391,0
0.035,293.499,20.3491,0
0.036,293.509,20.359,0
0.037,293.519,20.369,0
0.038,293.529,20.3789,0
0.039,293.539,20.3889,0
0.04,293.549,20.3988,0
0.04,293.549,20.3988,0
0.04,293.549,20.3988,0
0.041,293.559,20.4088,0
0.042,293.569,20.4187,0
0.043,293.579,20.4286,0
0.044,293.589,20.4386,0
0.045,293.599,20.4485,0
0.046,293.608,20.4584,0
0.047,293.618,20.4684,0
0.048,293.628,20.4783,0
0.049,293.638,20.4882,0
0.05,293.648,20.4982,0
0.051,293.658,20.5081,0
0.052,293.668,20.518,0
0.053,293.678,20.5279,0
0.054,293.688,20.5379,0
0.055,293.698,20.5478,0
0.056,293.708,20.5577,0
0.057,293.718,20.5676,0
0.058,293.728,20.5775,0
0.059,293.737,20.5875,0
0.06,293.747,20.5974,0
0.06,293.747,20.5974,0
0.06,293.747,20.5974,0
0.061,293.757,20.6073,0
0.062,293.767,20.6172,0
0.063,293.777,20.6271,0
0.064,293.787,20.637,0
0.065,293.797,20.6469,0
0.066,293.807,20.6568,0
0.067,293.817,20.6667,0
0.068,293.827,20.6766,0
0.069,293.837,20.6865,0
0.07,293.846,20.6964,0
0.071,293.856,20.7063,0
0.072,293.866,20.7162,0
0.073,293.876,20.7261,0
0.074,293.886,20.736,0
0.075,293.896,20.7459,0
0.076,293.906,20.7558,0
0.077,293.916,20.7657,0
0.078,293.926,20.7756,0
0.079,293.935,20.7855,0
0.08,293.945,20.7954,0
0.08,293.945,20.7954,0
0.08,293.945,20.7954,0
0.081,293.955,20.8053,0
0.082,293.965,20.8151,0
0.083,293.975,20.825,0
0.084,293.985,20.8349,0
0.085,293.995,20.8448,0
0.086,294.005,20.8547,0
0.087,294.015,20.8645,0
0.088,294.024,20.8744,0
0.089,294.034,20.8843,0
0.09,294.044,20.8942,0
0.091,294.054,20.9041,0
0.092,294.064,20.9139,0
0.093,294.074,20.9238,0
0.094,294.084,20.9337,0
0.095,294.094,20.9435,0
0.096,294.103,20.9534,0
0.097,294.113,20.9633,0
0.098,294.123,20.9731,0
0.099,294.133,20.983,0
0.1,294.143,20.9928,0
0.1,294.143,20.9928,0
0.1,294.143,20.9928,0
0.101,294.153,21.0027,0
0.102,294.163,21.0126,0
0.103,294.172,21.0224,0
0.104,294.182,21.0323,0
0.105,294.192,21.0421,0
0.106,294.202,21.052,0
0.107,294.212,21.0618,0
0.108,294.222,21.0717,0
0.109,294.232,21.0815,0
0.11,294.241,21.0914,0
0.111,294.251,21.1012,0
0.112,294.261,21.1111,0
0.113,294.271,21.1209,0
0.114,294.281,21.1307,0
0.115,294.291,21.1406,0
0.116,294.3,21.1504,0
0.117,294.31,21.1602,0
0.118,294.32,21.1701,0
0.119,294.33,21.1799,0
0.12,294.34,21.1897,0
0.12,294.34,21.1897,0
0.12,294.34,21.1897,0
0.121,294.35,21.1996,0
0.122,294.359,21.2094,0
0.123,294.369,21.2192,0
0.124,294.379,21.2291,0
0.125,294.389,21.2389,0
0.126,294.399,21.2487,0
0.127,294.409,21.2585,0
0.128,294.418,21.2683,0
0.129,294.428,21.2782,0
0.13,294.438,21.288,0
0.131,294.448,21.2978,0
0.132,294.458,21.3076,0
0.133,294.467,21.3174,0
0.134,294.477,21.3273,0
0.135,294.487,21.3371,0
0.136,294.497,21.3469,0
0.137,294.507,21.3567,0
0.138,294.516,21.3665,0
0.139,294.526,21.3763,0
0.14,294.536,21.3861,0
0.14,294.536,21.3861,0
0.14,294.536,21.3861,0
0.141,294.546,21.3959,0
0.142,294.556,21.4057,0
0.143,294.566,21.4155,0
0.144,294.575,21.4253,0
0.145,294.585,21.4351,0
0.146,294.595,21.4449,0
0.147,294.605,21.4547,0
0.148,294.614,21.4645,0
0.149,294.624,21.4743,0
0.15,294.634,21.4841,0
0.151,294.644,21.4939,0
0.152,294.654,21.5037,0
0.153,294.663,21.5134,0
0.154,294.673,21.5232,0
0.155,294.683,21.533,0
0.156,294.693,21.5428,0
0.157,294.703,21.5526,0
0.158,294.712,21.5624,0
0.159,294.722,21.5721,0
0.16,294.732,21.5819,0
0.16,294.732,21.5819,0
0.16,294.732,21.5819,0
0.161,294.742,21.5917,0
0.162,294.751,21.6015,0
0.163,294.761,21.6112,0
0.164,294.771,21.621,0
0.165,294.781,21.6308,0
0.166,294.791,21.6406,0
0.167,294.8,21.6503,0
0.168,294.81,21.6601,0
0.169,294.82,21.6699,0
0.17,294.83,21.6796,0
0.171,294.839,21.6894,0
0.172,294.849,21.6991,0
0.173,294.859,21.7089,0
0.174,294.869,21.7187,0
0.175,294.878,21.7284,0
0.176,294.888,21.7382,0
0.177,294.898,21.7479,0
0.178,294.908,21.7577,0
0.179,294.917,21.7674,0
0.18,294.927,21.7772,0
0.18,294.927,21.7772,0
0.18,294.927,21.7772,0
0.181,294.937,21.7869,0
0.182,294.947,21.7967,0
0.183,294.956,21.8064,0
0.184,294.966,21.8162,0
0.185,294.976,21.8259,0
0.186,294.986,21.8357,0
0.187,294.995,21.8454,0
0.188,295.005,21.8551,0
0.189,295.015,21.8649,0
0.19,295.025,21.8746,0
0.191,295.034,21.8844,0
0.192,295.044,21.8941,0
0.193,295.054,21.9038,0
0.194,295.064,21.9136,0
0.195,295.073,21.9233,0
0.196,295.083,21.933,0
0.197,295.093,21.9427,0
0.198,295.102,21.9525,0
0.199,295.112,21.9622,0
0.2,295.122,21.9719,0
0.2,295.122,21.9719,0
0.2,295.122,21.9719,0
0.201,295.132,21.9816,0
0.202,295.141,21.9914,0
0.203,295.151,22.0011,0
0.204,295.161,22.0108,0
0.205,295.171,22.0205,0
0.206,295.18,22.0302,0
0.207,295.19,22.0399,0
0.208,295.2,22.0497,0
0.209,295.209,22.0594,0
0.21,295.219,22.0691,0
0.211,295.229,22.0788,0
