"time","step2","J1_w","J2_w","J3_w","J4_w"
0,0,10,0,0,0
0,0,10,0,0,0
0,0,10,0,0,0
0,0,10,0,0,0
0,0,10,0,0,0
0,0,10,0,0,0
0.001,0,9.99016,0.01,-3.38791e-015,-3.38791e-015
0.002,0,9.98064,0.02,-5.09315e-015,-5.09316e-015
0.003,0,9.97143,0.0299999,-3.56659e-015,-3.56661e-015
0.003,0,9.97143,0.0299999,-3.56659e-015,-3.56661e-015
0.003,0,9.97143,0.0299999,-3.56659e-015,-3.56661e-015
0.004,0,9.96261,0.0399999,-1.15186e-015,-1.15188e-015
0.004,0,9.96261,0.0399999,-1.15186e-015,-1.15188e-015
0.004,0,9.96261,0.0399999,-1.15186e-015,-1.15188e-015
0.005,0,9.95411,0.0499997,-4.73233e-015,-4.73234e-015
0.006,0,9.94587,0.0599995,-4.31599e-015,-4.31601e-015
0.006,0,9.94587,0.0599995,-4.31599e-015,-4.31601e-015
0.006,0,9.94587,0.0599995,-4.31599e-015,-4.31601e-015
0.007,0,9.93799,0.0699992,-4.56579e-015,-4.56581e-015
0.007,0,9.93799,0.0699992,-4.56579e-015,-4.56581e-015
0.007,0,9.93799,0.0699992,-4.56579e-015,-4.56581e-015
0.008,0,9.93041,0.0799988,-5.16254e-015,-5.16256e-015
0.009,0,9.92309,0.0899983,-7.60503e-015,-7.60504e-015
0.009,0,9.92309,0.0899983,-7.60503e-015,-7.60504e-015
0.009,0,9.92309,0.0899983,-7.60503e-015,-7.60504e-015
0.009,0,9.92309,0.0899983,-7.60503e-015,-7.60504e-015
0.009,0,9.92309,0.0899983,-7.60503e-015,-7.60504e-015
0.01,0,9.91612,0.0999976,-7.85483e-015,-7.85484e-015
0.011,0,9.90939,0.109997,-1.08386e-014,-1.08386e-014
0.012,0,9.90295,0.119996,-1.00475e-014,-1.00475e-014
0.012,0,9.90295,0.119996,-1.00475e-014,-1.00475e-014
0.012,0,9.90295,0.119996,-1.00475e-014,-1.00475e-014
0.013,0,9.89686,0.129995,-1.02696e-014,-1.02696e-014
0.013,0,9.89686,0.129995,-1.02696e-014,-1.02696e-014
0.013,0,9.89686,0.129995,-1.02696e-014,-1.02696e-014
0.014,0,9.89106,0.139993,-9.29812e-015,-9.29814e-015
0.015,0,9.8855,0.149992,-5.82867e-015,-5.82869e-015
0.015,0,9.8855,0.149992,-5.82867e-015,-5.82869e-015
0.015,0,9.8855,0.149992,-5.82867e-015,-5.82869e-015
0.015,0,9.8855,0.149992,-5.82867e-015,-5.82869e-015
0.015,0,9.8855,0.149992,-5.82867e-015,-5.82869e-015
0.016,0,9.88027,0.15999,-4.60743e-015,-4.60745e-015
0.017,0,9.87526,0.169988,-5.85643e-015,-5.85644e-015
0.018,0,9.87051,0.179986,-6.46705e-015,-6.46704e-015
0.018,0,9.87051,0.179986,-6.46705e-015,-6.46704e-015
0.018,0,9.87051,0.179986,-6.46705e-015,-6.46704e-015
0.018,0,9.87051,0.179986,-6.46705e-015,-6.46704e-015
0.018,0,9.87051,0.179986,-6.46705e-015,-6.46704e-015
0.019,0,9.86608,0.189983,-5.9952e-015,-5.9952e-015
0.02,0,9.86187,0.19998,-5.41234e-015,-5.41233e-015
0.021,0,9.85789,0.209977,-5.27356e-015,-5.27354e-015
0.021,0,9.85789,0.209977,-5.27356e-015,-5.27354e-015
0.021,0,9.85789,0.209977,-5.27356e-015,-5.27354e-015
0.021,0,9.85789,0.209977,-5.27356e-015,-5.27354e-015
0.021,0,9.85789,0.209977,-5.27356e-015,-5.27354e-015
0.022,0,9.85423,0.219974,-4.55191e-015,-4.55189e-015
0.023,0,9.85076,0.22997,-3.38618e-015,-3.38616e-015
0.024,0,9.84751,0.239966,-4.46865e-015,-4.46863e-015
0.024,0,9.84751,0.239966,-4.46865e-015,-4.46863e-015
0.024,0,9.84751,0.239966,-4.46865e-015,-4.46863e-015
0.025,0,9.84455,0.249961,-8.99281e-015,-8.99279e-015
0.025,0,9.84455,0.249961,-8.99281e-015,-8.99279e-015
0.025,0,9.84455,0.249961,-8.99281e-015,-8.99279e-015
0.026,0,9.8418,0.259956,-1.13243e-014,-1.13243e-014
0.027,0,9.83924,0.269951,-1.2268e-014,-1.2268e-014
0.027,0,9.83924,0.269951,-1.2268e-014,-1.2268e-014
0.027,0,9.83924,0.269951,-1.2268e-014,-1.2268e-014
0.028,0,9.83691,0.279945,-1.36002e-014,-1.36002e-014
0.028,0,9.83691,0.279945,-1.36002e-014,-1.36002e-014
0.028,0,9.83691,0.279945,-1.36002e-014,-1.36002e-014
0.029,0,9.83479,0.289938,-1.34892e-014,-1.34892e-014
0.03,0,9.83283,0.299932,-1.33227e-014,-1.33227e-014
0.03,0,9.83283,0.299932,-1.33227e-014,-1.33227e-014
0.03,0,9.83283,0.299932,-1.33227e-014,-1.33227e-014
0.03,0,9.83283,0.299932,-1.33227e-014,-1.33227e-014
0.03,0,9.83283,0.299932,-1.33227e-014,-1.33227e-014
0.031,0,9.83108,0.309925,-1.37113e-014,-1.37112e-014
0.032,0,9.82947,0.319917,-1.38778e-014,-1.38778e-014
0.033,0,9.82802,0.329909,-1.49325e-014,-1.49325e-014
0.033,0,9.82802,0.329909,-1.49325e-014,-1.49325e-014
0.033,0,9.82802,0.329909,-1.49325e-014,-1.49325e-014
0.033,0,9.82802,0.329909,-1.49325e-014,-1.49325e-014
0.033,0,9.82802,0.329909,-1.49325e-014,-1.49325e-014
0.034,0,9.82677,0.3399,-1.49325e-014,-1.49325e-014
0.035,0,9.82565,0.349891,-1.43219e-014,-1.43219e-014
0.036,0,9.82465,0.359881,-1.55986e-014,-1.55986e-014
0.036,0,9.82465,0.359881,-1.55986e-014,-1.55986e-014
0.036,0,9.82465,0.359881,-1.55986e-014,-1.55986e-014
0.036,0,9.82465,0.359881,-1.55986e-014,-1.55986e-014
0.036,0,9.82465,0.359881,-1.55986e-014,-1.55986e-014
0.037,0,9.82382,0.369871,-1.33227e-014,-1.33226e-014
0.038,0,9.8231,0.37986,-1.53211e-014,-1.5321e-014
0.039,0,9.82247,0.389849,-1.2601e-014,-1.2601e-014
0.039,0,9.82247,0.389849,-1.2601e-014,-1.2601e-014
0.039,0,9.82247,0.389849,-1.2601e-014,-1.2601e-014
0.04,0,9.82199,0.399836,-9.82547e-015,-9.82544e-015
0.04,0,9.82199,0.399836,-9.82547e-015,-9.82544e-015
0.04,0,9.82199,0.399836,-9.82547e-015,-9.82544e-015
0.041,0,9.82161,0.409823,-1.12688e-014,-1.12687e-014
0.042,0,9.82131,0.41981,-1.17129e-014,-1.17128e-014
0.042,0,9.82131,0.41981,-1.17129e-014,-1.17128e-014
0.042,0,9.82131,0.41981,-1.17129e-014,-1.17128e-014
0.042,0,9.82131,0.41981,-1.17129e-014,-1.17128e-014
0.042,0,9.82131,0.41981,-1.17129e-014,-1.17128e-014
0.043,0,9.82109,0.429796,-7.38298e-015,-7.38295e-015
0.044,0,9.82093,0.439781,-7.60503e-015,-7.605e-015
0.045,0,9.82081,0.449765,-7.10543e-015,-7.1054e-015
0.045,0,9.82081,0.449765,-7.10543e-015,-7.1054e-015
0.045,0,9.82081,0.449765,-7.10543e-015,-7.1054e-015
0.046,0,9.82074,0.459749,-6.99441e-015,-6.99438e-015
0.046,0,9.82074,0.459749,-6.99441e-015,-6.99438e-015
0.046,0,9.82074,0.459749,-6.99441e-015,-6.99438e-015
0.047,0,9.82071,0.469732,-6.27276e-015,-6.27273e-015
0.048,0,9.8207,0.479714,-5.55112e-015,-5.55109e-015
0.048,0,9.8207,0.479714,-5.55112e-015,-5.55109e-015
0.048,0,9.8207,0.479714,-5.55112e-015,-5.55109e-015
0.049,0,9.82072,0.489695,-8.16014e-015,-8.16011e-015
0.049,0,9.82072,0.489695,-8.16014e-015,-8.16011e-015
0.049,0,9.82072,0.489695,-8.16014e-015,-8.16011e-015
0.05,0,9.82073,0.499676,-8.60423e-015,-8.6042e-015
0.051,0,9.82074,0.509656,-9.54792e-015,-9.54789e-015
0.051,0,9.82074,0.509656,-9.54792e-015,-9.54789e-015
0.051,0,9.82074,0.509656,-9.54792e-015,-9.54789e-015
0.051,0,9.82074,0.509656,-9.54792e-015,-9.54789e-015
0.051,0,9.82074,0.509656,-9.54792e-015,-9.54789e-015
0.052,0,9.82073,0.519635,-7.99361e-015,-7.99358e-015
0.053,0,9.82069,0.529613,-6.99441e-015,-6.99438e-015
0.054,0,9.82063,0.539591,-7.32747e-015,-7.32744e-015
0.054,0,9.82063,0.539591,-7.32747e-015,-7.32744e-015
0.054,0,9.82063,0.539591,-7.32747e-015,-7.32744e-015
0.055,0,9.82053,0.549567,-1.08802e-014,-1.08802e-014
0.055,0,9.82053,0.549567,-1.08802e-014,-1.08802e-014
0.055,0,9.82053,0.549567,-1.08802e-014,-1.08802e-014
0.056,0,9.82037,0.559543,-1.45439e-014,-1.45439e-014
0.057,0,9.82013,0.569518,-1.5099e-014,-1.5099e-014
0.057,0,9.82013,0.569518,-1.5099e-014,-1.5099e-014
0.057,0,9.82013,0.569518,-1.5099e-014,-1.5099e-014
0.058,0,9.81984,0.579492,-1.57652e-014,-1.57651e-014
0.058,0,9.81984,0.579492,-1.57652e-014,-1.57651e-014
0.058,0,9.81984,0.579492,-1.57652e-014,-1.57651e-014
0.059,0,9.81946,0.589465,-1.40998e-014,-1.40998e-014
0.06,0,9.81896,0.599437,-1.35447e-014,-1.35447e-014
0.06,0,9.81896,0.599437,-1.35447e-014,-1.35447e-014
0.06,0,9.81896,0.599437,-1.35447e-014,-1.35447e-014
0.06,0,9.81896,0.599437,-1.35447e-014,-1.35447e-014
0.06,0,9.81896,0.599437,-1.35447e-014,-1.35447e-014
0.061,0,9.8184,0.609408,-1.33227e-014,-1.33226e-014
0.062,0,9.81769,0.619378,-1.22125e-014,-1.22124e-014
0.063,0,9.8169,0.629348,-1.23235e-014,-1.23234e-014
0.063,0,9.8169,0.629348,-1.23235e-014,-1.23234e-014
0.063,0,9.8169,0.629348,-1.23235e-014,-1.23234e-014
0.064,0,9.81599,0.639316,-1.45439e-014,-1.45439e-014
0.064,0,9.81599,0.639316,-1.45439e-014,-1.45439e-014
0.064,0,9.81599,0.639316,-1.45439e-014,-1.45439e-014
0.065,0,9.81495,0.649283,-1.26565e-014,-1.26565e-014
0.066,0,9.81378,0.65925,-1.27676e-014,-1.27675e-014
0.066,0,9.81378,0.65925,-1.27676e-014,-1.27675e-014
0.066,0,9.81378,0.65925,-1.27676e-014,-1.27675e-014
0.066,0,9.81378,0.65925,-1.27676e-014,-1.27675e-014
0.066,0,9.81378,0.65925,-1.27676e-014,-1.27675e-014
0.067,0,9.81245,0.669215,-1.57652e-014,-1.57651e-014
0.068,0,9.81097,0.67918,-1.39888e-014,-1.39888e-014
0.069,0,9.80934,0.689143,-1.58762e-014,-1.58762e-014
0.069,0,9.80934,0.689143,-1.58762e-014,-1.58762e-014
0.069,0,9.80934,0.689143,-1.58762e-014,-1.58762e-014
0.069,0,9.80934,0.689143,-1.58762e-014,-1.58762e-014
0.069,0,9.80934,0.689143,-1.58762e-014,-1.58762e-014
0.07,0,9.8075,0.699106,-1.62093e-014,-1.62092e-014
0.071,0,9.8055,0.709067,-1.59872e-014,-1.59872e-014
0.072,0,9.80332,0.719027,-1.31006e-014,-1.31006e-014
0.072,0,9.80332,0.719027,-1.31006e-014,-1.31006e-014
0.072,0,9.80332,0.719027,-1.31006e-014,-1.31006e-014
0.072,0,9.80332,0.719027,-1.31006e-014,-1.31006e-014
0.072,0,9.80332,0.719027,-1.31006e-014,-1.31006e-014
0.073,0,9.80089,0.728986,-1.16573e-014,-1.16573e-014
0.074,0,9.79829,0.738944,-1.12133e-014,-1.12132e-014
0.075,0,9.79549,0.748901,-9.88098e-015,-9.88099e-015
0.075,0,9.79549,0.748901,-9.88098e-015,-9.88099e-015
0.075,0,9.79549,0.748901,-9.88098e-015,-9.88099e-015
0.076,0,9.79242,0.758856,-1.11022e-014,-1.11022e-014
0.076,0,9.79242,0.758856,-1.11022e-014,-1.11022e-014
0.076,0,9.79242,0.758856,-1.11022e-014,-1.11022e-014
0.077,0,9.78912,0.76881,-1.17684e-014,-1.17684e-014
0.078,0,9.78562,0.778763,-1.45439e-014,-1.45439e-014
0.078,0,9.78562,0.778763,-1.45439e-014,-1.45439e-014
0.078,0,9.78562,0.778763,-1.45439e-014,-1.45439e-014
0.079,0,9.78185,0.788715,-1.74305e-014,-1.74305e-014
0.079,0,9.78185,0.788715,-1.74305e-014,-1.74305e-014
0.079,0,9.78185,0.788715,-1.74305e-014,-1.74305e-014
