"Time","ContinuousState[0]","ContinuousState[1]","ContinuousState[2]","ContinuousState[3]","ContinuousState[4]","ContinuousState[5]","ContinuousState[6]","ContinuousState[7]"
0,0,0,0,0,0,0,0,0
0.01,4.49997e-05,8.99993e-05,1.2e-07,4.49997e-05,4.51199e-05,4.48799e-05,4.48799e-05,1.1979e-07
0.02,0.000189994,0.000379988,1.13998e-06,0.000189994,0.000191139,0.000188859,0.000188859,1.13515e-06
0.03,0.000434968,0.000869937,4.05983e-06,0.000434968,0.000439056,0.000430936,0.000430936,4.03257e-06
0.04,0.000779899,0.0015598,9.87925e-06,0.000779899,0.00078987,0.00077011,0.00077011,9.78852e-06
0.05,0.00122475,0.0024495,1.95976e-05,0.00122475,0.00124458,0.00120538,0.00120538,1.93695e-05
0.06,0.00176948,0.00353896,3.4214e-05,0.00176948,0.00180419,0.00173575,0.00173575,3.37319e-05
0.07,0.00241403,0.00482806,5.4727e-05,0.00241403,0.00246968,0.00236021,0.00236021,5.38222e-05
0.08,0.00315834,0.00631667,8.21344e-05,0.00315834,0.00324208,0.00307776,0.00307776,8.05769e-05
0.09,0.00400233,0.00800465,0.000117433,0.00400233,0.00412236,0.00388741,0.00388741,0.000114922
0.1,0.00494592,0.00989184,0.000161621,0.00494592,0.00511153,0.00478814,0.00478814,0.000157775
0.11,0.00598901,0.011978,0.000215692,0.00598901,0.0062106,0.00577897,0.00577897,0.000210041
0.12,0.00713151,0.014263,0.000280641,0.00713151,0.00742055,0.00685889,0.00685889,0.000272617
0.13,0.00837329,0.0167466,0.000357462,0.00837329,0.0087424,0.0080269,0.0080269,0.00034639
0.14,0.00971423,0.0194285,0.000447148,0.00971423,0.0101771,0.009282,0.009282,0.000432236
0.15,0.0111542,0.0223084,0.000550688,0.0111542,0.0117257,0.0106232,0.0106232,0.00053102
0.16,0.0126931,0.0253861,0.000669074,0.0126931,0.0133892,0.0120495,0.0120495,0.000643601
0.17,0.0143306,0.0286613,0.000803292,0.0143306,0.0151686,0.0135598,0.0135598,0.000770823
0.18,0.0160668,0.0321336,0.00095433,0.0160668,0.0170649,0.0151533,0.0151533,0.000913523
0.19,0.0179013,0.0358027,0.00112317,0.0179013,0.0190791,0.0168288,0.0168288,0.00107253
0.2,0.0198341,0.0396682,0.0013108,0.0198341,0.0212121,0.0185854,0.0185854,0.00124866
0.21,0.0218649,0.0437297,0.0015182,0.0218649,0.023465,0.0204221,0.0204221,0.00144271
0.22,0.0239934,0.0479869,0.00174635,0.0239934,0.0258388,0.0223379,0.0223379,0.00165549
0.23,0.0262196,0.0524392,0.00199622,0.0262196,0.0283345,0.0243318,0.0243318,0.00188777
0.24,0.0285432,0.0570863,0.00226879,0.0285432,0.0309531,0.0264028,0.0264028,0.00214035
0.25,0.0309639,0.0619277,0.00256504,0.0309639,0.0336956,0.0285499,0.0285499,0.00241398
0.26,0.0334815,0.066963,0.00288592,0.0334815,0.036563,0.0307721,0.0307721,0.00270941
0.27,0.0360957,0.0721915,0.00323242,0.0360957,0.0395562,0.0330683,0.0330683,0.00302741
0.28,0.0388064,0.0776128,0.0036055,0.0388064,0.0426764,0.0354377,0.0354377,0.00336869
0.29,0.0416131,0.0832263,0.00400611,0.0416131,0.0459244,0.0378791,0.0378791,0.003734
0.3,0.0445157,0.0890315,0.00443523,0.0445157,0.0493013,0.0403917,0.0403917,0.00412404
0.31,0.0475139,0.0950278,0.0048938,0.0475139,0.0528082,0.0429744,0.0429744,0.00453952
0.32,0.0506073,0.101215,0.00538278,0.0506073,0.0564459,0.0456262,0.0456262,0.00498114
0.33,0.0537956,0.107591,0.00590312,0.0537956,0.0602156,0.048346,0.048346,0.00544958
0.34,0.0570786,0.114157,0.00645577,0.0570786,0.0641181,0.0511331,0.0511331,0.00594553
0.35,0.0604558,0.120912,0.00704168,0.0604558,0.0681546,0.0539862,0.0539862,0.00646965
0.36,0.063927,0.127854,0.00766178,0.063927,0.072326,0.0569044,0.0569044,0.00702259
0.37,0.0674918,0.134984,0.00831702,0.0674918,0.0766333,0.0598868,0.0598868,0.007605
0.38,0.0711499,0.1423,0.00900832,0.0711499,0.0810776,0.0629324,0.0629324,0.00821752
0.39,0.0749008,0.149802,0.00973662,0.0749008,0.0856598,0.0660401,0.0660401,0.00886078
0.4,0.0787443,0.157489,0.0105028,0.0787443,0.090381,0.0692089,0.0692089,0.00953539
0.41,0.0826799,0.16536,0.0113079,0.0826799,0.0952422,0.0724379,0.0724379,0.010242
0.42,0.0867072,0.173414,0.0121528,0.0867072,0.100244,0.0757261,0.0757261,0.0109811
0.43,0.0908258,0.181652,0.0130383,0.0908258,0.105388,0.0790724,0.0790724,0.0117534
0.44,0.0950354,0.190071,0.0139654,0.0950354,0.110676,0.082476,0.082476,0.0125594
0.45,0.0993354,0.198671,0.0149351,0.0993354,0.116107,0.0859358,0.0859358,0.0133996
0.46,0.103726,0.207451,0.0159481,0.103726,0.121683,0.0894508,0.0894508,0.0142748
0.47,0.108205,0.216411,0.0170054,0.108205,0.127405,0.09302,0.09302,0.0151853
0.48,0.112774,0.225548,0.018108,0.112774,0.133274,0.0966424,0.0966424,0.0161317
0.49,0.117432,0.234864,0.0192566,0.117432,0.139292,0.100317,0.100317,0.0171147
0.5,0.122178,0.244355,0.0204522,0.122178,0.145458,0.104043,0.104043,0.0181346
0.51,0.127011,0.254023,0.0216957,0.127011,0.151775,0.107819,0.107819,0.0191919
0.52,0.131932,0.263865,0.0229878,0.131932,0.158242,0.111645,0.111645,0.0202873
0.53,0.13694,0.27388,0.0243296,0.13694,0.164862,0.115519,0.115519,0.0214212
0.54,0.142034,0.284068,0.0257219,0.142034,0.171635,0.11944,0.11944,0.022594
0.55,0.147214,0.294428,0.0271655,0.147214,0.178562,0.123408,0.123408,0.0238062
0.56,0.152479,0.304959,0.0286612,0.152479,0.185645,0.127421,0.127421,0.0250583
0.57,0.157829,0.315658,0.03021,0.157829,0.192884,0.131478,0.131478,0.0263507
0.58,0.163263,0.326527,0.0318127,0.163263,0.20028,0.135579,0.135579,0.0276839
0.59,0.168781,0.337562,0.0334701,0.168781,0.207834,0.139723,0.139723,0.0290583
0.6,0.174382,0.348764,0.035183,0.174382,0.215548,0.143908,0.143908,0.0304743
0.61,0.180066,0.360131,0.0369524,0.180066,0.223423,0.148133,0.148133,0.0319324
0.62,0.185831,0.371662,0.0387789,0.185831,0.231458,0.152398,0.152398,0.0334329
0.63,0.191678,0.383356,0.0406635,0.191678,0.239656,0.156702,0.156702,0.0349762
0.64,0.197606,0.395211,0.0426068,0.197606,0.248018,0.161043,0.161043,0.0365627
0.65,0.203614,0.407227,0.0446099,0.203614,0.256545,0.165421,0.165421,0.0381928
0.66,0.209701,0.419402,0.0466733,0.209701,0.265237,0.169834,0.169834,0.0398669
0.67,0.215868,0.431736,0.048798,0.215868,0.274095,0.174283,0.174283,0.0415852
0.68,0.222113,0.444226,0.0509848,0.222113,0.283122,0.178765,0.178765,0.0433482
0.69,0.228436,0.456871,0.0532343,0.228436,0.292317,0.18328,0.18328,0.0451561
0.7,0.234836,0.469671,0.0555474,0.234836,0.301682,0.187826,0.187826,0.0470093
0.71,0.241312,0.482624,0.0579248,0.241312,0.311218,0.192404,0.192404,0.0489082
0.72,0.247865,0.495729,0.0603673,0.247865,0.320927,0.197012,0.197012,0.0508529
0.73,0.254492,0.508984,0.0628758,0.254492,0.330808,0.201648,0.201648,0.0528439
0.74,0.261194,0.522389,0.0654508,0.261194,0.340863,0.206313,0.206313,0.0548813
0.75,0.26797,0.535941,0.0680932,0.26797,0.351094,0.211005,0.211005,0.0569656
0.76,0.27482,0.549639,0.0708036,0.27482,0.3615,0.215723,0.215723,0.0590968
0.77,0.281741,0.563482,0.0735829,0.281741,0.372085,0.220466,0.220466,0.0612754
0.78,0.288735,0.57747,0.0764317,0.288735,0.382847,0.225233,0.225233,0.0635015
0.79,0.295799,0.591599,0.0793508,0.295799,0.39379,0.230024,0.230024,0.0657753
0.8,0.302935,0.605869,0.0823408,0.302935,0.404912,0.234837,0.234837,0.0680972
0.81,0.310139,0.620279,0.0854026,0.310139,0.416217,0.239672,0.239672,0.0704673
0.82,0.317413,0.634826,0.0885366,0.317413,0.427705,0.244527,0.244527,0.0728859
0.83,0.324755,0.64951,0.0917437,0.324755,0.439376,0.249402,0.249402,0.0753531
0.84,0.332165,0.66433,0.0950246,0.332165,0.451233,0.254296,0.254296,0.0778691
0.85,0.339641,0.679282,0.0983798,0.339641,0.463275,0.259207,0.259207,0.0804341
0.86,0.347184,0.694367,0.10181,0.347184,0.475505,0.264135,0.264135,0.0830484
0.87,0.354791,0.709583,0.105316,0.354791,0.487924,0.269079,0.269079,0.085712
0.88,0.362463,0.724927,0.108899,0.362463,0.500532,0.274038,0.274038,0.0884251
0.89,0.370199,0.740399,0.112558,0.370199,0.513331,0.279012,0.279012,0.0911878
0.9,0.377998,0.755997,0.116295,0.377998,0.526321,0.283998,0.283998,0.0940004
0.91,0.385859,0.771719,0.12011,0.385859,0.539505,0.288997,0.288997,0.0968628
0.92,0.393782,0.787564,0.124004,0.393782,0.552882,0.294007,0.294007,0.0997753
0.93,0.401765,0.80353,0.127978,0.401765,0.566455,0.299027,0.299027,0.102738
0.94,0.409808,0.819616,0.132032,0.409808,0.580224,0.304057,0.304057,0.105751
0.95,0.41791,0.83582,0.136166,0.41791,0.594191,0.309096,0.309096,0.108814
0.96,0.42607,0.852141,0.140382,0.42607,0.608357,0.314143,0.314143,0.111928
0.97,0.434288,0.868576,0.14468,0.434288,0.622723,0.319196,0.319196,0.115092
0.98,0.442562,0.885124,0.14906,0.442562,0.63729,0.324256,0.324256,0.118307
0.99,0.450892,0.901784,0.153523,0.450892,0.652059,0.32932,0.32932,0.121572
1,0.459277,0.918554,0.15807,0.459277,0.667031,0.334389,0.334389,0.124888
1.01,0.467716,0.935432,0.1627,0.467716,0.682209,0.339461,0.339461,0.128255
1.02,0.476208,0.952416,0.167416,0.476208,0.697592,0.344536,0.344536,0.131672
1.03,0.484752,0.969505,0.172216,0.484752,0.713182,0.349612,0.349612,0.13514
1.04,0.493348,0.986697,0.177102,0.493348,0.728981,0.354689,0.354689,0.138659
1.05,0.501129,1,0.181573,0.501129,0.74338,0.359259,0.359259,0.14187
1.06,0.509825,1,0.186624,0.509825,0.759583,0.36434,0.36434,0.145485
1.07,0.518571,1,0.191761,0.518571,0.775998,0.369419,0.369419,0.149152
1.08,0.527364,1,0.196987,0.527364,0.792626,0.374496,0.374496,0.152869
1.09,0.536205,1,0.2023,0.536205,0.809468,0.379568,0.379568,0.156636
1.1,0.545092,1,0.207702,0.545092,0.826527,0.384637,0.384637,0.160455
1.11,0.554024,1,0.213193,0.554024,0.843802,0.3897,0.3897,0.164324
