time,y,z
0.0,10.0,0.0
0.02,9.99804,-0.196
0.04,9.99216,-0.392
0.06,9.98236,-0.588
0.08,9.96864,-0.784
0.1,9.951,-0.98
0.12,9.92944,-1.176
0.14,9.90396,-1.372
0.16,9.87456,-1.568
0.18,9.84124,-1.764
0.2,9.804,-1.96
0.22,9.76284,-2.156
0.24,9.71776,-2.352
0.26,9.66876,-2.548
0.28,9.61584,-2.744
0.3,9.559,-2.94
0.32,9.49824,-3.136
0.34,9.43356,-3.332
0.36,9.36496,-3.528
0.38,9.29244,-3.724
0.4,9.216,-3.92
0.42,9.13564,-4.116
0.44,9.05136,-4.312
0.46,8.96316,-4.508
0.48,8.87104,-4.704
0.5,8.775,-4.9
0.52,8.67504,-5.096
0.54,8.57116,-5.292
0.56,8.46336,-5.488
0.58,8.35164,-5.684
0.6,8.236,-5.88
0.62,8.11644,-6.076
0.64,7.99296,-6.272
0.66,7.86556,-6.468
0.68,7.73424,-6.664
0.72,7.45984,-7.056
0.74,7.31676,-7.252
0.76,7.16976,-7.448
0.78,7.01884,-7.644
0.8,6.864,-7.84
0.84,6.54256,-8.232
0.86,6.37596,-8.428
0.88,6.20544,-8.624
0.9,6.031,-8.82
0.92,5.85264,-9.016
0.96,5.48416,-9.408
0.98,5.29404,-9.604
1.0,5.1,-9.8
1.02,4.90204,-9.996
1.04,4.70016,-10.192
1.06,4.49436,-10.388
1.08,4.28464,-10.584
1.1,4.071,-10.78
1.12,3.85344,-10.976
1.16,3.40656,-11.368
1.18,3.17724,-11.564
1.2,2.944,-11.76
1.22,2.70684,-11.956
1.24,2.46576,-12.152
1.26,2.22076,-12.348
1.28,1.97184,-12.544
1.3,1.719,-12.74
1.32,1.46224,-12.936
1.34,1.20156,-13.132
1.36,0.93696,-13.328
1.42,0.11964,-13.916
1.44,0.11936,10.388
1.46,0.32516,10.192
1.48,0.52704,9.996
1.5,0.725,9.8
1.52,0.91904,9.604
1.54,1.10916,9.408
1.56,1.29536,9.212
1.58,1.47764,9.016
1.6,1.656,8.82
1.62,1.83044,8.624
