Time,_dummy,_derdummy,EventIndicator_0_,EventIndicator_1_,EventIndicator_2_,EventIndicator_3_,EventIndicator_4_,EventIndicator_5_,EventIndicator_6_,EventIndicator_7_,EventIndicator_8_,EventIndicator_9_,EventIndicator_10_,SineWave1_0Amp,SineWave1_0Bias,SineWave1_0Freq,SineWave1_0Phase,Gain1_0Gain_0_,Gain1_0Gain_1_,Gain_0Gain,SineWave2_0Amp,SineWave2_0Bias,SineWave2_0Freq,SineWave2_0Phase,DeadZone_0Start,DeadZone_0End,SineWave5_0Amp,SineWave5_0Bias,SineWave5_0Freq,SineWave5_0Phase,SineWave3_0Amp,SineWave3_0Bias,SineWave3_0Freq,SineWave3_0Phase,SineWave4_0Amp,SineWave4_0Bias,SineWave4_0Freq,SineWave4_0Phase,Step_0Time,Step_0Y0,Step_0YFinal,HitCrossing_0Offset,SineWave6_0Amp,SineWave6_0Bias,SineWave6_0Freq,SineWave6_0Phase,Quantizer_0Interval,SineWave7_0Amp,SineWave7_0Bias,SineWave7_0Freq,SineWave7_0Phase,Relay_0OnVal,Relay_0OffVal,Relay_0YOn,Relay_0YOff,SineWave10_0Amp,SineWave10_0Bias,SineWave10_0Freq,SineWave10_0Phase,Saturation_0UpperSat,Saturation_0LowerSat,Step2_0Time,Step2_0Y0,Step2_0YFinal,SineWave11_0Amp,SineWave11_0Bias,SineWave11_0Freq,SineWave11_0Phase,Step3_0Time,Step3_0Y0,Step3_0YFinal,Constant_0Value,SineWave12_0Amp,SineWave12_0Bias,SineWave12_0Freq,SineWave12_0Phase,FixPtSwitch_0Threshold,Out1_1_,Out1_2_,Out2,Out3,Out4,Out5,Out6,Out7,Out8,Out9,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_NumberOfContinuousStates,fmi_NumberOfEventIndicators
0,1,0,0,0.5,-0.5,-1,0,-0.5,-0.5,0.5,-5,-0.1,-5,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.14159,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.14159,0,5,-0.1,-0.3,0,4,0,3.14159,0,3,0,0,0,0,0,0,-12,0,0,0,0,1,0,12
0.00795858,1,0,0.015917,0.515917,-0.484083,-0.992041,0,-0.468166,-0.468166,0.531834,-4.99204,4.94049e-015,-4.99204,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.14159,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.14159,0,5,-0.1,-0.3,0,4,0,3.14159,0,3,1.01592,3.01592,0,0.0135294,0,0,-12,0.031834,0.1,0.1,0,1,0,12
0.00795858,1,0,0.015917,0.515917,-0.484083,-0.992041,0,-0.468166,-0.468166,0.531834,-4.99204,4.94049e-015,-4.99204,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.14159,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.14159,0,5,-0.1,-0.3,0,4,0,3.14159,0,3,1.01592,3.01592,0,0.0135294,0,0,-12,0.031834,0.1,0.1,0,1,0,12
0.02,1,0,0.0399973,0.539997,-0.460003,-0.98,0,-0.420005,-0.420005,0.579995,-4.98,0.151162,-4.98,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.14159,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.14159,0,5,-0.1,-0.3,0,4,0,3.14159,0,3,1.04,3.04,0,0.0339977,0,0,-12,0.0799947,0.1,0.251162,0,1,0,12
0.04,1,0,0.0799787,0.579979,-0.420021,-0.96,0,-0.340043,-0.340043,0.659957,-4.96,0.401333,-4.96,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.14159,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.14159,0,5,-0.1,-0.3,0,4,0,3.14159,0,3,1.07998,3.07998,0,0.0679819,0,0,-12,0.159957,0.1,0.501333,0,1,0,12
0.06,1,0,0.119928,0.619928,-0.380072,-0.94,0,-0.260144,-0.260144,0.739856,-4.94,0.649525,-4.94,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.14159,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.14159,0,5,-0.1,-0.3,0,4,0,3.14159,0,3,1.11993,3.11993,0,0.101939,0,0,-12,0.239856,0.1,0.749525,0,1,0,12
0.08,1,0,0.159829,0.659829,-0.340171,-0.92,0,-0.180341,-0.180341,0.819659,-4.92,0.89476,-4.92,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.14159,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.14159,0,5,-0.1,-0.3,0,4,0,3.14159,0,3,1.15983,3.15983,0,0.135855,0,0.5,-12,0.319659,0.1,0.99476,0,1,0,12
0.1,1,0,0.199667,0.699667,-0.300333,-0.9,0,-0.100666,-0.100666,0.899334,-4.9,1.13607,-4.9,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.14159,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.14159,0,5,-0.1,-0.3,0,4,0,3.14159,0,3,1.19967,3.19967,0,0.169717,0,0.5,-12,0.399334,0.1,1.23607,0,1,0,12
0.12,1,0,0.239424,0.739424,-0.260576,-0.88,0,-0.0211512,-0.0211512,0.978849,-4.88,1.3725,-4.88,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.14159,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.14159,0,5,-0.1,-0.3,0,4,0,3.14159,0,3,1.23942,3.23942,0,0.203511,0,0.5,-12,0.478849,0.1,1.4725,0,1,0,12
0.12,1,0,0.239424,0.739424,-0.260576,-0.88,0,0.978849,-0.0211512,0.978849,-4.88,1.3725,-4.88,2,0,1,0,1,3,1,2,0,1,0,-0.5,0.5,2,0,1,0,0.3,0,1,0,0.7,0,3.14159,0,1,0,4,4,4,0,1,0,0.5,4,0,1,0,0.5,-0.5,12,-12,4,0,1,0,0.5,-0.5,5,0.1,0.3,4,0,3.14159,0,5,-0.1,-0.3,0,4,0,3.14159,0,3,1.23942,3.23942,0,0.203511,0,0.5,12,0.5,0.1,1.4725,0,1,0,12
