"time", "Capacitor1.v", "IdealDiode3.off"
0,282.84,1
3.1554e-30,282.84,1
1.5739e-10,282.84,1
3.1528e-10,282.84,1
4.7328e-10,282.84,1
6.3137e-10,282.84,1
7.8957e-10,282.84,1
9.4788e-10,282.84,1
1.1063e-09,282.84,1
1.2648e-09,282.84,1
1.4234e-09,282.84,1
1.5821e-09,282.84,1
1.741e-09,282.84,1
1.8999e-09,282.84,1
2.0589e-09,282.84,1
2.2181e-09,282.84,1
2.3801e-09,282.84,1
2.548e-09,282.84,1
2.7218e-09,282.84,1
2.9015e-09,282.84,1
3.0871e-09,282.84,1
3.2786e-09,282.84,1
3.4761e-09,282.84,1
3.6794e-09,282.84,1
3.8888e-09,282.84,1
4.1041e-09,282.84,1
4.3254e-09,282.84,1
4.5526e-09,282.84,1
4.7859e-09,282.84,1
5.0252e-09,282.84,1
5.2705e-09,282.84,1
5.5219e-09,282.84,1
5.7793e-09,282.84,1
6.0428e-09,282.84,1
6.3124e-09,282.84,1
6.5881e-09,282.84,1
6.8699e-09,282.84,1
7.1578e-09,282.84,1
7.4519e-09,282.84,1
7.7521e-09,282.84,1
8.0585e-09,282.84,1
8.3712e-09,282.84,1
8.69e-09,282.84,1
9.0151e-09,282.84,1
9.3464e-09,282.84,1
9.684e-09,282.84,1
1.0028e-08,282.84,1
1.0378e-08,282.84,1
1.0734e-08,282.84,1
1.1097e-08,282.84,1
1.1467e-08,282.84,1
1.1842e-08,282.84,1
1.2224e-08,282.84,1
1.2612e-08,282.84,1
1.3007e-08,282.84,1
1.3409e-08,282.84,1
1.3816e-08,282.84,1
1.4231e-08,282.84,1
1.4652e-08,282.84,1
1.5079e-08,282.84,1
1.5513e-08,282.84,1
1.5953e-08,282.84,1
1.6401e-08,282.84,1
1.6855e-08,282.84,1
1.7315e-08,282.84,1
1.7782e-08,282.84,1
1.8256e-08,282.84,1
1.8737e-08,282.84,1
1.9224e-08,282.84,1
1.9719e-08,282.84,1
2.022e-08,282.84,1
2.0728e-08,282.84,1
2.1243e-08,282.84,1
2.1765e-08,282.84,1
2.2293e-08,282.84,1
2.2829e-08,282.84,1
2.3372e-08,282.84,1
2.3922e-08,282.84,1
2.4479e-08,282.84,1
2.5043e-08,282.84,1
2.5614e-08,282.84,1
2.6192e-08,282.84,1
2.6778e-08,282.84,1
