"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8.signal1","Out8.signal2","Out9","Out10","Out11"
0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000
0.100000,0.000000,0.099833,1.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.099833,0.000000,0.000000,0.019967,6.000000
0.200000,0.000000,0.198669,2.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.198669,0.000000,0.000000,0.039734,6.000000
0.220000,0.000000,0.218230,2.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.218230,0.000000,0.218230,0.039734,6.000000
0.300000,0.000000,0.295520,3.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.295520,0.295520,0.000000,0.218230,0.059104,6.000000
0.400000,0.000000,0.389418,4.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.295520,0.389418,0.000000,0.218230,0.077884,6.000000
0.440000,0.000000,0.425939,5.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.295520,0.425939,0.000000,0.425939,0.077884,6.000000
0.500000,0.000000,0.479426,5.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.295520,0.479426,0.000000,0.425939,0.095885,6.000000
0.600000,0.000000,0.564642,6.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.564642,0.564642,0.000000,0.425939,0.112928,6.000000
0.660000,0.000000,0.613117,7.000000,0.000000,12.000000,12.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.564642,0.613117,0.000000,0.613117,0.112928,6.000000
