"time","Piston.frame_a.r_0[1]","Piston.frame_a.r_0[2]","Piston.frame_a.r_0[3]"
1e-06,0.15,0.4,0
0.001001,0.15,0.4,0
0.002002,0.15,0.4,0
0.003002,0.15,0.4,0
0.004002,0.15,0.4,0
0.005002,0.15,0.4,0
0.006002,0.15,0.4,0
0.007002,0.15,0.4,0
0.008003,0.15,0.4,0
0.009004,0.15,0.4,0
0.010005,0.15,0.4,0
0.011006,0.15,0.4,0
0.012007,0.15,0.4,0
0.013008,0.15,0.4,0
0.014009,0.15,0.4,0
0.01501,0.15,0.4,0
0.016011,0.15,0.4,0
0.017011,0.15,0.399999,0
0.018011,0.15,0.399999,0
0.019011,0.15,0.399999,0
0.020011,0.15,0.399999,0
0.021011,0.15,0.399999,0
0.022011,0.15,0.399999,0
0.023011,0.15,0.399998,0
0.024011,0.15,0.399998,0
0.025011,0.15,0.399998,0
0.026011,0.15,0.399997,0
0.027011,0.15,0.399996,0
0.028011,0.15,0.399996,0
0.029011,0.15,0.399995,0
0.030011,0.15,0.399994,0
0.031011,0.15,0.399992,0
0.032011,0.15,0.399991,0
0.033011,0.15,0.399989,0
0.034011,0.15,0.399986,0
0.035011,0.15,0.399983,0
0.036011,0.15,0.39998,0
0.037011,0.15,0.399975,0
0.038011,0.15,0.39997,0
0.039011,0.15,0.399964,0
0.040011,0.15,0.399956,0
0.041011,0.15,0.399947,0
0.042011,0.15,0.399935,0
0.043011,0.15,0.399921,0
0.044011,0.15,0.399905,0
0.045011,0.15,0.399884,0
0.046011,0.15,0.39986,0
0.047011,0.15,0.39983,0
0.048011,0.15,0.399793,0
0.049011,0.15,0.399749,0
0.050011,0.15,0.399696,0
0.051011,0.15,0.399631,0
0.052011,0.15,0.399552,0
0.053011,0.15,0.399457,0
0.054011,0.15,0.399342,0
0.055011,0.15,0.399202,0
0.056011,0.15,0.399034,0
0.057011,0.15,0.39883,0
0.058011,0.15,0.398584,0
0.059011,0.15,0.398288,0
0.060011,0.15,0.397932,0
0.061011,0.15,0.397503,0
0.062011,0.15,0.396989,0
0.063011,0.15,0.396374,0
0.064011,0.15,0.39564,0
0.065011,0.15,0.394767,0
0.066011,0.15,0.393732,0
0.067011,0.15,0.392511,0
0.068011,0.15,0.391075,0
0.069011,0.15,0.389397,0
0.070011,0.15,0.387445,0
0.071011,0.15,0.38519,0
0.072011,0.15,0.382601,0
0.073011,0.15,0.379649,0
0.074011,0.15,0.376305,0
0.075011,0.15,0.372547,0
0.076011,0.15,0.368352,0
0.077011,0.15,0.363705,0
0.078011,0.15,0.358594,0
0.079011,0.15,0.353014,0
0.080011,0.15,0.346963,0
