"time","Rectifier_r(0)"
0,0
0.001,0.00101056
0.002,0.00200907
0.003,0.00306459
0.004,0.00400282
0.005,0.00503488
0.006,0.00600632
0.007,0.0070162
0.008,0.00801497
0.009,0.00902352
0.01,0.0100135
0.011,0.0110158
0.012,0.0120066
0.013,0.0130002
0.014,0.0140338
0.015,0.0150037
0.016,0.0160292
0.017,0.017004
0.018,0.0180511
0.019,0.0190389
0.02,0.0200131
0.021,0.0210894
0.022,0.0220156
0.023,0.0230404
0.024,0.024037
0.025,0.0250811
0.026,0.0260099
0.027,0.027103
0.028,0.028057
0.029,0.0290403
0.03,0.0300278
0.031,0.0310106
0.032,0.032001
0.033,0.033033
0.034,0.0340973
0.035,0.0350085
0.036,0.0360356
0.037,0.03705
0.038,0.038012
0.039,0.0390342
0.04,0.040013
0.041,0.0410185
0.042,0.0420192
0.043,0.0430426
0.044,0.0440269
0.045,0.0450591
0.046,0.0460066
0.047,0.0470667
0.048,0.0480158
0.049,0.0490003
0.05,0.0500128
0.051,0.0510638
0.052,0.0520031
0.053,0.0530224
0.054,0.0540769
0.055,0.0550953
0.056,0.0560235
0.057,0.0570159
0.058,0.0580662
0.059,0.0590227
0.06,0.0600565
0.061,0.0610097
0.062,0.0620176
0.063,0.063018
0.064,0.0640819
0.065,0.0650308
0.066,0.066
0.067,0.0670073
0.068,0.0680026
0.069,0.0690122
0.07,0.0700491
0.071,0.0710072
0.072,0.0720139
0.073,0.0730295
0.074,0.0740317
0.075,0.0750816
0.076,0.0760205
0.077,0.0770927
0.078,0.0780632
0.079,0.0790047
0.08,0.080017
0.081,0.0810221
0.082,0.0820128
0.083,0.0830647
0.084,0.0840271
0.085,0.0850616
0.086,0.0860045
0.087,0.0870591
0.088,0.0880117
0.089,0.0890397
0.09,0.0900095
0.091,0.0910234
0.092,0.0920078
0.093,0.0930228
0.094,0.0940008
0.095,0.0950163
0.096,0.096007
0.097,0.0970684
0.098,0.0980181
0.099,0.0990315
0.1,0.100033
0.101,0.101066
0.102,0.102012
0.103,0.103086
0.104,0.104076
