"time","step2.y","clutch3.f_normalized_res","J1.w_res","J2.w_res","J3.w_res","J4.w_res","J1.w","J2.w","J3.w","J4.w","clutch3.f_normalized","qtronic.silver.allow_non_virtual_can","qtronic.silver.env.PROCESSOR_LEVEL","qtronic.silver.env.NUMBER_OF_PROCESSORS","qtronic.silver.env.EulerSteps","qtronic.silver.real_time","qtronic.silver.env.Timestep","qtronic.silver.macro_step","qtronic.silver.version.sp","qtronic.silver.version.minor","qtronic.silver.version.major","qtronic.silver.internal.stepDisabled","qtronic.silver.internal.pauseDisabled"
         0,         0,         0,        10,         0,         0,         0,        10,         0,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.01,         0,         0,       9.9,       0.1,         0,         0, 9.9155609,0.099997536,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.02,         0,         0,   9.83091,  0.199993,         0,         0, 9.8607986,0.19998093,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.03,         0,         0,   9.78972,  0.299963,         0,         0, 9.8308872,0.29993254,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.04,         0,         0,   9.77069,  0.399895,         0,         0, 9.8191668,0.39983759,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.05,         0,         0,   9.76591,  0.499773,         0,         0,  9.817514,0.49968132,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.06,         0,         0,   9.76611,  0.599581,         0,         0, 9.8161055,0.59944747,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.07,         0,         0,   9.76149,  0.699303,         0,         0, 9.8052993,0.69911998,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.08,         0,         0,   9.74277,  0.798923,         0,         0, 9.7764654,0.79868304,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.09,         0,         0,   9.70205,  0.898426,         0,         0, 9.7227349,0.89812094,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.1,         0,         0,   9.63358,  0.997796,         0,         0, 9.6396645,0.99741801,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.11,         0,         0,   9.53436,   1.09702,         0,         0, 9.5256841, 1.0965586,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.12,         0,         0,    9.4044,   1.19607,         0,         0, 9.3822608,  1.195527,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.13,         0,         0,   9.24674,   1.29495,         0,         0, 9.2135757, 1.2943076,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.14,         0,         0,   9.06716,   1.39363,         0,         0, 9.0263616, 1.3928848,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.15,         0,         0,   8.87358,    1.4921,         0,         0, 8.8294457, 1.4912431,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.16,         0,         0,   8.67534,   1.59035,         0,         0, 8.6326339, 1.5893669,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.17,         0,         0,   8.48223,   1.68835,         0,         0, 8.4456864, 1.6872407,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.18,         0,         0,   8.30359,   1.78609,         0,         0, 8.2773963, 1.7848491,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.19,         0,         0,   8.14734,   1.88356,         0,         0, 8.1347743, 1.8821766,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.2,         0,         0,   8.01926,   1.98074,         0,         0, 8.0222158, 1.9792079,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.21,         0,         0,   7.92238,   2.07762,         0,         0, 7.9412014, 2.0759277,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.22,         0,         0,   7.85672,   2.17418,         0,         0, 7.8901405, 2.1723206,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.23,         0,         0,   7.81927,   2.27041,         0,         0, 7.8646176, 2.2683715,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.24,         0,         0,    7.8043,   2.36628,         0,         0,  7.857784, 2.3640653,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.25,         0,         0,    7.8039,   2.46179,         0,         0, 7.8610188, 2.4593867,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.26,         0,         0,   7.80877,   2.55692,         0,         0, 7.8646634, 2.5543207,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.27,         0,         0,   7.80914,   2.65166,         0,         0, 7.8590707, 2.6488524,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.28,         0,         0,   7.79571,   2.74598,         0,         0, 7.8355599, 2.7429668,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.29,         0,         0,   7.76059,   2.83988,         0,         0, 7.7872087, 2.8366491,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.3,         0,         0,   7.69803,   2.93334,         0,         0, 7.7095647, 2.9298844,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.31,         0,         0,   7.60502,   3.02635,         0,         0, 7.6011443,  3.022658,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.32,         0,         0,   7.48158,   3.11889,         0,         0, 7.4635415, 3.1149554,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.33,         0,         0,   7.33075,   3.21094,         0,         0, 7.3012325, 3.2067618,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.34,         0,         0,   7.15829,    3.3025,         0,         0, 7.1211304, 3.2980629,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.35,         0,         0,   6.97214,   3.39354,         0,         0, 6.9319297, 3.3888442,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.36,         0,         0,   6.78163,   3.48406,         0,         0, 6.7432736, 3.4790913,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.37,         0,         0,   6.59655,   3.57403,         0,         0,  6.564813,   3.56879,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.38,         0,         0,   6.42623,   3.66345,         0,         0, 6.4052553, 3.6579262,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.39,         0,         0,    6.2786,    3.7523,         0,         0, 6.2715089, 3.7464858,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.4,         0,         0,   6.15943,   3.84057,         0,         0, 6.1680093, 3.8344547,         0,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.41,         0,         0,   6.07176,   3.92824,         0,         0, 6.0962094, 3.8218188, 0.0999999,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.42,         0,         0,    6.0156,    3.9153,       0.1,         0, 6.0543559, 3.8085637, 0.1999999,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.43,         0,         0,   5.98795,   3.90173,       0.2,         0, 6.0381583, 3.7946767, 0.2999999,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.44,         0,         0,   5.98306,   3.88752,       0.3,         0, 6.0411014, 3.7801448, 0.3999999,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.45,         0,         0,   5.99302,   3.87267,       0.4,         0, 6.0546526, 3.7649543, 0.4999999,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.46,         0,         0,   6.00855,   3.85714,       0.5,         0, 6.0688953, 3.7490913, 0.5999999,         0,         0,         0,         6,         2,        10,         0,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
