"time","heatCapacitor_T","switch_Controll"
0.0,20.0,0.0
0.02,20.199721231,0.0
0.04,20.3988873945,0.0
0.06,20.5975002756,0.0
0.08,20.795561652,0.0
0.1,20.9930732937,0.0
0.12,21.1900369634,0.0
0.14,21.3864544162,0.0
0.16,21.5823274002,0.0
0.18,21.7776576558,0.0
0.2,21.9724469162,0.0
0.22,22.1666969077,0.0
0.24,22.360409349,0.0
0.26,22.5535859519,0.0
0.28,22.7462284211,0.0
0.3,22.938338454,0.0
0.32,23.1299177414,0.0
0.34,23.3209679667,0.0
0.36,23.5114908067,0.0
0.38,23.7014879311,0.0
0.4,23.8909610029,0.0
0.42,24.0799116782,0.0
0.44,24.2683416064,0.0
0.46,24.45625243,0.0
0.48,24.6436457851,0.0
0.5,24.8305233009,0.0
0.52,25.0168866002,0.0
0.54,25.2027372989,0.0
0.56,25.3880770068,0.0
0.58,25.5729073268,0.0
0.6,25.7572298557,0.0
0.62,25.9410461835,0.0
0.64,25.9918611783,1.0
0.66,25.9798894417,1.0
0.68,25.9679416246,1.0
0.7,25.9560176793,1.0
0.72,25.944117558,1.0
0.74,25.9322412132,1.0
0.76,25.9203885973,1.0
0.78,25.9085596629,1.0
0.8,25.8967543628,1.0
0.82,25.8849726496,1.0
0.84,25.8732144763,1.0
0.86,25.8614797958,1.0
0.88,25.8497685612,1.0
0.9,25.8380807257,1.0
0.92,25.8264162424,1.0
0.94,25.8147750648,1.0
0.96,25.8031571463,1.0
0.98,25.7915624403,1.0
1.0,25.7799909006,1.0
1.02,25.7684424808,1.0
1.04,25.7569171348,1.0
1.06,25.7454148164,1.0
1.08,25.7339354797,1.0
1.1,25.7224790786,1.0
1.12,25.7110455675,1.0
1.14,25.6996349005,1.0
1.16,25.688247032,1.0
1.18,25.6768819164,1.0
1.2,25.6655395084,1.0
1.22,25.6542197625,1.0
1.24,25.6429226335,1.0
1.26,25.6316480761,1.0
1.28,25.6203960453,1.0
1.3,25.609166496,1.0
1.32,25.5979593834,1.0
1.34,25.5867746626,1.0
1.36,25.5756122889,1.0
1.38,25.5644722175,1.0
1.4,25.5533544041,1.0
1.42,25.542258804,1.0
1.44,25.531185373,1.0
1.46,25.5201340667,1.0
1.48,25.5091048408,1.0
1.5,25.4980976514,1.0
1.52,25.4871124543,1.0
1.54,25.4761492057,1.0
1.56,25.4652078616,1.0
1.58,25.4542883784,1.0
1.6,25.4433907122,1.0
1.62,25.4325148196,1.0
1.64,25.421660657,1.0
1.66,25.4108281811,1.0
1.68,25.4000173484,1.0
1.7,25.3892281158,1.0
1.72,25.3784604401,1.0
1.74,25.3677142781,1.0
1.76,25.3569895871,1.0
1.78,25.3462863239,1.0
1.8,25.3356044459,1.0
1.82,25.3249439102,1.0
1.84,25.3143046743,1.0
1.86,25.3036866956,1.0
1.88,25.2930899316,1.0
1.9,25.28251434,1.0
1.92,25.2719598784,1.0
1.94,25.2614265046,1.0
1.96,25.2509141765,1.0
1.98,25.240422852,1.0
2.0,25.2299524892,1.0
2.02,25.2195030461,1.0
2.04,25.2090744811,1.0
