time,J1_w,J2_w,J3_w,J4_w
0.0,10.0,0.0,0.0,0.0
0.003,9.9714127060854,0.029999964458032,-5.9466320756485e-15,-5.9466185742734e-15
0.006,9.9456385507093,0.059999592612492,-8.0838113980519e-15,-8.0837114367316e-15
0.009,9.9226404545997,0.089998458102256,-8.1601392309949e-15,-8.1599556039754e-15
0.012,9.9023567047825,0.11999613457704,-6.2033711500931e-15,-6.2031865952372e-15
0.015,9.8847015060903,0.14999219570347,-5.8841820305133e-15,-5.8839629299684e-15
0.018,9.8695657464649,0.17998621517111,-3.7747582837255e-15,-3.7744723706458e-15
0.021,9.8568179692215,0.20997776669855,-1.498801083244e-15,-1.4984762580539e-15
0.024,9.8463055436451,0.23996642403946,4.1633363423443e-16,4.1668788210579e-16
0.027,9.837856023529,0.26995176098865,3.7192471324943e-15,3.7196594351984e-15
0.03,9.8312786815964,0.29993335138809,7.105427357601e-15,7.1058860587124e-15
0.033,9.8263662061857,0.32991076913303,8.82627304577e-15,8.8267655562607e-15
0.036,9.8228965451398,0.359883588178,9.9920072216264e-15,9.9925201318076e-15
0.039,9.8206348805323,0.3898513825429,9.8254737679326e-15,9.8259929666797e-15
0.042,9.8193357167025,0.41981372631904,1.0380585280245e-14,1.0381125519683e-14
0.045,9.8187450630674,0.44977019367519,1.0436096431476e-14,1.0436657298692e-14
0.048,9.8186026923332,0.47972035886364,1.2601031329496e-14,1.2601597381057e-14
0.051,9.8186444540642,0.50966379622626,1.3877787807814e-14,1.3878355999669e-14
0.054,9.818604623073,0.5396000802005,1.1990408665952e-14,1.1990975305921e-14
0.057,9.8182182617873,0.56952878532552,1.1768364061027e-14,1.176892341464e-14
0.06,9.817223575625,0.59944948624817,1.0658141036402e-14,1.0658697424786e-14
0.063,9.8153642404706,0.62936175772906,1.1324274851177e-14,1.1324803534794e-14
0.066,9.8123916815949,0.6592651746486,9.8809849191639e-15,9.8815009220426e-15
0.069,9.8080672837892,0.68915931201304,6.9944050551385e-15,6.9948946014792e-15
0.072,9.8021645130967,0.71904374496052,7.6605388699136e-15,7.6609889457975e-15
0.075,9.7944709313095,0.7489180487671,6.9944050551385e-15,6.9948427765504e-15
0.078,9.7847900853486,0.7787817988528,1.0214051826551e-14,1.0214485668835e-14
0.081,9.7729432547583,0.80863457078762,1.1213252548714e-14,1.1213652819591e-14
0.084,9.7587710418025,0.8384759402976,1.3211653993039e-14,1.3212031426779e-14
0.087,9.74213479005,0.86830548327082,1.3655743202889e-14,1.3656050908654e-14
0.09,9.7229178188581,0.89812277576344,1.5321077739827e-14,1.5321348652762e-14
0.093,9.7010264627939,0.92792739400574,1.4321877017665e-14,1.4322106198234e-14
0.096,9.6763909067719,0.95771891440812,1.1657341758564e-14,1.1657486436593e-14
