"time","Out1","Out2[1]","Out2[2]","Out3","Out4","Out5"
0,0,0,0,0,0,0
0.2,0.019933424,0.001330668,0.019933424,0.220002759,0.018666755,0.017400086
0.4,0.078939009,0.010581658,0.078939009,0.480091028,0.069338699,0.05973839
0.6,0.174664389,0.035357528,0.174664389,0.780712839,0.14405925,0.11345411
0.8,0.303293303,0.082643918,0.303293303,1.123095183,0.234989178,0.166685054
1,0.459697716,0.158529037,0.459697716,1.509725315,0.334524067,0.209350419
1.2,0.637642285,0.267960968,0.637642285,1.944899274,0.435437779,0.233233273
1.4,0.83003291,0.414550366,0.83003291,2.435341543,0.531039778,0.232046646
1.6,1.029199587,0.600426559,1.029199587,2.990903256,0.61533481,0.201470034
1.8,1.227202161,0.826152619,1.227202161,3.625349417,0.683174272,0.139146382
2,1.416146889,1.09070291,1.416146889,4.357251458,0.73038971,0.044632531
2.2,1.58850113,1.391504047,1.58850113,5.211007537,0.753900228,-0.080700674
2.4,1.737393666,1.724537365,1.737393666,6.218019677,0.751787267,-0.233819133
2.6,1.856888624,2.08449924,1.856888624,7.418068448,0.723331653,-0.410225319
2.8,1.942222117,2.465012493,1.942222117,8.86093475,0.669010045,-0.604202027
3,1.989992166,2.858880627,1.989992166,10.60833314,0.59044953,-0.809093105
3.2,1.998294334,3.258374726,1.998294334,12.73623684,0.49034115,-1.017612034
3.4,1.966797633,3.655541586,1.966797633,15.33769395,0.372314909,-1.222167815
3.6,1.896757747,4.042520783,1.896757747,18.52625666,0.240780587,-1.415196572
3.8,1.790966932,4.411858041,1.790966932,22.4401743,0.100740056,-1.589486821
4,1.653642749,4.756802419,1.653642749,27.2475312,-0.042421827,-1.738486404
4.2,1.490259857,5.071575418,1.490259857,33.15255518,-0.183159856,-1.856579569
4.4,1.307331799,5.351601361,1.307331799,40.40336351,-0.315996046,-1.93932389
4.6,1.112151388,5.593689905,1.112151388,49.30147372,-0.435743368,-1.983638125
4.8,0.912499839,5.796163089,0.912499839,60.21349056,-0.537716892,-1.987933623
5,0.716336638,5.958922327,0.716336638,73.58543683,-0.617924142,-1.952184922
5.2,0.531482191,6.083452292,0.531482191,89.96033307,-0.673227185,-1.877936561
5.4,0.365306056,6.172761739,0.365306056,109.9997373,-0.701470123,-1.768246303
5.6,0.224433163,6.231263526,0.224433163,134.5101241,-0.701566985,-1.627567132
5.8,0.114479663,6.264598755,0.114479663,164.4751567,-0.673546666,-1.461572995
6,0.039829052,6.279411823,0.039829052,201.0951698,-0.618553066,-1.276935184
6.2,0.003457407,6.283085547,0.003457407,245.8354322,-0.538800561,-1.08105853
6.4,0.006814775,6.283446826,0.006814775,300.4851379,-0.43748659,-0.881787955
6.6,0.049767294,6.28845463,0.049767294,367.2294522,-0.318664946,-0.687097185
6.8,0.13060258,6.30588268,0.13060258,448.7375438,-0.187084722,-0.504772023
7,0.246097978,6.343009537,0.246097978,548.2700837,-0.04800147,-0.342100918
7.2,0.391649071,6.406328445,0.391649071,669.8105431,0.093031927,-0.205585217
7.4,0.561453188,6.501288446,0.561453188,818.2254834,0.230386299,-0.10068059
7.6,0.748740769,6.632077145,0.748740769,999.4603288,0.358580345,-0.031580079
7.8,0.946045251,6.80145377,0.946045251,1220.778414,0.472498947,-0.001047357
8,1.145500732,7.010639192,1.145500732,1491.052921,0.567596895,-0.010306942
8.2,1.339155547,7.259267213,1.339155547,1821.123326,0.640079961,-0.058995625
8.4,1.51928929,7.545399179,1.51928929,2224.230721,0.687056046,-0.145177197
8.6,1.678720602,7.865601273,1.678720602,2716.549471,0.706650376,-0.26541985
8.8,1.811093455,8.215081424,1.811093455,3317.836537,0.698080148,-0.41493316
9,1.911130557,8.587880332,1.911130557,4052.224427,0.66168569,-0.587759176
9.2,1.974843749,8.97710904,1.974843749,4949.189634,0.598916851,-0.777010047
9.4,1.999692994,9.375223594,1.999692994,6044.735567,0.512275133,-0.975142729
9.6,1.984687627,9.774325795,1.984687627,7382.837347,0.405213931,-1.174259764
9.8,1.930425851,10.16647806,1.930425851,9017.20643,0.282000833,-1.366424185
10,1.839070925,10.54401989,1.839070925,11013.44568,0.147547471,-1.543975983
