    "time",    "J1.w",    "J2.w",    "J3.w",    "J4.w"
         0,        10,         0,         0,         0
      0.01, 9.9155656,0.099997684,-3.8857806e-016,-3.8956005e-016
      0.02, 9.8607213,0.19998083,-3.0531133e-016,-3.0805285e-016
      0.03, 9.8310471,0.29993338,-9.4368957e-016,-9.4860144e-016
      0.04, 9.8198167,0.39983948,         0,-7.8590117e-018
      0.05, 9.8182883,0.49968344,1.2767565e-015,1.265396e-015
      0.06, 9.8168891,0.59944951,-2.553513e-015,-2.5683118e-015
      0.07, 9.8060193,0.69912191,-3.2196468e-015,-3.2377608e-015
      0.08, 9.7769153,0.79868491,-4.5519144e-015,-4.5727735e-015
      0.09, 9.7230216, 0.8981228,-5.1070259e-015,-5.1311233e-015
       0.1, 9.6399355,0.99741986,-3.663736e-015,-3.6911414e-015
      0.11, 9.5259748, 1.0965604,-2.220446e-015,-2.2513864e-015
      0.12,  9.382567, 1.1955288,-5.1070259e-015,-5.1412691e-015
      0.13, 9.2140731, 1.2943094,-5.1070259e-015,-5.1429522e-015
      0.14, 9.0273369, 1.3928867,-3.1086245e-015,-3.1454799e-015
      0.15, 8.8310072,  1.491245,-3.7747583e-015,-3.8122738e-015
      0.16,  8.634691, 1.5893688,-4.6629367e-015,-4.7014076e-015
      0.17,  8.448016, 1.6872426,-4.6629367e-015,-4.7026111e-015
      0.18, 8.2796898,  1.784851,-1.3322676e-015,-1.3740697e-015
      0.19, 8.1366503, 1.8821785,-8.8817842e-016,-9.3390301e-016
       0.2, 8.0233873, 1.9792098,-8.8817842e-016,-9.3985132e-016
      0.21,  7.941505, 2.0759296,-2.220446e-015,-2.280939e-015
      0.22, 7.8895663, 2.1723226,-1.7763568e-015,-1.8422549e-015
      0.23, 7.8632349, 2.2683735,-3.1086245e-015,-3.1778432e-015
      0.24, 7.8557014, 2.3640672,-2.6645353e-015,-2.7363876e-015
      0.25, 7.8583511, 2.4593887,-3.5527137e-015,-3.6273197e-015
      0.26,  7.861609, 2.5543227,-2.6645353e-015,-2.7421844e-015
      0.27, 7.8558783, 2.6488544,-3.5527137e-015,-3.6323173e-015
      0.28, 7.8324816, 2.7429688,-3.1086245e-015,-3.1888787e-015
      0.29, 7.7845113, 2.8366511,-3.9968029e-015,-4.0754446e-015
       0.3, 7.7075077, 2.9298864,-6.0840222e-014,-6.0915476e-014
      0.31, 7.5998965, 3.0226601,-9.5923269e-014,-9.5994703e-014
      0.32, 7.4631449, 3.1149575,-1.811884e-013,-1.8125743e-013
      0.33, 7.3016189,  3.206764,-2.9887204e-013,-2.9893845e-013
      0.34, 7.1221576,  3.298065,-4.196643e-013,-4.197271e-013
      0.35, 6.9334051, 3.3888463,-5.186962e-013,-5.1875445e-013
      0.36, 6.7449661, 3.4790935,-5.8530958e-013,-5.8536291e-013
      0.37, 6.5664662, 3.5687923,-6.1239902e-013,-6.1244781e-013
      0.38, 6.4066123, 3.6579285,-5.9729999e-013,-5.973439e-013
      0.39, 6.2723408,  3.746488,-5.4223293e-013,-5.4227321e-013
       0.4, 6.1681401,  3.834457,-4.5208282e-013,-4.5212226e-013
      0.41, 6.0963026,  3.821821,       0.1,-4.4975135e-013
      0.42, 6.0545431, 3.8085663,       0.2,-4.4972359e-013
      0.43, 6.0386504,   3.79468,       0.3,-4.500289e-013
      0.44,  6.041829, 3.7801485,       0.4,-4.4947379e-013
      0.45, 6.0552836,  3.764958,       0.5,-4.4886317e-013
      0.46, 6.0695246,  3.749095,       0.6,-4.4875215e-013
      0.47, 6.0749313, 3.7325462,       0.7,-4.4875215e-013
      0.48,  6.062857, 3.7152985,       0.8,-4.485301e-013
      0.49, 6.0263755, 3.6973387,       0.9,-4.4886317e-013
       0.5, 5.9609305,  3.678654,         1,-4.4830806e-013
      0.51, 5.8649485, 3.6592314,       1.1,-4.4875215e-013
      0.52, 5.7399573, 3.6390583,       1.2,-4.4875215e-013
      0.53,  5.590414, 3.6181221,       1.3,-4.4919624e-013
      0.54, 5.4232432, 3.5964102,       1.4,-4.4897419e-013
      0.55, 5.2471601, 3.5739104,       1.5,-4.4808601e-013
      0.56, 5.0718237, 3.5506103,       1.6,-4.485301e-013
      0.57, 4.9068987, 3.5264979,       1.7,-4.485301e-013
      0.58, 4.7611117, 3.5015611,       1.8,-4.4897419e-013
      0.59, 4.6414393, 3.4757882,       1.9,-4.4875215e-013
       0.6, 4.5524218, 3.4491674,         2,-4.4919624e-013
      0.61, 4.4955592, 3.4216871,       2.1,-4.4897419e-013
      0.62, 4.4692719, 3.3933358,       2.2,-4.4941828e-013
      0.63, 4.4690587, 3.3641023,       2.3,-4.4986237e-013
      0.64, 4.4880255, 3.3339754,       2.4,-4.4986237e-013
      0.65, 4.5174954,  3.302944,       2.5,-4.4941828e-013
      0.66, 4.5478705, 3.2709972,       2.6,-4.4897419e-013
      0.67, 4.5695178, 3.2381244,       2.7,-4.4941828e-013
      0.68, 4.5737495, 3.2043149,       2.8,-4.4941828e-013
      0.69, 4.5536924, 3.1695582,       2.9,-4.4986237e-013
       0.7, 4.5049481,  3.133844,         3,-4.5030646e-013
      0.71, 4.4260028,  3.098581,  3.098581,-4.4941828e-013
      0.72, 4.3182092, 3.1297459, 3.1297459,-4.5075055e-013
      0.73, 4.1866651, 3.1604223, 3.1604223,-4.5163873e-013
      0.74, 4.0376878, 3.1906003, 3.1906003,-4.5075055e-013
      0.75,  3.879937,  3.220275,  3.220275,-4.5075055e-013
      0.76, 3.7232446, 3.2494417, 3.2494417,-4.5030646e-013
      0.77, 3.5771434, 3.2780957, 3.2780957,-4.5030646e-013
      0.78, 3.4502866, 3.3062326, 3.3062326,-4.5030646e-013
      0.79, 3.3498105, 3.3338479, 3.3338479,-4.5030646e-013
       0.8, 3.3343925, 3.3343925, 3.3343925,-4.5030646e-013
      0.81, 3.3396134, 3.3396134, 3.3396134,-4.5030646e-013
      0.82, 3.3545769, 3.3545769, 3.3545769,-4.5030646e-013
      0.83,  3.377723,  3.377723,  3.377723,-4.5030646e-013
      0.84, 3.4160257, 3.4028717, 3.4028717,-4.4897419e-013
      0.85, 3.4655811, 3.4272688, 3.4272688,-4.4897419e-013
      0.86,  3.516246, 3.4511156, 3.4511156,-4.485301e-013
      0.87, 3.5584087, 3.4744082, 3.4744082,-4.4808601e-013
      0.88, 3.5833594, 3.4971431, 3.4971431,-4.4808601e-013
      0.89, 3.5842292, 3.5193165, 3.5193165,-4.485301e-013
       0.9, 3.5565978, 3.5409251, 3.5409251,-4.4808601e-013
      0.91, 3.5074327, 3.5074327, 3.5074327,       0.1
      0.92, 3.4589984, 3.4589984, 3.4589984,       0.2
      0.93, 3.4025594, 3.4025594, 3.4025594,       0.3
      0.94, 3.3399068, 3.3399068, 3.3399068,       0.4
      0.95, 3.2739943, 3.2739943, 3.2739943,       0.5
      0.96, 3.2078481, 3.2078481, 3.2078481,       0.6
      0.97, 3.1448929, 3.1448929, 3.1448929,       0.7
      0.98, 3.0880751, 3.0880751, 3.0880751,       0.8
      0.99,   3.03957,   3.03957,   3.03957,       0.9
         1,  3.000839,  3.000839,  3.000839,         1
      1.01, 2.9859211,  2.966063,  2.966063, 1.0999998
      1.02, 3.0019279, 2.9306521, 2.9306521, 1.1999991
      1.03, 3.0443929, 2.8946392, 2.8946392, 1.2999986
      1.04, 3.1063736, 2.8580234, 2.8580234, 1.3999994
      1.05, 3.1791878,  2.820801,  2.820801,       1.5
