    "time",     "uDC",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "uAC[1]",  "uAC[2]",  "uAC[3]",  "Losses"
         0, 565.68542,        -0,         0,         0,         0,         0,         0,       480
    0.0002, 559.00832,0.061466535,-1.0494532,0.98798671, 312.23791,-563.00923, 250.77132, 789.42717
    0.0004, 552.36806,0.12274589, -6.738128, 6.6153821, 339.56316, -556.3803, 216.81714, 799.31446
    0.0006, 545.83132,0.18354083,-15.965848, 15.782308, 366.70149,-549.86197, 183.16048, 827.85609
    0.0008,  539.4204,0.24361142,-24.856005, 24.612394, 393.54022,-543.46878, 149.92856, 859.42645
     0.001, 533.10401,0.30272059,-29.593372, 29.290651, 419.94135,-537.16182, 117.22046, 877.95294
    0.0012, 526.80162,0.36063505,-26.532097, 26.171462, 445.74434,-530.85327, 85.108928, 867.73115
    0.0014, 520.38723,0.41712625,-12.273854, 11.856728, 470.76849,-524.41031, 53.641823, 814.63763
    0.0016,  513.7497,0.44994801,-0.92363232, 0.4736843, 483.84926,-495.71741, 11.868144, 744.16787
    0.0018, 507.07559,0.49151976,-0.93570525,0.44418549,  501.2981,-477.63096,-23.667138,  736.5837
     0.002, 500.41702, 6.4477939, -6.846363,0.39856911,  504.4293,-451.49941,-52.929898, 734.14952
    0.0022, 494.03451, 43.866351,-44.207932,0.34158105, 498.12159,-419.85149,-78.270101, 850.51651
    0.0024, 488.36097, 111.86395,-112.14719,0.28324493, 492.58399, -387.9146,-104.66939, 1111.4198
    0.0026, 483.76766, 205.29481, -205.5186,0.22379096, 488.17749,-355.98434,-132.19315, 1518.0626
    0.0028, 480.55723,  318.4435,-318.60695, 0.1634538, 485.19331,-324.32364,-160.86967, 2069.6333
     0.003, 478.95363, 445.11203, -445.2145,0.10246963, 483.84299,-293.15636,-190.68663, 2757.6466
    0.0032, 479.09228,  578.7693,-578.81039,0.041085674,  484.2489,-262.66731,-221.58159, 3561.7329
    0.0034, 481.02314, 712.73769,-712.71723,-0.020463859, 486.44762,-232.99187,-253.45575, 4447.4551
    0.0036, 484.70432, 840.33865,-840.25671,-0.081931915, 490.38394,-204.22597,-286.15797, 5366.0234
    0.0038, 490.00425, 955.08457,-954.94149,-0.14307659, 495.91329,-176.41827,-319.49501, 6256.5979
     0.004, 496.71479, 1050.7811,-1050.5774,-0.20365681, 502.81515,-149.57907,-353.23608, 7050.0986
    0.0042,  504.5391, 1121.7535,-1121.4901,-0.26343291, 510.78132,-123.67408,-387.10725, 7675.6618
    0.0044, 513.11873, 1162.8654,-1162.5433,-0.32216958,  519.4431,  -98.6366, -420.8065, 8066.7439
    0.0046, 522.02035, 1169.8278,-1169.4482,-0.37963472, 528.35857,-74.361733,-453.99684, 8170.0582
    0.0048, 530.76884, 1139.0635,-1138.6279,-0.43560164, 537.04546, -50.72169,-486.32377, 7950.5965
     0.005, 538.83942, 1068.1016,-1067.6117,-0.48984947, 544.97404, -27.56204,  -517.412, 7400.0522
    0.0052, 545.68837, 955.21468,-954.67252,-0.54216408, 551.59715,-4.7162672,-546.88089, 6537.1922
    0.0054, 550.78056, 808.70878,-790.72566,-17.983118, 556.37889,-0.77274177,-555.60615, 5427.7892
    0.0056,  553.8008, 644.76698,-560.23683,-84.530153, 559.00468,-0.4757062,-558.52898,  4239.205
    0.0058, 554.52278, 464.36285,-263.93081,-200.43204, 559.24996,-0.063498701,-559.18646, 3108.7255
     0.006,   552.819, 317.17193,-0.20376502,-316.96817, 380.60862,  176.8434,-557.45203, 2256.3372
    0.0062, 550.35415, 317.79412,-0.14318622,-317.65093, 349.08742, 205.90106,-554.98848, 2242.4588
    0.0064, 547.98396, 331.13352,-0.082042337,-331.05147, 317.34373, 235.30131,-552.64504, 2299.8845
    0.0066, 545.85218, 353.18988,-0.020575253,-353.16931, 285.56636, 264.99108,-550.55744, 2409.4679
    0.0068, 544.04978,  379.6741,0.040974948,-379.71507, 253.91654, 294.89153,-548.80808, 2550.1015
     0.007, 542.60755, 406.29111,0.10236135,-406.39347, 222.52884,  324.8903,-547.41914, 2699.0598
    0.0072, 541.49726, 428.75596,0.16334465,-428.91931, 191.50452, 354.84933,-546.35385, 2831.7045
    0.0074, 540.63491,   442.918,0.22368308,-443.14168, 160.91829, 384.60159,-545.51988, 2922.5606
    0.0076, 539.88422, 444.85627,0.28313884,-445.13941,   130.817, 413.95613,-544.77313, 2946.9638
    0.0078, 539.05857, 430.98337,0.34147719,-431.32485, 101.22113, 442.69866,-543.91979, 2883.3197
     0.008, 537.92523, 398.14747,0.39846788,-398.54594,  72.12628, 470.59456,-542.72084, 2715.6919
    0.0082, 536.21325, 343.70594,0.45388594,-344.15982, 43.506818, 497.39321,-540.90003, 2436.2704
    0.0084, 533.62015, 265.59815,0.50751284,-266.10566, 15.318715, 522.83206,-538.15077, 2047.5547
    0.0086, 529.82711, 159.16347, 7.0082904,-166.17176,0.15215503, 533.99922,-534.15138, 1563.0093
    0.0088, 524.68428,0.76449832,   65.4775,-66.241998,-0.064712937, 528.81494,-528.75023, 1102.6714
     0.009, 518.91746,0.30282597, 76.072181,-76.375007,-110.12129, 523.06886,-412.94757, 1037.6291
    0.0092, 513.47534,0.24371875, 114.08527,-114.32899,-136.99186, 517.70272,-380.71086, 1173.8092
    0.0094, 508.69684,0.18364982, 175.21633,-175.39997,-164.69821, 513.04643,-348.34822, 1428.5261
    0.0096, 504.86633,0.12464656, 254.46196,-254.58661,-192.36384, 509.37436,-317.01052, 1794.6725
    0.0098, 502.18033,0.061567777, 346.28249,-346.34406,-222.65205, 506.87194,-284.21989, 2259.4821
      0.01, 500.76401,5.797916e-005, 444.90537,-444.90543,-252.79742, 505.65281,-252.85539, 2804.4133
    0.0102, 500.67592,-0.061764684, 544.46208,-544.40031,-283.76426, 505.76377,-221.99951,  3401.131
    0.0104, 501.88238,-0.12274494, 639.04734,-638.92459, -314.9522, 507.15934,-192.20714,  4011.799
    0.0106, 504.29137,-0.18353393, 722.87381,-722.69028,-346.63502, 509.73592, -163.1009, 4590.5826
    0.0108, 507.71336,-0.24361219, 790.47167,-790.22805,-378.45273, 513.29303, -134.8403, 5086.8336
     0.011, 511.90052,-0.30272039, 836.76586,-836.46314,-410.14671, 517.57272,-107.42601, 5449.2699
    0.0112, 516.53681,-0.36063512, 857.25497,-856.89433, -441.4427, 522.24992,-80.807219, 5631.5644
    0.0114,  521.2523,-0.41711824, 848.07855,-847.66143,-472.03282, 526.94699,-54.914168, 5597.5771
    0.0116,  525.6296,-0.47197125, 806.14105,-805.66908,-501.60604, 531.24035,-29.634314, 5326.7752
    0.0118, 529.21603,-0.52495344, 729.17791,-728.65296,-529.81338, 534.67279,-4.8594128, 4818.3688
     0.012,  531.5644,-19.374535, 625.04973, -605.6752,-536.20776, 536.79406,-0.58630008, 4108.9689
    0.0122, 532.44936,-90.592279, 510.11731,-419.52503,-537.04899, 537.37792,-0.32893242, 3338.5934
    0.0124, 531.73023,-214.08151, 383.99736,-169.91585,-536.32724, 536.28307,0.04416562,  2609.543
    0.0126, 529.45977, -317.3142, 317.53799,-0.22379064,-534.09355, 378.94221, 155.15134, 2199.1978
    0.0128, 527.22912,-353.11413, 353.27758,-0.1634538,-531.93445, 347.69421, 184.24024, 2372.6683
     0.013, 525.56479,-401.90594, 402.00841,-0.10247156,-530.36764, 316.41965, 213.94799, 2628.8621
    0.0132, 524.61177,-458.91509, 458.95618,-0.041084886,-529.52858, 285.30675, 244.22183, 2947.9679
    0.0134, 524.44117,-519.14677, 519.12631,0.020463883,-529.47838, 254.50724, 274.97114, 3305.4499
