    "time",     "uDC",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "uAC[1]",  "uAC[2]",  "uAC[3]",  "Losses"
         0, 565.68542,        -0,         0,         0,         0,         0,         0,       480
    0.0001, 562.34648,0.029752841,-0.59417343,0.56442059, 298.04969,-565.38356, 267.33387, 794.50812
    0.0002, 559.00832,0.061466535, -1.049454,0.98798742, 312.23791,-563.00923, 250.77132, 789.42718
    0.0003, 555.67868,0.092151687,-3.2093211, 3.1171694, 325.91783,-559.68389, 233.76605, 791.08802
    0.0004, 552.36818, 0.1227459,-6.7378693, 6.6151234, 339.56322,-556.38042,  216.8172, 799.31375
    0.0005, 549.08433,0.15321897, -11.15178, 10.998561, 353.16225,-553.10538, 199.94313,  812.2137
    0.0006, 545.83164,0.18354083,-15.965365, 15.781824, 366.70165,-549.86229, 183.16064, 827.85501
    0.0007,  542.6109,0.21368157,-20.693084, 20.479403, 380.16638,-546.65098,  166.4846, 844.25864
    0.0008, 539.41979,0.24361142,-24.854808, 24.611196, 393.53992,-543.46817, 149.92825, 859.41992
    0.0009, 536.25335,0.27330086,-27.975856, 27.702555, 406.80454,-540.30795, 133.50341, 871.31693
     0.001, 533.10243,0.30272058,-29.595179, 29.292459, 419.94056,-537.16024, 117.21968, 877.95616
    0.0011, 529.95577,0.33184156,-29.261529, 28.929688, 432.92739,-534.01289,  101.0855, 877.38682
    0.0012, 526.79945,0.36063505,-26.537983, 26.177348, 445.74326, -530.8511, 85.107846, 867.74957
    0.0013, 523.61619,0.38907263,-21.008381, 20.619308, 458.36489,-527.65676, 69.291868, 847.33916
    0.0014, 520.38572,0.41712625,  -12.2795, 11.862373, 470.76774,-524.40882, 53.641074, 814.65656
    0.0015, 517.08554,  0.427716, -0.914686,0.48696999, 474.40116,-504.02816, 29.626997, 747.65939
    0.0016, 513.74838,0.44995031,-0.92363705,0.47368673, 483.84975,-495.71796,  11.86821, 744.16736
    0.0017,  510.4113,0.47122159,-0.93063835,0.45941676, 492.81686,-486.91445,-5.9024103, 740.47886
    0.0018, 507.07428,0.49152108,-0.93570788, 0.4441868,  501.2981,-477.63096,-23.667141, 736.58226
    0.0019, 503.73735, 0.6015239, -1.028011, 0.4264871, 507.73796,-467.11275,-40.625216, 730.59883
     0.002, 500.41567, 6.4493484,-6.8479175,0.39856911, 504.42796,-451.49874,-52.929227, 734.15241
    0.0021,   497.162, 21.050773,-21.421031,0.37025778, 501.20347,-435.73081, -65.47266, 774.30413
    0.0022, 494.03352, 43.877154,-44.218735,0.34158105, 498.12062,  -419.851,-78.269613, 850.55916
    0.0023, 491.08293,  74.35595,-74.668517,0.31256722, 495.23097,-403.89925,-91.331717, 962.87162
    0.0024,  488.3593, 111.86922,-112.15247,0.28324493, 492.58234,-387.91377,-104.66856, 1111.4392
    0.0025,  485.9072,  155.7535,-156.00714, 0.2536431, 490.21798,-371.93067,-118.28731, 1296.4924
    0.0026, 483.76702, 205.31002,-205.53381,0.22379096, 488.17689,-355.98404,-132.19285, 1518.1344
    0.0027, 481.97367, 259.80069,-259.99441,0.19371797,  486.4925,-340.10533,-146.38717, 1776.1188
    0.0028, 480.55826, 318.46547,-318.62893, 0.1634538, 485.19439,-324.32417,-160.87021, 2069.7516
    0.0029, 479.54491, 380.51057, -380.6436,0.13302832, 484.30509,-308.66677,-175.63832, 2397.6571
     0.003, 478.95374, 445.12868,-445.23115,0.10247156, 483.84314, -293.1574,-190.68574, 2757.7433
    0.0031, 478.79999, 511.49857,-511.57038,0.07181367, 483.82209,-277.81792,-206.00418, 3147.0852
    0.0032, 479.09267,  578.7862,-578.82728,0.04108491, 484.24932,-262.66713,-221.58218, 3561.8405
    0.0033, 479.83479, 646.15135,-646.16166,0.010315604, 485.12614,-247.72088,-237.40526, 3997.2321
    0.0034, 481.02382,  712.7547,-712.73423,-0.020463883, 486.44834,-232.99222,-253.45612, 4447.5733
    0.0035, 482.65182, 777.76333,-777.71211,-0.051223174, 488.20632,-218.49155,-269.71477, 4906.3194
    0.0036, 484.70546, 840.35506,-840.27313,-0.081931912, 490.38511,-204.22656,-286.15855,  5366.147
    0.0037, 487.16595, 899.72315,-899.61059,-0.1125598,  492.9643,-190.20219, -302.7621, 5819.0693
    0.0038, 490.00915, 955.08145,-954.93838,-0.1430766, 495.91818,-176.42072,-319.49746, 6256.5855
    0.0039, 493.20577, 1005.6692,-1005.4957,-0.1734522, 499.21594,-162.88179,-336.33416, 6669.8568
     0.004, 496.72153, 1050.7553,-1050.5516,-0.20365662, 502.82184,-149.58251,-353.23933, 7049.9038
    0.0041, 500.51742, 1089.6431,-1089.4094,-0.23366006, 506.69546,-136.51758,-370.17788, 7387.8232
    0.0042, 504.54988, 1121.6743,-1121.4109,-0.26343291, 510.79195,-123.67939,-387.11256, 7675.0172
    0.0043, 508.77115, 1146.2334,-1145.9405,-0.29294578,  515.0623,-111.05811,-404.00418, 7903.4299
    0.0044, 513.12948, 1162.7512, -1162.429,-0.32216955, 519.45362,-98.641876,-420.81174, 8065.7832
    0.0045, 517.56949, 1170.7084,-1170.3574,-0.35107537, 523.90951,-86.416894,-437.49261, 8155.8063
    0.0046, 522.03253, 1169.6391,-1169.2595,-0.37963472, 528.37037,-74.367635,-454.00274, 8168.4523
    0.0047, 526.45703, 1159.1333,-1158.7254,-0.40781943, 532.77382,-62.476994,-470.29683,  8100.096
    0.0048, 530.77888, 1138.8395,-1138.4039,-0.43560166, 537.05505,-50.726476,-486.32857, 7948.7067
    0.0049, 534.93182, 1108.4677,-1108.0047,-0.46295401, 541.14721, -39.09637,-502.05084, 7713.9908
     0.005, 538.84788, 1067.7902,-1067.3004,-0.48984947, 544.98188,-27.565959,-517.41592, 7397.4999
    0.0051, 542.45778, 1016.6442,-1016.1279,-0.51626152, 548.48946,-16.113712,-532.37575, 7002.6987
    0.0052, 545.69138, 954.93226, -954.3901,-0.54216408, 551.59961,-4.7174934,-546.88211, 6534.9922
    0.0053, 548.48007, 884.01758,-880.66153,-3.3560545, 554.24364,-0.8773046,-553.36634, 5998.9059
    0.0054,  550.7796, 808.43854,-790.45547,-17.983072, 556.37739,-0.77247162,-555.60492, 5425.8408
    0.0055, 552.56103, 728.57716,-683.51644,-45.060719, 557.97201,-0.63845508,-557.33355, 4833.6372
    0.0056, 553.79584, 644.49958,-559.96736,-84.532223, 558.99919,-0.47543466,-558.52376, 4237.4726
