"time","Ball1_pos","Ball2_pos","Ball1_vel","Ball2_vel"
0,10,10,15,15
0.001,10.015,10.015,14.9902,14.9902
0.002,10.03,10.03,14.9804,14.9804
0.003,10.0449,10.0449,14.9706,14.9706
0.004,10.0599,10.0599,14.9608,14.9608
0.005,10.0749,10.0749,14.9509,14.9509
0.006,10.0898,10.0898,14.9411,14.9411
0.007,10.1047,10.1047,14.9313,14.9313
0.008,10.1197,10.1197,14.9215,14.9215
0.008999999999999999,10.1346,10.1346,14.9117,14.9117
0.01,10.1495,10.1495,14.9019,14.9019
0.011,10.1644,10.1644,14.8921,14.8921
0.012,10.1793,10.1793,14.8823,14.8823
0.013,10.1941,10.1941,14.8725,14.8725
0.014,10.209,10.209,14.8627,14.8627
0.015,10.2239,10.2239,14.8528,14.8528
0.016,10.2387,10.2387,14.843,14.843
0.017,10.2535,10.2535,14.8332,14.8332
0.018,10.2684,10.2684,14.8234,14.8234
0.019,10.2832,10.2832,14.8136,14.8136
0.02,10.298,10.298,14.8038,14.8038
0.021,10.3128,10.3128,14.794,14.794
0.022,10.3276,10.3276,14.7842,14.7842
0.023,10.3424,10.3424,14.7744,14.7744
0.024,10.3571,10.3571,14.7646,14.7646
0.025,10.3719,10.3719,14.7547,14.7547
0.026,10.3866,10.3866,14.7449,14.7449
0.027,10.4014,10.4014,14.7351,14.7351
0.028,10.4161,10.4161,14.7253,14.7253
0.029,10.4308,10.4308,14.7155,14.7155
0.03,10.4455,10.4455,14.7057,14.7057
0.031,10.4602,10.4602,14.6959,14.6959
0.032,10.4749,10.4749,14.6861,14.6861
0.033,10.4896,10.4896,14.6763,14.6763
0.034,10.5043,10.5043,14.6665,14.6665
0.035,10.5189,10.5189,14.6566,14.6566
0.036,10.5336,10.5336,14.6468,14.6468
0.037,10.5482,10.5482,14.637,14.637
0.038,10.5629,10.5629,14.6272,14.6272
0.039,10.5775,10.5775,14.6174,14.6174
0.04,10.5921,10.5921,14.6076,14.6076
0.041,10.6067,10.6067,14.5978,14.5978
0.042,10.6213,10.6213,14.588,14.588
0.043,10.6359,10.6359,14.5782,14.5782
0.044,10.6505,10.6505,14.5684,14.5684
0.045,10.665,10.665,14.5585,14.5585
0.046,10.6796,10.6796,14.5487,14.5487
0.047,10.6941,10.6941,14.5389,14.5389
0.048,10.7087,10.7087,14.5291,14.5291
0.049,10.7232,10.7232,14.5193,14.5193
0.05,10.7377,10.7377,14.5095,14.5095
0.051,10.7522,10.7522,14.4997,14.4997
0.052,10.7667,10.7667,14.4899,14.4899
0.053,10.7812,10.7812,14.4801,14.4801
0.054,10.7956,10.7956,14.4703,14.4703
0.055,10.8101,10.8101,14.4604,14.4604
0.056,10.8246,10.8246,14.4506,14.4506
0.057,10.839,10.839,14.4408,14.4408
0.058,10.8535,10.8535,14.431,14.431
0.059,10.8679,10.8679,14.4212,14.4212
0.06,10.8823,10.8823,14.4114,14.4114
0.061,10.8967,10.8967,14.4016,14.4016
0.062,10.9111,10.9111,14.3918,14.3918
0.063,10.9255,10.9255,14.382,14.382
0.064,10.9399,10.9399,14.3722,14.3722
0.065,10.9542,10.9542,14.3623,14.3623
0.066,10.9686,10.9686,14.3525,14.3525
0.067,10.9829,10.9829,14.3427,14.3427
0.06800000000000001,10.9973,10.9973,14.3329,14.3329
0.06900000000000001,11.0116,11.0116,14.3231,14.3231
0.07000000000000001,11.0259,11.0259,14.3133,14.3133
0.07099999999999999,11.0402,11.0402,14.3035,14.3035
